"IDRSSD"	RCFA3792	RCFA5310	RCFA5311	RCFA7204	RCFA7205	RCFA7206	RCFA8274	RCFAA223	RCFAA224	RCFAB530	RCFAB596	RCFAP742	RCFAP793	RCFAP839	RCFAP840	RCFAP841	RCFAP842	RCFAP843	RCFAP844	RCFAP845	RCFAP846	RCFAP847	RCFAP848	RCFAP849	RCFAP850	RCFAP851	RCFAP852	RCFAP853	RCFAP854	RCFAP855	RCFAP856	RCFAP857	RCFAP858	RCFAP859	RCFAP860	RCFAP861	RCFAP862	RCFAP863	RCFAP864	RCFAP865	RCFAP866	RCFAP867	RCFAP868	RCFAP870	RCFAP872	RCFAP875	RCFAQ257	RCFAQ258	RCFD3368	RCFD3632	RCFW3792	RCFW5310	RCFW5311	RCFW7205	RCFW7206	RCFWA223	RCFWP793	RCFWP870	RCOA3792	RCOA5310	RCOA5311	RCOA7204	RCOA7205	RCOA7206	RCOA8274	RCOAA223	RCOAA224	RCOAB530	RCOAB596	RCOAP742	RCOAP793	RCOAP838	RCOAP839	RCOAP840	RCOAP841	RCOAP842	RCOAP843	RCOAP844	RCOAP845	RCOAP846	RCOAP847	RCOAP848	RCOAP849	RCOAP850	RCOAP851	RCOAP852	RCOAP853	RCOAP854	RCOAP855	RCOAP856	RCOAP857	RCOAP858	RCOAP859	RCOAP860	RCOAP861	RCOAP862	RCOAP863	RCOAP864	RCOAP865	RCOAP866	RCOAP867	RCOAP868	RCOAP870	RCOAP872	RCOAP875	RCOAQ257	RCOAQ258	RCON3368	RCON3632	RCOW3792	RCOW5310	RCOW5311	RCOW7205	RCOW7206	RCOWA223	RCOWP793	RCOWP870	
1557																																																											11281	675	675	13.78%	18.44%	17.34%	10606	61180	76940	-61	0	9824	17.34%	1	0	10733	70	118	0	-61	0	0	0	0		0	0	10606	0	0	0	0	0	0	10606	0	0	0	0	0	0	0	0	0	675	0	188	0	0	77128	970									
1669																																																											45846	1344	1344	16.82%	43.28%	42.01%	44502	105922	264626	-98	0	1600	42.01%	1	0	44353	0	0	0	-149	0	0	0	0		0	0	44502	0	0	0	0	0	0	44502	0	0	0	0	0	0	0	0	0	1344	0	0	0	0	264626	42851									
1829																																																											42234	3579	3746	9.62%	14.13%	12.87%	38488	298957	399977	1091	0	3490	12.87%	1	0	47723	8144	0	0	1091	0	0	0	0		0	0	38488	0	0	0	0	0	0	38488	0	0	0	0	0	0	0	0	0	3746	0	8144	167	0	408121	43142									
1856																																																											17054	753	753	12.62%	28.42%	27.16%	16301	60015	129145	-1381	0	14782	27.16%	1	0	15018	98	0	0	-1381	0	0	0	0		0	0	16301	0	0	0	0	0	0	16301	0	0	0	0	0	0	0	0	0	753	0	98	0	0	129243	1617									
2040																																																											23682	1870	1870	11.11%	16.02%	14.76%	21812	147801	196257	195	0	4750	14.76%	1	0	22457	0	0	180	195	0	0	0	0		0	0	22082	0	0	0	0	270	270	21812	0	0	0	0	270	0	0	0	0	1870	0	450	0	0	196707	17512									
2161																																																											16180	742	742	11.25%	21.33%	20.35%	15438	75850	137204	504	0	2356	20.35%	1	0	15942	0	0	0	504	0	0	0	0		0	0	15438	0	0	0	0	0	0	15438	0	0	0	0	0	0	0	0	0	742	0	0	0	0	137204	13082									
2376																																																											473290	30458	30458	13.12%	15.55%	14.55%	442832	3042692	3374360	-4570	0	32537	14.55%	1	0	438261	0	0	0	-394	0	-2923	-1254	0		0	0	442832	0	0	0	0	0	0	442832	0	0	0	0	0	0	0	0	0	30458	0	0	0	0	3374360	410294									
2554																																																											1231	102	102	8.44%	12.21%	11.20%	1129	10084	13371	-58	0	1100	11.20%	1	0	1360	289	0	0	-58	0	0	0	0		0	0	1129	0	0	0	0	0	0	1129	0	0	0	0	0	0	0	0	0	102	0	289	0	0	13660	318									
2732																																																											86914	3451	3451	14.63%	23.24%	22.32%	83463	373943	570682	-205	0	5789	22.32%	1	0	83703	0	445	0	-205	0	0	0	0		0	0	83463	0	0	0	0	0	0	83463	0	0	0	0	0	0	0	0	0	3451	0	445	0	0	571127	78119									
2750																																																											7413	610	610	11.27%	15.20%	13.95%	6803	48782	60357	-51	0	5921	13.95%	1	0	6857	0	0	0	-51	105	0	0	0		0	0	6803	0	0	0	0	0	0	6803	0	0	0	0	0	0	0	0	0	610	0	0	0	0	60357	987									
