"IDRSSD"	RCFD0071	RCFD0081	RCFD0426	RCFD1754	RCFD1773	RCFD2130	RCFD2145	RCFD2150	RCFD2160	RCFD2170	RCFD2930	RCFD2948	RCFD3000	RCFD3123	RCFD3163	RCFD3190	RCFD3200	RCFD3210	RCFD3230	RCFD3300	RCFD3545	RCFD3548	RCFD3632	RCFD3656	RCFD3838	RCFD3839	RCFD5369	RCFD6724	RCFDA130	RCFDB528	RCFDB529	RCFDB530	RCFDB989	RCFDB995	RCFDG105	RCFN2200	RCFN6631	RCFN6636	RCON0071	RCON0081	RCON0426	RCON1754	RCON1773	RCON2130	RCON2145	RCON2150	RCON2160	RCON2170	RCON2200	RCON2930	RCON2948	RCON3000	RCON3123	RCON3163	RCON3190	RCON3200	RCON3210	RCON3230	RCON3300	RCON3545	RCON3548	RCON3632	RCON3656	RCON3838	RCON3839	RCON5369	RCON6631	RCON6636	RCON6724	RCON8678	RCONA130	RCONB528	RCONB529	RCONB530	RCONB987	RCONB989	RCONB993	RCONB995	RCONG105	
	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	OTHER IDENTIFIABLE INTANGIBLE ASSETS	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	PREMISES&FIXED ASSETS(INCL CAP LSES)	OTHER REAL ESTATE OWNED	OTHER ASSETS	TOTAL ASSETS	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ALLL_AMT	GOODWILL	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	DIRECT INDIRECT INV IN RE	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	AUDIT INDICATOR	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	TOT EQT CAP INC NONCTRL MINORITY INT	TOTAL DEPOSITS	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	OTHER IDENTIFIABLE INTANGIBLE ASSETS	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	PREMISES&FIXED ASSETS(INCL CAP LSES)	OTHER REAL ESTATE OWNED	OTHER ASSETS	TOTAL ASSETS	TOTAL DEPOSITS	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ALLL_AMT	GOODWILL	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	DIRECT INDIRECT INV IN RE	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	AUDIT INDICATOR	FISCAL YEAR END	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	FEDERAL FNDS SOLD IN DOMESTIC OFFICS	SECURS PURCHSD UDR AGRMNTS TO RESELL	FEDERAL FNDS PURCD IN DOMESTIC OFFCS	SECURS SOLD UNDR AGRMNTS TO REPURCH	TOT EQT CAP INC NONCTRL MINORITY INT	
37																																							0	11347	0	0	31573	0	487	100	1059	84541	66795	334	67129	0	1038	0	0	0	17412	1200	84541	0	0	12325	0	0	3500	0	6500	60295			0	41013	39975	387	0	0	0	0	17412	
242																																							960	808	0	0	9829	0	295	0	522	34520	26009	33	30139	0	169	0	4097	0	4381	120	34520	0	0	3977	0	0	120	0	5532	20477			0	21138	20969	164	1137	0	0	0	4381	
279																																							3715	2226	38	43642	13960	264	6310	33	2882	149924	106578	493	126112	0	445	0	19041	0	23812	1	149924	0	0	23265	0	0	0	0	7351	99227			0	74924	74479	546	2375	0	0	0	23812	
354																																							99	277	0	0	5161	0	35	0	180	10483	9454	10	9464	0	190	0	0	0	1018	25	10482	0	0	460	0	0	500	0	2541	6913			0	4155	3965	33	766	0	0	0	1018	
457																																							1207	561	0	175	0	0	92	0	1251	36314	30037	337	32874	0	447	0	2500	0	3440	60	36314	0	0	940	0	0	2440	0	3388	26649			0	32440	31993	0	1035	0	0	0	3440	
505																																							57918	1338	114	0	80970	0	6030	532	9978	398063	319285	3064	367849	54	4458	1595	45500	0	30160	6480	398063	0	0	14053	0	0	10653	0	48401	270884			0	244046	239588	-1026	0	0	0	0	30214	
1155																																							27635	3764	0	123	24949	0	4254	4283	6913	204910	170485	1880	186069	0	2521	0	0	0	18841	1600	204910	0	0	11640	0	0	4900	408	14898	155587			0	135102	132581	701	0	0	0	13704	18841	
1351																																							0	3957	0	70041	4877	0	986	267	1935	158122	136208	577	136785	0	1375	0	0	0	21337	240	158122	0	0	20440	0	0	530	0	13424	122784			0	71538	70163	127	5896	0	0	0	21337	
1454																																							73819	11345	0	0	220186	0	4500	0	10522	535586	482411	1097	483508	0	3580	0	0	0	52078	1000	535586	0	0	47660	0	0	1214	761	128731	353680			0	218033	214453	2204	0	0	0	0	52078	
