"IDRSSD"	RCONK123	RCONK124	RCONK125	RCONK126	RCONK127	RCONK128	RCONK130	RCONK131	RCONK132	RCONK138	RCONK139	RCONK140	RCONK213	RCONK214	RCONK215	RCONK216	RCONK217	RCONK218	RCONK257	RCONK258	RCONK259	RCONK274	RCONK275	RCONK276	RCONK277	RCONK278	RCONK279	RCONK280	RCONK281	RCONK282	RCONL183	RCONL184	RCONL185	RCONL186	RCONL187	RCONL188	
	LN RSTR CMRL IND LN NUS ADR PD 30 - 	LN RSTR CMRL IND LN NUS ADR PD 90	LN RSTR CMRL IND LN NUS ADR NACRL	LN RSTR ALL OTHR LN LEASE PD 30 - 89	LN RSTR ALL OTHR LN LEASE PD 90	LN RSTR ALL OTHR LN LEASE NACRL	ITEMIZE LN FARM PD 30 - 89	ITEMIZE LN FARM PD 90	ITEMIZE LN FARM NACRL	ITEMIZE LN FINANCE AGRI FARM PD 30 -	ITEMIZE LN FINANCE AGRI FARM PD 90	ITEMIZE LN FINANCE AGRI FARM NACRL	AUTO LN TO IND HH FAM PD 30 - 89	AUTO LN TO IND HH FAM PD 90	AUTO LN TO IND HH FAM NONACCRUAL	OTHR LN TO IND HH FAM PD 30 - 89	OTHR LN TO IND HH FAM PD 90	OTHR LN TO IND HH FAM NONACCRUAL	LN RSTR CMRL IND LN PD 30 - 89	LN RSTR CMRL IND LN PD 90	LN RSTR CMRL IND LN NACRL	CREDIT CARD LN HOUSE FAMILY PD 30 - 	CREDIT CARD LN HOUSE FAMILY PD 90	CREDIT CARD LN HOUSE FAMILY NACRL	ITEMIZE AUTO LN HOUSE FAMILY PD 30 -	ITEMIZE AUTO LN HOUSE FAMILY PD 90	ITEMIZE AUTO LN HOUSE FAMILY NACRL	OTHR CNSMR LN HOUSE FAMILY PD 30 - 8	OTHR CNSMR LN HOUSE FAMILY PD 90	OTHR CNSMR LN HOUSE FAMILY NACRL	PURCH CREDIT IMPR LN BAL PD 30 - 89	PURCH CREDIT IMPR LN BAL PD 90	PURCH CREDIT IMPR LN BAL NACRL	PURCH CREDIT IMPR LN CARRY PD 30 - 8	PURCH CREDIT IMPR LN CARRY 90	PURCH CREDIT IMPR LN CARRY NACRL	
37													145	0	27	21	16	3																			
242													14	38	0	39	0	0																			
279													11	0	0	57	0	6																			
354													7	0	35	3	0	0																			
457													11	10	0	76	0	3																			
505													0	0	0	132	0	0																			
1155													6	0	0	33	0	0																			
1351													322	39	246	67	0	38													0	0	0	0	0	0	
1454													45	0	0	1	0	0																			
1669													345	12	90	364	69	56																			
1856													25	0	0	1	0	0																			
2161				5	0	2044	0	0	2044	0	0	0	0	0	12	16	0	0	0	0	22	0	0	0	0	0	0	5	0	0							
2732													0	0	0	0	0	0																			
2750													0	0	0	0	0	0																			
3252													47	0	20	170	0	80																			
3458													33	0	0	10	0	0																			
3720													34	0	0	59	15	10																			
3971													0	0	0	3	0	1																			
4156													0	0	0	3	0	1																			
4231													20	0	6	68	0	2																			
5069													0	0	0	0	0	0																			
5135													27	8	3	158	66	41																			
5210													74	0	0	236	0	0																			
5461													0	0	0	194	0	0																			
5751													3	0	0	1	0	0																			
6039				0	0	0	0	0	0	0	0	0	46	0	4	45	7	21	0	0	0	0	0	0	0	0	0	0	0	0							
6329	0	0	0	0	0	0	0	0	0	0	0	0	5678	3	1057	1172	3	127	0	0	0	0	0	0	0	0	0	0	0	0							
7009													0	0	0	0	0	0																			
7045				0	0	0	0	0	0	0	0	0	121	0	213	47	0	41	0	0	0	0	0	0	0	0	0	0	0	0							
7072													0	0	0	0	0	0																			
7456													0	0	0	0	0	0													0	0	0	0	0	0	
7634													0	0	0	162	0	70																			
8033													67	0	9	33	0	0																			
8462													173	7	0	43	0	0																			
8631													18	1	0	42	0	11																			
9357													0	0	0	0	0	0																			
9553													0	0	0	9	0	0																			
9807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
9955													0	0	0	3	0	0																			
10250													7	0	0	9	0	0																			
10849													4	0	0	0	0	0																			
11145				0	0	0	0	0	0				12	0	5	198	0	43	0	0	0	0	0	0	0	0	0	0	0	0							
11640													6	0	8	1	0	1																			
11837													0	0	0	3	0	1																			
12030													189	3	13	334	17	7																			
12142													56	0	0	0	0	0																			
12311							0	3855	0																												
12647													0	0	0	0	0	0																			
12656													0	0	0	0	0	0																			
12946													212	23	38	316	61	87																			
13103	0	0	0	0	0	0	0	0	0	0	0	0	801	0	230	15	0	2	0	0	43	0	0	0	0	0	0	0	0	0							
13251													0	0	0	13	0	43																			
13457													0	0	0	0	0	0																			
