"IDRSSD"	RCON9999	RSSD9017	RSSD9050	RSSD9130	RSSD9200	RSSD9220	
	MICR9999REPORT DATE	NM_LGL	ID_FDIC_CERT	CITY	STATE_ABBR_NM	ZIP CODE	
37	20160630	Bank of Hancock County	10057	Sparta	GA	31087	
242	20160630	First Community  Bank, Xenia-Flora	3850	Xenia	IL	62899	
279	20160630	MINEOLA COMMUNITY BANK S. S. B.	28868	MINEOLA	TX	75773	
354	20160630	Bison State Bank	14083	Bison	KS	675200328	
457	20160630	LOWRY STATE BANK	10202	LOWRY	MN	56349	
505	20160630	Ballston Spa National Bank	6959	Ballston Spa	NY	12020	
1155	20160630	First State Bank & Trust Company	17639	Fremont	NE	68025	
1351	20160630	Bank of Grandin	09392	Grandin	MO	63935	
1454	20160630	Hilltop National Bank	19184	Casper	WY	82602	
1557	20160630	First State Bank, Kiowa, Kansas, The	15328	Kiowa	KS	67070	
1669	20160630	Liberty National Bank	3384	Paris	TX	754610919	
1829	20160630	Allegheny Valley Bank of Pittsburgh	6058	Pittsburgh	PA	15201	
1856	20160630	Washita State Bank	22430	Burns Flat	OK	73624	
2040	20160630	Farmers and Merchants Bank	13046	Tomah	WI	54660	
2161	20160630	LAMAR NATIONAL BANK	23597	PARIS	TX	75460	
2376	20160630	Oritani Bank	28866	Twp of Washington	NJ	76761329	
2554	20160630	State Bank Of Marietta	18525	Marietta	MN	56257	
2732	20160630	Albany Bank and Trust Co NA	17230	Chicago	IL	60625	
2750	20160630	GENOA COMMUNITY BANK	5408	GENOA	NE	68640	
3177	20160630	Ocean City Home Bank	30273	Ocean City	NJ	08226	
3252	20160630	FIRST NATIONAL BANK OF GORDON	5410	GORDON	NE	69343	
3458	20160630	FARMERS BANK OF GREEN CITY	16103	GREEN CITY	MO	63545	
3720	20160630	Bank of Clarendon	15671	Manning	SC	29102	
3971	20160630	Midcountry Bank	28865	Marion	IL	62959	
4156	20160630	Kanza Bank	13157	Kingman	KS	67068	
4231	20160630	FARMERS AND MERCHANTS BANK	16440	SYLVANIA	GA	30467	
4839	20160630	ABC BANK	11694	Chicago	IL	60644	
5069	20160630	First Credit Bank	24332	West Hollywood	CA	90069	
