"IDRSSD"	RCON5562	RCON5563	RCON5564	RCON5565	RCON5566	RCON5567	RCON5568	RCON5569	RCON5570	RCON5571	RCON5572	RCON5573	RCON5574	RCON5575	RCON5576	RCON5577	RCON5578	RCON5579	RCON5580	RCON5581	RCON5582	RCON5583	RCON5584	RCON5585	RCON5586	RCON5587	RCON5588	RCON5589	RCON6860	RCON6999	
	# OF LNS SECD BY NONFM NONRES PROPS	# OF C&I LNS TO U.S. ADDRESSEES	# PERMNT MTG LNS AMTS $100,000 OR LS	OTSTG BAL PRMT MTG LS $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LNS > $250,000 THRU $1 MILLION	OTSTD BAL > $250,000 THRU $1 MILLION	# NONMTG CML LNS AMTS $100,000 OR LS	OTSTG BAL NONMTGE LNS $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LNS > $250,000 THRU $1 MILLION	OTSTG BAL > $250,000 THRU $1 MILLION	NO OF LNS RPTD ON LINES: ITEM NO 260	# OF LS RPTD LINES: ITMS 300,303&306	# LS SCD PRIM BY FRMS $100,000 OR LS	OTST BL SCD PR BY FMS $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LOANS > $250,000 THRU $500,000	OTSTDG BAL > $250,000 THRU $500,000	# LNS TO FIN AGR PRDT $100,000 OR LS	OTST BAL FIN AGR PRDT $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LOANS > $250,000 THRU $500,000	OTSTDG BAL > $250,000 THRU $500,000	AGRICLTRL LNS TO SMALL FARMS INDCTR	LOANS TO SMALL BUSINESSES INDICATOR	
37	94	69	0	0	0	0	0	0	0	0	0	0	0	0			8	321	4	527	0	0	5	129	1	124	1	403	false	true	
242	69	104	0	0	0	0	0	0	0	0	0	0	0	0	67	84	0	0	0	0	0	0	0	0	0	0	0	0	true	true	
279			40	1642	23	3195	10	4162	115	1294	5	820	3	433	6	20													true	false	
354			0	0	0	0	0	0	5	45	0	0	2	373			8	422	6	743	0	0	16	364	3	257	0	0	false	false	
457			8	369	10	1457	5	1709	43	1066	11	951	11	3948			22	764	10	1554	5	1101	52	1223	9	869	10	2797	false	false	
505			15	904	31	3935	40	17394	123	4041	32	3322	17	6660															false	false	
1155			54	1837	43	5504	42	13031	161	3936	38	4319	38	10856			13	532	10	1390	4	1018	40	933	11	1165	11	2717	false	false	
1351			117	3306	18	2403	17	5681	255	4211	26	3206	15	4582			65	2883	24	3238	8	2296	138	2448	11	1317	0	0	false	false	
1454			68	2337	71	7935	37	13214	426	7282	48	5453	26	6273			13	583	9	1526	2	448	54	1258	5	728	2	544	false	false	
1557	28	99															26	1017	17	2398	15	5260	245	5235	28	3437	24	8225	false	true	
1669			71	2093	21	2977	14	5672	194	2980	19	1434	14	3387			2	19	3	236	0	0	116	1346	1	50	3	280	false	false	
1829			60	2046	44	6082	69	26492	161	4551	37	3511	32	7184															false	false	
1856			7	254	1	114	0	0	32	885	32	3974	6	1745			5	243	1	50	1	381	17	122	2	179	0	0	false	false	
2040			41	2451	34	6110	48	21502	75	2367	10	911	19	6244			8	495	5	897	5	1447	20	262	2	101	3	1254	false	false	
2161			86	1472	5	766	0	0	914	4022	26	4163	10	4271			5	59	0	0	0	0	219	1345	4	796	2	691	false	false	
2376			7	399	48	8302	243	112898	34	1798	4	401	6	1345															false	false	
2554	3	20	0	0	0	0	0	0	0	0	0	0	0	0	30	39	0	0	0	0	0	0	0	0	0	0	0	0	true	true	
