"IDRSSD"	RCON0352	RCON2202	RCON2203	RCON2210	RCON2213	RCON2215	RCON2216	RCON2236	RCON2343	RCON2365	RCON2377	RCON2385	RCON2520	RCON2530	RCON5590	RCON6648	RCON6810	RCON6835	RCONA241	RCONA243	RCONA579	RCONA580	RCONA581	RCONA582	RCONA584	RCONA585	RCONA586	RCONA587	RCONB549	RCONB550	RCONB551	RCONB552	RCONF233	RCONJ472	RCONJ473	RCONJ474	RCONK219	RCONK220	RCONK221	RCONK222	RCONK223	RCONP752	RCONP753	RCONP754	RCONP755	RCONP756	RCONP757	RCONP758	RCONP759	
	OTH NONTRANSACTION SAVINGS DEPOSITS	TOT TRANSACTION ACCTS-US GOVERNMENT	TOT TRANSACT ACCTS-STS&POL SUB IN US	TOTAL DEMAND DEPOSITS	TOT TRANS ACCTS-BKS IN FGN COUNTRIES	TOTAL TRANSACTIONS ACCOUNTS	TOT TRANS ACCTS-FGN GOVTS&OFFCL INST	NONTRANS DPS OF BKS IN FGN COUNTRIES	BROKERED DEPS LT 100000	TOTAL BROKERED DEPOSITS	TOT NONTRANS ACCTS-FGN GOVTS&OFFCL I	TOTAL NONTRANSACTION ACCOUNTS	TOT NONTRANSACTION ACCTS-US GOVT	TOT NONTRANSACTION ACCTS-STS&POL SUB	PREFERRED DEPOSITS	TIME DEPOSITS LT 100000	AMT OUTSTDG IN MONEY MARKET DEP ACCT	IRA AND KEOGH PLAN ACCOUNTS	TM DEPS LT 100000 MAT LESS 1 YR	BROKERED DEPS LT 100000 MAT LE 1 YR	TM DEPS LT 100000 MAT/REPRCE LE 3 MO	TM DEPS LT 100000 MAT/REPRCE 3-12 MO	TM DEPS LT 100000 MAT/REPRCE 1-3 YR	TM DEPS LT 100000 MAT/REPRCE GT 3 YR	TM DEPS GE 100000 MAT/REPRCE LE 3 MO	TM DEPS GE 100000 MAT/REPRCE 3-12 MO	TM DEPS GE 100000 MAT/REPRCE 1-3 YR	TM DEPS GE 100000 MAT/REPRCE GT 3 YR	TRANSACTION ACCTS: IPC DEPOSITS	NONTRANSACTION ACCTS: IPC DEPOSITS	TRANSACTION ACCT: CB'S & DI'S IN U.S	NONTRANSACT ACCT: CB'S & DI'S IN U.S	IRA KEOGH IN MEM ITEM 2.C	BROKERED DEPS LT 100K GE 250K	TIME DEPOSITS EQ 100K LE 250K	TIME DEPOSITS GT 250K	BRKRD DEP 100000 - 250000 MAT LE 1 Y	BRKRD DEP GT 250000 MAT LE 1 YR	TIME DEP 100000 - 250000 MAT LE 1 YR	TIME DEP GT 250000 MAT LE 1 YRDEP	EST DEP LISTING SERVICE NOT BROKERED	OFFR CONSUM DEP ACT INDIV HSHLD FMLY	NONINTR TRN ACCTS INDIV HSHLD FMLY	INTR TRN ACCTS INDIV HSHLD FMLY	DEP OTHR TRNS ACCTS INDV PRTNRS CRPS	MMDA DEPS PRIMRLY INDIV HSHLD FAMLY	OTHR MMDA INDIV PRTNRS CORPS	OTHR SVGS DEPS IND HSHLD FAMILY USE	OTHR SVGS DEPS IND PRTNRS AND CORPS	
37	8023	0	7020	15215	0	23983	0	0	0	0	0	44334	0	437		23474	3414	4178	11250	0	2893	8357	9098	3126	1143	3653	3335	1291	16963	43897	0	0	433	0	9074	348	0	0	4796	0	0	true								
242	4957	0	478	6847	0	12683	0	0	0	0	0	17094	0	2413		4840	2911	1722	3078	0	869	2209	1194	568	1451	2017	570	348	12205	14681	0	0	239	0	2235	2151	0	0	1317	2151	0	true								
279	30606	0	0	10133	0	33954	0	0	0	0	0	105598	0	0		31259	2103	12811	19812	0	6329	13483	10326	1121	5270	19193	16103	1066	33954	105598	0	0	5052	0	35907	5725	0	0	20911	3551	0	true								
354	1724	0	170	2525	0	2525	0	0	0	0	0	5913	0	1061		2319	1462	0	2319	0	277	2042	0	0	308	100	0	0	2355	4852	0	0	0	0	408	0	0	0	408	0	0	false								
457	5462	0	457	5737	0	8683	0	0	0	0	0	25050	0	2186		7046	9788	2088	5497	0	1495	4002	1097	452	1035	1016	361	344	8226	22864	0	0	644	0	2756	0	0	0	2050	0	0	true								
505	158270	0	5017	14346	0	24890	0	0	0	0	0	318981	0	89602		22840	126194	5790	17878	0	4864	13014	3834	1128	5173	5019	1032	453	19873	229379	0	0	1890	0	8132	3545	0	0	6897	3295	0	true								
1155	760	2	4742	26927	0	112878	0	0	0	0	0	62526	0	1383		32723	9821	11349	19086	0	18404	8700	4009	1610	9176	6846	2365	835	107981	61143	153	0	4511	0	14371	4851	0	0	9678	2446	0	true								
1351	5719	0	9176	17045	0	31662	0	0	0	0	0	99178	0	6063		41444	17601	9349	31472	0	8875	22597	9972	0	5728	19634	9052	0	22486	93115	0	0	3671	0	26041	8373	0	0	19789	5573	0	false								
1454	1002	0	13420	198229	0	330608	0	0	0	0	0	405308	1028	28926		44791	298297	26615	28091	0	15274	16368	8877	4272	37683	14837	4150	4548	317188	375354	0	0	8453	0	19412	41806	0	0	13626	13979	0	true								
