"IDRSSD"	RCONC978	RCONF164	RCONF165	RCONG401	RCONG402	RCONG403	RCONG404	RCONG405	RCONG406	RCONG407	RCONG408	RCONG409	RCONG410	RCONG411	RCONG412	RCONG413	RCONG414	RCONG415	RCONG416	RCONG417	RCONG418	RCONG422	RCONG423	RCONG427	RCONG428	RCONG432	RCONG433	RCONG437	RCONG453	RCONG457	RCONG458	RCONG462	RCONHT72	RCONJ455	RCONJ456	RCONJ457	RCONJ458	RCONJ459	TEXT3555	TEXT3556	TEXT3557	TEXT5592	TEXT5593	TEXT5594	TEXT5595	
	STNDBY LTRS OF CRD ISSD BY FHLB BK B	1-4  FAM RES CNSTRCTN LN COMMITMNTS	CMRL RE OTHR CNSTRCTN LN & LND DEV L	NTL AMT REG CAP CVRD MRR SL PRTC	NTL AMT REG CAP CVRD MRR PURC PRTC	NTL AMT REG CAP OTHR SL PRTC	NTL AMT REG CAP OTHR PRTC REG CAP	NTL REG CAP OTHR PRTC NOT REG CAP	NTL SL CR PRTC INV MAT LE 1 YR.	NTL SL CR PRTC INV MAT 1T5 YR	NTL SL CR PRTC INV MAT GT 5 YR	NTL SL CR PRTC SUBINV MAT LE 1 YR.	NTL SL CR PRTC SUBINV MAT 1T5 YR	NTL SL CR PRTC SUBINV MAT GT 5 YR	NTL PURC CR PRTC INV MAT LE 1 YR.	NTL PURC CR PRTC INV MAT 1T5 YR	NTL PURC CR PRTC INV MAT GT 5 YR	NTL PURC CR PRTC SUBINV MAT LE 1 YR.	NTL PURC CR PRTC SUBINV MAT 1T5 YR	NTL PURC CR PRTC SUBINV MAT GT 5 YR	OTC DRVT CR EXP BK & SCTY FIRM	OTC DRVT CR EXP CORP OTHR CNTRPRTY	OTC FV CSH USD BK & SCTY FIRM	OTC FV CSH USD CORP OTHR CNTRPRTY	OTC FV CSH OTHR CUR BK & SCTY FIRM	OTC FV CSH OTHR CUR CORP OTHR CNTRPR	OTC FV US TREAS SCTY BK & SCTY FIRM	OTC FV US TREAS SCTY CORP OTHR CNTRP	OTC FV OTHR CLTRL BK & SCTY FIRM	OTC FV OTHR CLTRL CORP OTHR CNTRPRTY	OTC FV TOTAL FV CLTRL BK & SCTY FIRM	OTC FV TOTAL FV CLTRL CORP OTHR CNTR	Unused commitments, Revolving, open	UNUSED CNSMR CR CARD LINE	OTHR UNUSED CNSMR CR CARD LINE	OTHR UNUSED CMTMT CMRL IND LN	OTHR UNUSED CMTMT LN FNCL INST	OTHR UNUSED CMTMT ALL OTHR	1ST CP OF OT OFF BALANCE SHEET LIABI	2ND CP OF OT OFF BALANCE SHEET LIABI	3RD CP OF OT OFF BALANCE SHEET LIABI	1ST ITMZD&DESCRPTN LINE CPNT OF 5591	2ND ITMZD&DESCRPTN LINE CPNT OF 5591	3RD ITMZD&DESCRPTN LINE CPNT OF 5591	4TH ITMZD&DESCRPTN LINE CPNT OF 5591	
17978	17500	7342	685																																	0	0	91				Commit's to Originate Single Family Mortgages	Commit's to Originate Multi Family Mortgages	Commit's to Originate Other Mortgages	Commit's to Originate Concumer Loans	
18050	0	4621	17418																																	3802	0	8218								
18135	0	0	0																																	7982	0	3109								
18827	0	7189	93524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	81539	0	11172								
18836	0	473	672																																	2647	0	4402								
18854	1344	31749	58423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	83538	0	14286								
19356	0	50	4091																																	1499	0	597								
19936	0	891	3312																																	11373	0	4701								
19972	0	739	0																																	0	0	0								
20053	0	1337	0																																	3263	0	4474								
20633	0	357	2652																																	5591	0	1623								
20857	0	10	450																																	3857	0	16799								
21256	0	0	0																																	57	0	46								
21359	0	51	0																																	927	0	2409								
21658	0	1788	2751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0			3359	0	3659								
22048	0	1335	7399																																	4688	0	4568								
22543	0	5722	339																																	14010	0	1108								
22552	2000	200	0																																	6637	0	6334								
22730	0	74	3557																																	3439	0	3366								
23456	0	2578	0																																	4587	0	2190								
23504	416000	2695	143387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	271	4441	502512	0	76128								
23643	0	41	3890																																	5667	0	2124								
23755	0	7625	1148																																	6658	0	717								
24006	0	13167	84905																																	63192	0	0								
24378	0	86	0																																	252	0	187								
24453	0	9006	1401																																	7543	0	1202								
24659	0	0	185																																	1730	0	1902								
24668	0	26235	17522																																	291287	0	38674								
24949	0	1356	25519																																	23601	0	9295								
25357	1000	3657	16907																																	868	0	16845								
25647	0	1094	3231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0			867	0	1006								
26176	0	0	7600																																	300	0	0								
26457	0	138	219																																	128	0	3252								
26765	180000	26330	281561																																	101690	0	23495								
27070	0	1457	7689																																	11236	0	15116								
27548	20025	4322	42094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	104845	0	12765								
27614	0	764	1542																																	3974	0	19028								
27847	0	4558	14794																																	4398	0	543								
28013	0	20039	139131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	44882	0	8609								
28152	0	421	1948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0			11011	0	5809								
28675	0	1743	2623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0			3504	0	2393								
28732	0	2076	2835																																	2516	0	2810								
29476	7750	387	1940																																	1871	0	90								
29636	0	6646	56506																																	14207	0	3848								
29878	0	822	20289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	0	0	17733								
30052	0	2543	1623																																	65	0	0								
30502	0	2647	34596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	29130	0	28046								
