"IDRSSD"	RCFD1410	RCFD1563	RCFD1590	RCFD1763	RCFD1764	RCFD2081	RCFD2107	RCFD2122	RCFD2123	RCFD2746	RCFDA247	RCFDA570	RCFDA571	RCFDA572	RCFDA573	RCFDA574	RCFDA575	RCFDB532	RCFDB533	RCFDB534	RCFDB536	RCFDB537	RCFDB538	RCFDB539	RCFDB837	RCFDC391	RCFDC779	RCFDC780	RCFDF162	RCFDF163	RCFDF585	RCFDF586	RCFDF587	RCFDF589	RCFDF597	RCFDF598	RCFDF599	RCFDF601	RCFDF608	RCFDF609	RCFDG091	RCFDG092	RCFDG093	RCFDG094	RCFDG095	RCFDG096	RCFDG097	RCFDG098	RCFDG099	RCFDG100	RCFDG101	RCFDG102	RCFDG378	RCFDK098	RCFDK137	RCFDK163	RCFDK164	RCFDK165	RCFDK167	RCFDK168	RCFDK195	RCFDK196	RCFDK203	RCFDK204	RCFDK207	RCFDK208	RCFDK209	RCFDK212	RCFDK267	RCFNK289	RCON1288	RCON1420	RCON1460	RCON1545	RCON1590	RCON1763	RCON1764	RCON1766	RCON1797	RCON2081	RCON2107	RCON2122	RCON2123	RCON2165	RCON2746	RCON5367	RCON5368	RCON5370	RCONA247	RCONA564	RCONA565	RCONA566	RCONA567	RCONA568	RCONA569	RCONA570	RCONA571	RCONA572	RCONA573	RCONA574	RCONA575	RCONB531	RCONB532	RCONB533	RCONB534	RCONB535	RCONB536	RCONB537	RCONB538	RCONB539	RCONB837	RCONC391	RCONC779	RCONC780	RCONF158	RCONF159	RCONF160	RCONF161	RCONF162	RCONF163	RCONF230	RCONF231	RCONF232	RCONF576	RCONF577	RCONF578	RCONF579	RCONF580	RCONF581	RCONF582	RCONF583	RCONF584	RCONF585	RCONF586	RCONF587	RCONF589	RCONF590	RCONF591	RCONF592	RCONF593	RCONF594	RCONF595	RCONF596	RCONF597	RCONF598	RCONF599	RCONF601	RCONG091	RCONG092	RCONG093	RCONG094	RCONG095	RCONG096	RCONG097	RCONG098	RCONG099	RCONG100	RCONG101	RCONG102	RCONG376	RCONG378	RCONJ451	RCONJ454	RCONJ464	RCONJ466	RCONJ467	RCONJ468	RCONJ469	RCONJ470	RCONJ471	RCONK098	RCONK137	RCONK158	RCONK159	RCONK160	RCONK161	RCONK162	RCONK163	RCONK164	RCONK165	RCONK166	RCONK167	RCONK168	RCONK195	RCONK196	RCONK203	RCONK204	RCONK207	RCONK208	RCONK209	RCONK212	RCONK256	RCONK267	RIADG377	
	REAL ESTATE LOANS, TOTAL	OTHER LOANS	LOANS TO FINANCE AGRICULTURAL PROD	C&I LOANS, U.S. ADDRESSEES	C&I LOANS, NON-U.S. ADDRESSEES	LNS TO FGN GOVTS & OFFICIAL INST	OBLGS OF ST&POLITICAL SUBDVS IN U.S.	TOT LNS&LEASE LESS UNEARN INC ON LNS	UNEARNED INCOME ON LOANS	LNS TO FINC COMMCL RE,CONSTRC&LD DEV	FXD&FLTG RT LNS&LEASES MAT 1 YR OR L	OTHER LNS&LEASES MAT 3 MONTHS OR LES	OTHER LNS&LEASES MAT OVER 3-12 MONTH	OTHER LNS&LEASES MAT OVR 1 - 3 YRS	OTHER LNS&LEASES MAT OVR 3 - 5 YRS	OTHER LNS&LEASES MAT OVR 5 - 15 YRS	OTHER LNS&LEASES MATURITY OVER 15 YR	LNS TO U.S. BRNCHES&AGNCIES FRGN BKS	LNS TO OTHER COMMRCL BKS IN THE U.S.	LNS TO OTH DEPSTRY INSTITNS IN U.S.	LNS TO FRGN BRNCHES OF OTH U.S. BNKS	LNS TO OTH BNKS IN FOREIGN COUNTRIES	CREDIT CARDS LOANS	OTHER REVOLVING CREDIT PLAN LOANS	LNS SEC BY REAL ESTATE NON-US	OTSTDNG CRED CD FEES & FIN CHGS	PURCHD IMPAIRED LNS, ETC.-OUTSTDING 	PURCHD IMPAIRED LNS, ETC.-CARRYING A	LEASE TO INDVDL FOR HSEHLD, FMLY & P	ALL OTHR LEASE FINANCING RECEIVABLES	CMRCL IND LN MEAS AT FV	LN TO INDV FOR HH FAM PERS EXPND	LN TO INDV FOR HH EXPND OTHR CRDT PL	OTH LN MSRD AT FV	UNPD PRIN BAL OF CMRL IND LN	UNPD PRIN BAL OF LN IND HH FAM AND O	UNPD PRIN BAL OF LN IND HH FAM AND O	UNPD PRIN BAL OF OTHR LN	LN SEC BY REAL ESTATE	UNPD PRIN BAL OF LN SEC BY REAL EST	FV LN LEASE ACQUISITION LN SCTY BY R	GROSS CONTRACT RCVBL LN SCTY BY RE	BEST EST AT ACQUISITION DT LN SCTY B	FV LN LEASE ACQUISITION CMRL AND IND	GROSS CONTRACT RCVBL CMRL AND IND LN	BEST EST AT ACQUISITION DT CMRL IND 	FV LN LEASE ACQUISITION LN TO IND HH	GROSS CONTRACT RCVBL LN TO IND HH FM	BEST EST AT ACQUISITION DT LN TO IND	FV LN LEASE ACQUISITION ALL OTHR	GROSS CONTRACT RCVBL ALL OTHR LN LEA	BEST EST AT ACQUISITION DT ALL OTHR 	PLDG LN AND LEASE	LN RSTRCT HOUSE FAMILY CREDIT CARD	LN TO IND HH OTHR AUTO LN	LN RSTRCT DBT CMRL US ADR	LN RSTRCT DBT CMRL NONUS ADR	LN RSTRCT DBT RSTRCT ALL OTHR LN	ITEMIZE DBT RSTRCT LN DI ACPTNCE OTH	ITEMIZE DBT RSTRCT LN FI AGRI	UNPD PRIN BAL LN IND HH AUTO LN	AUTO LN FV INDV HH FAM PERS EXPND	LN RSTRCT HOUSE FAMILY AUTO LN	LN RSTRCT HOUSE FAMILY OTHR CNSMR LN	LN TO IND HH OTHR AUTO LN	OTHR CNSMR LN FV INDV HH FAM PERS	UNPD PRIN BAL LN IND HH OTHR CNSMR L	LN RSTRCT DBT FRGN GVT OFFICIAL	OBLG ST POLITC SUBS IN US	LN RSTRCT TRBL DBT LN SCD RE FRNG	LOANS TO DI'S & ACCEPT OTHR	R.E. LOANS-FARMLAND	R.E. LOANS MULTI-FAMILY	LOANS FOR PURCHASING SECURITIES	LOANS TO FINANCE AGRICULTURAL PROD	C&I LOANS, U.S. ADDRESSEES	C&I LOANS, NON-U.S. ADDRESSEES	C&I LOANS	REVOLVING, OPEN-END LNS SECD BY 1-4F	LNS TO FGN GOVTS & OFFICIAL INST	OBLGS OF ST&POLITICAL SUBDVS IN U.S.	TOT LNS&LEASE LESS UNEARN INC ON LNS	UNEARNED INCOME ON LOANS	LEASE FINANCING RECEIVABLES	LNS TO FINC COMMCL RE,CONSTRC&LD DEV	ALL OTH LNS SECD BY 1-4FMLY-1ST LIEN	ALL OTH LNS SECD BY 1-4FMLY-JR LIENS	ADJTBL RATE CLOSED-END LNS SECD BY 1	FXD&FLTG RT LNS&LEASES MAT 1 YR OR L	CLSD-END LNS SECD 1ST LIENS 3 MOS LE	CLSD-END LNS SECD 1ST LIENS OV3-12 M	CLSD-END LNS SECD 1ST LIENS OV 1-3 Y	CLSD-END LNS SECD 1ST LIENS OV 3-5 Y	CLSD-END LNS SECD 1ST LIENS OVR 15 Y	LOANS SECD BY RE MAT OVER 15 YEARS	OTHER LNS&LEASES MAT 3 MONTHS OR LES	OTHER LNS&LEASES MAT OVER 3-12 MONTH	OTHER LNS&LEASES MAT OVR 1 - 3 YRS	OTHER LNS&LEASES MAT OVR 3 - 5 YRS	OTHER LNS&LEASES MAT OVR 5 - 15 YRS	OTHER LNS&LEASES MATURITY OVER 15 YR	LOANS TO COM BANKS IN THE U.S.-DERV	LNS TO U.S. BRNCHES&AGNCIES FRGN BKS	LNS TO OTHER COMMRCL BKS IN THE U.S.	LNS TO OTH DEPSTRY INSTITNS IN U.S.	LOANS TO BNKS IN FGN COUN - DERIVED	LNS TO FRGN BRNCHES OF OTH U.S. BNKS	LNS TO OTH BNKS IN FOREIGN COUNTRIES	CREDIT CARDS LOANS	OTHER REVOLVING CREDIT PLAN LOANS	LNS SEC BY REAL ESTATE NON-US	OTSTDNG CRED CD FEES & FIN CHGS	PURCHD IMPAIRED LNS, ETC.-OUTSTDING 	PURCHD IMPAIRED LNS, ETC.-CARRYING A	LN SECURED BY 1-4 FAM RES CONSTRUCTI	LN SECURED BY OTHR CNSTRCTN LN & LA 	LN SECURED BY OWNER OCCPD NONFARM NO	LN SECURED BY OTHR NONFARM NONRES PR	LEASE TO INDVDL FOR HSEHLD, FMLY & P	ALL OTHR LEASE FINANCING RECEIVABLES	TOTAL CARRY AMT OF CLS-END LN NEG AM	TOTAL MAX REMAINING NEG AMRTZ PERMIT	TOTAL AMT NEG AMRTZ ON CLS-END LN IN	LN SEC 1-4 RES PROP IN DMST OFC	LN SEC 1-4 RES PROP IN PROC OF FCLS	LN SEC CNST LAND DEV AND OTHR LAND L	LN SEC FARMLAND	RVLVG OE LN SEC 1-4 FAM RES PROP	RVLVG CLS LN SEC 1-4 FAM RES PROP	RVLVG CLS LN SEC JR 1-4 FAM RES PROP	LN SEC MLTI FMLY RES PROP	LN SEC NONFARM NON RES PROP	CMRCL IND LN MEAS AT FV	LN TO INDV FOR HH FAM PERS EXPND	LN TO INDV FOR HH EXPND OTHR CRDT PL	OTH LN MSRD AT FV	UNPD PRIN BAL OF CONS LND DEV AND OT	UNPD PRIN BAL OF LN SEC BY FRM LAND	UNPD PRIN BAL OF LN SEC RVLV CRDT	UNPD PRIN BAL OF LN SEC RVLV RES PRO	UNPD PRIN BAL OF LN SEC RVLV RES PRO	UNPD PRIN BAL OF LN SEC BY MFAM RES 	UNPD PRIN BAL OF LN SEC BY NONFRM RE	UNPD PRIN BAL OF CMRL IND LN	UNPD PRIN BAL OF LN IND HH FAM AND O	UNPD PRIN BAL OF LN IND HH FAM AND O	UNPD PRIN BAL OF OTHR LN	FV LN LEASE ACQUISITION LN SCTY BY R	GROSS CONTRACT RCVBL LN SCTY BY RE	BEST EST AT ACQUISITION DT LN SCTY B	FV LN LEASE ACQUISITION CMRL AND IND	GROSS CONTRACT RCVBL CMRL AND IND LN	BEST EST AT ACQUISITION DT CMRL IND 	FV LN LEASE ACQUISITION LN TO IND HH	GROSS CONTRACT RCVBL LN TO IND HH FM	BEST EST AT ACQUISITION DT LN TO IND	FV LN LEASE ACQUISITION ALL OTHR	GROSS CONTRACT RCVBL ALL OTHR LN LEA	BEST EST AT ACQUISITION DT ALL OTHR 	CNSTRCTN DEV & OTHR AMT LN INT RSRV	PLDG LN AND LEASE	ALL OTHR LN (EXCLUDE CONSUMER LN)	LN NDEP FNCL INST	OTHER LOANS	HECM REVERSE MTG	PROPRIETARY REVERSE MTG	EST NBR FEE PAID RFRL HECM REVERSE M	EST NBR FEE PAID PROPRIETARY REVERSE	PRIN AMT SOLD HECM REVERSE MTG	PRIN AMT SOLD PROPRIETARY REVERSE MT	LN RSTRCT HOUSE FAMILY CREDIT CARD	LN TO IND HH OTHR AUTO LN	LN RSTRCT DBT CNST LAND DEV 1-4 FAM 	LN RSTRCT DBT CNST LAND DEV OTHR CNS	LN RSTRCT DBT CNST LAND DEV MULTI NO	LN LAND DEV NFARM NRES SCD OWN OCC N	LN DBT LAND DEV NFARM NRES SCD NFARM	LN RSTRCT DBT CMRL US ADR	LN RSTRCT DBT CMRL NONUS ADR	LN RSTRCT DBT RSTRCT ALL OTHR LN	ITEMIZE DBT RSTRCT LN SCD FARM	ITEMIZE DBT RSTRCT LN DI ACPTNCE OTH	ITEMIZE DBT RSTRCT LN FI AGRI	UNPD PRIN BAL LN IND HH AUTO LN	AUTO LN FV INDV HH FAM PERS EXPND	LN RSTRCT HOUSE FAMILY AUTO LN	LN RSTRCT HOUSE FAMILY OTHR CNSMR LN	LN TO IND HH OTHR AUTO LN	OTHR CNSMR LN FV INDV HH FAM PERS	UNPD PRIN BAL LN IND HH OTHR CNSMR L	LN RSTRCT DBT FRGN GVT OFFICIAL	LN RSTRCT DBT CMRL	OBLG ST POLITC SUBS IN US	CNSTRCTN DEV & OTHR AMT INT CAP	
37																																																																							0	1114	47		1521			2903	0	0	2485	37958	0	0	0	18504	45	0	13913	1374	3538	5556	6483	1295	0	4848	4206	4367	4042	1348	0								0	0			0	0	0	328	2776	2463			0			0	0																							0	0	0	0	0	0	0	0	0	0	0	0		0		0	73							0	3461	0	0	0	0	0			0	0	0				0	0	2238			0	0	0		
242																																																																							0	3027	0		2824			1474	0	0	25	21856	0	0	0	7503	66	0	12770	406	1300	3978	308	1491	0	6851	4232	1916	1073	252	0								0	0			0	0	0	3	0	4070			0			43	0																							0	0	0	0	0	0	0	0	0	0	0	0		7503		0	5							0	1601	0	0	0	0	0			0	0	0	0			0	0	1258			0	24	0		
279																																																																							0	429	225		345			4222	380	0	81	78047	0	0	4	50024	556	93	5550	77	182	2268	1617	17028	28825	3422	2506	4259	2861	10668	4045								0	0			0	0	630	3026	1784	11408			0			0	0																							0	0	0	0	0	0	0	0	0	0	0	0		11494		30	0							0	1464	0	0	0	0	503			0	0	0				0	0	3443			0	0	0		
354																																																																							0	942	0		646			491	0	0	0	3955	0	0	0	1047	0	486	991	0	11	25	25	622	353	277	1230	328	194	735	0								0	0			0	0	0	0	89	0			0			0	0																							0	0	0	0	0	0	0	0	0	0	0	0		0		0	0							0	437	0	0	0	0	0			0	0	0	0			0	0	303			0	0	0		
457																																																																							0	5018	498		7909			6357	284	0	478	35946	0	0	0	7311	448	6575	15952	513	1478	3402	1772	140	0	5689	9090	7598	4382	557	478								0	0			0	0	201	388	2605	1565			0			0	0																							0	0	0	0	0	0	0	0	0	0	0	0		17346		0	35							0	1000	0	0	0	0	0			0	0	0	0			0	0	1849			0	0	0		
505																																																																							0	0	8388	0	0	15028	0	15028	14045	0	12468	254262	3146	0	0	120390	2222	18414	27010	3686	9528	5676	2879	37730	58747	31896	17372	22288	20968	34139	6581		0	0	0		0	0	0	378	0		0	0	4819	9603	19473	21505	0	0	0			522	1486																							0	0	0	0	0	0	0	0	0	0	0	0		118734	81	2159	81							0	5260	0	0	0	0	0	0	0	0	0	0	0			0	0	21589			0	0	0		
1155																																																																							0	9383	420		5482			36868	736	0	632	130958	0	0	0	21888	3045	466	43268	1388	2813	5930	10538	697	495	33553	12182	23639	26720	10852	626								487	195			0	0	1015	3114	19575	19746			0			223	0																							0	0	0	0	0	0	0	0	0	0	0	0		130958		374	1790							0	3622	0	1464	0	943	0			0	0	0	0			0	0	2586			0	0	0		
1351																																																																							0	10646	0		4026			14795	0	0	0	70408	0	0	0	15273	0	14933	55814	3609	10868	398	51	8	0	12803	28534	7395	4094	406	0								0	0		0	0	0	0	0	0	16116			0			811	0																							0	0	0	0	0	0	0	0	0	0	0	0		0		0	124							0	4597	0	0	0	0	2088			1003	297	0	0			397	166	4831			0	1028	143		
1454																																																																							0	6014	1852	0	5023	25957	0	25957	5494	0	0	237503	962	0	0	93550	2734	1566	32656	3694	2396	3873	3269	58117	22179	22033	8189	27885	37757	39697	9144		0	0	0		0	0	0	1144	0		0	0	97	8396	35126	25544	0	0	0			0	0																							0	0	0	0	0	0	0	0	0	0	0	0		0	71	0	71							0	19152	0	0	0	0	0	0	0	0	0	0	0			0	0	8311			0	0	0		
