"IDRSSD"	RCFD0010	RCFD0022	RCFD0070	RCFD0082	RCFD0090	RCON0010	RCON0020	RCON0070	RCON0080	RCON0082	RCON0090	
	CASH AND DUE FROM DEPOSITORIES	CASH & CASH ITEMS IN PROCESS OF COLL	BALANCES WITH BKS IN FGN COUNTRIES	BALANCES DUE FROM DEPOSITORY INSTITU	BALANCES WITH F. R. BKS (COML BK BOO	CASH AND DUE FROM DEPOSITORIES	CASH ITEMS IN PROCESS OF COLLECTION	BALANCES WITH BKS IN FGN COUNTRIES	CURR&COIN (U.S. & FGN) VAULT CASH	BALANCES DUE FROM DEPOSITORY INSTITU	BALANCES WITH F. R. BKS (COML BK BOO	
88231						44565	16	0	2850	9394	32305	
88240												
88259												
88352												
88455												
88950												
89032												
89135												
89854												
89957												
90047												
90177												
90328												
90337						95705	4	0	5358	7937	82406	
90579												
91615												
91754						20826	0	0	1011	138	19677	
91950												
92144												
92676						6680	3182	0	1966	1051	481	
92706												
92902												
93244												
93543												
93619												
94139												
94522												
94755												
94858												
95051												
95677												
96553												
97055												
97279												
97457												
97804												
97943												
98351												
98463						49018	8221	0	4330	16112	20355	
98717												
99143												
99255												
99376						356086	4745	0	936	109960	240445	
99442												
99536												
99853												
100236												
100357												
100562						227533	62924	0	56262	4355	103992	
100777												
100843												
101019	224700	18843	78291	1861	125705	194700	16511	48291	2332	1861	125705	
101037						52148	8017	0	10794	3698	29639	
101439												
101671						17396	34	0	4824	5377	7161	
101738												
101952												
102155												
102333												
102342												
102539												
102557												
102874												
103134												
103255						159808	22865	0	56406	3837	76700	
103563												
104234												
104542												
104971												
105026												
105222												
105473						52134	14072	0	13316	3649	21097	
105530												
106359						85165	17519	0	22217	40672	4757	
106452												
106676												
107244						290672	1147	0	58824	221995	8706	
107459												
107570												
107758												
108072												
108269												
108652												
108746												
108951												
109136												
109154												
109453												
109574												
109659												
110413						85008	0	0	2176	25287	57545	
110936												
110945												
110972												
111157												
111205												
111661												
111942												
111979												
112163						51235	3910	0	18984	22307	6034	
112332												
112444												
112510												
112556												
112837	63273007	3184938	21921	53337335	6728813	63272927	496867	21841	2688071	53337335	6728813	
113003												
113030												
113441												
113601												
113740						12368	3546	0	3005	4677	1140	
113937												
114149												
114251												
114260						108557	1	0	20978	859	86719	
114457												
114774												
114840												
114859												
115146												
115575												
116358												
116554												
116741												
117038												
117074												
117458												
117672												
117775												
118156												
118660												
118736												
119153						6747	4628	0	1667	382	70	
119528												
119779						17717	7678	0	2543	4976	2520	
119872												
120476												
120542												
120609						23359	665	0	3955	10132	8607	
120953												
121642						145197	0	0	24099	106735	14363	
121651												
121679												
121914												
122153												
122546												
122854						131834	49360	0	19223	37251	26000	
123075												
123374												
123646												
124344						18844	0	0	1592	15848	1404	
124830												
125154						63345	2030	0	29257	644	31414	
125471						450106	124420	0	42830	88460	194396	
125855												
125873												
125958												
126012												
126049												
126375												
126553												
126740												
126834												
127055												
127224												
128258												
128904						259708	81046	8999	39741	33744	96178	
129349												
129358												
129479												
129732						121860	0	0	21419	14624	85817	
129853												
129910												
130345												
130541						69659	43	0	15135	51784	2697	
130813												
131034												
131173						34916	360	0	4394	5010	25152	
131436						33687	4213	0	12109	7545	9820	
131650						276759	109072	0	96564	3021	68102	
131717												
131940												
132107												
132451												
132554						77461	0	702	5951	41238	29570	
132778												
132938												
133579						7309	4	0	3747	26	3532	
133850						47280	11019	0	10712	3185	22364	
133971												
134156												
134437						29604	0	0	5108	24446	50	
134455												
134848												
135836												
135854												
136048												
136338												
136459												
136655												
137205						191563	15422	0	5111	57733	113297	
137447												
137456												
137559												
137643												
137652												
137915						250813	905	0	434	10226	239248	
138051												
138257												
138556												
139133						8886	0	0	1428	6085	1373	
139478												
139553						45317	10146	0	7550	24552	3069	
139656						198110	42586	0	21357	9522	124645	
