"IDRSSD"	RCON9999	RSSD9017	RSSD9050	RSSD9130	RSSD9200	RSSD9220	
	MICR9999REPORT DATE	NM_LGL	ID_FDIC_CERT	CITY	STATE_ABBR_NM	ZIP CODE	
17978	20130630	Elizabethton Federal Savings Bank	29904	Elizabethton	TN	37643	
18050	20130630	First National Bank of Bastrop	3091	Bastrop	TX	78602	
18135	20130630	South Central Bank, NA	19536	Chicago	IL	60607	
18377	20130630	Bally Savings Bank	34440	Bally	PA	19503	
18827	20130630	Farmers & Merchants Bank of Western Pennsylvania, N.A.	7900	Kittanning	PA	16201	
18836	20130630	CAPON VALLEY BANK	9998	WARDENSVILLE	WV	26851	
18854	20130630	Bank 7	4147	Oklahoma City	OK	73116	
19356	20130630	SECURITY BANK AND TRUST COMPANY	9881	MIAMI	OK	74354	
19730	20130630	Standard Bank and Trust Company	16606	Hickory Hills	IL	604572298	
19936	20130630	Citizens Bank of Americus, Inc.	15477	Americus	GA	31709	
19972	20130630	FARMERS BUILDING AND SAVINGS BANK	34711	ROCHESTER	PA	15074	
20053	20130630	Security Bank	10015	New Auburn	WI	54757	
20512	20130630	First National Bank of Port Allegany	7704	Port Allegany	PA	16743	
20633	20130630	MCNB Bank And Trust Co.	6803	Welch	WV	24801	
20857	20130630	Granite Falls Bank	10998	Granite Falls	MN	56241	
21256	20130630	State Bank of Burrton	16583	Burrton	KS	670200219	
21359	20130630	AMERICAN STATE BANK OF GRYGLA	22263	GRYGLA	MN	56727	
21630	20130630	Teche Bank & Trust Company	20041	St. Martinville	LA	70582	
21658	20130630	ALLIANCE BANK	12511	MONDOVI	WI	54755	
22048	20130630	UNION BANK & TRUST CO.	1753	MONTICELLO	AR	716570270	
22543	20130630	State Savings Bank	8162	Frankfort	MI	496351169	
22552	20130630	FIRST SOUTHEAST BANK	10576	HARMONY	MN	55939	
22730	20130630	West Union Bank	2452	West Union	WV	26456	
22936	20130630	Farmers & Merchants Bank	16673	Statesboro	GA	304592789	
23045	20130630	West Michigan  Bank & Trust	24471	Frankfort	MI	49635	
23456	20130630	The First National Bank of Henning	5162	Henning	MN	565510096	
23504	20130630	Bridgehampton National Bank	6976	Bridgehampton	NY	11932	
23643	20130630	Commercial Bank & Trust Company	90	Monticello	AR	71655	
23755	20130630	First National Community Bank	5357	New Richmond	WI	54017	
24006	20130630	Putnam County Savings Bank	15995	Brewster	NY	105090417	
24378	20130630	Galion Building and Loan Bank	32307	Galion	OH	44833	
24453	20130630	ROCKY MOUNTAIN BANK	24334	JACKSON	WY	83001	
24659	20130630	PRODUCE STATE BANK	10178	HOLLANDALE	MN	56045	
24668	20130630	BANK TEXAS, NATIONAL ASSOCIATION	3402	QUITMAN	TX	757831675	
24855	20130630	First National Bank Of Nash, The	4155	Nash	OK	73761	
24949	20130630	THE BARABOO NATIONAL BANK	12788	BARABOO	WI	53913	
25357	20130630	All America Bank	20093	Mustang	OK	73064	
25647	20130630	FirstSecure Bank and Trust Co	22536	Palos Hills	IL	60465	
26176	20130630	Broadway Federal Bank, F.S.B	30306	Los Angeles	CA	90010	
26242	20130630	Integrity First Bank, National Association	18979	Mountain Home	AR	726541928	
26457	20130630	La Monte Community Bank	16423	La Monte	MO	65337	
26765	20130630	Vantage Bank Texas, National Association	3405	San Antonio	TX	78279	
26859	20130630	OMNIBANK, N.A.	17325	HOUSTON	TX	77021	
27070	20130630	Time Federal Savings Bank	29294	Medford	WI	54451	
27548	20130630	Blackhawk Bank	14078	Beloit	WI	53511	
27614	20130630	The Andover Bank	10663	Andover	OH	440031300	
27847	20130630	DIAMOND BANK	1527	MURFREESBORO	AR	71958	
28013	20130630	Northfield Bank	28710	Staten Island	NY	10314	
28152	20130630	Harvest Bank	11415	Kimball	MN	55353	
28255	20130630	The First National Bank of Beeville	3095	Beeville	TX	78102	
28349	20130630	ALLIED BANK	91	MULBERRY	AR	72947	
28406	20130630	Blue Hills Bank	90160	Hyde Park	MA	021369935	
28572	20130630	Columbia Savings Bank	32284	Cincinnati	OH	45220	
28675	20130630	Cumberland Federal Bank, Fsb	29293	Cumberland	WI	54829	
28732	20130630	Peoples Bank & Trust Co	1475	Manchester	TN	37355	
29104	20130630	UNION CENTER NATIONAL BANK	6431	UNION	NJ	07083	
29476	20130630	Corning Savings And Loan Association	31711	Corning	AR	72422	
29636	20130630	The Citizens Bank	12204	Philadelphia	MS	393500209	
29878	20130630	Maspeth Federal Savings And Loan Association	30303	Maspeth	NY	11378	
29953	20130630	Home State Bank	10650	Louisville	NE	68037	
30052	20130630	Amistad Bank	26658	Del Rio	TX	78840	
30418	20130630	College Savings Bank	27041	Princeton	NJ	08540	
30502	20130630	NORTHWAY BANK	14240	BERLIN	NH	3570	
30650	20130630	Lake Community Bank	8193	Long Lake	MN	55356	
30810	20130630	Discover Bank	5649	New Castle	DE	19720	
30874	20130630	Fox Chase Bank	28888	Hatboro	PA	19040	
31134	20130630	First National Bank Of Waynesboro, The	2160	Waynesboro	GA	30830	
31255	20130630	Central Bank	17612	Houston	TX	77041	
31657	20130630	First State Bank of Ben Wheeler, Texas	11904	Ben Wheeler	TX	75754	
31826	20130630	POWELL VALLEY NATIONAL BANK	6863	JONESVILLE	VA	242630100	
31835	20130630	BANK OF ANGUILLA	8243	ANGUILLA	MS	38721	
32234	20130630	First National Bank & Trust Company	3639	Clinton	IL	61727	
32766	20130630	LAKESIDE NATIONAL BANK	21693	ROCKWALL	TX	75032	
32971	20130630	Security Federal Savings Bank	28894	Logansport	IN	46947	
33147	20130630	Farmers Bank & Trust Co.	1027	Blytheville	AR	723150688	
33259	20130630	Premier Bank	21714	Maplewood	MN	55109	
33268	20130630	THE ROSCOE STATE BANK	1213	ROSCOE	TX	795450609	
33370	20130630	Home Savings Bank, Fsb	31723	Ludlow	KY	41016	
33754	20130630	Farmers State Bank	10712	Bertram	TX	78605	
33839	20130630	Peoples State Bank of Colfax	10075	Colfax	IL	617280527	
33857	20130630	FRONTIER BANK	15545	MADISON	NE	687480610	
34153	20130630	American Bank of St. Paul	20843	St. Paul	MN	551162824	
34359	20130630	BANK OF MARQUETTE	05436	MARQUETTE	NE	68854	
34425	20130630	Bank of Lancaster	11200	Kilmarnock	VA	22482	
34434	20130630	MAGNOLIA STATE BANK	22081	BAY SPRINGS	MS	394220580	
34452	20130630	First National Bank of Park Falls	5358	Park Falls	WI	54552	
34537	20130630	Seacoast National Bank	131	Stuart	FL	349959012	
34555	20130630	MACON-ATLANTA STATE BANK	14695	MACON	MO	635520128	
34742	20130630	First Western Bank	13083	Booneville	AR	729270238	
34836	20130630	THE WOODBURY BANKING COMPANY	11297	WOODBURY	GA	30293	
35057	20130630	Alliant Bank	1946	Madison	MO	65263	
35301	20130630	State Street Bank and Trust Company	14	Boston	MA	02110	
35570	20130630	Investors Bank	28892	Short Hills	NJ	07078	
35646	20130630	BONDUEL STATE BANK	11235	BONDUEL	WI	54107	
35842	20130630	Premier Bank Of Jacksonville	10868	Jacksonville	IL	62650	
35879	20130630	East Wisconsin Savings Bank, S.A.	30313	Kaukauna	WI	54130	
36456	20130630	Farmers State Bank	15907	Maywood	NE	69038	
36933	20130630	First State Bank	19163	Wrens	GA	30833	
37051	20130630	PIGEON FALLS STATE B ANK	13030	PIGEON FALLS	WI	547600489	
37341	20130630	Bank Of Ontario	21085	Ontario	WI	54651	
37435	20130630	United Bank	172	Zebulon	GA	30295	
37640	20130630	GERMAN AMERICAN BANCORP	17393	JASPER	IN	47547	
37659	20130630	FARMERS STATE BANK	12758	ALLEN	OK	748250467	
37743	20130630	Calumet County Bank	11607	Brillion	WI	54110	
37949	20130630	Bank of Rantoul	11711	Rantoul	IL	61866	
38740	20130630	Owen County State Bank	13112	Spencer	IN	47460	
39327	20130630	Calvin B. Taylor Banking Company of Berlin, Maryland	5874	Berlin	MD	218110005	
39420	20130630	THE LORAIN NATIONAL BANK	14832	Lorain	OH	440521769	
39475	20130630	AmericanWest Bank	22441	Spokane	WA	99201	
39756	20130630	NBC Oklahoma	4032	Oklahoma City	OK	73156	
40033	20130630	Richton Bank & Trust Company	11817	Richton	MS	39476	
40350	20130630	MURRAY STATE BANK	10653	MURRAY	NE	684090076	
40707	20130630	Connecticut River Bank, N.A.	6209	Springfield	VT	05156	
40855	20130630	Eitzen State Bank	10980	Caledonia	MN	55921	
41245	20130630	Farmers   Merchants Bank of Orfordville	15173	Orfordville	WI	53576	
41553	20130630	First State Bank	12283	Anadarko	OK	73005	
41629	20130630	PIONEER  BANK	6913	Stanley	VA	22851	
41759	20130630	FARMERS STATE BANK OF ELKTON	1416	ELKTON	MN	55933	
41825	20130630	Middletown Valley Bank	14017	Middletown	MD	217690075	
41937	20130630	FARMERS STATE BANK OF DANFORTH	10802	DANFORTH	IL	609300168	
41955	20130630	Bank of Newman Grove	5447	Newman Grove	NE	68758	
42037	20130630	Peoples Exchange Bank of Monroe County	70	Monroeville	AL	36461	
42055	20130630	ANADARKO BANK AND TRUST COMPANY	15354	ANADARKO	OK	73005	
42354	20130630	THE COMMERCIAL NATIONAL BANK OF BRADY	3110	BRADY	TX	768250591	
42372	20130630	First Federal Savings Bank Of Lincolnton	30315	Lincolnton	NC	28092	
42420	20130630	FIRST COMMONWEALTH BANK	7468	INDIANA	PA	157010400	
42448	20130630	FIRST NATIONAL BANK	3887	PARAGOULD	AR	72451	
42457	20130630	Commercial Bank	12246	Nelson	NE	68961	
42671	20130630	Southwest Securities, FSB	32460	Dallas	TX	75270	
43052	20130630	Security State Bank	9036	Iron River	WI	54847	
43351	20130630	Leonardville State Bank	17685	Leonardville	KS	66449	
43454	20130630	American State Bank of Erskine	10204	Erskine	MN	56535	
43744	20130630	Cambridge State Bank	14823	Cambridge	WI	53523	
43856	20130630	THE MINERS NATIONAL BANK OF EVELETH	5141	EVELETH	MN	55734	
43959	20130630	Bridge City State Bank	18155	Bridge City	TX	776110887	
44040	20130630	First National Bank Of Monterey, The	4364	Monterey	IN	46960	
44433	20130630	Intercredit Bank, National Association	25258	Miami	FL	33131	
44741	20130630	Citizens Bank	9647	Mooresville	IN	46158	
44750	20130630	Citizens Bank of Newburg	16126	Newburg	MO	65550	
44929	20130630	First National Bank	6637	McConnelsville	OH	437560208	
45038	20130630	STATE BANK OF DAVIS	5740	DAVIS	IL	61019	
45047	20130630	The First National Bank at Paris	14534	Paris	AR	72855	
45056	20130630	Platte Valley Bank	9818	North Bend	NE	686490500	
45430	20130630	Johnson County Bank	22070	Mountain City	TN	37683	
45458	20130630	Vintage Bank Kansas	17927	Leon	KS	67074	
45551	20130630	Bank Midwest	5170	Spirit Lake	IA	51360	
45560	20130630	Jefferson Bank	16470	San Antonio	TX	782010190	
45775	20130630	Iron Workers Bank	28908	Aston	PA	19014	
46053	20130630	The State Bank of Faribault	1610	Faribault	MN	55021	
46941	20130630	FARMERS BANK & TRUST COMPANY	2765	PRINCETON	KY	424450559	
47153	20130630	NORTH LOUP VALLEY BANK	16468	NORTH LOUP	NE	688590006	
47247	20130630	The Dart Bank	5033	Mason	MI	48854	
47256	20130630	Community Financial Bank	27053	Prentice	WI	54556	
47452	20130630	FIRST NATIONAL BANK OF BENTON	25065	BENTON	LA	71006	
47500	20130630	Claremont Savings Bank	18038	Claremont	NH	3743	
48057	20130630	Prairie Bank of Kansas	04775	Stafford	KS	67578	
48150	20130630	Franklin State Bank	16778	Franklin	MN	55333	
48374	20130630	First Financial Bank	28905	El Dorado	AR	71730	
48440	20130630	CLEVELAND STATE BANK	9517	CLEVELAND	WI	53015	
49054	20130630	Commerce Bank	10212	Geneva	MN	56035	
49148	20130630	RUSHVILLE STATE BANK	9265	RUSHVILLE	IL	626810050	
49241	20130630	Relyance Bank, National Association	19371	Pine Bluff	AR	71601	
49344	20130630	Mason State Bank	1001	Mason	MI	48854	
49643	20130630	Palmyra State Bank	15116	Palmyra	WI	53156	
49652	20130630	First Bank	16473	Sterling	KS	67579	
49821	20130630	High Point Bank and Trust Company	12267	High Point	NC	27261	
49858	20130630	Bank of South Texas	26727	McAllen	TX	78504	
49951	20130630	The First Security Bank	4041	Beaver	OK	739320947	
50144	20130630	State Bank of Medora	14561	Medora	IN	47260	
50461	20130630	California Pacific Bank	23242	San Francisco	CA	94104	
50546	20130630	LITTLE RIVER BANK	1298	LEPANTO	AR	72354	
50854	20130630	WILBURTON STATE BANK	2332	WILBURTON, OK  74578	OK	74578	
50872	20130630	Winchester Federal Bank	29313	Winchester	KY	40391	
50957	20130630	Alterra Bank	1149	Overland Park	KS	66221	
51253	20130630	Bank of Camden	9176	Camden	TN	38320	
51356	20130630	latimer state bank	22839	wilburton	OK	745780070	
51459	20130630	Centera Bank	16436	Sublette	KS	67877	
51730	20130630	City Bank of Hartford	22131	Hartford	AL	36344	
51842	20130630	FARMERS & MERCHANTS UNION BANK	14445	COLUMBUS	WI	53925	
52410	20130630	BARTLETT FARMERS BANK	9133	BARTLETT	OH	45713	
52719	20130630	The Depository Trust Company	90544	New York	NY	10041	
52951	20130630	Security State Bank Of Wewoka, Oklahoma	8980	Wewoka	OK	74884	
53033	20130630	Sabadell United Bank, N.A.	21837	Miami	FL	331313128	
53051	20130630	The Buckholts State Bank	11916	Buckholts	TX	76518	
53453	20130630	FIRST NATIONAL BANK IN WEWOKA	15008	WEWOKA	OK	748840750	
53752	20130630	FIRST STATE BANK, HEMPHILL, TEXAS	16182	HEMPHILL	TX	75948	
