"IDRSSD"	RCFD0071	RCFD0081	RCFD1773	RCFD2130	RCFD2143	RCFD2145	RCFD2150	RCFD2160	RCFD2170	RCFD2930	RCFD2948	RCFD3000	RCFD3123	RCFD3190	RCFD3200	RCFD3210	RCFD3230	RCFD3300	RCFD3545	RCFD3548	RCFD3632	RCFD3656	RCFD3838	RCFD3839	RCFD5369	RCFD6724	RCFDA130	RCFDB528	RCFDB529	RCFDB530	RCFDB989	RCFDB995	RCFDG105	RCFDJA22	RCFDJJ34	RCFN2200	RCFN6631	RCFN6636	RCON0071	RCON0081	RCON1773	RCON2130	RCON2143	RCON2145	RCON2150	RCON2160	RCON2170	RCON2200	RCON2930	RCON2948	RCON3000	RCON3123	RCON3190	RCON3200	RCON3210	RCON3230	RCON3300	RCON3545	RCON3548	RCON3632	RCON3656	RCON3838	RCON3839	RCON5369	RCON6631	RCON6636	RCON6724	RCON8678	RCONA130	RCONB528	RCONB529	RCONB530	RCONB987	RCONB989	RCONB993	RCONB995	RCONG105	RCONJA22	RCONJJ34	
	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	INTANGIBLE ASSETS	PREMISES&FIXED ASSETS(INCL CAP LSES)	OTHER REAL ESTATE OWNED	OTHER ASSETS	TOTAL ASSETS	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ALLL_AMT	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	DIRECT INDIRECT INV IN RE	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	AUDIT INDICATOR	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	TOT EQT CAP INC NONCTRL MINORITY INT	Equity securities with readily deter	Held to maturity securities (ASU 201	TOTAL DEPOSITS	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	INTANGIBLE ASSETS	PREMISES&FIXED ASSETS(INCL CAP LSES)	OTHER REAL ESTATE OWNED	OTHER ASSETS	TOTAL ASSETS	TOTAL DEPOSITS	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ALLL_AMT	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	DIRECT INDIRECT INV IN RE	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	AUDIT INDICATOR	FISCAL YEAR END	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	FEDERAL FNDS SOLD	SECURS PURCHSD UDR AGRMNTS TO RESELL	FEDERAL FNDS PURCD IN DOMESTIC OFFCS	SECURS SOLD UNDR AGRMNTS TO REPURCH	TOT EQT CAP INC NONCTRL MINORITY INT	Equity securities with readily deter	Held to maturity securities (ASU 201	
37																																							5104	2837	42740	0	0	287	74	1023	75753	60146	152	60298	0	994	0	0	15455	1200	75753	0	0	10826	0	0	3500	0	15137	45009	1a	1231	0	24682	23688	-71	0	0	0	0	15455		0	
242																																							2940	909	14061	0	0	253	0	424	42358	33796	28	37424	0	186	3600	0	4934	120	42358	0	0	4659	0	0	120	0	8386	25410	4	1231	0	23130	22944	35	827	0	0	0	4934		0	
279																																							14776	3734	13566	0	915	6234	24	7920	249642	200835	1224	219799	0	994	17740	0	29843	1	249642	0	0	30001	0	0	0	0	24974	175861	1a	1231	0	164745	163751	-159	1897	0	0	0	29843		36825	
354																																							1435	106	1144	0	0	51	0	155	11645	10304	7	10311	0	143	0	0	1334	100	11645	0	0	301	0	0	936	596	3652	6652	4	1231	0	6646	6503	-3	1405	0	0	0	1334		250	
457																																							495	572	3	0	0	318	86	1385	51708	40357	154	46011	0	453	5500	0	5697	60	51708	0	0	1697	0	0	3940	0	7228	33129	4	1231	0	45855	45402	0	3406	0	0	0	5697		41	
505																																							654	7686	70131	0	1667	10211	162	13656	542131	443057	3542	493229	55	5772	46630	0	48847	6480	542131	0	0	27820	0	0	18403	132	82166	360891	2a	1231	0	443304	437532	-3856	300	0	0	0	48902		0	
1155																																							15004	6373	24090	0	0	4117	980	7782	248467	223267	2062	225329	0	3573	0	0	23138	1600	248467	0	0	16656	0	0	4900	0	25225	198042	5	1231	0	186504	182931	-18	7172	0	0	0	23138	0	18	
1351																																							0	4441	7456	0	0	4597	237	1881	161528	134848	576	135424	0	1078	0	0	26104	240	161528	0	0	25407	0	0	530	0	19891	114957	4	1231	0	97279	96201	-73	6428	0	0	0	26104		40287	
1454																																							59712	15240	394406	0	0	3797	0	14634	751187	660282	3009	663291	0	3371	0	0	87896	1000	751187	0	0	88728	0	0	1214	1116	189255	471027	2b	1231	0	265653	262282	-3046	0	0	0	0	87896		0	
1669																																							16051	4984	56450	0	0	3699	0	13966	288529	240795	375	241170	0	2975	0	0	47359	800	288529	0	0	46030	0	0	800	0	57582	183213	4	1231	0	158649	155674	-271	0	0	0	0	47359		37705	
1856																																							34121	439	31406	0	98	421	0	2682	107793	63709	155	93864	0	575	30000	0	13929	500	107793	0	0	219	0	0	13732	0	3384	60325	4	1231	0	39175	38600	-522	26	0	0	0	13929		0	
2040																																							2526	2224	39349	0	0	1882	0	7564	195117	151517	1306	170856	0	2853	18030	0	24261	480	195117	0	0	19540	0	0	4270	0	20858	130659	1a	1231	0	128848	125995	-29	13979	0	0	3	24261	1598	0	
2161																																							12100	7880	16303	0	0	3783	43	5318	163791	144893	1985	146878	0	1333	0	0	16913	1000	163791	0	0	14400	0	0	1356	0	40140	104753	8	1231	0	114603	113270	157	5094	0	0	0	16913		0	
2376																																							2565	14857	35013	0	0	13039	636	176818	4073895	2933275	62376	3597624	58	28590	567051	0	476213	500	4073895	0	0	424583	0	0	62555	0	176679	2756596	2a	0630	-15437	3523978	3495388	4012	0	0	34922	0	476271	0	335579	
2554																																							1381	166	1520	0	289	223	0	227	14663	12351	26	12982	0	164	605	0	1681	50	14663	0	0	340	0	0	1350	0	3769	8582	9	1231	0	10771	10607	-59	0	0	0	0	1681		250	
2732																																							100399	6548	61683	0	1112	3237	145	4040	599616	501331	2015	503346	0	5015	0	0	96270	0	599616	0	0	90409	0	0	5789	0	118819	382512	2b	1231	0	427467	422452	72	0	0	0	0	96270		0	
2750																																							1251	838	8238	0	0	265	0	3103	62613	54224	471	55235	0	548	540	0	7377	116	62612	0	0	583	0	0	6900	0	5260	48964	4	1231	0	45943	45395	-222	3523	0	0	0	7377		0	
3252																																							1194	4879	80661	0	0	555	81	4728	192981	158760	288	166348	0	4700	7300	0	26633	200	192981	0	0	26223	0	0	300	0	33309	125451	4	1231	0	104783	100083	-90	800	0	0	0	26633		0	
3458																																							2670	1091	4194	0	0	320	0	926	55054	48337	218	50040	0	381	985	0	5015	100	55055	0	0	3809	0	0	1101	0	5715	42622	5	1231	0	41178	40797	5	387	0	0	500	5015	0	4669	
3720																																							36298	6151	76850	0	0	3626	972	10460	281228	236822	2275	242354	0	1710	0	0	38874	2400	281228	0	0	18451	0	0	18600	0	49993	186829	1b	1231	0	148545	146835	-577	0	0	0	3257	38874		36	
3971																																							38094	4992	58220	911	10396	7834	541	28815	805840	600170	12152	702691	0	1581	90369	0	103149	2	805840	0	0	1300	0	0	100966	3450	85489	514681	1b	930	0	652993	651412	881	1175	0	0	0	103149		0	
4156																																							8172	4343	38575	0	1783	6290	0	7971	222442	196108	757	199177	0	1639	1250	0	23265	1200	222442	0	0	15722	0	0	6657	0	42295	153813	4	1231	0	155407	153768	-314	1540	0	0	1062	23265		0	
4231																																							30701	987	41054	0	0	908	938	897	118527	101197	221	101418	0	737	0	0	17109	500	118527	0	0	5065	0	0	12100	0	28829	72368	2b	1231	0	43779	43042	-556	0	0	0	0	17109		0	
5069																																							41071	900	27988	0	0	42219	0	6381	436598	229437	6792	236229	0	9800	0	0	200369	4500	436598	0	0	189427	0	0	4129	0	26050	203387	1b	1231	0	327839	318039	2313	0	0	0	0	200369		0	
5135																																							36600	7283	58933	0	1042	5594	269	14474	476233	373617	2909	402972	0	5151	26446	0	73261	651	476233	0	0	48841	0	0	24391	0	79816	293801	6	1231	0	357189	352038	-622	0	0	0	0	73261	0	0	
5210																																							43285	18068	160949	2100	14953	28494	48	74889	1657502	1375652	11914	1495345	0	14020	78020	0	162157	4798	1657502	0	0	121949	0	0	43353	300	76569	1299084	2a	1231	0	1301335	1287315	-7943	0	0	0	29759	162157	1028	26073	
5461																																							20455	15736	152637	0	102	11918	0	16276	644776	574479	5589	580068	0	6139	0	0	64708	2059	644776	0	0	58474	0	0	4241	0	219291	355188	2b	1231	0	433791	427652	-66	0	0	0	0	64708		0	
5751																																							788	5539	36108	0	1207	2376	110	6534	205068	167880	1673	169553	0	2080	0	0	35514	600	205067	0	0	25691	0	0	8752	237	26276	141604	9	1231	0	145509	143429	471	8740	0	0	0	35514		0	
