"IDRSSD"	RCFDF236	RCFDF237	RCFDG465	RCFDG466	RCFDG467	RCFDG468	RCFDG469	RCFDG470	RCFDG471	RCFDG472	RCFDK652	RCFDK653	RCFDK654	RCFDK655	RCFDK656	RCFDK657	RCFDK658	RCFDK659	RCFDK660	RCFDK661	RCFDK663	RCFDK664	RCFDK665	RCFDK666	RCFDK667	RCFDK668	RCFDK669	RCFDK670	RCFDK671	RCFDK672	RCFDK673	RCFDK674	RCFDK675	RCFNF234	RCON5597	RCONA545	RCONF045	RCONF046	RCONF047	RCONF048	RCONF049	RCONF050	RCONF051	RCONF052	RCONF236	RCONF237	RCONG465	RCONG466	RCONG467	RCONG468	RCONG469	RCONG470	RCONG471	RCONG472	RCONG803	RCONJ944	RCONJ945	RCONK652	RCONK653	RCONK654	RCONK655	RCONK656	RCONK657	RCONK658	RCONK659	RCONK660	RCONK661	RCONK663	RCONK664	RCONK665	RCONK666	RCONK667	RCONK668	RCONK669	RCONK670	RCONK671	RCONK672	RCONK673	RCONK674	RCONK675	RCONK676	RCONK677	RCONK678	RCONK679	RCONK680	RCONK681	RCONK682	TEXTA545	
962854																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	6520	648	258	1	117361	7317	99744	75	223883	0	0	0	0	0	0	0	0	0	0	6438	10	309754	1	26144	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
962966																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	2826	137	256	1	79400	8030	33868	72	116350	0	0	0	0	0	0	0	0	0	0	19770	34	125052	1	10456	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
963002																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	10955	791	1912	4	173197	15197	27987	63	214051	0	0	0	0	0	0	0	0	0	0	4662	11	286336	1	26519	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
963730																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	4288	68	276	1	278427	3756	118863	84	401854	0	0	0	0	0	0	0	0	0	0	35993	45	433392	1	20730	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
963945																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	34	4	0	0	148374	2580	312632	206	461041	0	0	0	0	0	0	0	0	0	0	33384	23	529029	1	58744	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
963954																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	5038	233	258	1	68456	6435	11100	16	84852	0	0	0	0	0	0	0	0	0	0	1428	5	95969	1	8203	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
964157																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	2025	270	0	0	124395	15901	29277	58	155697	0	0	0	0	0	0	0	0	0	0	18531	32	171977	1	16855	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
964250																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	2567	228	0	0	51365	5101	10904	26	64836	0	0	0	0	0	0	0	0	0	0	1636	5	78444	1	8111	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
964344																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	13745	656	534	2	157568	16923	32912	65	204759	0	0	0	0	0	0	0	0	0	0	15784	23	237686	1	19701	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
964353																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	4379	188	0	0	23803	3054	5277	11	33459	0	0	0	0	0	0	0	0	0	0	907	3	40192	2	4562	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
964643																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	4512	193	0	0	95067	6118	18255	43	117834	0	0	0	0	0	0	0	0	0	0	1695	4	139112	1	14570	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
964700																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF		2506966	0	83690	10593	5718	16	1404397	52595	3158320	2966	4652125	0	0	0	0	0	0	0	0	0	48997	782245	677	5865923	1	471061	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
965051																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	2030	80	0	0	31618	2669	9349	23	42998	0	0	0	0	0	0	0	0	0	0	1936	4	49545	1	4582	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
965800																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	1668	79	0	0	47400	3003	16966	31	66034	0	0	0	0	0	0	0	0	0	0	5295	8	76358	1	10174	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
966348																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	5905	248	536	2	93461	8893	22030	39	121932	0	0	0	0	0	0	0	0	0	8139	1326	4	149334	1	15730	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
966722																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	9672	572	1181	4	113532	9661	41095	58	165480	0	0	0	0	0	0	0	0	0	0	3721	7	193660	1	20434	0	false	0	0	false	0	0	CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
966731																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	23518	627	6116	18	114760	11019	27787	52	172181	0	0	0	0	0	0	0	0	0	0	7356	10	208788	1	20337	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
967046																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	22024	1334	776	3	211928	20330	85011	73	319739	0	0	0	0	0	0	0	0	0	0	24246	19	392952	1	35773	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
967943																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	2857	147	259	1	45838	4911	11271	22	60225	0	0	0	0	0	0	0	0	0	0	1869	2	73293	1	8982	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
967952																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	2848	183	0	0	54381	5430	12992	21	70223	0	0	0	0	0	0	0	0	0	0	294	1	86142	1	10100	0	false	0	0	false	0	0	CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
968155																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	1927	96	0	0	53113	4512	26710	27	81750	0	0	0	0	0	0	0	0	0	0	1648	4	91062	1	7708	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
968249																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	9358	560	257	1	140610	12528	53469	71	203694	0	0	0	0	0	0	0	0	0	13395	6748	17	253491	1	21999	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
968557																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	2058	155	257	1	42225	4393	9892	21	54433	0	0	0	0	0	0	0	0	0	0	3744	7	66091	1	6010	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
968605	0	0	0	0	0	0	0	0	0	0	1814882	1	758795	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF	0	0	0	0	CONF	CONF	CONF	0	0	0	0	0	0	0	0	0	0	0											0	0	0											CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF	0	0	0	0	0	0	0		
968744																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	17661	936	4323	11	123677	11563	55657	53	201320	0	0	0	0	0	0	0	0	0	0	5465	9	240734	1	32582	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
969059																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	1926	104	0	0	56498	4569	13609	13	72033	0	0	0	0	0	0	0	0	0	0	10165	6	82271	1	9036	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
969255																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	3212	161	0	0	75559	7562	31323	56	110094	0	0	0	0	0	0	0	0	0	0	15439	24	127437	1	12311	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
969424																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	72375	3828	4081	13	404150	52879	46545	95	527151	0	0	0	0	0	0	0	0	0	0	5853	17	636413	1	32276	2099	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
969639																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	10250	416	651	2	85012	10334	43279	39	139192	0	0	0	0	0	0	0	0	0	0	1747	5	153899	1	15840	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
969741																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	4375	267	425	1	51734	6967	7561	18	64095	0	0	0	0	0	0	0	0	0	0	1559	3	72682	1	5725	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
969844																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	1925	147	0	0	58204	5338	26102	31	86232	1	0	0	0	0	0	0	0	0	0	1255	3	107378	1	8931	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
969956																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	2074	92	0	0	41341	5116	10702	23	54118	0	0	0	0	0	0	0	0	0	0	3169	6	62276	1	7257	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
970055																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	15308	688	370	1	159189	15861	61483	83	236350	0	0	0	0	0	0	0	0	0	0	12659	24	308452	1	26668	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
971070																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	4100	132	0	0	55677	4059	23519	46	83296	0	0	0	0	0	0	0	0	0	0	6855	8	105688	2	9212	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
971379																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	0	0	0	0	14141	1056	0	0	14141	0	0	0	0	0	0	0	0	0	0	0	0	15788	1	1911	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
