"IDRSSD"	RCFD0426	RCFD2150	RCFD2651	RCFD3164	RCFD3190	RCFD4088	RCFD5507	RCFD6164	RCFD6165	RCFDA590	RCFDB026	RCFDB569	RCFDB570	RCFDB571	RCFDF055	RCFDF056	RCFDF057	RCFDF058	RCFDF059	RCFDF060	RCFDF061	RCFDF062	RCFDF063	RCFDF065	RCFDJ461	RCFDJ462	RCFDJA29	RCFDK183	RCFDK192	RCFDK193	RCFDK194	RCFN5513	RCFNK260	RCON0426	RCON2150	RCON2651	RCON3164	RCON3190	RCON4088	RCON5507	RCON5508	RCON5509	RCON5510	RCON5511	RCON5512	RCON6164	RCON6165	RCONA590	RCONB026	RCONB569	RCONB570	RCONB571	RCONC979	RCONF055	RCONF056	RCONF057	RCONF058	RCONF059	RCONF060	RCONF061	RCONF062	RCONF063	RCONF064	RCONF065	RCONG463	RCONG464	RCONJ461	RCONJ462	RCONJA29	RCONK169	RCONK170	RCONK171	RCONK172	RCONK173	RCONK174	RCONK175	RCONK176	RCONK177	RCONK183	RCONK187	RCONK188	RCONK189	RCONK190	RCONK191	RCONK192	RCONK193	RCONK194	RCONL133	RCONL135	RCONN517	RCONN518	RCONN519	RCONN520	RCONN521	RCONN522	RCONN523	RCONN524	RCONN527	TE01N528	TE01N529	TE02N528	TE02N529	TE03N528	TE03N529	TE04N528	TE04N529	TE05N528	TE05N529	TE06N528	TE06N529	TE07N528	TE08N528	TE09N528	TE10N528	TEXT4087	
13103																																		4706	1395	80500	0	106638	true	4706	0	0	0	0	1395	2223	1	0	0	false	0	0	0	80500	25000	221	917	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																												www.bristolcountysavings.com	
13251																																		0	159	0	0	0		0	0	109	50	0	0	2	0	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0					0																																														www.elysianbank.net	
13457																																		0	0	0	0	0		0	0	0	0	0	0	53	0	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0					0																																														www.bankoflewellen.com	
14052																																		145	158	0	145	0		0	0	0	0	0	158	706	1	145	0			0	0	0	0	0	0	0	0	0	0	0	0	0																																																			www.lcbwi.com	
14155																																		0	279	0	0	5000	true	0	0	0	0	0	279	557	0	0	0			0	0	0	1500	3500	0	0	0	0	0	0	0	0																																																			http://www.fandcbank.com	
14650																																		0	100	0	0	0		0	0	0	0	0	100	7	0	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0					0																																														www.banklg.com	
14753																																		0	40	0	0	0		0	0	0	40	0	0	1464	1	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0					0																																														www.fsbbucklin.com	
14865																																		218	1872	0	0	0		218	0	1872	0	0	0	1465	1	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0					0																															Bank of Eastern Washington, a branch of Bank of Eastern Oregon															www.beobank.com	
14977																																		0	0	0	0	0	true	0	0	0	0	0	0	1672	2	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																												http://firstfedlfd.com	
16551																																		1909	695	5000	1458	5000		451	5	191	369	0	130	0	0	1458	0			0	0	5000	0	0	0	5000	0	0	0	0	0	0					0																														www.vacationpropertyloans.com																http://www.northviewbank.com	
16748																																		271	0	0	271	0	true	0	0	0	0	0	0	661	1	271	0			0	0	0	0	0	0	0	0	0	0	0	0	0																																																			http://www.esbanc.com	
17110																																		0	0	0	0	0	false	0	0	0	0	0	0	6370	2	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	true	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																												http://www.haverfordquality.com	
17147																																		32356	9698	126529	2934	449419	true	29422	2427	0	714	20	6537	9279	11	2934	0	true	0	0	0	126529	193100	95000	34790	0	0	0	0	0	0	0	true	false	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													Lafayette Bank & Trust, A Division of First Merchants Bank		First Merchants Private Wealth Advisors, A Division of First Merchants Bank													http://www.firstmerchants.com	
17259																																		0	133	0	0	0		0	0	0	133	0	0	874	1	0	0			0	0	0	0	0	0	0	0	0	0	0	6128	0					0																															THE FIRST NATIONAL BANK IN COMANCHE															WWW.FNBMARLOW.COM	
17950																																		1299	218	0	0	0		1299	0	0	218	0	0	783	1	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0					0																														www.bankofjoliet.com	BANK OF JOLIET, BANK OF THERMOPOLIS	www.bankofthermopolis.com	BANK OF HARLEM, BANK OF RED LODGE	www.bankofharlemmt.com	BANK OF GREYBULL, BANK OF LOVELL	www.bankofredlodge.com	BANK OF POWELL	www.bankofgreybull.com	BANK OF BUTTE	www.bankoflovell.com	BANK OF PLENTYWOOD	www.bankofpowell.com	www.bankofbutte.com	www.bankofplentywood.com		www.bankofbridger.com	
17978																																		0	2218	1102	0	2708		0	1021	0	264	0	933	730	1	0	0			0	0	1102	1331	275	0	0	0	0	0	0	0	0					0																			2	true																										www.elizfed.com	
18050																																		0	0	14	0	14		0	0	0	0	0	0	4488	3	0	0			0	0	14	0	0	0	0	0	0	0	0	0	0					0																																														www.fnbbastrop.com	
18135																																		0	0	4000	0	4000		0	0	0	0	0	0	1633	2	0	0	true	1048	0	0	4000	0	0	0	0	0	0	0	0	0	0																																																			http://www.banksouthcentral.com	
18827																																		3469	1078	70950	0	70950	true	3469	0	0	706	0	372	12572	3	0	0	true	0	0	0	70950	0	0	0	0	0	0	0	0	0	0	true	false	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																												http://www.nextierbank.com	
18836																																		0	1576	0	0	1858	true	0	485	0	439	0	652	464	0	0	0			0	0	0	174	0	1684	0	0	0	0	0	0	0	true	false																																																	http://www.caponvalleybank.com	
18854																																		1138	100	0	0	0	true	1138	0	0	0	0	100	6673	2	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																												www.bank7.com	
19356																																		0	0	0	0	505	true	0	0	0	0	0	0	75	0	0	0			0	0	0	0	0	505	0	0	0	0	0	0	0																																																			https://www.sbtmiami.com	
19936																																		0	148	99	0	7835		0	36	0	0	0	112	1363	0	0	0			0	0	99	6199	1198	339	0	0	0	0	0	0	0					0																																														www.cbkamericus.com	
19972																																		0	0	0	0	0		0	0	0	0	0	0	792	0	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0																																																				
20053																																		0	6	0	0	0		0	0	0	6	0	0	0	0	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0					0																																														www.securityonlinebank.com	
20633																																		0	11262	0	0	9500		0	0	0	1666	8996	600	2906	2	0	0			0	0	0	5000	2250	2250	0	0	0	0	0	0	0					0																																														www.mcnbbanks.com	
20857																																		0	0	12687	0	15277		0	0	0	0	0	0	75	0	0	0			0	0	12687	489	484	1617	2151	0	0	0	0	0	0					0																																														www.granitefallsbank.com	
21256																																		0	171	0	0	0		0	0	0	0	0	171	151	1	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0					0																																														www.statebankofburrtononline.com	
21359																																		228	0	0	0	58	true	228	0	0	0	0	0	0	0	0	0			13	0	0	0	0	0	0	13	38	7	0	0	0	true	false																																																	http://www.asbgrygla.com	
21658																																		0	100	0	0	722	true	0	0	0	0	0	100	339	0	0	0	true	0	0	0	0	0	0	722	0	0	0	0	0	0	0	true	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0												www.allfarmideas.com																www.alliancebank.us	
22048																																		0	531	7898	0	10460		0	0	0	349	0	182	12571	5	0	0			0	0	7898	1041	198	1323	0	0	0	0	0	0	0					0																																														www.unionbnk.com	
22543																																		0	0	8100	0	8100	true	0	0	0	0	0	0	2564	1	0	0	true	0	0	0	8100	0	0	0	0	0	0	0	0	0	0	false	false	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																												www.ssbankmi.com	
22552																																		0	115	2000	0	4000	true	0	0	0	0	0	115	2427	1	0	0	true		0	0	2000	0	2000	0	0	0	0	0	0	11965	0	true	false																																																	https://www.firstsoutheastbank.com	
22730																																		0	8	0	0	428		0	0	0	0	0	8	454	0	0	0			0	0	0	0	0	428	0	0	0	0	0	0	0																																																			http://www.westunionbank.com	
22936																																		0	1380	0	0	0		0	1170	0	0	0	210	4729	3	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0																																																			http://www.fmbnk.com	
23456																																		0	143	0	0	242		0	0	0	0	0	143	228	0	0	0			0	0	0	0	0	0	0	0	0	242	0	0	0					0																																														www.fnbhenning.com	
23504																																		5003	175	519014	1188	520092	true	3815	0	0	0	0	175	29101	5	1463	0	true	0	0	0	519014	1078	0	0	0	0	0	0	0	0	0	true	false	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																												http://www.bnbbank.com	
23643																																		0	526	0	0	22555	true	0	11	0	36	0	479	498	0	0	0			22555	0	0	0	0	0	0	22555	0	0	0	0	22555	true	false																																																	http://www.commercial-bank.net	
23755																																		1043	0	0	970	0		73	0	0	0	0	0	1397	1	2030	0			0	0	0	0	0	0	0	0	0	0	0	0	0					0																														cm.netteller.com		www.airteller.com/fn-cb														www.fn-cb.com	
24006																																		463	142	55000	0	82435	true	463	32	0	110	0	0	0	0	0	0	false	0	0	0	55000	10000	0	3872	0	13563	0	0	0	0	13563	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																												www.PCSB.com	
24378																																		0	95	250	0	250		0	0	0	95	0	0	595	0	0	0			0	0	250	0	0	0	0	0	0	0	0	0	0																								1	true																										www.gblbank.com	
24453																																		361	433	0	0	0		361	433	0	0	0	0	2193	2	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0																																																			http://www.rockymountainbank.com	
24659																																		0	25	0	0	0		0	0	0	25	0	0	212	0	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0					0																																														www.producestatebank.com	
24668																																		382	320	90000	382	90000	true	0	0	0	0	0	320	1156	1	382	0	false	0	0	0	90000	0	0	0	0	0	0	0	0	0	0	true	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																												www.bthbank.com	
24949																																		986	860	0	986	0		0	0	0	168	0	692	184	0	1426	0			0	0	0	0	0	0	0	0	0	0	0	0	0																																																			http://www.baraboobank.com	
25357																																		1846	3308	0	0	0	true	1846	0	0	308	0	3000	404	0	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	true	false																																	http://www.redneck.bank																http://www.allamerica.bank	
25647																																		0	9	2000	0	2000	true	0	0	0	0	0	9	0	0	0	0	false	0	0	0	2000	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																												www.firstsecurebank.com	
26176																																		19	833	35500	19	65000		0	0	0	0	0	833	0	0	19	0			0	0	35500	29500	0	0	0	0	0	0	0	0	0					0																			1	true																										www.broadwayfederalbank.com	
26242																																		0	71	3000	0	10000		0	0	0	71	0	0	5241	1	0	0			0	0	3000	7000	0	0	0	0	0	0	0	0	0					0																																														www.goifb.com	
26457																																		0	0	0	0	0		0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0					0																																														www.lamontecommunitybank.com	
26765																																		0	0	15000	0	15000	true	0	0	0	0	0	0	6202	3	0	0			0	0	15000	0	0	0	0	0	0	0	0	0	0																																																			http://www.vantagebank.com	
27070																																		0	0	0	0	0		0	0	0	0	0	0	212	0	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0					0																			2	true																										www.timefederalsavings.com	
27548																																		2528	511	0	2528	0	true	0	224	0	287	0	0	16846	5	3943	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																												www.blackhawkbank.com	
27614																																		481	116	23100	0	28100		481	0	0	116	0	0	1362	0	0	0			0	0	23100	5000	0	0	0	0	0	0	0	0	0					0																																														www.andoverbankohio.com	
27847																																		0	279	10000	0	20043		0	0	21	258	0	0	313	0	0	0			0	0	10000	10043	0	0	0	0	0	0	0	0	0					0																																														www.diamondbanking.com	
