"IDRSSD"	RCFDF236	RCFDF237	RCFDG465	RCFDG466	RCFDG467	RCFDG468	RCFDG469	RCFDG470	RCFDG471	RCFDG472	RCFDK652	RCFDK653	RCFDK654	RCFDK655	RCFDK656	RCFDK657	RCFDK658	RCFDK659	RCFDK660	RCFDK661	RCFDK663	RCFDK664	RCFDK665	RCFDK666	RCFDK667	RCFDK668	RCFDK669	RCFDK670	RCFDK671	RCFDK672	RCFDK673	RCFDK674	RCFDK675	RCFNF234	RCON5597	RCONA545	RCONF045	RCONF046	RCONF047	RCONF048	RCONF049	RCONF050	RCONF051	RCONF052	RCONF236	RCONF237	RCONG465	RCONG466	RCONG467	RCONG468	RCONG469	RCONG470	RCONG471	RCONG472	RCONG803	RCONJ944	RCONJ945	RCONK652	RCONK653	RCONK654	RCONK655	RCONK656	RCONK657	RCONK658	RCONK659	RCONK660	RCONK661	RCONK663	RCONK664	RCONK665	RCONK666	RCONK667	RCONK668	RCONK669	RCONK670	RCONK671	RCONK672	RCONK673	RCONK674	RCONK675	RCONK676	RCONK677	RCONK678	RCONK679	RCONK680	RCONK681	RCONK682	TEXTA545	
	TOTAL DEP LIABILITIES BEFORE EXCLUSI	TOTAL ALLOWABLE EXCLUSIONS INCLD FOR	UNSECURED OTHR BRW MAT LE 1 YR	UNSECURED OTHR BRW MAT 1 TO 3 YR	UNSECURED OTHR BRW MAT 3 TO 5 YR	UNSECURED OTHR BRW MAT GT 5 YR	SUB NOTES & DBNTR MAT LE 1 YR	SUB NOTES AND DBNTR MAT 1 TO 3 YR	SUB NOTES AND DBNTR MAT 3 TO 5 YR	SUB NOTES & DBNTR MAT GT 5 YR	AVG CNSL TOTAL ASSET	AVG METHOD USED	AVG TANGIBLE EQT	HOLDING LT UNSCD DEBE ISS OTHR INS I	BANKER'S BANK CERTIFICATION	BNKRS BNK DEDUCTIONS	BNKR BNK DEDUCTION LIMIT	CUSTODIAL BANK CERTIFICATION	CUST BANK DED	CUST BANK DED LIMIT	CRITICIZED CLASSIFIED SPECIAL	CRITICIZED CLASSIFIED SUBSTANDARD	CRITICIZED CLASSIFIED DOUBTFUL	CRITICIZED CLASSIFIED LOSS	SUBPRIME CNSMR LN	LEVERAGED LN AND SCTY	OREO RCV US GOVT GRNT INS PRV	CMRL IND LN GRNT INS US GOVT	CREDIT CARD LN GRNT INS US GOVT	OTHR LN GRNT INS US GOVT	AMT INST LARGE CNTRPTY EXP	TOT AMT INST 20 LARGE CNTRPTY EXP	NTRAD 1-4 FAM RES ML	TOTAL FOR DEP INCLUDED IN B	ESTIMATE OF UNINSURED DEPOSITS	PB/PSA FDIC CERTIFICATE NUMBER	AMT RETIRE DEP ACCNT $250K OR LESS	NBR RETIRE DEP ACCNT $250K OR LESS	AMT RETIREMT DEP ACCTS MOR THAN $250	NBR RETIRE DEP ACCNT MOR THAN $250K	AMT OF DEP ACCNT $250K OR LESS	NBR OF DEP ACCNTS OF $250K OR LESS	AMT OF DEP ACCNT MORE THAN $250K	NBR OF DEP ACCNT GT $250K	TOTAL DEP LIABILITIES BEFORE EXCLUSI	TOTAL ALLOWABLE EXCLUSIONS INCLD FOR	UNSECURED OTHR BRW MAT LE 1 YR	UNSECURED OTHR BRW MAT 1 TO 3 YR	UNSECURED OTHR BRW MAT 3 TO 5 YR	UNSECURED OTHR BRW MAT GT 5 YR	SUB NOTES & DBNTR MAT LE 1 YR	SUB NOTES AND DBNTR MAT 1 TO 3 YR	SUB NOTES AND DBNTR MAT 3 TO 5 YR	SUB NOTES & DBNTR MAT GT 5 YR	RECIPROCAL BROKERED DEPOSITS	AMT NONINT ACTS GT 250K DODD FRANK A	NBR NONINT ACT GT 250K DODD FRANK AC	AVG CNSL TOTAL ASSET	AVG METHOD USED	AVG TANGIBLE EQT	HOLDING LT UNSCD DEBE ISS OTHR INS I	BANKER'S BANK CERTIFICATION	BNKRS BNK DEDUCTIONS	BNKR BNK DEDUCTION LIMIT	CUSTODIAL BANK CERTIFICATION	CUST BANK DED	CUST BANK DED LIMIT	CRITICIZED CLASSIFIED SPECIAL	CRITICIZED CLASSIFIED SUBSTANDARD	CRITICIZED CLASSIFIED DOUBTFUL	CRITICIZED CLASSIFIED LOSS	SUBPRIME CNSMR LN	LEVERAGED LN AND SCTY	OREO RCV US GOVT GRNT INS PRV	CMRL IND LN GRNT INS US GOVT	CREDIT CARD LN GRNT INS US GOVT	OTHR LN GRNT INS US GOVT	AMT INST LARGE CNTRPTY EXP	TOT AMT INST 20 LARGE CNTRPTY EXP	NTRAD 1-4 FAM RES ML	CNST LND DEV OTHR UNFND CMT	CNST LND DEV OTHR GRNT US GOVT	NBRKD DEP GT 250K	CNST LND DEV OTHR FUND GRNT US GOVT	MFMLY RES NFRM NRES FUND GRNT US GOV	CE LN SCD 1ST LIEN FML FUND GRNT US 	CE LN JR LIEN OEND FUND GRNT US GOVT	PB/PSA FDIC CERTIFICATE NUMBER	
37																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	5012	351	0	0	57259	5000	6528	7	68799	0	0	0	0	0	0	0	0	0	0	6528	7	85059	1	17874	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
242																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	1896	146	0	0	21950	2733	1408	4	25254	0	0	0	0	0	0	0	0	0	0	1408	4	35663	1	4677	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
279																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	11842	382	385	1	88007	7887	5992	17	106226	0	0	0	0	0	0	0	0	0	0	339	1	140276	1	23784	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
354																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	0	0	0	0	7706	762	1298	3	9004	0	0	0	0	0	0	0	0	0	0	741	2	10186	1	924	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
457																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	2341	112	0	0	25793	2466	3498	8	31632	0	0	0	0	0	0	0	0	0	0	0	0	37931	1	3558	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
505																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	7442	440	257	1	194446	19024	106542	114	308687	0	0	0	0	0	0	0	0	0	608	11630	27	401691	1	30634	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
1155																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	13814	628	877	3	145283	12716	30420	60	190394	0	0	0	0	0	0	0	0	0	0	3484	6	215362	1	18882	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
1351																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	9135	284	920	2	72050	4821	55324	111	137429	0	0	0	0	0	0	0	0	0	0	1262	4	159727	1	21853	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
1454																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	22751	1593	2519	8	313467	32273	174935	235	513672	0	0	0	0	0	0	0	0	0	0	67722	80	598058	1	52236	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
