"IDRSSD"	RCFA3792	RCFA5310	RCFA5311	RCFA7204	RCFA7205	RCFA7206	RCFA8274	RCFAA223	RCFAA224	RCFAB530	RCFAB596	RCFAP742	RCFAP793	RCFAP839	RCFAP840	RCFAP841	RCFAP842	RCFAP843	RCFAP849	RCFAP850	RCFAP851	RCFAP852	RCFAP853	RCFAP854	RCFAP855	RCFAP856	RCFAP857	RCFAP858	RCFAP859	RCFAP860	RCFAP861	RCFAP862	RCFAP863	RCFAP864	RCFAP865	RCFAP866	RCFAP867	RCFAP868	RCFAP870	RCFAP872	RCFAP875	RCFAQ257	RCFAQ258	RCFD3368	RCFD3632	RCFW3792	RCFW5310	RCFW5311	RCFW7205	RCFW7206	RCFWA223	RCFWP793	RCFWP870	RCOA3792	RCOA5310	RCOA5311	RCOA7204	RCOA7205	RCOA7206	RCOA8274	RCOAA223	RCOAA224	RCOAB530	RCOAB596	RCOAP742	RCOAP793	RCOAP838	RCOAP839	RCOAP840	RCOAP841	RCOAP842	RCOAP843	RCOAP849	RCOAP850	RCOAP851	RCOAP852	RCOAP853	RCOAP854	RCOAP855	RCOAP856	RCOAP857	RCOAP858	RCOAP859	RCOAP860	RCOAP861	RCOAP862	RCOAP863	RCOAP864	RCOAP865	RCOAP866	RCOAP867	RCOAP868	RCOAP870	RCOAP872	RCOAP875	RCOAQ257	RCOAQ258	RCON3368	RCON3632	RCOW3792	RCOW5310	RCOW5311	RCOW7205	RCOW7206	RCOWA223	RCOWP793	RCOWP870	
1557																																																																																																		83680	563									
1669																																																																																																		254328	42710									
1829																																																																																																		396508	40255									
1856																																																																																																		125584	1380									
2040																																																																																																		204010	16479									
2161																																																																																																		121797	12540									
2376																																																																																																		2921922	419718									
2554																																																																																																		13830	217									
2732																																																																									0																									532388	74032									
2750																																																																									0																									58155	1059									
3177																																																																																																		1023338	48034									
3252																																																																																																		163212	20427									
3458																																																																																																		38461	2345									
3720																																																																																																		220917	9729									
3971																																																																																																		674001	-69261									
4156																																																																																																		211110	13614									
4231																																																																																																		113208	2452									
4437																																																																									0																									238566	22001									
4839																																																																																																		327632	18921									
5069																																																																																																		387374	147381									
5135																																																																																																		379963	24060									
5210																																																																																																		1027206	81068									
5461																																																																																																		496357	42026									
5751																																																																																																		185985	18507									
6039																																																																																																		84517	1776									
6141																																																																																																		59300	992									
6329																																																																																																		466987	16850									
7009																																																																																																		692302	53722									
7045																																																																																																		179663	15089									
7072																																																																																																		168422	31421									
7157																																																																																																		48199	4203									
7456																																																																																																		65634	1211									
7634																																																																																																		61300	-1739									
8033																																																																																																		195706	14811									
8462																																																																																																		169853	16395									
8631																																																																																																		61113	5446									
9357																																																																									0																									388444	20132									
9553																																																																																																		158128	9394									
9807																																																																																																		2159218	166450									
9955																																																																																																		120859	11948									
10250																																																																																																		349811	-373									
10849																																																																																																		255250	12363									
11145																																																																																																		191887	11746									
11275																																																																																																		1261401	46190									
11640																																																																																																		381539	5263									
11837																																																																																																		107271	1198									
12030																																																																																																		317082	44346									
12142																																																																																																		216994	6736									
12179																																																																																																		38451	7033									
12245																																																																																																		126693	8810									
12311																																												59497765	198268																																																															
12647																																																																																																		95517	1929									
12656																																																																																																		18400	1160									
12937																																																																																																		197503	24926									
12946																																																																																																		824860	79079									
12955																																																																																																		131424	3225									
13103																																																																																																		1473945	163673									
13251																																																																																																		40440	2440									
13457																																																																																																		24557	5835									
14052																																																																																																		59025	4506									
14155																																																																																																		139691	15505									
14650																																																																																																		31220	2631									
14753																																																																																																		46107	1396									
14865																																																																																																		303787	19042									
14977																																																																																																		47388	7967									
16458																																																																																																		289235	31218									
16551																																																																																																		242257	12528									
16748																																																																																																		64871	4247									
16944																																																																																																		39649	1209									
16953																																																																																																		36751	1887									
17110																																																																																																		105777	12211									
17147																																																																																																		5369162	166571									
17259																																																																																																		66177	3820									
17464																																																																																																		1382459	52594									
17950																																																																									0																									350376	18065									
17978																																																																																																		332571	104103									
18050																																																																																																		416654	35649									
18135																																																																																																		239798	13909									
18377																																																																																																		51306	3899									
18827																																																																																																		425730	39252									
18836																																																																																																		147529	13051									
18854																																																																																																		419325	25927									
19356																																																																																																		76366	3443									
19730																																																																																																		2198714	48571									
19936																																																																																																		244191	9511									
19972																																																																																																		96610	15434									
20053																																																																																																		74241	3412									
20512																																																																																																		94289	9573									
20633																																																																																																		302061	26983									
20857																																																																																																		215758	4169									
21256																																																																																																		10555	497									
21359																																																																																																		26590	796									
21630																																																																																																		104355	7440									
21658																																																																																																		155818	10835									
22048																																																																																																		189292	9803									
22543																																																																																																		98234	9869									
22552																																																																																																		86558	2048									
22730																																																																																																		138102	12448									
22936																																																																																																		162983	-11558									
23045																																																																																																		43150	2469									
23456																																																																																																		102717	11484									
23504																																																																																																		1962151	119955									
23643																																																																					15168																										0			187540	15168									
23755																																																																																																		165490	10938									
24006																																																																																																		969254	99817									
24378																																																																																																		66190	6766									
24453																																																																																																		205428	-1772									
24659																																																																																																		45603	1535									
24668																																																																																																		438991	21082									
24855																																																																																																		19734	1012									
24949																																																																																																		615731	9033									
25357																																																																																																		127574	3340									
25647																																																																																																		52453	-8652									
26176																																																																																																		330959	9837									
26242																																																																																																		409164	28798									
26457																																																																																																		29212	2692									
26765																																																																																																		326041	-32052									
27070																																																																																																		621857	116422									
27548																																																																																																		582588	31346									
27614																																																																																																		323996	32740									
27847																																																																																																		447513	36452									
28013																																																																																																		2704041	232184									
28152																																																																																																		129303	2558									
28255																																																																																																		295766	17544									
28349																																																																																																		138858	887									
28406																																																																																																		1362623	139460									
28572																																																																																																		36929	-304									
28675																																																																																																		95656	11247									
28732																																																																																																		84371	8536									
29104																																																																																																		1676218	105826									
29476																																																																																																		43014	-228									
29636																																																																																																		878613	4735									
29878																																																																																																		1739445	516600									
29953																																																																																																		78029	8203									
30052																																																																																																		27608	1833									
30418																																																																																																		487478	-8308									
30502																																																																																																		906735	59936									
30650																																																																																																		113362	-867									
30810																																																																																																		78426480	4585494									
30874																																																																																																		1099020	66649									
31134																																																																																																		117052	17233									
31255																																																																																																		463388	13471									
31657																																																																																																		130082	12561									
31826																																																																																																		245082	39498									
31835																																																																																																		129535	259									
32234																																																																																																		117583	9849									
32766																																																																																																		57292	4692									
32971																																																																																																		208646	25795									
33147																																																																																																		416340	25229									
33259																																																																																																		548839	16183									
33268																																																																																																		153735	6259									
33370																																																																																																		28060	4074									
33839																																																																																																		35507	2994									
33857																																																																																																		255307	5416									
34153																																																																																																		308743	-43246									
34359																																																																																																		31241	5818									
34425																																																																																																		325029	20096									
34434																																																																																																		309060	14188									
34452																																																																																																		128061	10937									
34537																																																																																																		2284434	-78351									
34555																																																																																																		264049	21731									
34742																																																																																																		305096	11817									
34836																																																																																																		23745	-395									
35057																																																																																																		126390	6423									
35301	15925614	47519	1802422	0.068757	0.195531	0.173401	14123192	81448076	205408770	219813	-73716	10826512	0.173401	0	20062084	5526802	311017	101073	0	0	0	14123192	0	0	0	0	0	0	14123192	0	0	0	0	0	0	1754807	0	0	1802422	0	5938892	96	0	211273946	9015759																						0																																									
35570																																																																																																		16075537	566888									
35646																																																																									0																									52505	9561									
35842																																																																																																		203278	10349									
35879																																																																																																		231012	20453									
36456																																																																																																		98154	4564									
36933																																																																																																		90135	183									
37051																																																																																																		74804	4190									
37341																																																																																																		36400	3241									
37435																																																																																																		1013199	76164									
37640																																																																																																		2132392	60953									
37659																																																																																																		40437	3797									
37743																																																																																																		88738	7241									
37949																																																																																																		228356	12066									
38740																																																																																																		167946	7866									
39327																																																																																																		437862	53085									
39420																																																																																																		1237161	65158									
39475																																																																																																		3864779	109041									
39756																																																																																																		534820	21987									
40033																																																																																																		64249	5415									
40350																																																																																																		46818	592									
40499																																																																																																		1968215	181530									
40707																																																																																																		276937	17799									
40855																																																																																																		92108	2121									
41245																																																																																																		47711	4034									
41553																																																																																																		97493	10881									
41629																																																																																																		170162	16283									
41825																																																																																																		161553	13292									
41937																																																																																																		68635	3995									
41955																																																																																																		38372	663									
42037																																																																																																		63112	6655									
42055																																																																																																		72247	3763									
42354																																																																																																		136321	15542									
42372																																																																																																		330598	47306									
42420																																																																																																		6187637	244593									
42448																																																																																																		736965	88331									
42457																																																																																																		39824	4147									
42671																																																																																																		1265088	55915									
43052																																																																																																		83323	12043									
43351																																																																																																		30204	-990									
43454																																																																																																		24554	1477									
43744																																																																																																		73597	-2035									
43856																																																																																																		56078	4696									
43959																																																																																																		164506	8273									
44040																																																																																																		319087	31961									
44433																																																																																																		333941	-29608									
44741																																																																																																		382345	27007									
44750																																																																																																		172499	15658									
44929																																																																																																		142769	5523									
45038																																																																																																		138525	11740									
45047																																																																																																		122379	2147									
45056																																																																																																		65810	7023									
45430																																																																																																		120385	15243									
45458																																																																																																		48954	19									
45551																																																																																																		687196	52512									
45560																																																																																																		1207326	53163									
45775																																																																																																		172148	15022									
46053																																																																																																		173439	11727									
46941																																																																																																		116823	17255									
47153																																																																																																		21873	909									
47247																																																																																																		276429	10148									
47256																																																																																																		27750	3586									
47452																																																																																																		53442	7538									
47500																																																																																																		328275	38200									
48057																																																																																																		117513	5397									
48150																																																																																																		27793	711									
48374																																																																																																		864885	71395									
48440																																																																																																		106245	7293									
49054																																																																																																		154815	-88									
49148																																																																																																		100533	11352									
49241																																																																																																		460988	1003									
49344																																																																																																		131593	5519									
49643																																																																																																		42636	6069									
49652																																																																																																		135887	11793									
49821																																																																																																		819525	78097									
49858																																																																																																		75008	-179									
49951																																																																																																		119319	8560									
50144																																																																																																		65718	9940									
50461																																																																																																		102285	21189									
50546																																																																																																		43869	2121									
50854																																																																																																		64649	3157									
50872																																																																																																		159586	14286									
50957																																																																																																		213592	2987									
51253																																																																																																		314059	23830									
51356																																																																																																		79399	12073									
51459																																																																																																		258497	15520									
51730																																																																																																		54258	4911									
51842																																																																																																		263367	25636									
52719																																																																																																		2788858	212625									
52951																																																																																																		156463	11282									
53033																																																																																																		3969452	-12866									
53051																																																																																																		63747	4574									
53453																																																																																																		45238	-1877									
53752																																																																																																		56614	3807									
54049																																																																																																		105517	6881									
54058																																																																																																		322496	34948									
54375																																																																																																		710328	27153									
54441																																																																																																		138218	9541									
54656																																																																																																		694205	49613									
54973																																																																																																		5296002	203086									
55176																																																																																																		275600	16986									
55336																																																																																																		344407	29618									
55635																																																																																																		97283	3421									
55653																																																																																																		100296	6935									
55970																																																																																																		378008	40988									
56258																																																																																																		197507	1578									
56351																																																																																																		1255418	34623									
56427																																																																																																		78374	7145									
56548																																																																																																		324244	17220									
56557																																																																																																		2756224	164131									
56717																																																																																																		602450	58460									
57040																																																																																																		97154	13045									
57228																																																																																																		280742	5342									
57255																																																																																																		105727	-346									
57451																																																																									0																									503799	23715									
57572																																																																																																		50178	0									
58177																																																																																																		68571	7341									
58207																																																																																																		255317	16354									
58225																																																																																																		255195	24874									
58243																																																																																																		3889541	7130									
58355																																																																																																		11343	-99									
58551																																																																																																		185340	15368									
58636																																																																																																		255718	19487									
58757																																																																																																		112591	811									
58971																																																																																																		4384631	372024									
59316																																																																																																		705644	59637									
59352																																																																																																		381834	35219									
59370																																																																																																		291051	39214									
59754																																																																																																		13377	702									
60143																																												64637564	4711880																																																															
60330																																																																																																		546373	39374									
60545																																																																									0																									216629	15275									
60554																																																																																																		66302	1950									
60648																																																																																																		256263	21600									
61122																																																																																																		1339176	82421									
61177																																																																																																		49265	5902									
61355																																																																																																		736244	51453									
61476																																																																																																		167962	12779									
61757																																																																																																		236466	25290									
61832																																																																																																		196574	13652									
61953																																																																																																		67074	5483									
62044																																																																																																		23701	2184									
62110																																																																																																		9675	6129									
62147																																																																																																		68817	3957									
62772																																																																																																		402241	34551									
63050																																																																																																		141777	15619									
63069																																												29199262	1518139																																																															
63078																																																																																																		1663296	125693									
63201																																																																																																		126824	11637									
63573																																																																																																		414399	0									
