"IDRSSD"	RCON9224	RCON9999	RSSD9017	RSSD9050	RSSD9130	RSSD9200	RSSD9220	
	ID_LEI	MICR9999REPORT DATE	NM_LGL	ID_FDIC_CERT	CITY	STATE_ABBR_NM	ZIP CODE	
11145		20190331	LAKE-OSCEOLA STATE BANK	8172	BALDWIN	MI	49304	
11640		20190331	FIRST NATIONAL BANK OF CLARKSDALE	19070	Clarksdale	MS	38614	
11837		20190331	The Farmers Bank	5709	Greensboro	GA	30642	
12030		20190331	FNB South	17011	Alma	GA	31510	
12142		20190331	The Cleveland State Bank	12201	Cleveland	MS	38732	
12179		20190331	American Savings Bank	29899	Middletown	OH	45042	
12311	2WHM8VNJH63UN14OL754	20190331	The Huntington National Bank	6560	Columbus	OH	43215	
12647		20190331	The Portage County Bank	10012	Almond	WI	54909	
12656		20190331	EMERALD BANK	14944	BURDEN	KS	67019	
12937	5493004AXW451N0CXE86	20190331	Oak Bank	20226	Chicago	IL	60611	
12946		20190331	Farmers Bank & Trust Company	1291	Magnolia	AR	71753	
13103		20190331	Bristol County Savings Bank	23622	Taunton	MA	02780	
13251		20190331	Elysian Bank	10185	Elysian	MN	56028	
13457		20190331	Bank Of Lewellen	5425	Lewellen	NE	69147	
14155		20190331	F and C Bank	9378	Holden	MO	64040	
14650		20190331	Bank Of Locust Grove	16795	Locust Grove	OK	74352	
14753		20190331	Farmers State Bank Of Bucklin, Kansas, The	18101	Bucklin	KS	67834	
14865	5493OOJ0CQITHCF2G618	20190331	Bank Of Eastern Oregon	16243	Heppner	OR	97836	
14977		20190331	First Federal Bank Littlefield Texas ssb	30291	Littlefield	TX	793391390	
16551		20190331	Northview Bank	10956	Sandstone	MN	55072	
16748		20190331	The Elberfeld State Bank	13104	Elberfeld	IN	47613	
17110		20190331	The Haverford Trust Company	26189	Radnor	PA	19087	
17147	S0Q3AHZRL5K6VQE35M07	20190331	First Merchants Bank	4365	Muncie	IN	47305	
17259		20190331	The First National Bank In Marlow	26260	Marlow	OK	73055	
17950		20190331	Bank Of Bridger, National Association	2224	Bridger	MT	59014	
17978		20190331	Elizabethton Federal Savings Bank	29904	Elizabethton	TN	37643	
18050		20190331	First National Bank of Bastrop	3091	Bastrop	TX	78602	
18135	5493008KRFDENOBVE608	20190331	South Central Bank, NA	19536	Chicago	IL	60607	
18827	549300TFEH2N4OKL5136	20190331	NexTier Bank, N.A.	7900	Kittanning	PA	16201	
18836	254900JEEAUO1ZDBXW22	20190331	Capon Valley Bank	9998	Wardensville	WV	26851	
18854	5493003OO8EG0RKSFX83	20190331	Bank 7	4147	Oklahoma City	OK	73116	
19356		20190331	SECURITY BANK AND TRUST COMPANY	9881	MIAMI	OK	74354	
19936		20190331	Citizens Bank of Americus	15477	Americus	GA	31709	
19972		20190331	FARMERS BUILDING AND SAVINGS BANK	34711	ROCHESTER	PA	15074	
20053		20190331	Security Bank	10015	New Auburn	WI	54757	
20633		20190331	MCNB Bank And Trust Co.	6803	Welch	WV	24801	
20857		20190331	Granite Falls Bank	10998	Granite Falls	MN	56241	
21256		20190331	State Bank Of Burrton	16583	Burrton	KS	67020	
21359		20190331	AMERICAN STATE BANK OF GRYGLA	22263	GRYGLA	MN	56727	
21658		20190331	ALLIANCE BANK	12511	MONDOVI	WI	54755	
22048	549300FDWHVG4HSERS14	20190331	Union Bank & Trust Company	1753	Monticello	AR	71655	
22543		20190331	State Savings Bank	8162	Frankfort	MI	49635	
22552		20190331	First Southeast Bank	10576	Harmony	MN	55939	
22730		20190331	West Union Bank	2452	West Union	WV	26456	
22936		20190331	Farmers & Merchants Bank	16673	Statesboro	GA	304592789	
23456		20190331	The First National Bank Of Henning	5162	Ottertail	MN	56571	
23504	549300UWA74T8PF7KY34	20190331	BNB Bank	6976	Bridgehampton	NY	11932	
23643		20190331	COMMERCIAL BANK & TRUST COMPANY	90	MONTICELLO	AR	71655	
23755		20190331	First National Community Bank	5357	New Richmond	WI	54017	
24006		20190331	PCSB Bank	15995	Yorktown Heights	NY	10598	
24378		20190331	Galion Building and Loan Bank	32307	Galion	OH	44833	
24453	549300366GOK32ZOOH49	20190331	ROCKY MOUNTAIN BANK	24334	JACKSON	WY	83001	
24659		20190331	Produce State Bank	10178	Hollandale	MN	56045	
24668		20190331	BTH Bank, National Association	3402	Quitman	TX	75783	
24949	54930065PWY9N8KCRQ96	20190331	BARABOO STATE BANK	12788	BARABOO	WI	53913	
25357		20190331	All America Bank	20093	Mustang	OK	73064	
25647		20190331	First Secure Bank and Trust Co	22536	Palos Hills	IL	60465	
