"IDRSSD"	RCONFT04	RCONFT05	RCONHT81	RCONHT82	RCONHT86	RCONL191	RCONL192	RCONM288	RIADHT85	
	PRINCIPAL AMOUNT OF 1-4 FAMILY RESID	QUARTER END AMOUNT OF 1-4 FAMILY RES	Retail originations during the quart	Wholesale originations and purchases	Repurchases and indemnification of 1	REP AND WARRNTY TO US GOVT AGCY	REP AND WARRNTY TO OTHR PARTIES	REP WARRNTY TO US GOVT AGCY TOTAL	Noninterest income for the quarter f	
54656	0	0	0	0	0	CONF	CONF	0	0	
54973	125237	16806	104682	0	0	CONF	CONF	72	7344	
55336						CONF	CONF			
55635						CONF	CONF			
55653						CONF	CONF			
55970						CONF	CONF			
56258						CONF	CONF			
56351						CONF	CONF			
56548						CONF	CONF			
56717						CONF	CONF			
57040	0	0	0	0	0	CONF	CONF	0	0	
57451						CONF	CONF			
58225						CONF	CONF			
58243	321405	86455	333884	0	0	CONF	CONF	500	12908	
58355						CONF	CONF			
58551						CONF	CONF			
58636						CONF	CONF			
58757						CONF	CONF			
58971	137141	43524	153193	0	0	CONF	CONF	0	4272	
59316						CONF	CONF			
59352						CONF	CONF			
59370						CONF	CONF			
59754						CONF	CONF			
60143	83000	7000	79000	0	0	CONF	CONF	0	2000	
60330	0	0	0	0	0	CONF	CONF	0	0	
60545						CONF	CONF			
60554						CONF	CONF			
60648						CONF	CONF			
61122	0	0	0	0	0	CONF	CONF	0	0	
61355	184463	12413				CONF	CONF			
61476						CONF	CONF			
61757	12582	1458	9197	0	0	CONF	CONF	0	365	
61832						CONF	CONF			
61953						CONF	CONF			
62044						CONF	CONF			
62110						CONF	CONF			
62147						CONF	CONF			
63050						CONF	CONF			
63069						CONF	CONF			
63201						CONF	CONF			
63573						CONF	CONF			
63733						CONF	CONF			
63742	57678	2938				CONF	CONF			
63751						CONF	CONF			
64150	43804	6588				CONF	CONF			
64552	163168	49457	39424	110983	0	CONF	CONF	0	8359	
64730						CONF	CONF			
65205						CONF	CONF			
65513						CONF	CONF			
65559	22385	3516	21430	0	0	CONF	CONF	0	498	
65746	38303	12365	43026	0	0	CONF	CONF	0	1007	
65858						CONF	CONF			
66154						CONF	CONF			
66275						CONF	CONF			
66677	127167	118120	125634	0	0	CONF	CONF	0	3113	
67142						CONF	CONF			
67151						CONF	CONF			
67209						CONF	CONF			
67254						CONF	CONF			
67656						CONF	CONF			
67870						CONF	CONF			
68671						CONF	CONF			
68756	0	0	0	0	0	CONF	CONF	0	0	
68831						CONF	CONF			
69333	32728	0	33815	0	0	CONF	CONF	0	534	
69678						CONF	CONF			
70218	0	0	0	0	0	CONF	CONF	0	0	
70414						CONF	CONF			
70638	25980	8034				CONF	CONF			
70955						CONF	CONF			
71073						CONF	CONF			
71457						CONF	CONF			
71859						CONF	CONF			
72258	32920	0				CONF	CONF			
72351						CONF	CONF			
72454						CONF	CONF			
72678						CONF	CONF			
73116						CONF	CONF			
73152						CONF	CONF			
73554						CONF	CONF			
73956						CONF	CONF			
74056						CONF	CONF			
74140	43276	4661	42486	0	0	CONF	CONF	0	1468	
74403	23353	41463	41463			CONF	CONF		151	
74449						CONF	CONF			
75259	51053	6901				CONF	CONF			
75446						CONF	CONF			
75455						CONF	CONF			
75558						CONF	CONF			
75633	157748	32684	159343	0	99	CONF	CONF	4659	12191	
75651						CONF	CONF			
76153	0	0	0	0	0	CONF	CONF	0	0	
76443						CONF	CONF			
76854						CONF	CONF			
77150	0	0	0	0	0	CONF	CONF	0	0	
77253						CONF	CONF			
77422						CONF	CONF			
77851	82606	7066	81969	0	0	CONF	CONF	0	2579	
78157						CONF	CONF			
78241						CONF	CONF			
78559						CONF	CONF			
79042						CONF	CONF			
79127						CONF	CONF			
79145	43693	10732				CONF	CONF			
79257						CONF	CONF			
79855						CONF	CONF			
80150						CONF	CONF			
80374						CONF	CONF			
80431						CONF	CONF			
81175						CONF	CONF			
82033						CONF	CONF			
82257						CONF	CONF			
82350						CONF	CONF			
82659	0	0	0	0	0	CONF	CONF	0	0	
83151						CONF	CONF			
83236						CONF	CONF			
83375						CONF	CONF			
83638	1874	0	1897	0	0	CONF	CONF	0	17	
83834						CONF	CONF			
83852						CONF	CONF			
83955						CONF	CONF			
84046						CONF	CONF			
84541	30748	4408				CONF	CONF			
84804						CONF	CONF			
85052						CONF	CONF			
85472	56722	23129	1330	0	0	CONF	CONF	1217	1019	
85931						CONF	CONF			
86349						CONF	CONF			
86675						CONF	CONF			
87047						CONF	CONF			
87159						CONF	CONF			
87234	108694	51914				CONF	CONF			
87476						CONF	CONF			
87579						CONF	CONF			
88231	547470	179289				CONF	CONF			
88259						CONF	CONF			
88352						CONF	CONF			
88455						CONF	CONF			
88950						CONF	CONF			
89032						CONF	CONF			
89135						CONF	CONF			
89854						CONF	CONF			
89957						CONF	CONF			
90047						CONF	CONF			
90177						CONF	CONF			
90328						CONF	CONF			
90337	0	0	0	0	0	CONF	CONF	0	0	
90579						CONF	CONF			
91615						CONF	CONF			
91754	0	0	0	0	0	CONF	CONF	0	0	
91950						CONF	CONF			
92144						CONF	CONF			
92676						CONF	CONF			
92706						CONF	CONF			
92902						CONF	CONF			
93244						CONF	CONF			
93543	30229	3662				CONF	CONF			
93619						CONF	CONF			
94139						CONF	CONF			
94522						CONF	CONF			
94755						CONF	CONF			
94858						CONF	CONF			
95051	3074258	115391	141517	3045001	0	CONF	CONF	0	57301	
95677						CONF	CONF			
96553						CONF	CONF			
97055						CONF	CONF			
97279						CONF	CONF			
97457						CONF	CONF			
97804	24970	3467				CONF	CONF			
97943						CONF	CONF			
98351						CONF	CONF			
98463						CONF	CONF			
98717	0	0	0	0	0	CONF	CONF	0	0	
99143						CONF	CONF			
99376	45254	15568	49354	0	0	CONF	CONF	300	1593	
99442						CONF	CONF			
99536						CONF	CONF			
99853						CONF	CONF			
100236						CONF	CONF			
100357						CONF	CONF			
100562	69878	6570	68096	0	0	CONF	CONF	0	3726	
100777						CONF	CONF			
100843						CONF	CONF			
101019	0	0	0	0	0	CONF	CONF	0	0	
101037						CONF	CONF			
101439						CONF	CONF			
101671						CONF	CONF			
101738						CONF	CONF			
101952						CONF	CONF			
102333						CONF	CONF			
102342						CONF	CONF			
102539						CONF	CONF			
102557						CONF	CONF			
102874	28424	0	28424	0	0	CONF	CONF	0	1109	
103134	0	0	0	0	0	CONF	CONF	0	0	
104234						CONF	CONF			
104542						CONF	CONF			
104971						CONF	CONF			
105026						CONF	CONF			
105473	32328	3802				CONF	CONF			
105530						CONF	CONF			
106359						CONF	CONF			
106452						CONF	CONF			
106676						CONF	CONF			
107244	0	0	0	0	0	CONF	CONF	0	0	
107459						CONF	CONF			
107570						CONF	CONF			
107758						CONF	CONF			
108072						CONF	CONF			
108269						CONF	CONF			
108652						CONF	CONF			
108746						CONF	CONF			
108951	34521	9593				CONF	CONF			
109136						CONF	CONF			
109154						CONF	CONF			
109453						CONF	CONF			
109574						CONF	CONF			
109659						CONF	CONF			
110413						CONF	CONF			
110936						CONF	CONF			
110945						CONF	CONF			
110972						CONF	CONF			
111157	0	0	0	0	0	CONF	CONF	0	0	
111205						CONF	CONF			
111942	46769	0				CONF	CONF			
111979						CONF	CONF			
112163	52618	9148	54572	0	0	CONF	CONF	0	1904	
112332						CONF	CONF			
112444						CONF	CONF			
112510						CONF	CONF			
112556						CONF	CONF			
112837	0	0	0	0	0	CONF	CONF	0	0	
113003						CONF	CONF			
113030						CONF	CONF			
113441						CONF	CONF			
113601						CONF	CONF			
113740	63345	15151	64304	0	0	CONF	CONF	0	2267	
113937						CONF	CONF			
114149						CONF	CONF			
114251						CONF	CONF			
114260	64709	21319	69800	0	0	CONF	CONF	0	1900	
114457						CONF	CONF			
114774	59368	9652				CONF	CONF			
114840	17557	1742				CONF	CONF			
114859						CONF	CONF			
115146						CONF	CONF			
115575						CONF	CONF			
116358						CONF	CONF			
116554	48374	7558				CONF	CONF			
116741						CONF	CONF			
117038	0	0	0	0	0	CONF	CONF	0	0	
117074						CONF	CONF			
117458						CONF	CONF			
117775	0	0	0	0	0	CONF	CONF	0	0	
118156						CONF	CONF			
118660						CONF	CONF			
118736						CONF	CONF			
119153						CONF	CONF			
119528						CONF	CONF			
119779	32258	3250	31122	0	0	CONF	CONF	0	1195	
119872						CONF	CONF			
120476						CONF	CONF			
120542						CONF	CONF			
120609						CONF	CONF			
120953						CONF	CONF			
121642	100366	26774	106965	0	0	CONF	CONF	0	2826	
121651						CONF	CONF			
121914						CONF	CONF			
122153						CONF	CONF			
122546						CONF	CONF			
122854	287612	87406	295783	0	1144	CONF	CONF	0	12936	
123075						CONF	CONF			
123374						CONF	CONF			
124344	41716	3505				CONF	CONF			
124830						CONF	CONF			
125154						CONF	CONF			
125471						CONF	CONF			
125855	38375	6332				CONF	CONF			
125873						CONF	CONF			
125958						CONF	CONF			
126012						CONF	CONF			
126049						CONF	CONF			
126375						CONF	CONF			
