"IDRSSD"	RCON0352	RCON2202	RCON2203	RCON2210	RCON2213	RCON2215	RCON2216	RCON2236	RCON2343	RCON2365	RCON2377	RCON2385	RCON2520	RCON2530	RCON5590	RCON6648	RCON6810	RCON6835	RCONA241	RCONA243	RCONA579	RCONA580	RCONA581	RCONA582	RCONA584	RCONA585	RCONA586	RCONA587	RCONB549	RCONB550	RCONB551	RCONB552	RCONF233	RCONJ472	RCONJ473	RCONJ474	RCONK219	RCONK220	RCONK221	RCONK222	RCONK223	
	OTH NONTRANSACTION SAVINGS DEPOSITS	TOT TRANSACTION ACCTS-US GOVERNMENT	TOT TRANSACT ACCTS-STS&POL SUB IN US	TOTAL DEMAND DEPOSITS	TOT TRANS ACCTS-BKS IN FGN COUNTRIES	TOTAL TRANSACTIONS ACCOUNTS	TOT TRANS ACCTS-FGN GOVTS&OFFCL INST	NONTRANS DPS OF BKS IN FGN COUNTRIES	BROKERED DEPS LT 100000	TOTAL BROKERED DEPOSITS	TOT NONTRANS ACCTS-FGN GOVTS&OFFCL I	TOTAL NONTRANSACTION ACCOUNTS	TOT NONTRANSACTION ACCTS-US GOVT	TOT NONTRANSACTION ACCTS-STS&POL SUB	PREFERRED DEPOSITS	TIME DEPOSITS LT 100000	AMT OUTSTDG IN MONEY MARKET DEP ACCT	IRA AND KEOGH PLAN ACCOUNTS	TM DEPS LT 100000 MAT LESS 1 YR	BROKERED DEPS LT 100000 MAT LE 1 YR	TM DEPS LT 100000 MAT/REPRCE LE 3 MO	TM DEPS LT 100000 MAT/REPRCE 3-12 MO	TM DEPS LT 100000 MAT/REPRCE 1-3 YR	TM DEPS LT 100000 MAT/REPRCE GT 3 YR	TM DEPS GE 100000 MAT/REPRCE LE 3 MO	TM DEPS GE 100000 MAT/REPRCE 3-12 MO	TM DEPS GE 100000 MAT/REPRCE 1-3 YR	TM DEPS GE 100000 MAT/REPRCE GT 3 YR	TRANSACTION ACCTS: IPC DEPOSITS	NONTRANSACTION ACCTS: IPC DEPOSITS	TRANSACTION ACCT: CB'S & DI'S IN U.S	NONTRANSACT ACCT: CB'S & DI'S IN U.S	IRA KEOGH IN MEM ITEM 2.C	BROKERED DEPS LT 100K GE 250K	TIME DEPOSITS EQ 100K LE 250K	TIME DEPOSITS GT 250K	BRKRD DEP 100000 - 250000 MAT LE 1 Y	BRKRD DEP GT 250000 MAT LE 1 YR	TIME DEP 100000 - 250000 MAT LE 1 YR	TIME DEP GT 250000 MAT LE 1 YRDEP	EST DEP LISTING SERVICE NOT BROKERED	
37	5564	0	3063	7315	0	15033	0	0	0	0	0	51820	0	545		28620	2019	4970	16474	0	3727	12747	12046	100	2802	7016	5798	0	11970	51275	0	0	841	0	15043	573	0	0	9567	251	0	
242	4383	0	314	6449	0	11888	0	0	0	0	0	15359	0	1033		6348	2559	1829	3925	0	1443	2482	2010	413	507	893	466	203	11574	14326	0	0	251	0	2069	0	0	0	1400	0	0	
279	18412	0	0	7354	0	22458	0	0	0	0	0	88916	0	0		34180	2926	12435	24591	0	6491	18100	8114	1475	7239	16535	7081	2543	22458	88916	0	0	4335	0	31248	2150	0	0	22126	1648	0	
354	1553	0	77	2864	0	2864	0	0	0	0	0	6699	0	1745		2651	1258	0	2651	0	720	1931	0	0	1006	230	0	0	2787	4954	0	0	0	0	1236	0	0	0	1236	0	0	
457	4363	0	255	3964	0	6529	0	0	0	0	0	25412	0	1605		9873	8138	2409	7798	0	1393	6405	1577	498	501	1722	319	496	6274	23807	0	0	552	0	3038	0	0	0	2223	0	0	
505	116984	0	3594	12898	0	25204	0	0	132	609	0	290506	0	77292		36326	116368	7487	28348	132	9129	19219	6910	1068	6438	8587	5151	652	21610	213214	0	0	2089	477	12881	7947	477	0	8018	7007	0	
1155	739	1	2173	23478	0	99591	0	0	0	0	0	93721	0	2672		52592	7551	13832	33531	0	30171	14486	4541	3394	20183	7863	2670	2123	97388	90799	29	250	5452	0	25531	7308	0	0	17468	4407	0	
1351	4188	0	8572	14514	0	27193	0	0	0	0	0	115668	0	6214		49583	20945	10000	39598	0	13107	26491	9985	0	9793	21817	9342	0	18621	109454	0	0	3767	0	30251	10701	0	0	23719	7891	0	
1454	1248	0	9266	147354	0	256043	0	0	0	0	0	277965	720	33368		51200	160638	25678	31511	0	15403	18981	8997	7819	41231	14796	4800	4052	246777	243877	0	0	7910	0	21638	43241	0	0	14477	18403	0	
1557	6823	0	1962	21723	0	29397	0	0	0	0	0	30635	0	4122		12151	3072	1935	8614	0	2532	6082	2581	956	3904	2437	1090	1158	27435	23287	0	3226	247	0	3972	4617	0	0	2593	3352	0	
1669	17379	3	21165	43681	0	96940	0	0	0	0	0	105324	0	366		45506	19364	11761	34743	0	12942	22693	7379	2492	4744	13347	3691	1293	75682	104917	90	41	2405	0	20166	2909	0	0	15482	0	0	
1829	45067	0	90	78538	0	98346	0	0	296	1206	0	242909	0	3726		72762	85465	22974	29660	67	10574	19086	24698	18404	4974	6223	15167	13251	98256	239107	0	76	8265	910	26687	12928	553	0	6243	4827	0	
1856	879	0	403	2331	0	4017	0	0	53862	53862	0	61100	0	285		58350	1770	0	18576	17549	5025	16550	21087	15688	0	100	0	0	3614	60815	0	0	0	0	100	0	0	0	100	0	0	
2040	12281	12	4615	15280	0	38404	0	0	20566	31868	0	117666	0	6433		40388	54588	8123	22013	8196	3861	18152	9256	9119	524	5331	4177	377	33777	111000	0	233	1548	11302	9350	1059	10950	0	2853	1059	0	
2161	18513	0	12580	20421	0	57966	0	0	0	0	0	61853	0	10876		14012	4366	7341	12251	0	3727	8524	1373	388	13071	10436	1151	304	45386	50977	0	0	186	0	11651	13311	0	0	20709	2798	0	
2376	327776	0	10038	22383	0	59870	0	0	22888	22888	0	1347812	0	43864		374979	421527	76854	277414	0	103645	175934	69754	25647	71384	103547	41117	7482	49832	1303948	0	0	24899	0	180024	43506	0	0	137053	36107	0	
2554	1900	0	152	88	0	4848	0	0	0	0	0	6183	38	1456		2642	0	1	2196	0	530	1666	276	170	740	900	0	0	4696	4689	0	0	0	0	1140	500	0	0	1140	500	0	
2732	37595	0	17259	82319	0	132181	0	0	0	0	0	322561	0	17797		62745	58147	15765	46877	0	25724	31157	4949	915	108393	49834	4056	1791	114922	304764	0	0	5642	0	50898	113176	0	0	44393	110296	0	
2750	9353	0	1709	6126	0	14371	0	0	145	145	0	34210	0	8341		12851	740	1943	8198	145	3618	4983	3717	533	2699	6321	2043	202	12662	25430	0	439	360	0	6963	4302	0	0	5649	3217	0	
3177	442802	0	17650	42485	0	72660	0	0	0	0	0	696492	0	95641		150687	12415	55607	96922	0	31501	65421	47448	6317	11490	42060	31762	5274	55010	600597	0	254	22052	0	62053	28533	0	0	34587	18963	0	
3252	13307	0	275	17496	0	67075	0	0	216	18313	0	77620	0	9518		16805	11841	6426	11998	216	3860	8138	2617	2191	16741	13471	3541	1914	66800	66933	0	1169	0	18097	21727	13940	16860	0	17844	12265	0	
3458	1588	0	3644	3301	0	10637	0	0	0	0	0	16029	0	1673		7684	2064	648	5294	0	1365	3929	2017	373	1019	2572	1002	100	6993	14356	0	0	114	0	4693	0	0	0	3591	0	0	
3720	26704	0	20601	22872	0	82238	0	0	0	0	0	90408	0	1244		30472	4454	7375	28778	0	8750	20541	1147	34	6267	22256	256	0	61637	89164	0	0	2991	0	16793	11986	0	0	16537	11986	0	
3953	1545	0	209	10817	0	13729	0	0	0	0	0	31099	0	587		4302	16897	0	4090	0	1353	2737	185	27	2934	5314	107	0	13520	30013	0	499	0	0	6774	1581	0	0	6667	1581	1732	
3971	83205	0	1361	35301	0	35831	0	0	0	100	0	497997	0	13606		151177	198131	34326	90882	0	20911	69971	45993	14302	9186	26027	22628	7643	34470	483246	0	1145	12271	100	56114	9370	100	0	29639	5574	896	
4156	15594	0	11578	28521	0	67536	0	0	2661	15949	0	99281	0	6824		34068	20345	6939	23358	1322	7418	15940	6980	3730	10256	14320	2710	1988	55958	91429	0	1028	2861	13288	25488	3786	13119	0	21443	3133	0	
4231	11775	0	8421	20232	0	30732	0	0	0	0	0	81399	0	5870		27057	11104	19114	19472	0	4606	14867	4469	3115	6126	14620	3221	7496	22311	75529	0	0	12683	0	22021	9442	0	0	16572	4174	2529	
4437	63176	0	5745	23195	0	65361	0	0	440	3837	0	161787	0	13963		36803	18645	11443	18960	39	2829	16131	12081	5762	2980	20513	13665	6007	59616	147824	0	0	0	3397	33366	9799	2195	0	19648	3845	0	
4839	24677	0	14	36718	0	48971	0	0	22974	22974	0	218398	0	8726		68688	53292	10543	42075	8490	7981	34094	25092	1521	18292	29357	18957	5136	48957	185556	0	24116	3449	0	50213	21529	0	0	27072	18129	34031	
5005	63204	0	2	34721	0	46980	0	0	0	0	0	204445	0	5		76384	15150	19942	54374	0	15831	38543	19972	2038	11619	23546	12320	2222	46978	204089	0	351	6616	0	38522	11185	0	0	26252	8912	0	
5069	81964	0	1	14443	0	16749	0	0	34936	87440	0	296556	4000	1902		59825	4466	1390	25717	8981	6688	19029	12615	21493	26510	63889	50046	9856	16748	246963	0	43691	789	52504	114265	36036	25548	0	65294	25105	2628	
5135	12366	0	21897	45535	0	84565	0	0	18677	30730	0	219690	0	3806		63722	38268	17535	58446	18629	15726	42720	5276	0	30050	63468	11816	0	62668	181442	0	34442	7076	8275	70085	35249	5378	3330	59689	33829	4000	
5210	307668	2	29547	55728	0	89830	0	0	111	1546	0	700107	0	30375		202791	110723	60596	118438	86	30630	90214	77412	4535	8680	36376	33001	868	60281	669659	0	73	10892	1435	64393	14532	1435	0	34355	10535	0	
5331	19435	5	0	51480	0	63995	0	0	976	6349	0	170921	0	2538		35367	83831	8791	28047	976	11713	16334	6237	1083	11113	14816	5713	646	63990	168139	0	244	1358	5373	25759	6529	5373	0	21261	4668	0	
5461	185779	0	2886	34238	0	41964	0	0	2036	19789	0	365654	0	15762		13414	128334	5262	12267	1858	5338	6929	798	349	12409	23881	1355	482	39078	349892	0	0	2402	17753	17479	20648	17753	0	15642	20648	0	
5751	6089	0	928	7650	0	21936	0	0	0	0	0	72763	0	22497		9970	50007	4988	7379	0	1880	5499	2584	7	1897	2964	1836	0	21008	50266	0	0	564	0	6697	0	0	0	4861	0	0	
6039	7013	0	6831	18453	0	26490	0	0	0	0	0	47363	0	1030		23478	4167	8169	22865	0	5131	17734	613	0	4004	8234	467	0	19658	46327	1	6	3032	0	10351	2354	0	0	9884	2354	0	
6141	2534	10	7984	21601	0	38372	0	0	0	0	0	20935	1	1902		7425	964	1232	6394	0	1887	4507	1030	1	3182	6830	0	0	30378	19032	0	0	229	0	4465	5547	0	0	4465	5547	0	
6329	18623	0	12914	87728	0	121983	0	0	10756	10756	0	280882	0	5489		93130	34590	14429	79695	5721	26292	53403	11494	1941	32979	86721	8931	5908	109069	275393	0	0	4840	0	97539	37000	0	0	81668	38032	0	
7009	0	54	10	88430	0	88430	0	0	0	0	0	663107	0	0		0	663107	117	0	0	0	0	0	0	0	0	0	0	88366	663107	0	0	0	0	0	0	0	0	0	0	0	
7045	13081	0	10742	19095	0	63813	0	0	0	0	0	70218	0	8171		26726	12138	6593	13980	0	3472	10710	9886	2658	2126	8466	6625	1056	53071	62047	0	0	2427	0	9926	8347	0	0	4486	6106	0	
7072	12401	0	0	2416	0	9408	0	0	0	0	0	91270	0	0		38466	20458	16700	31560	0	7689	23871	5578	1328	1896	12181	4079	1789	9408	90018	0	1252	6038	0	14952	4993	0	0	10193	3884	0	
7157	1306	0	981	5680	0	10185	0	0	0	0	0	34349	12	2502		12936	10021	3402	11521	0	3162	8360	1414	0	5085	3484	1517	0	9204	31835	0	0	1211	0	5196	4890	0	0	3942	4626	0	
