"IDRSSD"	RCONC223	RCONC224	RCONC968	RCONC969	RCONC970	RCONC971	RCONC972	RCONC973	RCONC974	RCONC975	RCONC978	RCONF164	RCONF165	RCONG401	RCONG402	RCONG403	RCONG404	RCONG405	RCONG406	RCONG407	RCONG408	RCONG409	RCONG410	RCONG411	RCONG412	RCONG413	RCONG414	RCONG415	RCONG416	RCONG417	RCONG418	RCONG419	RCONG420	RCONG421	RCONG422	RCONG423	RCONG424	RCONG425	RCONG426	RCONG427	RCONG428	RCONG429	RCONG430	RCONG431	RCONG432	RCONG433	RCONG434	RCONG435	RCONG436	RCONG437	RCONG438	RCONG439	RCONG440	RCONG441	RCONG442	RCONG443	RCONG444	RCONG445	RCONG446	RCONG447	RCONG448	RCONG449	RCONG450	RCONG451	RCONG452	RCONG453	RCONG454	RCONG455	RCONG456	RCONG457	RCONG458	RCONG459	RCONG460	RCONG461	RCONG462	RCONJ455	RCONJ456	RCONJ457	RCONJ458	RCONJ459	RCONJ477	RCONJ478	TEXT3555	TEXT3556	TEXT3557	TEXT5592	TEXT5593	TEXT5594	TEXT5595	
12179	0	0	0	0	0	0	0	0	0	0	0	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																29	0	0										
12245	0	0	0	0	0	0	0	0	0	0	0	377	8790	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																1032	0	644										
12311																																																																																										
12647	0	0	0	0	0	0	0	0	0	0	0	710	7320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																0	0	3032										
12656	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																9	0	232										
12937	0	0	0	0	0	0	0	0	0	0	0	396	7514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																1814	0	2960										
12946	0	0	0	0	0	0	0	0	0	0	116510	4315	55710	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																														1075	614	27950	0	6481										
12955	0	0	0	0	0	0	0	0	0	0	0	3089	3645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																7474	0	83										
13103	0	0	0	0	0	0	0	0	0	0	0	27191	6873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																														0	0	75553	0	17886										
13251	768	0	0	0	0	0	0	0	0	0	0	153	157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																362	0	332										
13457	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																498	0	2691										
14052	0	0	0	0	0	0	0	0	0	0	0	194	562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																526	0	236										
14155	0	0	0	0	0	0	0	0	0	0	0	2053	937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																285	0	4605										
14650	0	408	0	0	0	0	0	0	0	0	0	0	198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																21	0	1690										
14753	0	0	0	0	0	0	0	0	0	0	0	349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																668	0	4882										
14865	0	0	0	0	0	0	0	0	0	0	0	1186	529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																10698	0	30809										
14977	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																0	0	2482										
16458	0	0	0	0	0	0	0	0	0	0	0	899	9873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																7984	0	5074										
16551	0	0	0	0	0	0	0	0	0	0	0	1380	3357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																4436	0	2218										
16748	0	0	0	0	0	0	0	0	0	0	0	383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																967	0	1271										
16944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																0	0	0										
16953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																0	0	0										
17110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																9359	0	65410										
