"IDRSSD"	RCFD1578	RCFD1752	RCFD2148	RCFD2160	RCFD2166	RCFD2168	RCFD3549	RCFD3550	RCFD3551	RCFDA519	RCFDA520	RCFDB556	RCFDC010	RCFDC436	RCFDJ448	RCFDJ449	RCFDK201	RCFDK202	RCFDK270	RCON1578	RCON1752	RCON2148	RCON2160	RCON2166	RCON2168	RCON3549	RCON3550	RCON3551	RCONA519	RCONA520	RCONB556	RCONC010	RCONC436	RCONJ448	RCONJ449	RCONK201	RCONK202	RCONK270	TEXT3549	TEXT3550	TEXT3551	
	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	INT-ONLY STRIPS RCVBL ON:MORTG LOANS	INT-ONLY STRPS RCVBL ON:OT FIN ASSTS	ACCRUED INTEREST RECEIVABLE	DERIVATIVES W/POSITIVE FAIR VALUE	RETAINED INT IN ACCURED INTEREST	FDIC LOSS-SHARING INDEMINIFICATION A	PREPAID DEPOSIT INSURANCE ASSESSMENT	LIFE INS ASSET GNRL ACCNT	LIFE INS ASSET SEPARATE ACCNT	LIFE INS ASSET HYBRID ACCNT	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	INT-ONLY STRIPS RCVBL ON:MORTG LOANS	INT-ONLY STRPS RCVBL ON:OT FIN ASSTS	ACCRUED INTEREST RECEIVABLE	DERIVATIVES W/POSITIVE FAIR VALUE	RETAINED INT IN ACCURED INTEREST	FDIC LOSS-SHARING INDEMINIFICATION A	PREPAID DEPOSIT INSURANCE ASSESSMENT	LIFE INS ASSET GNRL ACCNT	LIFE INS ASSET SEPARATE ACCNT	LIFE INS ASSET HYBRID ACCNT	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	
37																CONF				0	132	0	895	97	170	0	0	0	0	0	593	0	0	0	CONF	0	0	0				
242																CONF				0	242	0	514	8	80	0	0	0	0	0	192	0	0	0	CONF	0	0	0				
279																CONF				0	1218	371	2555	51	240	0	0	0	0	0	649	0	0	0	CONF	77	0	0				
354																CONF				0	0	67	150	0	22	0	0	0	0	0	61	0	0	0	CONF	0	0	0				
457																CONF				0	195	0	1176	0	116	0	0	0	0	0	311	0	0	0	CONF	554	0	0				
505																CONF				0	4143	0	14228	1459	4633	1517	0	0	0	0	1386	0	0	0	CONF	4066	0	0	prepaid pension			
1155																CONF				0	1153	0	7032	225	737	0	0	0	0	0	1112	0	0	0	CONF	4030	0	0				
1351																CONF				7	0	0	1590	98	293	0	0	0	0	0	1297	0	0	0	CONF	0	0	0				
1454																CONF				0	1092	0	10961	1095	2273	0	0	0	0	0	2870	0	0	0	CONF	4726	0	0				
1557																CONF				0	147	0	1307	0	294	0	0	0	0	0	866	0	0	0	CONF	0	0	0				
1669																CONF				0	1181	0	9857	118	552	0	0	0	0	0	1337	0	0	0	CONF	4762	0	2025				
1829																CONF				0	2129	275	6403	1013	2748	0	0	0	0	0	1251	0	0	0	CONF	0	0	0				
1856																CONF				0	2725	0	3593	334	334	0	0	0	0	0	534	0	0	0	CONF	0	0	0				
2040																CONF				0	1546	244	7089	658	1869	665	0	0	0	0	854	0	0	0	CONF	2576	0	0	Accrued taxes			
2161																CONF				0	808	0	4515	159	309	0	0	0	0	0	713	0	0	0	CONF	0	0	2685				
2376																CONF				0	35016	23242	122748	840	9411	0	0	0	0	0	9194	0	0	0	CONF	34812	0	11073				
2554																CONF				0	0	0	141	12	51	22	0	0	0	0	90	0	0	0	CONF	0	0	0	software			
2732																CONF				0	174	1521	5524	0	1331	0	0	0	0	0	2087	0	0	0	CONF	0	411	0				
2750																CONF				0	545	0	2509	174	293	0	0	0	0	0	743	0	0	0	CONF	928	0	0				
3177																CONF				0	6435	3233	35085	1032	3765	0	0	0	0	0	2691	0	0	0	CONF	18961	0	0				
3252																CONF				0	323	0	3082	370	904	223	0	0	0	0	1855	0	0	0	CONF	0	0	0	NP DDA Debits			
3458																CONF				0	185	69	589	30	80	0	0	0	0	0	255	0	0	0	CONF	0	0	0				
3720																CONF				0	558	171	5743	209	517	0	0	0	0	0	751	0	0	0	CONF	1466	0	2280				
3953																CONF				0	499	0	1131	83	358	0	0	0	0	0	128	0	0	0	CONF	146	0	0				
3971																CONF				0	4484	1714	27724	0	7579	0	0	0	0	0	2638	0	0	0	CONF	11309	0	0				
4156																CONF				0	2564	0	7908	0	643	0	0	0	0	0	1190	0	0	0	CONF	2640	0	871				
4231																CONF				0	0	74	1097	0	298	0	0	0	0	0	725	0	0	0	CONF	0	0	0				
4437																CONF				0	904	884	7883	286	999	0	0	0	0	0	975	0	0	0	CONF	4121	0	0				
4839																CONF				0	1495	0	3803	0	688	0	0	0	0	0	1620	0	0	0	CONF	0	0	0				
5005																CONF				0	4425	4514	19087	0	971	428	0	0	0	0	979	0	0	0	CONF	8198	0	0	SERP			
5069																CONF				0	0	777	6545	1066	3077	1609	0	0	0	0	2691	0	0	0	CONF	0	0	0	Accounts Receivable			
5135																CONF				4	1582	1150	10570	213	1112	157	0	0	0	0	3103	0	0	0	CONF	3623	0	0	Fifth Third Clearing			
5210																CONF				0	6518	1606	49405	0	8966	4511	0	0	0	0	3666	0	0	0	CONF	24875	0	3774	Prepaid Pension			
5331																CONF				0	3965	2649	9525	0	2162	1314	0	0	0	0	426	0	0	0	CONF	323	0	0	accrued interest on securities purchased			
5461																CONF				0	2030	0	11945	0	7354	3539	2000	0	0	0	1861	0	0	0	CONF	700	0	0	QZAB	PFRD STOCK-SR HOUSING CRIME PREV FOUNDATION		
5751																CONF				0	304	0	3886	100	242	0	0	0	0	0	682	0	0	0	CONF	1384	0	1274				
6039																CONF				0	136	202	2430	0	1391	614	468	0	0	0	438	0	0	0	CONF	0	263	0	Due From Holding Company	Due From USDA		
6141																CONF				0	0	0	577	129	186	0	0	0	0	0	391	0	0	0	CONF	0	0	0				
6329																CONF				476	728	4201	14388	421	2479	0	0	0	0	0	2241	0	0	0	CONF	2191	0	2548				
7009																CONF				0	0	262	12479	0	8507	5505	0	0	0	0	3710	0	0	0	CONF	0	0	0	Receivables			
7045																CONF				0	585	0	1924	112	405	0	0	0	0	0	934	0	0	0	CONF	0	0	0				
7072																CONF				0	1032	2271	6323	152	2494	1753	0	0	0	0	526	0	0	0	CONF	0	0	0	Deferred Compensation			
7157																CONF				0	18	0	699	0	273	170	0	0	0	0	408	0	0	0	CONF	0	0	0	Lease contracts receivable			
7456																CONF				0	322	0	1078	0	236	98	0	0	0	0	520	0	0	0	CONF	0	0	0	Prepaid Health Insurance			
7634																CONF				0	250	0	753	158	226	60	0	0	0	0	277	0	0	0	CONF	0	0	0	LATE FEES RECEIVABLE			
8033																CONF				0	1288	0	3564	83	265	26	13	0	0	0	1014	0	0	0	CONF	997	0	0	SPECIAL HANDLING	OTHER ASSETS		
8462																CONF				0	21	0	979	0	283	0	0	0	0	0	675	0	0	0	CONF	0	0	0				
8631																CONF				6	138	125	2635	78	231	0	0	0	0	0	159	0	0	0	CONF	1982	0	0				
9357																CONF				0	671	0	2560	0	858	0	0	0	0	0	1031	0	0	0	CONF	0	0	0				
9553																CONF				0	1067	0	3613	230	822	459	0	0	0	0	1076	0	0	0	CONF	648	0	0	Nebraska Fund XV Investment			
9807																CONF				0	18071	0	124019	0	8582	6081	1560	0	0	0	9525	162	0	0	CONF	0	87841	0	Settlement Claim	Peformance Bond (Madison Crossing)		
9955																CONF				0	1044	0	2201	0	265	0	0	0	0	0	892	0	0	0	CONF	0	0	0				
10250																CONF				56	941	9808	12702	243	631	258	0	0	0	0	1058	0	0	0	CONF	264	0	0	Computer Software			
10849																CONF				0	1668	1258	6280	167	1437	0	0	0	0	0	901	650	0	0	CONF	1016	0	0				
10858																CONF				0	1450	0	5505	0	2110	0	0	0	0	0	1945	0	0	0	CONF	0	0	0				
11145																CONF				299	1490	235	6345	82	826	0	0	0	0	0	509	0	0	0	CONF	1114	0	2171				
11275																CONF				0	3975	9950	63312	0	14232	3930	0	0	0	0	3802	0	0	0	CONF	18640	12713	0	Income tax receivable			
11640																CONF				0	2672	0	13563	424	1008	0	0	0	0	0	2810	0	0	0	CONF	7073	0	0				
11837																CONF				0	503	430	2023	0	379	154	0	0	0	0	711	0	0	0	CONF	0	0	0	State Income Tax Receivable			
12030																CONF				0	4251	2305	10421	37	1709	589	0	0	0	0	1691	0	0	0	CONF	465	0	0	RECLASSED NSF's			
12142																CONF				99	741	0	3991	148	2109	0	0	0	0	0	1141	0	0	0	CONF	0	0	0				
12179																CONF				0	710	76	3378	76	115	0	0	0	0	0	129	0	0	0	CONF	1205	0	1143				
12245																CONF				0	416	11	1380	179	460	0	0	0	0	0	493	0	0	0	CONF	0	0	0				
12311	0	291304	334790	3208033	0	903597	0	0	0	0	0	161761	0	0	0	CONF	280843	474809	760929		291304														CONF							
12647																CONF				0	310	0	1356	0	405	0	0	0	0	0	641	0	0	0	CONF	0	0	0				
12656																CONF				0	29	30	261	46	79	0	0	0	0	0	123	0	0	0	CONF	0	0	0				
12937																CONF				0	864	0	2053	159	473	0	0	0	0	0	716	0	0	0	CONF	0	0	0				
12946																CONF				0	2097	0	19093	0	1889	0	0	0	0	0	3707	0	0	0	CONF	1087	10313	0				
12955																CONF				0	453	0	1219	390	390	0	0	0	0	0	376	0	0	0	CONF	0	0	0				
13103																CONF				0	11380	7373	32323	1221	4776	0	0	0	0	0	3495	0	0	0	CONF	5299	0	0				
13251																CONF				0	195	0	826	18	83	0	0	0	0	0	227	0	0	0	CONF	321	0	0				
13457																CONF				0	0	0	1583	25	25	0	0	0	0	0	241	0	0	0	CONF	1317	0	0				
14052																CONF				0	198	187	2264	74	268	0	0	0	0	0	236	0	0	0	CONF	1034	341	0				
14155																CONF				22	589	0	4791	179	549	0	0	0	0	0	956	0	0	0	CONF	2697	0	0				
14650																CONF				6	68	176	1749	52	110	0	0	0	0	0	120	0	0	0	CONF	1275	0	0				
14753																CONF				0	9	0	532	0	123	0	0	0	0	0	400	0	0	0	CONF	0	0	0				
14865																CONF				0	560	1013	9743	425	1541	0	0	0	0	0	2441	0	0	0	CONF	0	0	4188				
14977																CONF				0	208	137	845	48	134	0	0	0	0	0	226	0	0	0	CONF	0	140	0				
16458																CONF				0	781	0	2722	218	639	0	0	0	0	0	1302	0	0	0	CONF	0	0	0				
16551																CONF				0	2079	542	6831	0	930	0	0	0	0	0	1123	0	0	0	CONF	2157	0	0				
16748																CONF				0	277	0	2334	0	183	0	0	0	0	0	404	0	0	0	CONF	1470	0	0				
16944																CONF				0	0	0	432	26	111	0	0	0	0	0	321	0	0	0	CONF	0	0	0				
16953																CONF				0	0	0	347	16	74	0	0	0	0	0	273	0	0	0	CONF	0	0	0				
17110																CONF				0	219	0	2947	0	2619	1259	0	0	0	0	109	0	0	0	CONF	0	0	0	iNVESTMENT ADVISORY/TRUSTEE FEES RECEIVABLE			
17147																CONF				0	33026	24909	216142	12480	19051	0	0	0	0	0	16724	4862	0	0	CONF	56125	61116	5191				
17259																CONF				11	372	0	2490	88	230	0	0	0	0	0	316	0	0	0	CONF	1572	0	0				
17464																CONF				0	10472	0	53180	3081	4763	0	0	0	0	0	3166	0	0	0	CONF	7986	26793	0				
17950																CONF				0	1037	0	4181	92	480	0	0	0	0	0	2166	0	0	0	CONF	0	0	498				
17978																CONF				7	3955	1828	7224	78	392	109	6	0	0	0	1049	0	0	0	CONF	0	0	0	Accrued Late Charges Receivable	Accounts Receivable		
18050																CONF				0	717	0	3548	0	1440	0	0	0	0	0	1391	0	0	0	CONF	0	0	0				
18135																CONF				0	1501	0	7809	157	710	0	0	0	0	0	1089	0	0	0	CONF	4509	0	0				
18377																CONF				0	114	13	422	61	186	41	0	0	0	0	109	0	0	0	CONF	0	0	0	Delayed Principal Payments on MBS			
18827																CONF				0	1263	987	9608	405	1001	0	0	0	0	0	1341	0	0	0	CONF	0	0	5016				
18836																CONF				0	716	982	6274	0	933	263	0	0	0	0	613	0	0	0	CONF	3030	0	0	EFT PREPAID			
18854																CONF				0	689	0	3348	225	845	232	147	45	0	0	1814	0	0	0	CONF	0	0	0	CORE DEPOSIT INTANGIBLE	MORTGAGE SERVICING FEES	CDARS RATE BRIDGE ADJUSTMENT	
18957																CONF				0	261	0	368	0	16	0	0	0	0	0	91	0	0	0	CONF	0	0	0				
19356																CONF				0	162	0	1148	63	276	0	0	0	0	0	340	0	0	0	CONF	370	0	0				
19730																CONF				0	11006	37100	114730	0	16613	0	0	0	0	0	5523	0	0	0	CONF	40864	0	3624				
19936																CONF				0	491	788	6402	409	882	0	0	0	0	0	921	0	0	0	CONF	0	3320	0				
19972																CONF				0	157	286	3261	0	83	0	0	0	0	0	192	0	0	0	CONF	2543	0	0				
20053																CONF				0	338	528	1398	109	189	0	76	0	0	0	343	0	0	0	CONF	0	0	0	0	Federal Current Taxes Payable		
20512																CONF				0	791	993	5241	0	2923	0	0	0	0	0	534	0	0	0	CONF	0	0	0				
20633																CONF				0	1337	239	10744	364	1263	0	0	0	0	0	1232	0	0	0	CONF	6673	0	0				
20857																CONF				0	627	0	2294	35	191	0	0	0	0	0	1235	0	0	0	CONF	241	0	0				
21256																CONF				0	87	0	644	0	13	0	0	0	0	0	31	0	0	0	CONF	513	0	0				
21359																CONF				0	164	0	573	21	107	41	0	0	0	0	195	0	0	0	CONF	107	0	0	Other Misc Assets			
