"IDRSSD"	RCFA2170	RCFA3128	RCFA3792	RCFA5310	RCFA5311	RCFA7204	RCFA7205	RCFA7206	RCFA8274	RCFAA223	RCFAA224	RCFAB530	RCFAB596	RCFAH015	RCFAH036	RCFAH311	RCFAH313	RCFAH314	RCFAJJ30	RCFAJJ31	RCFAJJ32	RCFAKW00	RCFAKW03	RCFAKX77	RCFAKX78	RCFAKX79	RCFAKX80	RCFAKX81	RCFAKX82	RCFAKX83	RCFALB58	RCFALB59	RCFALB60	RCFALB61	RCFAP742	RCFAP793	RCFAP839	RCFAP840	RCFAP841	RCFAP842	RCFAP843	RCFAP844	RCFAP845	RCFAP846	RCFAP847	RCFAP848	RCFAP849	RCFAP850	RCFAP852	RCFAP857	RCFAP858	RCFAP859	RCFAP860	RCFAP861	RCFAP862	RCFAP863	RCFAP864	RCFAP865	RCFAP866	RCFAP867	RCFAP868	RCFAP870	RCFAP872	RCFAP875	RCFAQ257	RCFAQ258	RCFAS540	RCFW3792	RCFW5310	RCFW5311	RCFW7205	RCFW7206	RCFWA223	RCFWH312	RCFWP793	RCFWP851	RCFWP852	RCFWP853	RCFWP854	RCFWP855	RCFWP856	RCFWP857	RCFWP858	RCFWP859	RCFWP870	RCOA2170	RCOA3128	RCOA3792	RCOA5310	RCOA5311	RCOA7204	RCOA7205	RCOA7206	RCOA8274	RCOAA223	RCOAA224	RCOAB530	RCOAB596	RCOAH015	RCOAH036	RCOAH311	RCOAH313	RCOAH314	RCOAJJ29	RCOAJJ30	RCOAJJ31	RCOAJJ32	RCOAKW00	RCOAKW03	RCOAKX77	RCOAKX78	RCOAKX79	RCOAKX80	RCOAKX81	RCOAKX82	RCOAKX83	RCOALB58	RCOALB59	RCOALB60	RCOALB61	RCOALE74	RCOAP742	RCOAP793	RCOAP838	RCOAP839	RCOAP840	RCOAP841	RCOAP842	RCOAP843	RCOAP844	RCOAP845	RCOAP846	RCOAP847	RCOAP848	RCOAP849	RCOAP850	RCOAP852	RCOAP857	RCOAP858	RCOAP859	RCOAP860	RCOAP861	RCOAP862	RCOAP863	RCOAP864	RCOAP865	RCOAP866	RCOAP867	RCOAP868	RCOAP870	RCOAP872	RCOAP875	RCOAQ257	RCOAQ258	RCOAS540	RCOWH312	
1669																																																																																						324147	0				15.4217%			49657		321994	1169	0										48057	321994	0	0.0000%	9651	0	165	9816	3.0283%	0	0	0	0	1	1600		1	0	50826	0	0	0	1169		0	0	0		0	49657	0	0	49657	0	0	0	0	0	0						0		0	0		
1856																																																																																						94308	0				12.4085%			11463		92380	178	0										329	92478	0	0.0000%	7000	0	0	7000	7.4225%	0	0	0	0	1	11232		1	0	11739	98	0	0	178		0	0	0		0	11463	0	0	11463	0	0	0	0	0	0						98		0	0		
2161																																																																																								23557	1498	1498	9.6196%	19.7303%	18.4756%	22059	119395	229312	581	29676			11.7303%							15105	258988								0	0	0		0	6954	18.4756%	1	0	22640	0	0	0	581		0	0	0		0	22059	0	0	22059	0	0	0	0	0	0	0	0	0	1498	0	0		0			
2732																																																																																						672054	0				15.3722%			100249		652144	738	0										95572	653256	0	0.0000%	73210	0	487	73697	10.9659%	0	0	0	0	1	5789		1	0	102099	0	1112	0	738		0	0	0		0	100249	0	0	100249	0	0	0	0	0	0						1112		0	0		
2750																																																																																								8053	554	554	12.6254%	17.2279%	16.0427%	7499	46744	59396	80	0			9.2279%							486	59396								0	0	0		0	7013	16.0427%	1	0	7579	0	0	0	80		0	0	0		0	7499	0	0	7499	0	0	0	0	0	0	0	0	0	554	0	0		0			
3252																																																																																								30122	1665	1665	11.8977%	23.0509%	21.7768%	28457	130676	239181	1157	0			15.0509%							27957	239181								0	0	0		0	500	21.7768%	1	0	29614	0	0	0	1157		0	0	0		0	28457	0	0	28457	0	0	0	0	0	0	0	0	0	1665	0	0		0			
3458																																																																																								5805	533	533	8.7067%	12.3978%	11.2594%	5272	46823	60551	75	0			4.3978%							4071	60551								0	0	0		0	1201	11.2594%	1	0	5347	0	0	0	75		0	0	0		0	5272	0	0	5272	0	0	0	0	0	0	0	0	0	533	0	0		0			
3720																																																																																						308018	0				13.0213%			39308		301875	1847	0										21508	301875	0	0.0000%	17040	0	338	17378	5.6419%	0	0	0	0	1	17800		1	0	41155	0	0	0	1847		0	0	0		0	39308	0	0	39308	0	0	0	0	0	0						0		0	0		
3971																																																																																								105157	6061	6061	12.4046%	16.2838%	15.3453%	99096	645775	798863	780	1016			8.2838%							4500	806208								0	0	0		0	100925	15.3453%	1	0	106205	363	5771	195	780		0	0	0		0	99096	0	0	99096	0	0	0	0	0	0	0	0	0	6061	0	6329		0			
4156																																																																																						264950	0				8.9466%			22465		251101	1013	0										16391	252884	0	0.0000%	19479	0	305	19784	7.4671%	0	0	0	0	1	7857		1	0	25261	1783	0	0	1013		0	0	0		0	22465	0	0	22465	0	0	0	0	0	0						1783		0	0		
4231																																																																																						128348	0				14.2624%			17878		125351	1061	0										5283	125356	0	0.0000%	3429	0	0	3429	2.6716%	0	0	0	0	1	12600		1	0	18944	0	0	5	1061	0	0	0	0		0	17878	0	0	17878	0	0	0	0	0	0						5		0	1667		
5069																																																																																								195154	4164	4164	42.8056%	59.2226%	57.9590%	190990	329526	446180	1525	0			51.2226%							182361	446180								0	0	0		0	8629	57.9590%	1	0	192515	0	0	0	1525		0	0	0		0	190990	0	0	190990	0	0	0	0	0	0	0	0	0	4164	0	0		0			
5135																																																																																						549183	0				14.4294%			78743		545714	60	0										54743	546756	0	0.0000%	0	0	1459	1459	0.2657%	0	0	0	0	1	25042		1	0	79845	1042	0	0	60		0	0	0		0	78743	0	0	78743	0	0	0	0	0	0						1042		0	1900		
5210																																																																																						2398495	0				9.4647%			217099		2293771	-1620	-6852										135275	2318233	0	0.0000%	0	0	11626	11626	0.4847%	0	0	0	0	1	113138		1	0	246793	27841	3473	0	5232		0	-6852	0		0	217099	0	0	217099	0	0	0	0	0	0						31314		0	296300		
5461																																																																																						787962	0				9.6240%			72221		750426	4779	0										66009	750514	0	0.0000%	44429	0	4593	49022	6.2214%	0	0	0	0	1	6300		1	0	77088	0	88	0	4779		0	0	0		0	72221	0	0	72221	0	0	0	0	0	0						88		0	6682		
5751																																																																																						240459	0				15.4564%			36335		235080	1269	0										28145	236242	0	0.0000%	23628	0	442	24070	10.0100%	0	0	0	0	1	9352		1	0	38766	1089	73	0	1269		0	0	0		0	36335	0	0	36335	0	0	0	0	0	0						1162		0	103		
