"IDRSSD"	RCON8777	RCON8778	RCON8779	RCONA000	RCONA001	RCONA002	RCONA167	RCONA221	RCONA222	RCONA223	RCONA250	RCONB503	RCONB504	RCONB505	RCONB520	RCONB528	RCONB541	RCONB542	RCONB543	RCONB546	RCONB547	RCONB548	RCONB581	RCONB582	RCONB583	RCONB588	RCONB589	RCONB590	RCONB591	RCONB592	RCONB593	RCONB594	RCONB595	RCONB600	RCONB601	RCONB602	RCONB603	RCONB604	RCONB605	RCONB606	RCONB607	RCONB608	RCONB609	RCONB610	RCONB611	RCONB612	RCONB617	RCONB618	RCONB619	RCONB620	RCONB621	RCONB622	RCONB623	RCONB624	RCONB625	RCONB626	RCONB627	RCONB628	RCONB629	RCONB630	RCONB631	RCONB639	RCONB640	RCONB641	RCONB642	RCONB643	RCONB644	RCONB650	RCONB651	RCONB652	RCONB653	RCONB654	RCONB655	RCONB656	RCONB657	RCONB658	RCONB659	RCONB660	RCONB661	RCONB662	RCONB663	RCONB664	RCONB665	RCONB666	RCONB667	RCONB668	RCONB669	RCONB670	RCONB671	RCONB672	RCONB673	RCONB675	RCONB676	RCONB677	RCONB678	RCONB679	RCONB680	RCONB681	RCONB682	RCONB683	RCONB684	RCONB685	RCONB686	RCONB687	RCONB688	RCONB689	RCONB690	RCONB691	RCONB693	RCONB694	RCONB695	RCONB696	RCONB697	RCONB698	RCONB699	RCONB700	RCONB701	RCONB702	RCONB703	RCONB704	RCONC063	RCONC064	RCONC225	RCONC227	RCONC228	RCONC869	RCONF264	RCONG591	RCONG592	RCONG593	RCONG594	RCONG595	RCONG596	RCONG597	RCONG598	RCONG599	RCONG600	RCONG601	RCONG602	RCONL136	RCONL137	RCONL138	
1557	0	0	0	0	0	0	0	0	0	49922	0	0	0	0	0	38566	0	0	0	0	0	0	0	0	0	0	0	462	0	0	0	0	0	1767	779	5089	0	0	0	0	0	-747	520	25222	0	0	0	0	0	0	0	0	0	0	2971	35595	0	0	0	0	0	2391	462	0	311	13	-307	81	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	592	0	0	0	592	0	0	0	2287	27341	2984	42962	0	5468	1492	42962	49922	0	1029	1029	9419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74656	0	74194	
1669	0	0	0	0	0	0	0	0	1462	114826	0	0	0	0	0	84220	0	0	0	0	0	0	0	0	0	0	0	425	0	0	0	0	0	29870	5404	0	0	0	26200	0	22627	566	6514	66350	0	0	0	0	0	0	0	0	0	0	47109	37111	0	0	0	0	0	14568	425	48	867	0	-1925	0	0	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36432	98821	47109	72969	0	19764	23555	72969	116288	0	0	0	44035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255703	0	255278	
1829	0	0	0	0	0	0	0	0	494	250077	0	0	0	0	0	260224	842	5599	5599	0	0	0	0	0	0	0	0	8279	0	0	0	0	0	36132	12586	0	0	0	0	0	0	-309	2487	76692	1410	2876	0	0	0	0	0	0	0	118	96205	163901	0	0	0	0	0	17680	8279	7	1874	187	4344	158	0	0	0	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3549	0	0	0	3549	0	0	0	38626	91270	97802	183416	0	18254	48901	183416	250571	0	0	0	34563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	406268	0	397989	
1856	0	0	0	0	0	0	0	0	146	74377	0	0	0	0	0	69171	0	0	0	0	0	0	0	0	0	0	0	98	0	0	0	0	0	8063	20801	0	0	0	0	0	0	-1017	3327	20447	0	0	0	0	0	0	0	0	0	4747	991	63434	0	0	0	0	0	2671	98	11	1549	0	-1997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	71	0	0	0	11401	47544	991	64518	0	9509	496	64518	74523	0	0	0	15143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113881	0	113783	
2040	0	0	0	0	0	0	0	0	2573	123698	0	0	0	0	0	111985	0	0	0	334	334	0	0	0	334	0	0	0	0	0	0	0	0	1702	7651	0	0	0	0	0	0	-4700	15153	40155	5859	4281	0	0	0	302	0	0	0	4498	20885	86602	0	0	0	0	0	10581	1111	0	1678	20	-7740	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2013	0	0	0	2013	0	0	0	16855	58684	27066	101001	0	11737	13533	101001	126271	0	4702	4702	20915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	197702	0	196591	
2161	0	0	0	0	0	0	0	0	0	69984	0	0	0	0	0	68056	0	0	0	34	34	34	0	0	0	0	0	0	0	0	0	0	0	1276	20875	0	0	1	0	0	0	-788	1886	24449	2127	0	0	0	0	0	0	0	0	0	35665	32391	0	0	0	0	0	6984	0	0	0	0	-1376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	347	0	0	0	347	0	0	0	3420	56829	37792	39722	0	11366	18896	39722	69984	0	11505	11505	14569	0	0	0	2229	223	223	0	0	0	0	0	0	0	0	0	137121	0	137121	
2376	0	0	0	0	0	0	750	0	825	2425292	0	0	0	0	0	2279528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11051	943	0	0	2984	38889	0	0	5354	0	311162	0	0	0	0	0	0	0	0	0	0	137462	2142067	0	0	0	0	0	179878	943	0	42770	0	-24854	26	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	750	14035	393764	138212	2278258	0	78753	69106	2278258	2426117	0	0	0	434975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2798638	-943	2797695	
2554	0	0	0	0	0	0	0	0	44	7759	0	0	0	0	0	4815	0	0	0	0	0	0	0	0	0	0	0	289	0	0	0	0	0	0	5607	0	0	0	0	0	0	45	0	0	1825	834	0	0	0	0	0	0	0	0	317	4498	0	0	0	0	0	568	289	0	0	0	192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5607	2142	5611	0	1121	1071	5611	7803	0	0	0	913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12568	0	12279	
2732	0	0	0	0	0	0	0	0	1531	320210	0	0	0	0	0	315359	0	0	0	2047	2047	0	0	0	2047	0	0	1112	0	0	0	0	0	110223	13560	0	0	0	0	0	0	649	0	89265	0	1250	0	0	0	0	0	0	0	0	55261	260098	0	0	0	0	0	11436	1112	174	0	0	-3792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110397	102825	55261	273545	0	20565	27631	273545	321741	0	0	0	77797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	540420	0	539308	
2750	0	0	0	0	0	0	0	57	300	42568	0	0	0	0	0	37201	0	0	0	10	10	0	0	0	10	0	0	0	0	0	0	0	0	1106	1864	0	0	0	0	0	0	-233	3179	10355	1455	1558	0	0	0	0	0	0	0	814	1531	34856	0	0	0	0	0	2633	0	9	513	34	-1059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	0	0	0	144	0	0	0	4294	13566	3020	38645	0	2713	1510	38645	42868	0	20	20	5590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57661	0	57661	
3177	0	0	0	0	0	0	0	1	0	513687	0	0	0	0	0	722644	0	0	0	635	635	0	0	0	635	0	0	5286	0	0	0	0	0	117128	525	0	0	50	8466	0	0	-2381	65096	50274	0	8984	0	0	0	0	0	0	0	0	554152	168492	0	0	0	0	0	57701	5290	140	6543	1882	-810	549	0	0	0	549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	182414	65808	556034	222508	0	13162	278017	222508	513687	0	0	0	100680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1024771	0	1019485	
3252	0	0	0	0	0	0	0	0	772	94732	0	0	0	0	0	88376	0	0	0	367	367	0	0	0	367	0	0	0	0	0	0	0	0	2153	4661	0	0	0	0	712	0	-43	21303	40654	5112	391	0	0	0	0	0	0	0	11921	503	75952	0	0	0	0	0	3950	0	88	486	54	-2009	185	0	0	0	185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	552	0	0	0	552	0	0	0	23544	57722	6381	80769	0	11544	3191	80769	95504	0	0	0	20563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166312	0	166312	
3458	0	0	0	0	0	0	0	0	33	27258	0	0	0	0	0	14536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7663	0	0	0	0	3026	-268	270	12693	0	201	0	0	0	0	0	0	0	0	3030	11506	0	0	0	0	0	836	0	0	0	0	-642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	270	12722	3030	23232	0	2544	1515	23232	27291	0	29	29	3451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39597	0	39597	
3720	0	0	0	0	0	0	0	0	0	134437	0	0	0	0	0	134366	0	0	0	430	430	0	0	0	430	0	0	0	0	0	0	0	0	20975	3057	0	0	0	235	200	0	32	7127	31900	1625	0	0	0	0	0	440	0	0	4646	31100	98620	0	0	0	0	0	12471	685	173	2622	0	-876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1004	0	4	0	1000	0	0	0	28275	42464	32925	109481	0	8493	16463	109481	134437	0	0	0	29772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	211049	0	211049	
3971	0	0	0	0	0	0	0	0	7443	506932	0	0	0	0	0	454274	709	3841	3841	1993	1993	0	0	0	1993	0	0	11281	7	0	0	0	0	71035	15927	0	0	0	0	0	0	-410	799	61321	3706	12760	0	0	0	8658	0	0	0	2284	80094	371896	0	0	0	0	0	58926	16650	0	2186	290	2370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10099	10099	0	0	10099	0	0	0	0	0	0	0	21882	0	0	11983	9899	0	0	0	71834	83854	114830	440189	0	16771	57415	440189	514375	0	2136	2136	92453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	675262	248	658859	
