"IDRSSD"	RCON0352	RCON2202	RCON2203	RCON2210	RCON2213	RCON2215	RCON2216	RCON2236	RCON2365	RCON2377	RCON2385	RCON2520	RCON2530	RCON5590	RCON6648	RCON6810	RCON6835	RCONB549	RCONB550	RCONB551	RCONB552	RCONF233	RCONHK05	RCONHK06	RCONHK07	RCONHK08	RCONHK09	RCONHK10	RCONHK11	RCONHK12	RCONHK13	RCONHK14	RCONHK15	RCONJ473	RCONJ474	RCONK220	RCONK222	RCONK223	RCONP752	RCONP753	RCONP754	RCONP756	RCONP757	RCONP758	RCONP759	
	OTH NONTRANSACTION SAVINGS DEPOSITS	TOT TRANSACTION ACCTS-US GOVERNMENT	TOT TRANSACT ACCTS-STS&POL SUB IN US	TOTAL DEMAND DEPOSITS	TOT TRANS ACCTS-BKS IN FGN COUNTRIES	TOTAL TRANSACTIONS ACCOUNTS	TOT TRANS ACCTS-FGN GOVTS&OFFCL INST	NONTRANS DPS OF BKS IN FGN COUNTRIES	TOTAL BROKERED DEPOSITS	TOT NONTRANS ACCTS-FGN GOVTS&OFFCL I	TOTAL NONTRANSACTION ACCOUNTS	TOT NONTRANSACTION ACCTS-US GOVT	TOT NONTRANSACTION ACCTS-STS&POL SUB	PREFERRED DEPOSITS	TIME DEPOSITS LT 100000	AMT OUTSTDG IN MONEY MARKET DEP ACCT	IRA AND KEOGH PLAN ACCOUNTS	TRANSACTION ACCTS: IPC DEPOSITS	NONTRANSACTION ACCTS: IPC DEPOSITS	TRANSACTION ACCT: CB'S & DI'S IN U.S	NONTRANSACT ACCT: CB'S & DI'S IN U.S	IRA KEOGH IN MEM ITEM 2.C	SELECTED COMPONENTS OF TOTAL DEPOSIT	SELECTED COMPONENTS OF TOTAL DEPOSIT	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	TIME DEPOSITS OF 250000 OR LESS WITH	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	TIME DEPOSITS EQ 100K LE 250K	TIME DEPOSITS GT 250K	BRKRD DEP GT 250000 MAT LE 1 YR	TIME DEP GT 250000 MAT LE 1 YRDEP	EST DEP LISTING SERVICE NOT BROKERED	OFFR CONSUM DEP ACT INDIV HSHLD FMLY	NONINTR TRN ACCTS INDIV HSHLD FMLY	INTR TRN ACCTS INDIV HSHLD FMLY	MMDA DEPS PRIMRLY INDIV HSHLD FAMLY	OTHR MMDA INDIV PRTNRS CORPS	OTHR SVGS DEPS IND HSHLD FAMILY USE	OTHR SVGS DEPS IND PRTNRS AND CORPS	
897451	13921	0	3135	18393	0	21733	0	0	0	0	26181	0	752		5715	1159	2732	18598	25429	0	0	800	0	0	4282	3052	3162	300	5997	0	0	304	0	5081	304	0	0	0	true							
897648	14781	0	11698	25630	0	44568	0	0	0	0	51017	0	2901		12406	8231	3912	32870	48116	0	0	0	0	0	6494	12463	1258	0	18957	4402	3387	0	0	7809	7790	0	7789	0	false							
897853	5104	0	2719	12026	0	27200	0	0	0	0	45540	0	3936		14862	15993	5812	24481	41604	0	0	872	0	0	3572	9858	5005	2862	13430	1063	2084	0	0	6435	3147	0	3147	0	true							
898458	49252	0	17938	229577	0	299100	0	0	84274	0	388129	0	58047		17231	262625	8292	281156	326887	6	3195	3917	84274	84274	18849	10858	16309	6124	29651	2044	10979	9881	1209	34908	24113	0	13023	1736	false							
898579	43461	0	0	27134	0	113504	0	0	0	0	224423	0	0		64961	25174	28320	113504	224423	0	0	11622	0	0	18979	46089	41253	15506	64779	8848	15331	6298	3484	56865	33961	0	24179	2979	true							
898627	33684	0	10929	102697	0	188100	0	0	0	0	187488	0	2062		56771	62411	14563	177171	185426	0	0	5107	0	0	19427	43145	12132	7426	60956	1945	5935	450	933	25359	9263	0	7880	0	true							
898850	389	0	3125	76570	0	85899	0	0	14297	0	271650	0	20453		65177	93959	3454	82529	192300	245	58897	2060	14297	8728	32027	63215	39711	11958	95242	12757	15376	1205	1052	81734	30390	0	28133	57184	true							
899008	157347	1	939	34788	0	101296	0	0	0	0	360481	0	104		74725	30070	29511	100356	360049	0	328	10131	0	0	18300	49000	56518	7481	67300	3799	16011	16670	5285	56574	41765	0	19810	0	true							
899156	13853	0	1802	7115	0	13025	0	0	0	0	23468	0	2629		6908	700	2758	11223	20839	0	0	714	0	0	1984	4807	1167	65	6791	606	286	0	0	1115	892	0	606	0	true							
899343	261478	1	27508	41043	0	57726	0	0	0	0	376848	0	2753		41204	56881	18346	30217	374095	0	0	6347	0	0	14135	22301	14006	2682	34516	2295	1709	1362	0	11920	5366	0	2758	0	false							
899428	123030	0	5902	157742	0	262053	0	0	550	0	435605	0	38626		73029	190284	21790	256151	396979	0	0	9493	550	550	16094	39470	35761	14741	55441	1439	4478	8549	1759	33037	16225	0	5917	0	true							
899642	38789	0	22280	55193	0	104266	0	0	0	0	96432	0	4221		25414	15482	6606	81986	92211	0	0	894	0	0	14269	13808	6540	1145	27552	3129	2655	615	0	10348	6399	0	5784	0	true							
899651	23915	0	12363	25851	0	44257	0	0	0	0	69003	0	8593		17899	1842	8605	31894	60410	0	0	3933	0	0	10177	8877	8661	7674	16702	1373	885	3396	2203	17490	7857	0	1407	0	false							
