"IDRSSD"	RCFD0071	RCFD0081	RCFD1773	RCFD2130	RCFD2143	RCFD2145	RCFD2150	RCFD2160	RCFD2170	RCFD2930	RCFD2948	RCFD3000	RCFD3123	RCFD3190	RCFD3200	RCFD3210	RCFD3230	RCFD3300	RCFD3545	RCFD3548	RCFD3632	RCFD3656	RCFD3838	RCFD3839	RCFD5369	RCFD6724	RCFDA130	RCFDB528	RCFDB529	RCFDB530	RCFDB989	RCFDB995	RCFDG105	RCFDJA22	RCFDJJ34	RCFN2200	RCFN6631	RCFN6636	RCON0071	RCON0081	RCON1773	RCON2130	RCON2143	RCON2145	RCON2150	RCON2160	RCON2170	RCON2200	RCON2930	RCON2948	RCON3000	RCON3123	RCON3190	RCON3200	RCON3210	RCON3230	RCON3300	RCON3545	RCON3548	RCON3632	RCON3656	RCON3838	RCON3839	RCON5369	RCON6631	RCON6636	RCON6724	RCON8678	RCONA130	RCONB528	RCONB529	RCONB530	RCONB987	RCONB989	RCONB993	RCONB995	RCONG105	RCONJA22	RCONJJ34	
	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	INTANGIBLE ASSETS	PREMISES&FIXED ASSETS(INCL CAP LSES)	OTHER REAL ESTATE OWNED	OTHER ASSETS	TOTAL ASSETS	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ALLL_AMT	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	DIRECT INDIRECT INV IN RE	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	AUDIT INDICATOR	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	TOT EQT CAP INC NONCTRL MINORITY INT	Equity securities with readily deter	Held to maturity securities (ASU 201	TOTAL DEPOSITS	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	INTANGIBLE ASSETS	PREMISES&FIXED ASSETS(INCL CAP LSES)	OTHER REAL ESTATE OWNED	OTHER ASSETS	TOTAL ASSETS	TOTAL DEPOSITS	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ALLL_AMT	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	DIRECT INDIRECT INV IN RE	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	AUDIT INDICATOR	FISCAL YEAR END	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	FEDERAL FNDS SOLD	SECURS PURCHSD UDR AGRMNTS TO RESELL	FEDERAL FNDS PURCD IN DOMESTIC OFFCS	SECURS SOLD UNDR AGRMNTS TO REPURCH	TOT EQT CAP INC NONCTRL MINORITY INT	Equity securities with readily deter	Held to maturity securities (ASU 201	
37																																							5873	2115	47870	0	0	258	0	777	81379	63596	273	63869	0	970	0	0	17510	1200	81379	0	0	11420	0	0	3500	0	18142	45453			0	25456	24486	1390	0	0	0	0	17510		0	
242																																							3165	966	12363	0	0	479	0	462	48766	38750	28	43378	0	159	4600	0	5388	120	48766	0	0	4891	0	0	120	0	10056	28694			0	25738	25579	257	5752	0	0	0	5388	0	0	
279																																							15238	5149	14075	0	706	6400	209	9122	298948	229022	1677	267024	0	1301	36325	0	31924	1	298948	0	0	31753	0	0	0	0	33712	195310			0	207413	206112	170	3787	0	0	0	31924	0	38150	
354																																							600	680	505	0	0	79	0	156	16289	14572	109	14681	0	171	0	0	1608	100	16289	0	0	570	0	0	936	1475	8225	6347			0	9321	9150	2	3644	0	0	0	1608		0	
457																																							10224	733	0	0	0	286	31	1683	57374	42969	197	52666	0	572	9500	0	4708	60	57374	0	0	708	0	0	3940	0	9771	33198			0	44434	43862	0	518	0	0	0	4708	6	31	
505																																							63431	8689	65559	0	1912	9976	0	15645	667311	587910	8142	611932	58	7000	15880	0	55321	6480	667311	0	0	32936	0	0	18403	1007	150182	437728			0	506542	499542	-2498	1550	0	0	0	55379	0	0	
1155																																							15478	6811	24631	0	0	3932	124	7983	276616	248578	2182	250760	0	4007	0	0	25856	1600	276616	0	0	18742	0	0	4900	225	27506	221072			0	216440	212433	614	4999	0	0	0	25856	0	0	
1351																																							13085	4353	6462	0	0	4837	193	2140	182587	154571	746	155317	0	1316	0	0	27270	240	182587	0	0	26440	0	0	530	0	24505	130066			0	107011	105695	60	0	0	0	0	27270	0	45822	
1454																																							168665	13223	329180	0	0	4484	0	14407	890050	777999	3557	781556	0	4430	0	0	108494	1000	890050	0	0	98777	0	0	1214	5174	257905	520094			0	359291	354861	7503	0	0	0	0	108494	56	0	
