"IDRSSD"	RCON0352	RCON2202	RCON2203	RCON2210	RCON2213	RCON2215	RCON2216	RCON2236	RCON2343	RCON2365	RCON2377	RCON2385	RCON2520	RCON2530	RCON5590	RCON6648	RCON6810	RCON6835	RCONA241	RCONA243	RCONA579	RCONA580	RCONA581	RCONA582	RCONA584	RCONA585	RCONA586	RCONA587	RCONB549	RCONB550	RCONB551	RCONB552	RCONF233	RCONJ472	RCONJ473	RCONJ474	RCONK219	RCONK220	RCONK221	RCONK222	RCONK223	RCONP752	RCONP753	RCONP754	RCONP755	RCONP756	RCONP757	RCONP758	RCONP759	
	OTH NONTRANSACTION SAVINGS DEPOSITS	TOT TRANSACTION ACCTS-US GOVERNMENT	TOT TRANSACT ACCTS-STS&POL SUB IN US	TOTAL DEMAND DEPOSITS	TOT TRANS ACCTS-BKS IN FGN COUNTRIES	TOTAL TRANSACTIONS ACCOUNTS	TOT TRANS ACCTS-FGN GOVTS&OFFCL INST	NONTRANS DPS OF BKS IN FGN COUNTRIES	BROKERED DEPS LT 100000	TOTAL BROKERED DEPOSITS	TOT NONTRANS ACCTS-FGN GOVTS&OFFCL I	TOTAL NONTRANSACTION ACCOUNTS	TOT NONTRANSACTION ACCTS-US GOVT	TOT NONTRANSACTION ACCTS-STS&POL SUB	PREFERRED DEPOSITS	TIME DEPOSITS LT 100000	AMT OUTSTDG IN MONEY MARKET DEP ACCT	IRA AND KEOGH PLAN ACCOUNTS	TM DEPS LT 100000 MAT LESS 1 YR	BROKERED DEPS LT 100000 MAT LE 1 YR	TM DEPS LT 100000 MAT/REPRCE LE 3 MO	TM DEPS LT 100000 MAT/REPRCE 3-12 MO	TM DEPS LT 100000 MAT/REPRCE 1-3 YR	TM DEPS LT 100000 MAT/REPRCE GT 3 YR	TM DEPS GE 100000 MAT/REPRCE LE 3 MO	TM DEPS GE 100000 MAT/REPRCE 3-12 MO	TM DEPS GE 100000 MAT/REPRCE 1-3 YR	TM DEPS GE 100000 MAT/REPRCE GT 3 YR	TRANSACTION ACCTS: IPC DEPOSITS	NONTRANSACTION ACCTS: IPC DEPOSITS	TRANSACTION ACCT: CB'S & DI'S IN U.S	NONTRANSACT ACCT: CB'S & DI'S IN U.S	IRA KEOGH IN MEM ITEM 2.C	BROKERED DEPS LT 100K GE 250K	TIME DEPOSITS EQ 100K LE 250K	TIME DEPOSITS GT 250K	BRKRD DEP 100000 - 250000 MAT LE 1 Y	BRKRD DEP GT 250000 MAT LE 1 YR	TIME DEP 100000 - 250000 MAT LE 1 YR	TIME DEP GT 250000 MAT LE 1 YRDEP	EST DEP LISTING SERVICE NOT BROKERED	OFFR CONSUM DEP ACT INDIV HSHLD FMLY	NONINTR TRN ACCTS INDIV HSHLD FMLY	INTR TRN ACCTS INDIV HSHLD FMLY	DEP OTHR TRNS ACCTS INDV PRTNRS CRPS	MMDA DEPS PRIMRLY INDIV HSHLD FAMLY	OTHR MMDA INDIV PRTNRS CORPS	OTHR SVGS DEPS IND HSHLD FAMILY USE	OTHR SVGS DEPS IND PRTNRS AND CORPS	
840747	19214	0	71356	54671	0	190581	0	0	682	80000	0	349776	0	98777		87267	141217	7796	19710	682	27877	31833	25158	2399	58245	25707	16718	1408	119220	249510	5	1489	2079	79318	80858	21220	79318	0	70557	13395	32795	true								
841436	235281	0	9038	28263	0	58139	0	0	68	2578	0	382810	0	8857		64881	19697	22477	39257	8	17615	21642	16479	9146	9592	22452	18345	12562	49101	373717	0	236	7063	2510	48132	14819	1193	0	23706	8338	0	true								
841472	13969	2	4109	19779	0	42655	0	0	0	0	0	53596	265	2774		15778	14700	2505	10201	0	3030	7171	4164	1413	2294	3137	2451	1267	38544	50557	0	0	572	0	8081	1068	0	0	4925	506	0	false								
841539	270287	0	2200	45130	0	69935	0	0	191	30655	0	393540	0	27981		36818	46659	8145	33051	191	10483	22568	3767	0	9784	21771	8221	0	67735	365559	0	0	1773	30464	25216	14560	30464	0	14588	11057	0	true								
841753	43418	0	12401	54065	0	123592	0	0	0	0	0	88327	0	2331		16567	7801	12764	13806	0	4494	9377	2174	522	7375	10372	2686	109	111115	85996	76	0	0	0	8052	12490	0	0	7098	10649	0	true								
841838	8568	0	1206	17733	0	33035	0	0	0	0	0	72358	0	6509		27138	9382	7860	21269	0	7778	13491	4678	1191	6420	14810	5335	705	31829	59242	0	6607	1807	0	23431	3839	0	0	17391	3839	6607	true								
842116	13170	0	7725	31280	0	57825	0	0	0	0	0	54786	0	1362		24599	4564	6847	19766	0	5377	14460	3293	1469	3373	6235	2232	615	50100	53424	0	0	2207	0	8949	3506	0	0	6863	2745	0	true								
842376	44614	3	275	18804	0	40511	0	0	0	0	0	102904	0	286		27539	26002	11568	20432	0	7315	13117	5468	1639	1111	2138	1269	231	40233	102618	0	0	1588	0	4749	0	0	0	3249	0	0	true								
842460	129455	1	130016	289885	0	416374	0	0	55011	55011	0	1429618	0	375880		158829	606588	17336	65139	5000	22486	42653	85091	8599	56970	263443	182984	31349	286357	1053738	0	0	6797	0	139012	395734	0	0	81182	239231	0	true	16804	27269	242284	290875	143268	84564	28330	
842853	6625	8	755	6162	0	11862	0	0	0	0	0	15176	259	723		4236	2562	854	2776	0	408	2368	1327	133	217	617	449	471	11076	14193	23	1	237	0	1501	253	0	0	834	0	0	true								
843177	342234	0	3409	67282	0	104569	0	0	37778	50376	0	855150	0	153299		140398	219633	34701	63175	11201	19196	43979	65634	11589	57801	52382	36679	6023	101160	701851	0	0	6366	12598	55003	97882	12598	0	28174	82009	2414	true	15354	29808	55998	124846	60239	215714	83752	
843476	1933	0	0	2420	0	2420	0	0	0	0	0	31262	0	5345		13330	7897	2927	10544	0	3964	6580	1821	965	4347	2248	1084	423	2420	25917	0	0	888	0	3510	4592	0	0	2768	3827	0	false								
843542	11772	7	6985	15828	0	29873	0	0	0	0	0	61917	0	867		18930	13594	9043	14906	0	4800	10106	3632	392	2871	12311	2438	0	22881	61050	0	0	0	0	13482	4138	0	0	10121	2137	0	true								
843953	7651	0	16181	12034	0	34683	0	0	0	0	0	31503	0	783		8110	7359	2265	7548	0	2621	4927	542	20	2468	5915	0	0	18502	30720	0	0	811	0	7030	1353	0	0	7030	1353	0	true								
844053	30621	3	1	60438	0	83004	0	0	0	0	0	539539	0	0		50661	425176	11795	39529	0	10829	28700	9934	1198	10986	16279	5431	385	83000	539339	0	200	2244	0	22622	10459	0	0	16806	10459	0	true								
844138	4457	0	1031	11615	0	13823	0	0	0	0	0	46425	0	3120		13587	1658	3225	8450	0	3484	4966	2260	2877	4055	9861	4751	8056	12792	43305	0	0	1792	0	21032	5691	0	0	9752	4164	0	true								
844455	25449	0	14071	11202	0	25273	0	0	0	0	0	58989	0	2257		17898	0	4881	12370	0	5832	6538	4591	937	1785	8978	3087	1792	11202	56732	0	0	1746	0	6747	8895	0	0	4692	6071	0	true								
844567	29998	0	73423	63601	0	151519	0	0	122	789	0	235708	0	3589		25245	146105	6376	24403	122	7032	17493	720	0	7153	25131	2076	0	78096	232119	0	0	1442	667	21747	12613	667	0	20002	12282	0	true								
845247	53862	0	17359	106814	0	175414	0	0	0	0	0	200245	0	4144		88157	14200	36759	65194	0	19582	46596	20207	1772	7444	24665	10164	1752	158055	196101	0	0	12224	0	36884	7141	0	0	26901	4953	0	true								
845443	15083	7	15361	17624	0	63881	0	0	0	0	0	52768	0	4552		20609	9589	6284	9619	0	2933	6686	5244	5746	1545	2120	2501	1321	48513	48216	0	0	1321	0	6236	1251	0	0	2679	986	0	true								
845452	4048	0	441	3831	0	6880	0	0	0	0	0	15365	0	1684		5998	0	3017	3875	0	863	3012	1783	340	854	3540	925	0	6439	13681	0	0	1768	0	3469	1850	0	0	2544	1850	0	false								
845573	526990	5	22857	46866	0	74691	0	0	0	0	0	1695097	0	77263		470421	398634	235249	227496	0	74754	153047	160868	81752	34308	105771	102677	56296	51795	1617179	34	655	75455	0	233532	65520	0	0	102472	37607	0	true	2902	8348	40545	51955	275671	33868	486213	
846132	5560	0	1256	4819	0	9200	0	0	0	0	0	13752	0	857		3944	2762	1524	2843	0	917	1926	1020	81	0	414	962	110	7944	12895	0	0	378	0	1486	0	0	0	414	0	0	false								
846356	63879	0	16344	150229	0	225573	0	0	0	0	0	532918	0	69738		87088	302643	18899	69699	0	20421	55202	10018	1447	10118	61894	6850	446	209229	462934	0	246	5489	0	45333	33975	0	0	32953	30230	0	true								
846619	114042	0	8736	89969	0	124667	0	0	431	19016	0	314972	0	56734		59278	64816	31318	29192	331	13666	17228	8800	19584	20117	30692	14593	11434	115582	253870	349	4368	6994	12585	34239	42597	10680	3000	18190	31913	4130	true								
846945	23843	0	4838	24291	0	41525	0	0	0	2497	0	64621	0	4586		21472	8563	5791	15873	0	5009	10935	4751	777	1194	6342	2433	774	36687	60035	0	0	1356	0	6515	4228	0	1998	3808	3728	0	true								
847157	1175	0	8792	27789	0	113530	0	0	2408	33216	0	119830	0	21362		48459	23703	13240	30702	1806	9266	21436	13835	3922	18541	17004	9906	1042	104738	97065	0	1403	2612	30808	43575	2918	25950	0	33653	1892	0	true								
