"IDRSSD"	RCFDF236	RCFDF237	RCFDG465	RCFDG466	RCFDG467	RCFDG468	RCFDG469	RCFDG470	RCFDG471	RCFDG472	RCFDK652	RCFDK653	RCFDK654	RCFDK655	RCFDK656	RCFDK657	RCFDK658	RCFDK659	RCFDK660	RCFDK661	RCFDK663	RCFDK664	RCFDK665	RCFDK666	RCFDK667	RCFDK668	RCFDK669	RCFDK670	RCFDK671	RCFDK672	RCFDK673	RCFDK674	RCFDK675	RCFDL189	RCFDL194	RCFDL195	RCFDL196	RCFNF234	RCON5597	RCONA545	RCONF045	RCONF046	RCONF047	RCONF048	RCONF049	RCONF050	RCONF051	RCONF052	RCONF236	RCONF237	RCONG465	RCONG466	RCONG467	RCONG468	RCONG469	RCONG470	RCONG471	RCONG472	RCONG803	RCONJ944	RCONJ945	RCONK652	RCONK653	RCONK654	RCONK655	RCONK656	RCONK657	RCONK658	RCONK659	RCONK660	RCONK661	RCONK663	RCONK664	RCONK665	RCONK666	RCONK667	RCONK668	RCONK669	RCONK670	RCONK671	RCONK672	RCONK673	RCONK674	RCONK675	RCONK676	RCONK677	RCONK678	RCONK679	RCONK680	RCONK681	RCONK682	RCONL189	RCONL190	RCONL194	RCONL195	RCONL196	RCONL197	TEXTA545	
3606971																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF							0	0	0	0	0	42918	1016	21746	38	64664	0	0	0	0	0	0	0	0	0	0	16019	26	93695	1	12576	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF															
3607062																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF							0	8071	269	536	2	222991	8112	234159	318	465757	0	0	0	68	0	0	0	0	0	0	81249	102	524939	1	52821	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF															
3608751																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF							0	14828	646	801	2	118773	3766	106029	138	240431	0	0	0	0	0	0	0	0	0	50580	59470	48	290073	1	28345	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF															
3610567																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF							0	6000	172	767	2	193458	4579	186902	285	387127	0	0	0	0	0	0	0	0	0	1814	48943	42	418770	1	37164	0	false	0	0	false	0	0	CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF															
3610718																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF							0	1572	69	0	0	32618	1709	6905	22	41095	0	0	0	0	0	0	0	0	0	0	328	1	44307	1	2999	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF															
3612525																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF							0	8068	302	251	1	234785	6381	190861	240	433965	0	0	0	0	0	0	0	0	0	0	49121	69	497304	1	63095	0	false	0	0	false	0	0	CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF															
3613559																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF							0	2659	68	0	0	81688	1634	107323	108	191670	0	0	0	0	0	0	0	0	0	0	18578	26	232139	1	24452	0	false	0	0	false	0	0	CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF															
3613652																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF							0	3823	101	0	0	55185	1697	39072	64	98080	0	0	0	0	0	0	0	0	0	4832	2613	5	112092	1	9460	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF															
3614369																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF							0	202	11	0	0	51514	3874	157975	133	209691	0	0	0	0	0	0	0	0	0	4650	52167	51	220080	1	19263	0	false	0	0	false	0	0	CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF															
3614837																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF							0	3218	76	514	2	77562	2828	92516	95	173810	0	0	0	0	0	0	0	0	0	0	45916	33	181470	1	17624	0	false	0	0	false	0	0	CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF															
