"IDRSSD"	RCFD0071	RCFD0081	RCFD0426	RCFD1754	RCFD1773	RCFD2130	RCFD2145	RCFD2150	RCFD2160	RCFD2170	RCFD2930	RCFD2948	RCFD3000	RCFD3123	RCFD3163	RCFD3190	RCFD3200	RCFD3210	RCFD3230	RCFD3300	RCFD3545	RCFD3548	RCFD3632	RCFD3656	RCFD3838	RCFD3839	RCFD5369	RCFD6724	RCFDA130	RCFDB528	RCFDB529	RCFDB530	RCFDB989	RCFDB995	RCFDG105	RCFN2200	RCFN6631	RCFN6636	RCON0071	RCON0081	RCON0426	RCON1754	RCON1773	RCON2130	RCON2145	RCON2150	RCON2160	RCON2170	RCON2200	RCON2930	RCON2948	RCON3000	RCON3123	RCON3163	RCON3190	RCON3200	RCON3210	RCON3230	RCON3300	RCON3545	RCON3548	RCON3632	RCON3656	RCON3838	RCON3839	RCON5369	RCON6631	RCON6636	RCON6724	RCON8678	RCONA130	RCONB528	RCONB529	RCONB530	RCONB987	RCONB989	RCONB993	RCONB995	RCONG105	
	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	OTHER IDENTIFIABLE INTANGIBLE ASSETS	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	PREMISES&FIXED ASSETS(INCL CAP LSES)	OTHER REAL ESTATE OWNED	OTHER ASSETS	TOTAL ASSETS	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ALLL_AMT	GOODWILL	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	DIRECT INDIRECT INV IN RE	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	AUDIT INDICATOR	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	TOT EQT CAP INC NONCTRL MINORITY INT	TOTAL DEPOSITS	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	OTHER IDENTIFIABLE INTANGIBLE ASSETS	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	PREMISES&FIXED ASSETS(INCL CAP LSES)	OTHER REAL ESTATE OWNED	OTHER ASSETS	TOTAL ASSETS	TOTAL DEPOSITS	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ALLL_AMT	GOODWILL	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	DIRECT INDIRECT INV IN RE	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	AUDIT INDICATOR	FISCAL YEAR END	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	FEDERAL FNDS SOLD IN DOMESTIC OFFICS	SECURS PURCHSD UDR AGRMNTS TO RESELL	FEDERAL FNDS PURCD IN DOMESTIC OFFCS	SECURS SOLD UNDR AGRMNTS TO REPURCH	TOT EQT CAP INC NONCTRL MINORITY INT	
37																																							0	13927	0	0	33784	0	487	185	914	86776	68669	232	68901	0	1248	0	0	0	17875	1200	86776	0	0	12467	0	0	3500	0	6262	62407			0	38727	37479	708	0	0	0	0	17875	
242																																							493	1178	0	0	9192	0	280	0	550	35222	25225	29	30501	0	169	0	4697	0	4721	120	35222	0	0	4146	0	0	120	0	5908	19317			0	23653	23484	335	45	0	0	550	4721	
279																																							3999	2339	44	42336	12163	264	6193	0	2923	145281	106144	497	120973	0	497	0	14332	0	24308	1	145281	0	0	23787	0	0	0	0	6500	99644			0	74337	73840	520	1180	0	0	0	24308	
354																																							99	278	0	0	5551	0	29	0	170	10080	8997	33	9030	0	198	0	0	0	1050	25	10080	0	0	475	0	0	500	0	2657	6341			0	4102	3904	50	49	0	0	0	1050	
457																																							1524	212	0	172	0	0	100	195	1134	37616	31606	60	34166	0	378	0	2500	0	3450	60	37616	0	0	650	0	0	2740	0	3961	27645			0	32282	31904	0	2375	0	0	0	3450	
505																																							51029	1432	133	0	73707	0	10833	346	14210	387870	308565	3476	357541	52	3902	1595	45500	0	30277	6480	387870	0	0	14546	0	0	10653	1572	44433	264132			0	236915	233013	-1402	0	0	0	0	30329	
1155																																							39995	7380	0	114	22729	0	4163	4923	6951	219058	190179	1828	199490	0	2711	0	0	0	19568	1600	219058	0	0	12374	0	0	4900	139	21472	168707			0	135375	132664	694	0	0	0	7483	19568	
1351																																							0	6075	0	72748	4591	0	1053	307	1947	159681	137078	485	137563	0	1382	0	0	0	22118	240	159681	0	0	21257	0	0	530	0	12411	124667			0	71761	70379	91	2581	0	0	0	22118	
1454																																							62878	20321	0	0	247494	0	4837	0	10524	572190	513567	1250	514817	0	2913	0	0	0	57373	1000	572190	0	0	51014	0	0	1214	1834	137179	376388			0	227215	224302	4145	0	0	0	0	57373	
1557																																							1745	2206	0	14094	4445	0	289	0	1379	61178	52684	528	55421	0	581	0	2209	0	5757	200	61178	0	0	4506	0	0	1000	0	16778	35906			0	33922	33341	51	3679	0	0	0	5757	
