"IDRSSD"	RCFDF236	RCFDF237	RCFDG465	RCFDG466	RCFDG467	RCFDG468	RCFDG469	RCFDG470	RCFDG471	RCFDG472	RCFDK652	RCFDK653	RCFDK654	RCFDK655	RCFDK656	RCFDK657	RCFDK658	RCFDK659	RCFDK660	RCFDK661	RCFDK663	RCFDK664	RCFDK665	RCFDK666	RCFDK667	RCFDK668	RCFDK669	RCFDK670	RCFDK671	RCFDK672	RCFDK673	RCFDK674	RCFDK675	RCFNF234	RCON5597	RCONA545	RCONF045	RCONF046	RCONF047	RCONF048	RCONF049	RCONF050	RCONF051	RCONF052	RCONF236	RCONF237	RCONG465	RCONG466	RCONG467	RCONG468	RCONG469	RCONG470	RCONG471	RCONG472	RCONG803	RCONJ944	RCONJ945	RCONK652	RCONK653	RCONK654	RCONK655	RCONK656	RCONK657	RCONK658	RCONK659	RCONK660	RCONK661	RCONK663	RCONK664	RCONK665	RCONK666	RCONK667	RCONK668	RCONK669	RCONK670	RCONK671	RCONK672	RCONK673	RCONK674	RCONK675	RCONK676	RCONK677	RCONK678	RCONK679	RCONK680	RCONK681	RCONK682	TEXTA545	
	TOTAL DEP LIABILITIES BEFORE EXCLUSI	TOTAL ALLOWABLE EXCLUSIONS INCLD FOR	UNSECURED OTHR BRW MAT LE 1 YR	UNSECURED OTHR BRW MAT 1 TO 3 YR	UNSECURED OTHR BRW MAT 3 TO 5 YR	UNSECURED OTHR BRW MAT GT 5 YR	SUB NOTES & DBNTR MAT LE 1 YR	SUB NOTES AND DBNTR MAT 1 TO 3 YR	SUB NOTES AND DBNTR MAT 3 TO 5 YR	SUB NOTES & DBNTR MAT GT 5 YR	AVG CNSL TOTAL ASSET	AVG METHOD USED	AVG TANGIBLE EQT	HOLDING LT UNSCD DEBE ISS OTHR INS I	BANKER'S BANK CERTIFICATION	BNKRS BNK DEDUCTIONS	BNKR BNK DEDUCTION LIMIT	CUSTODIAL BANK CERTIFICATION	CUST BANK DED	CUST BANK DED LIMIT	CRITICIZED CLASSIFIED SPECIAL	CRITICIZED CLASSIFIED SUBSTANDARD	CRITICIZED CLASSIFIED DOUBTFUL	CRITICIZED CLASSIFIED LOSS	SUBPRIME CNSMR LN	LEVERAGED LN AND SCTY	OREO RCV US GOVT GRNT INS PRV	CMRL IND LN GRNT INS US GOVT	CREDIT CARD LN GRNT INS US GOVT	OTHR LN GRNT INS US GOVT	AMT INST LARGE CNTRPTY EXP	TOT AMT INST 20 LARGE CNTRPTY EXP	NTRAD 1-4 FAM RES ML	TOTAL FOR DEP INCLUDED IN B	ESTIMATE OF UNINSURED DEPOSITS	PB/PSA FDIC CERTIFICATE NUMBER	AMT RETIRE DEP ACCNT $250K OR LESS	NBR RETIRE DEP ACCNT $250K OR LESS	AMT RETIREMT DEP ACCTS MOR THAN $250	NBR RETIRE DEP ACCNT MOR THAN $250K	AMT OF DEP ACCNT $250K OR LESS	NBR OF DEP ACCNTS OF $250K OR LESS	AMT OF DEP ACCNT MORE THAN $250K	NBR OF DEP ACCNT GT $250K	TOTAL DEP LIABILITIES BEFORE EXCLUSI	TOTAL ALLOWABLE EXCLUSIONS INCLD FOR	UNSECURED OTHR BRW MAT LE 1 YR	UNSECURED OTHR BRW MAT 1 TO 3 YR	UNSECURED OTHR BRW MAT 3 TO 5 YR	UNSECURED OTHR BRW MAT GT 5 YR	SUB NOTES & DBNTR MAT LE 1 YR	SUB NOTES AND DBNTR MAT 1 TO 3 YR	SUB NOTES AND DBNTR MAT 3 TO 5 YR	SUB NOTES & DBNTR MAT GT 5 YR	RECIPROCAL BROKERED DEPOSITS	AMT NONINT ACTS GT 250K DODD FRANK A	NBR NONINT ACT GT 250K DODD FRANK AC	AVG CNSL TOTAL ASSET	AVG METHOD USED	AVG TANGIBLE EQT	HOLDING LT UNSCD DEBE ISS OTHR INS I	BANKER'S BANK CERTIFICATION	BNKRS BNK DEDUCTIONS	BNKR BNK DEDUCTION LIMIT	CUSTODIAL BANK CERTIFICATION	CUST BANK DED	CUST BANK DED LIMIT	CRITICIZED CLASSIFIED SPECIAL	CRITICIZED CLASSIFIED SUBSTANDARD	CRITICIZED CLASSIFIED DOUBTFUL	CRITICIZED CLASSIFIED LOSS	SUBPRIME CNSMR LN	LEVERAGED LN AND SCTY	OREO RCV US GOVT GRNT INS PRV	CMRL IND LN GRNT INS US GOVT	CREDIT CARD LN GRNT INS US GOVT	OTHR LN GRNT INS US GOVT	AMT INST LARGE CNTRPTY EXP	TOT AMT INST 20 LARGE CNTRPTY EXP	NTRAD 1-4 FAM RES ML	CNST LND DEV OTHR UNFND CMT	CNST LND DEV OTHR GRNT US GOVT	NBRKD DEP GT 250K	CNST LND DEV OTHR FUND GRNT US GOVT	MFMLY RES NFRM NRES FUND GRNT US GOV	CE LN SCD 1ST LIEN FML FUND GRNT US 	CE LN JR LIEN OEND FUND GRNT US GOVT	PB/PSA FDIC CERTIFICATE NUMBER	
37																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	4987	347	0	0	57513	5008	4473	10	66973	0	0	0	0	0	0	0	0	0	0	354	1	86567	1	18098	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
242																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	2039	147	0	0	24028	2744	1206	4	27273	0	0	0	0	0	0	0	0	0	0	284	1	36734	1	4562	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
279																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	12062	363	386	1	93443	7291	5556	15	111447	0	0	0	0	0	0	0	0	0	0	590	2	141166	1	24103	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
354																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	0	0	0	0	8525	738	1044	2	9569	0	0	0	0	0	0	0	0	0	0	484	1	10442	1	928	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
457																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	2409	115	0	0	25710	2463	3846	10	31965	0	0	0	0	0	0	0	0	0	0	256	1	37787	1	3360	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
505																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	7248	436	258	1	197317	19011	110982	124	315805	0	0	0	0	0	0	0	0	0	609	10363	22	390014	1	30934	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
1155																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	12995	613	886	3	150693	12777	28939	61	193513	0	0	0	0	0	0	0	0	0	0	4448	6	223139	1	19042	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
1351																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	9129	283	925	2	72827	17654	60333	114	143214	0	0	0	0	0	0	0	0	0	0	1725	5	161647	1	19807	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
1454																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	23510	1627	2245	7	323167	30840	185177	254	534099	0	0	0	0	0	0	0	0	0	0	74022	91	615254	1	53929	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
