"IDRSSD"	RCFA3792	RCFA5310	RCFA5311	RCFA7204	RCFA7205	RCFA7206	RCFA8274	RCFAA223	RCFAA224	RCFAB530	RCFAB596	RCFAH311	RCFAH313	RCFAH314	RCFAP742	RCFAP793	RCFAP839	RCFAP840	RCFAP841	RCFAP842	RCFAP843	RCFAP844	RCFAP845	RCFAP846	RCFAP847	RCFAP848	RCFAP849	RCFAP850	RCFAP851	RCFAP852	RCFAP853	RCFAP854	RCFAP855	RCFAP856	RCFAP857	RCFAP858	RCFAP859	RCFAP860	RCFAP861	RCFAP862	RCFAP863	RCFAP864	RCFAP865	RCFAP866	RCFAP867	RCFAP868	RCFAP870	RCFAP872	RCFAP875	RCFAQ257	RCFAQ258	RCFD3368	RCFD3632	RCFW3792	RCFW5310	RCFW5311	RCFW7205	RCFW7206	RCFWA223	RCFWH312	RCFWP793	RCFWP870	RCOA3792	RCOA5310	RCOA5311	RCOA7204	RCOA7205	RCOA7206	RCOA8274	RCOAA223	RCOAA224	RCOAB530	RCOAB596	RCOAH311	RCOAH313	RCOAH314	RCOAP742	RCOAP793	RCOAP838	RCOAP839	RCOAP840	RCOAP841	RCOAP842	RCOAP843	RCOAP844	RCOAP845	RCOAP846	RCOAP847	RCOAP848	RCOAP849	RCOAP850	RCOAP851	RCOAP852	RCOAP853	RCOAP854	RCOAP855	RCOAP856	RCOAP857	RCOAP858	RCOAP859	RCOAP860	RCOAP861	RCOAP862	RCOAP863	RCOAP864	RCOAP865	RCOAP866	RCOAP867	RCOAP868	RCOAP870	RCOAP872	RCOAP875	RCOAQ257	RCOAQ258	RCON3368	RCON3632	RCOW3792	RCOW5310	RCOW5311	RCOW7205	RCOW7206	RCOWA223	RCOWH312	RCOWP793	RCOWP870	
1557																																																															11632	685	685	13.7842%	20.4038%	19.2022%	10947	57009	79417	69	0	12.4038%			9824	19.2022%	1	0	11256	70	170	0	69	0	0	0	0		0	0	10947	0	0	0	0	0	0	10947	0	0	0	0	0	0	0	0	0	685	0	240	0	0	79657	1363										
1669																																																															46463	1362	1362	16.8921%	43.2536%	41.9857%	45101	107420	266995	294	0	35.2536%			1600	41.9857%	1	0	45395	0	0	0	294	0	0	0	0		0	0	45101	0	0	0	0	0	0	45101	0	0	0	0	0	0	0	0	0	1362	0	0	0	0	266995	43501										
1829																																																															42596	3672	3797	9.4184%	14.0076%	12.7589%	38799	304093	411950	1617	0	6.0076%	0	0	3490	12.7589%	1	0	48560	8144	0	0	1617	0	0	0	0		0	0	38799	0	0	0	0	0	0	38799	0	0	0	0	0	0	0	0	0	3797	0	8144	125	0	420094	43453										
1856																																																															17194	782	782	13.2258%	27.5487%	26.2958%	16412	62413	124091	87	0	19.5487%			14782	26.2958%	1	0	16597	98	0	0	87	0	0	0	0		0	0	16412	0	0	0	0	0	0	16412	0	0	0	0	0	0	0	0	0	782	0	98	0	0	124189	1728										
2040																																																															24116	1916	1916	11.3499%	15.9080%	14.6441%	22200	151597	195596	229	0	7.9080%	0	0	4750	14.6441%	1	0	22879	0	0	270	229	0	0	0	0		0	0	22380	0	0	0	0	180	180	22200	0	0	0	0	180	0	0	0	0	1916	0	450	0	0	196046	17900										
2161																																																															16445	736	736	11.5366%	20.8950%	19.9598%	15709	78703	136167	629	0	12.8950%	0	0	2356	19.9598%	1	0	16338	0	0	0	629	0	0	0	0		0	0	15709	0	0	0	0	0	0	15709	0	0	0	0	0	0	0	0	0	736	0	0	0	0	136167	13353										
2376																																																															484772	29862	29862	13.0244%	15.4336%	14.4829%	454910	3141017	3492756	-7644	0	7.4336%	0	0	34709	14.4829%	1	0	447265	0	0	0	1359	0	-7782	-1222	0		0	0	454910	0	0	0	0	0	0	454910	0	0	0	0	0	0	0	0	0	29862	0	0	0	0	3492756	420200										
2554																																																															1280	113	113	9.2914%	13.5364%	12.3414%	1167	9456	12560	-63	0	5.5364%			1150	12.3414%	1	0	1393	289	0	0	-63	0	0	0	0		0	0	1167	0	0	0	0	0	0	1167	0	0	0	0	0	0	0	0	0	113	0	289	0	0	12849	306										
2732																																																															87393	3616	3616	14.5629%	22.1757%	21.2582%	83777	394093	575277	467	0	14.1757%	0	0	5789	21.2582%	1	0	84911	0	667	0	467	0	0	0	0		0	0	83777	0	0	0	0	0	0	83777	0	0	0	0	0	0	0	0	0	3616	0	667	0	0	575944	78655										
2750																																																															7442	535	535	11.4279%	17.4119%	16.1601%	6907	42741	60440	-20	0	9.4119%	0	0	5921	16.1601%	1	0	6976	0	0	0	-20	89	0	0	0		0	0	6907	0	0	0	0	0	0	6907	0	0	0	0	0	0	0	0	0	535	0	0	0	0	60440	1075										
3177																																																															102804	3220	3237	9.5113%	18.6924%	18.1038%	99567	549978	1046832	-571	0	10.6924%			60331	18.1038%	1	0	103876	4630	250	0	-442	1	0	-130	0		0	0	99567	0	0	0	0	0	0	99567	0	0	0	0	0	0	0	0	0	3237	0	4880	17	0	1051712	44116										
3252																																																															25109	1461	1461	13.0980%	21.7750%	20.5080%	23648	115311	180546	762	0	13.7750%	0	0	500	20.5080%	1	0	24410	0	0	0	762	0	0	0	0		0	0	23648	0	0	0	0	0	0	23648	0	0	0	0	0	0	0	0	0	1461	0	0	0	0	180546	23148										
3458																																																															4454	345	345	9.5347%	15.1796%	14.0038%	4109	29342	43095	53	0	7.1796%			1201	14.0038%	1	0	4162	0	0	0	53	0	0	0	0		0	0	4109	0	0	0	0	0	0	4109	0	0	0	0	0	0	0	0	0	345	0	0	0	0	43095	2908										
3720																																																															35421	1701	1701	13.5323%	23.6186%	22.4843%	33720	149971	249181	311	0	15.6186%			21000	22.4843%	1	0	34031	0	0	0	311	0	0	0	0		0	0	33720	0	0	0	0	0	0	33720	0	0	0	0	0	0	0	0	0	1701	0	0	0	0	249181	12720										
3971																																																															108114	8109	8120	13.3467%	16.7448%	15.4872%	99994	645657	749205	545	0	8.7449%			176278	15.4872%	1	0	110340	9381	139	164	545	0	0	0	0		8	0	100103	0	0	0	0	109	109	99994	0	0	0	0	109	0	0	0	0	8120	0	9801	11	0	759006	-66483										
4156																																																															23011	1933	1933	10.1793%	14.8858%	13.6353%	21078	154584	207067	127	0	6.8858%			7857	13.6353%	1	0	22988	1783	0	0	127	0	0	0	0		0	0	21078	0	0	0	0	0	0	21078	0	0	0	0	0	0	0	0	0	1933	0	1783	0	0	208850	15004										
4231																																																															16262	766	766	13.4505%	26.6054%	25.3522%	15496	61123	115208	72	0	18.6054%	0	0	12600	25.3522%	1	0	15830	0	0	134	110	0	0	0	0		0	0	15586	0	0	0	0	90	90	15496	0	0	0	0	90	0	0	0	0	766	0	224	0	0	115432	3158										
4839																																																															42098	3203	3203	11.8004%	16.5541%	15.2946%	38895	254305	329607	-110	0	8.5541%			16715	15.2946%	1	0	38785	0	0	0	-110	0	0	0	0		0	0	38895	0	0	0	0	0	0	38895	0	0	0	0	0	0	0	0	0	3203	0	0	0	0	329607	22180										
5069																																																															182561	4265	4280	43.7086%	54.8389%	53.5533%	178281	332904	407885	3105	0	46.8389%			8628	53.5533%	1	0	181386	0	0	0	3105	0	0	0	0		0	0	178281	0	0	0	0	0	0	178281	0	0	0	0	0	0	0	0	0	4280	0	0	15	0	407885	169653										
5135																																																															61127	4081	4081	12.8935%	17.5321%	16.3616%	57046	348658	442439	132	0	9.5321%	0	0	25042	16.3616%	1	0	58220	1042	0	0	132	0	0	0	0		0	0	57046	0	0	0	0	0	0	57046	0	0	0	0	0	0	0	0	0	4081	0	1042	0	0	443481	33046										
5210																																																															111758	9820	9830	9.0254%	14.3120%	13.0532%	101928	780868	1129345	-3955	-5777	6.3120%	0	0	10253	13.0532%	1	0	97973	0	0	0	1822	0	0	-5777	0		0	0	101928	0	0	0	0	0	0	101928	0	0	0	0	0	0	0	0	0	9830	0	0	10	0	1123568	91675										
5461																																																															55993	4788	4788	9.4466%	14.6554%	13.4022%	51205	382063	542046	1874	0	6.6554%			6300	13.4022%	1	0	53079	0	0	0	1874	0	0	0	0		0	0	51205	0	0	0	0	0	0	51205	0	0	0	0	0	0	0	0	0	4788	0	0	0	0	542046	44905										
5751																																																															31964	1553	1553	15.8263%	22.3144%	21.2302%	30411	143244	192155	1652	0	14.3144%			9352	21.2302%	1	0	33333	1089	181	0	1652	0	0	0	0		0	0	30411	0	0	0	0	0	0	30411	0	0	0	0	0	0	0	0	0	1553	0	1270	0	0	193425	22329										
6039																																																															9197	773	773	9.5294%	14.8814%	13.6306%	8424	61802	88400	32	0	6.8814%	0	0	6069	13.6306%	1	0	8456	0	0	0	32	0	0	0	0		0	0	8424	0	0	0	0	0	0	8424	0	0	0	0	0	0	0	0	0	773	0	0	0	0	88400	2355										
6141																																																															6252	363	363	9.5528%	21.5921%	20.3385%	5889	28955	61647	0	0	13.5921%	0	0	4700	20.3385%	1	0	5889	0	0	0	0	0	0	0	0		0	0	5889	0	0	0	0	0	0	5889	0	0	0	0	0	0	0	0	0	363	0	0	0	0	61647	1189										
6329																																																															55162	5583	5583	9.4525%	12.3964%	11.1417%	49579	444984	524506	115	0	4.3964%			22600	11.1417%	1	0	50387	0	0	416	115	0	0	0	0		0	0	49856	0	0	0	0	277	277	49579	0	0	0	0	277	0	0	0	0	5583	0	693	0	0	525199	27672										
7009																																																															59408	0	491	6.4465%	16.0031%	15.8709%	58917	371227	913942	1226	0	8.0031%	0	0	1052	15.8709%	1	0	60143	0	0	0	1226	0	0	0	0		0	0	58917	0	0	0	0	0	0	58917	0	0	0	0	0	0	0	0	0	491	0	0	491	0	913942	57865										
7045																																																															20048	1064	1064	9.7879%	19.6341%	18.5921%	18984	102108	193954	702	0	11.6341%	0	0	2425	18.5921%	1	0	19686	0	0	0	702	0	0	0	0		0	0	18984	0	0	0	0	0	0	18984	0	0	0	0	0	0	0	0	0	1064	0	0	0	0	193954	16559										
7072																																																															30159	1753	1753	15.5356%	19.1550%	18.0416%	28406	157447	182845	76	0	11.1550%			0	18.0416%	1	0	32272	751	374	1599	71	0	0	5	0		0	0	29472	0	0	0	0	1066	1066	28406	0	0	0	0	1066	0	0	0	0	1753	0	3790	0	0	186635	32196										
7157																																																															5273	253	253	10.9571%	21.7103%	20.6686%	5020	24288	45815	41	0	13.7103%			400	20.6686%	1	0	5061	0	0	0	41	0	0	0	0		0	0	5020	0	0	0	0	0	0	5020	0	0	0	0	0	0	0	0	0	253	0	0	0	0	45815	4620										
7456																																																															7205	680	680	8.2005%	12.6432%	11.4500%	6525	56987	79568	252	0	4.6432%			5000	11.4500%	1	0	6777	0	0	0	252	0	0	0	0		0	0	6525	0	0	0	0	0	0	6525	0	0	0	0	0	0	0	0	0	680	0	0	0	0	79568	1525										
7634																																																															8293	535	535	12.0464%	19.5139%	18.2550%	7758	42498	64401	161	0	11.5139%			8260	18.2550%	1	0	7919	0	0	0	161	0	0	0	0		0	0	7758	0	0	0	0	0	0	7758	0	0	0	0	0	0	0	0	0	535	0	0	0	0	64401	-502										
8033																																																															28254	1146	1146	12.6955%	19.5169%	18.7253%	27108	144767	213524	37	0	11.5169%			5250	18.7253%	1	0	27145	0	0	0	37	0	0	0	0		0	0	27108	0	0	0	0	0	0	27108	0	0	0	0	0	0	0	0	0	1146	0	0	0	0	213524	21858										
8462																																																															20431	724	724	10.8240%	27.3127%	26.3448%	19707	74804	182067	979	0	19.3127%	0	0	700	26.3448%	1	0	20686	0	0	0	979	0	0	0	0		0	0	19707	0	0	0	0	0	0	19707	0	0	0	0	0	0	0	0	0	724	0	0	0	0	182067	19007										
8631																																																															7294	421	421	10.4922%	21.3938%	20.1590%	6873	34094	65506	-8	0	13.3938%			1300	20.1590%	1	0	6873	0	0	0	0	0	0	0	0		0	0	6873	0	0	0	0	0	0	6873	0	0	0	0	0	0	0	0	0	421	0	0	0	0	65506	5581										
9357																																																															56900	3223	3223	11.8274%	17.9014%	16.8874%	53677	317853	453835	314	0	9.9014%	0	0	55160	16.8874%	1	0	80738	26747	0	0	314	0	0	0	0		0	0	53677	0	0	0	0	0	0	53677	0	0	0	0	0	0	0	0	0	3223	0	26747	0	0	480582	25264										
9553																																																															14024	995	995	7.8117%	12.1164%	11.2567%	13029	115744	166788	-734	0	4.1164%	0	0	2100	11.2567%	1	0	12461	0	0	0	-182	165	0	0	-551		0	0	13029	0	0	0	0	0	0	13029	0	0	0	0	0	0	0	0	0	995	0	0	0	0	166788	11095										
9807																																																															344810	29928	29928	13.9825%	13.2664%	12.1150%	314882	2599118	2251965	-51644	0	5.2664%			132272	12.1150%	1	0	301490	0	0	0	1673	0	0	0	-53316		0	0	353133	0	0	0	0	38251	38251	314882	0	0	0	0	38251	0	0	0	0	29928	0	38251	0	0	2290216	220862										
9955																																																															18330	1144	1144	12.4274%	20.1064%	18.8515%	17186	91165	138291	269	0	12.1064%			3133	18.8515%	1	0	17455	0	0	0	269	0	0	0	0		0	0	17186	0	0	0	0	0	0	17186	0	0	0	0	0	0	0	0	0	1144	0	0	0	0	138291	14053										
10250																																																															36807	3285	3285	9.1469%	14.0638%	12.8086%	33522	261714	366485	756	0	6.0638%			32300	12.8086%	1	0	36596	0	0	1391	756	0	0	0	0		0	0	34449	0	0	0	0	927	927	33522	0	0	0	0	927	0	0	0	0	3285	0	2318	0	0	368803	3540										
10849																																																															26504	1500	1500	9.8920%	18.7264%	17.6666%	25004	141533	252769	-133	0	10.7264%	0	0	15391	17.6666%	1	0	26791	694	0	491	-133	0	0	0	0		0	0	25739	0	0	0	0	735	735	25004	0	0	0	0	735	0	0	0	0	1500	0	1185	0	0	253954	11533										
11145																																																															21383	1901	1901	9.0799%	13.6738%	12.4582%	19482	156379	214562	199	0	5.6738%			10000	12.4582%	1	0	20131	450	0	0	199	0	0	0	0		0	0	19482	0	0	0	0	0	0	19482	0	0	0	0	0	0	0	0	0	1901	0	450	0	0	215012	9932										
11275																																																															160974	16021	16021	9.3464%	11.8394%	10.6610%	144953	1359651	1550889	-2	0	3.8394%			87519	10.6610%	1	0	148890	3939	0	0	-2	0	0	0	0		0	0	144953	0	0	0	0	0	0	144953	0	0	0	0	0	0	0	0	0	16021	0	3939	0	0	1554828	61373										
11640																																																															44361	3082	3082	11.7931%	17.3554%	16.1497%	41279	255603	350027	759	0	9.3554%	0	0	35750	16.1497%	1	0	42038	0	0	0	759	0	0	0	0		0	0	41279	0	0	0	0	0	0	41279	0	0	0	0	0	0	0	0	0	3082	0	0	0	0	350027	5529										
11837																																																															13574	675	675	12.0628%	25.4228%	24.1586%	12899	53393	106932	141	0	17.4228%			12000	24.1586%	1	0	13895	0	0	513	141	0	0	0	0		0	0	13241	0	0	0	0	342	342	12899	0	0	0	0	342	0	0	0	0	675	0	855	0	0	107787	1754										
12030																																																															55061	2980	2980	15.5775%	23.4992%	22.2274%	52081	234310	334334	94	0	15.4992%	0	0	600	22.2274%	1	0	52175	0	0	0	94	0	0	0	0		0	0	52081	0	0	0	0	0	0	52081	0	0	0	0	0	0	0	0	0	2980	0	0	0	0	334334	51481										
12142																																																															24104	1660	1660	10.1756%	17.9510%	16.7147%	22444	134277	220567	-833	0	9.9510%			14500	16.7147%	1	0	21611	0	0	0	719	0	0	-1552	0		0	0	22444	0	0	0	0	0	0	22444	0	0	0	0	0	0	0	0	0	1660	0	0	0	0	220567	7944										
12179																																																															7966	235	235	19.9752%	31.7042%	30.7689%	7731	25126	38703	4	0	23.7042%			0	30.7689%	1	0	7735	0	0	0	0	0	0	0	4		0	0	7731	0	0	0	0	0	0	7731	0	0	0	0	0	0	0	0	0	235	0	0	0	0	38703	7731										
12311	6791119	685707	1119245	8.0234%	11.3711%	9.4970%	5671874	59722566	70691428	-149957	0	3.3711%			5890888	9.2401%	0	6040541	617861	32290	21951	57377	0	5265	-212598	0		0	0	5518395	0	0	0	0	0	0	5518395	0	0	168113	168113	14634	153479	433370	0	0	1119245	0	686736	168	0	71378164	299610																										1																																															
12647																																																															10570	813	813	10.7951%	16.2969%	15.0434%	9757	64859	90384	0	0	8.2969%	0	0	9412	15.0434%	1	0	9757	0	0	0	0	0	0	0	0		0	0	9757	0	0	0	0	0	0	9757	0	0	0	0	0	0	0	0	0	813	0	0	0	0	90384	345										
12656																																																															1811	121	121	10.2630%	19.1054%	17.8289%	1690	9479	16467	0	0	11.1054%	0	0	460	17.8289%	1	0	1690	0	0	0	0	0	0	0	0		0	0	1690	0	0	0	0	0	0	1690	0	0	0	0	0	0	0	0	0	121	0	0	0	0	16467	1230										
12937																																																															34430	1915	1915	17.0685%	21.5646%	20.3652%	32515	159660	190497	0	0	13.5646%			6000	20.3652%	1	0	32515	0	0	0	0	0	0	0	0		0	0	32515	0	0	0	0	0	0	32515	0	0	0	0	0	0	0	0	0	1915	0	0	0	0	190497	26515										
12946																																																															125695	13046	13117	8.9476%	12.0839%	10.8229%	112578	1040187	1258194	3240	0	4.0839%			55743	10.8229%	1	0	133361	16399	1144	0	3240	0	0	0	0		0	0	112578	0	0	0	0	0	0	112578	0	0	0	0	0	0	0	0	0	13117	0	17543	71	0	1275737	74378										
