"IDRSSD"	RCFD0071	RCFD0081	RCFD0426	RCFD1754	RCFD1773	RCFD2130	RCFD2145	RCFD2150	RCFD2160	RCFD2170	RCFD2930	RCFD2948	RCFD3000	RCFD3123	RCFD3163	RCFD3190	RCFD3200	RCFD3210	RCFD3230	RCFD3300	RCFD3545	RCFD3548	RCFD3632	RCFD3656	RCFD3838	RCFD3839	RCFD5369	RCFD6724	RCFDA130	RCFDB528	RCFDB529	RCFDB530	RCFDB989	RCFDB995	RCFDG105	RCFN2200	RCFN6631	RCFN6636	RCON0071	RCON0081	RCON0426	RCON1754	RCON1773	RCON2130	RCON2145	RCON2150	RCON2160	RCON2170	RCON2200	RCON2930	RCON2948	RCON3000	RCON3123	RCON3163	RCON3190	RCON3200	RCON3210	RCON3230	RCON3300	RCON3545	RCON3548	RCON3632	RCON3656	RCON3838	RCON3839	RCON5369	RCON6631	RCON6636	RCON6724	RCON8678	RCONA130	RCONB528	RCONB529	RCONB530	RCONB987	RCONB989	RCONB993	RCONB995	RCONG105	
	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	OTHER IDENTIFIABLE INTANGIBLE ASSETS	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	PREMISES&FIXED ASSETS(INCL CAP LSES)	OTHER REAL ESTATE OWNED	OTHER ASSETS	TOTAL ASSETS	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ALLL_AMT	GOODWILL	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	DIRECT INDIRECT INV IN RE	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	AUDIT INDICATOR	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	TOT EQT CAP INC NONCTRL MINORITY INT	TOTAL DEPOSITS	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	OTHER IDENTIFIABLE INTANGIBLE ASSETS	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	PREMISES&FIXED ASSETS(INCL CAP LSES)	OTHER REAL ESTATE OWNED	OTHER ASSETS	TOTAL ASSETS	TOTAL DEPOSITS	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ALLL_AMT	GOODWILL	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	DIRECT INDIRECT INV IN RE	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	AUDIT INDICATOR	FISCAL YEAR END	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	FEDERAL FNDS SOLD IN DOMESTIC OFFICS	SECURS PURCHSD UDR AGRMNTS TO RESELL	FEDERAL FNDS PURCD IN DOMESTIC OFFCS	SECURS SOLD UNDR AGRMNTS TO REPURCH	TOT EQT CAP INC NONCTRL MINORITY INT	
37																																							9099	2298	0	0	48570	0	362	50	917	90117	69720	241	69961	0	997	0	0	0	20156	1200	90117	0	0	14759	0	0	3500	0	13464	56256			0	29818	28821	697	0	0	0	0	20156	
242																																							974	655	0	0	10993	0	277	0	533	40190	28163	16	34847	0	171	0	5923	0	5343	120	40190	0	0	4946	0	0	120	0	6832	21331			0	26859	26688	157	70	0	0	745	5343	
279																																							3964	2301	30	26535	7058	0	5418	0	7600	205225	147425	595	177568	0	893	0	29548	0	27657	1	205225	0	0	27529	0	0	0	0	12040	135385			0	151428	150535	127	1784	0	0	0	27657	
354																																							200	164	0	0	5098	0	62	0	145	8998	8031	9	8040	0	188	0	0	0	958	25	8998	0	0	491	0	0	500	0	2715	5316			0	3131	2943	-58	386	0	0	0	958	
457																																							995	977	0	150	281	0	288	31	1290	44056	35452	42	39526	0	492	0	4032	0	4530	60	44056	0	0	527	0	0	3940	0	6015	29437			0	40405	39913	3	131	0	0	0	4530	
505																																							44933	1260	103	0	81731	0	10319	1289	12167	442246	392044	4510	407054	54	4188	1595	10500	0	35138	6480	442246	0	0	20232	0	0	10653	0	71629	320415			0	293037	288849	-2227	0	0	0	0	35192	
1155																																							19970	5196	0	44	28965	0	4139	1803	5541	208435	177472	2021	189437	0	2282	0	0	0	18998	1600	208435	0	0	12284	0	0	4900	193	27224	150248			0	144866	142584	214	0	0	0	9944	18998	
1351																																							0	5759	0	62604	1517	0	1747	441	1492	155106	131598	353	131951	0	1300	0	0	0	23155	240	155106	0	0	22389	0	0	530	0	16819	114779			0	81909	80609	-4	937	0	0	0	23155	
1454																																							270491	11586	0	0	355836	0	4815	0	10043	904132	826432	1867	828299	0	3147	0	0	0	75833	1000	904132	0	0	72499	0	0	1214	769	317075	509357			0	253739	250592	1120	0	0	0	0	75833	
1557																																							3649	4081	294	0	12358	0	627	0	1408	83246	61159	20	72513	0	675	70	11334	0	10733	200	83246	0	0	970	0	0	9624	0	22670	38489			0	59684	59009	-61	1750	0	0	0	10733	
1669																																							25698	6742	0	47360	80714	0	1981	0	12395	267591	222872	366	223238	0	2933	0	0	0	44353	800	267591	0	0	42851	0	0	800	0	50716	172156			0	95634	92701	-98	0	0	0	0	44353	
1829																																							4882	4093	287	0	96962	0	3017	0	12959	413176	315671	1123	365453	0	3579	8144	48659	0	47723	390	413176	0	0	43142	0	0	3100	0	103513	212158			0	286411	282832	1091	0	0	0	0	47723	
1856																																							37308	405	0	0	49728	0	384	0	2177	131155	77786	131	116137	0	986	98	38220	0	15018	500	131155	0	0	1617	0	0	14282	0	3456	74330			0	41919	40933	-1381	122	0	0	0	15018	
2040																																							2254	2923	0	0	57360	0	2381	320	8706	196340	140338	1095	173883	0	3396	0	23000	0	22457	480	196340	0	0	17512	0	0	4270	0	26915	113422			0	123662	120266	195	2130	0	0	9450	22457	
2161																																							13816	11245	0	0	23656	0	2117	21	4504	138390	120265	2183	122448	0	743	0	0	0	15942	1000	138390	0	0	13082	0	0	1356	0	28910	91355			0	77143	76400	504	6631	0	0	0	15942	
2376																																							93	9770	0	157569	223249	0	14568	487	189324	3488632	2144613	55936	3050308	63	30458	0	804885	0	438261	500	3488632	0	0	410294	4403	0	53195	0	123888	2020725			-21158	2919627	2889169	-4570	0	0	44874	0	438324	
2554																																							2481	1029	0	0	3674	0	106	0	187	14199	12114	16	12839	0	102	289	659	0	1360	50	14199	0	0	318	0	0	1050	0	4003	8111			0	6535	6433	-58	0	0	50	0	1360	
2732																																							91088	16823	1112	0	123720	0	3764	1958	3473	572963	488330	930	489260	0	3451	0	0	0	83703	0	572963	0	0	78119	0	0	5789	0	137907	350423			0	334476	331025	-205	0	0	0	0	83703	
2750																																							1249	1047	0	0	12810	0	263	100	1560	63274	44451	652	56417	0	645	0	10837	0	6857	121	63274	0	0	987	0	0	5800	0	5367	39084			0	46890	46245	-51	0	0	477	0	6857	
3177																																							80214	7495	440	783	110939	0	12359	1814	38041	1040663	820793	9787	938177	0	3190	4630	107597	0	102486	0	1040663	0	0	43357	0	0	63590	0	195383	625410			-3430	787138	783948	-1031	0	0	0	0	102486	
3252																																							0	4401	0	319	77214	0	489	116	3898	178680	146696	202	154898	0	3006	0	5000	0	23782	200	178680	0	0	22855	0	0	300	0	26983	119713			0	95249	92243	427	0	0	3000	0	23782	
