"IDRSSD"	RCFD1578	RCFD1752	RCFD2148	RCFD2160	RCFD2166	RCFD2168	RCFD3549	RCFD3550	RCFD3551	RCFDA519	RCFDA520	RCFDB556	RCFDC010	RCFDC436	RCFDJ448	RCFDJ449	RCFDK201	RCFDK202	RCFDK270	RCON1578	RCON1752	RCON2148	RCON2160	RCON2166	RCON2168	RCON3549	RCON3550	RCON3551	RCONA519	RCONA520	RCONB556	RCONC010	RCONC436	RCONJ448	RCONJ449	RCONK201	RCONK202	RCONK270	TEXT3549	TEXT3550	TEXT3551	
	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	INT-ONLY STRIPS RCVBL ON:MORTG LOANS	INT-ONLY STRPS RCVBL ON:OT FIN ASSTS	ACCRUED INTEREST RECEIVABLE	DERIVATIVES W/POSITIVE FAIR VALUE	RETAINED INT IN ACCURED INTEREST	FDIC LOSS-SHARING INDEMINIFICATION A	PREPAID DEPOSIT INSURANCE ASSESSMENT	LIFE INS ASSET GNRL ACCNT	LIFE INS ASSET SEPARATE ACCNT	LIFE INS ASSET HYBRID ACCNT	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	INT-ONLY STRIPS RCVBL ON:MORTG LOANS	INT-ONLY STRPS RCVBL ON:OT FIN ASSTS	ACCRUED INTEREST RECEIVABLE	DERIVATIVES W/POSITIVE FAIR VALUE	RETAINED INT IN ACCURED INTEREST	FDIC LOSS-SHARING INDEMINIFICATION A	PREPAID DEPOSIT INSURANCE ASSESSMENT	LIFE INS ASSET GNRL ACCNT	LIFE INS ASSET SEPARATE ACCNT	LIFE INS ASSET HYBRID ACCNT	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	
37																CONF				0	130	0	710	30	48	0	0	0	0	0	532	0	0	0	CONF	0	0	0				
242																CONF				0	242	0	512	0	55	0	0	0	0	0	215	0	0	0	CONF	0	0	0				
279																CONF				2	1004	450	2264	53	177	0	0	0	0	0	553	0	0	0	CONF	80	0	0				
354																CONF				0	0	58	129	0	14	0	0	0	0	0	57	0	0	0	CONF	0	0	0				
457																CONF				0	196	0	1192	0	60	0	0	0	0	0	366	0	0	0	CONF	570	0	0				
505																CONF				0	4158	0	14571	1102	4848	2777	0	0	0	0	1364	0	0	0	CONF	4201	0	0	Prepaid pension			
1155																CONF				0	1155	0	6665	240	325	0	0	0	0	0	1012	0	0	0	CONF	4173	0	0				
1351																CONF				58	0	0	1480	82	249	6	0	0	0	0	1231	0	0	0	CONF	0	0	0	computer software			
1454																CONF				0	1070	0	10610	944	1670	0	0	0	0	0	2976	0	0	0	CONF	4894	0	0				
1557																CONF				0	147	0	1111	75	106	0	0	0	0	0	858	0	0	0	CONF	0	0	0				
1669																CONF				4	914	65	9494	67	400	0	0	0	0	0	1113	0	0	0	CONF	6240	0	762				
1829																CONF				0	1374	221	5678	918	2960	0	0	0	0	0	1123	0	0	0	CONF	0	0	0				
1856																CONF				0	1525	0	2128	209	209	0	0	0	0	0	394	0	0	0	CONF	0	0	0				
2040																CONF				0	1546	911	8076	389	1132	0	0	0	0	0	819	0	0	0	CONF	3386	0	282				
2161																CONF				0	823	0	4533	163	187	0	0	0	0	0	744	0	0	0	CONF	2779	0	0				
2376																CONF				0	44286	28671	153761	604	13296	7943	0	0	0	0	9305	0	0	0	CONF	40858	0	17345	DEFERRED EXPENSE - FHLB PENALTY			
2554																CONF				0	48	0	166	18	39	10	0	0	0	0	79	0	0	0	CONF	0	0	0	software			
2732																CONF				0	174	1949	4873	125	1002	0	0	0	0	0	1748	0	0	0	CONF	0	0	0				
2750																CONF				0	553	0	2331	195	245	0	0	0	0	0	549	0	0	0	CONF	984	0	0				
3177																CONF				0	6390	3473	38928	1130	3769	0	0	0	0	0	2603	0	0	0	CONF	11953	0	10740				
3252																CONF				0	323	0	3079	409	859	0	0	0	0	0	1897	0	0	0	CONF	0	0	0				
3458																CONF				0	187	0	480	22	83	0	0	0	0	0	210	0	0	0	CONF	0	0	0				
3720																CONF				0	333	389	5846	299	489	0	0	0	0	0	762	0	0	0	CONF	1516	0	2357				
3971																CONF				0	2046	3649	25366	0	5448	0	0	0	0	0	2526	0	0	0	CONF	11697	0	0				
4156																CONF				0	2039	0	7374	0	579	195	0	0	0	0	1130	0	0	0	CONF	2728	0	898	NOTES RECEIVABLE			
4231																CONF				0	0	179	1060	0	201	0	0	0	0	0	680	0	0	0	CONF	0	0	0				
4437																CONF				0	775	535	7327	256	831	221	0	0	0	0	903	0	0	0	CONF	4283	0	0	PREPAID TAXES			
4839																CONF				0	996	0	2767	201	205	0	0	0	0	0	1566	0	0	0	CONF	0	0	0				
5005																CONF				0	4167	5552	19954	110	407	181	116	0	0	0	933	0	0	0	CONF	8895	0	0	SOFTWARE	ACCOUNTS RECEIVABLE		
5069																CONF				0	0	668	4464	813	2414	1452	0	0	0	0	1382	0	0	0	CONF	0	0	0	Accounts Receivable			
5135																CONF				35	1245	1165	9966	207	972	212	0	0	0	0	2816	0	0	0	CONF	3768	0	0	Fifth Third Clearing ATM			
5210																CONF				0	4480	2585	49974	0	7972	5193	0	0	0	0	3434	0	0	0	CONF	26088	0	5415	Prepaid Pension			
5461																CONF				0	1959	0	9553	0	5109	1748	2000	0	0	0	1752	0	0	0	CONF	733	0	0	QZAB	PFRD STOCK-SR HOUSING CRIME PREV		
5751																CONF				0	625	0	6027	155	386	0	0	0	0	0	1066	0	0	0	CONF	2331	306	1313				
6039																CONF				0	101	378	2559	0	1341	614	510	0	0	0	494	0	0	0	CONF	0	245	0	DUE FROM HOLDING COMPANY	DUE FROM USDA		
6141																CONF				0	0	34	492	97	116	0	0	0	0	0	342	0	0	0	CONF	0	0	0				
6329																CONF				494	643	3872	13915	477	2312	0	0	0	0	0	2140	0	0	0	CONF	2329	0	2619				
7009																CONF				0	0	394	17290	0	14430	8721	0	0	0	0	2466	0	0	0	CONF	0	0	0	Receivables			
7045																CONF				0	725	0	2047	155	425	0	0	0	0	0	897	0	0	0	CONF	0	0	0				
7072																CONF				0	1090	3753	8674	200	3262	2284	0	0	0	0	569	0	0	0	CONF	0	0	0	Deferred Compensation			
7157																CONF				0	23	0	505	33	133	92	0	0	0	0	349	0	0	0	CONF	0	0	0	lease contracts receivable			
7456																CONF				0	282	0	1040	0	209	103	0	0	0	0	549	0	0	0	CONF	0	0	0	Prepaid Health Insurance			
7634																CONF				0	71	0	476	108	159	50	0	0	0	0	246	0	0	0	CONF	0	0	0	BL-LATE FEES RECEIVABLE			
8033																CONF				28	1325	53	3809	106	221	87	0	0	0	0	1160	0	0	0	CONF	1050	0	0	OTHER ASSETS			
8462																CONF				0	21	0	738	0	175	0	0	0	0	0	542	0	0	0	CONF	0	0	0				
8631																CONF				0	130	121	2633	62	168	0	0	0	0	0	173	0	0	0	CONF	2041	0	0				
9357																CONF				0	516	0	2147	0	624	0	0	0	0	0	1007	0	0	0	CONF	0	0	0				
9553																CONF				0	1938	0	6003	241	723	407	0	0	0	0	1117	0	0	0	CONF	1445	0	780	Nebraska Fund XV Investment			
9807																CONF				0	18032	0	124992	0	5151	3234	1500	0	0	0	8450	0	0	0	CONF	0	93359	0	SETTLEMENT CLAIM	PERFORMANCE BOND - MADISON CROSSING		
9955																CONF				0	1048	8	2227	37	295	0	0	0	0	0	876	0	0	0	CONF	0	0	0				
10250																CONF				65	892	9673	12445	227	574	252	0	0	0	0	1034	0	0	0	CONF	272	0	0	Computer Software			
10849																CONF				0	549	1382	4499	141	690	0	0	0	0	0	832	466	0	0	CONF	1046	0	0				
10858																CONF				0	1452	0	4818	0	1513	0	0	0	0	0	1853	0	0	0	CONF	0	0	0				
11145																CONF				241	1452	181	6285	205	741	27	0	0	0	0	517	0	0	0	CONF	1152	0	2242	Brownfield			
11275																CONF				0	4570	10391	61181	0	10374	5244	0	0	0	0	3549	0	0	0	CONF	19417	12880	0	Accounts receivable			
11640																CONF				0	2702	41	14621	463	608	0	0	0	0	0	2915	0	0	0	CONF	8355	0	0				
11837																CONF				0	440	974	2049	0	59	0	0	0	0	0	576	0	0	0	CONF	0	0	0				
