"IDRSSD"	RCON0352	RCON2202	RCON2203	RCON2210	RCON2213	RCON2215	RCON2216	RCON2236	RCON2365	RCON2377	RCON2385	RCON2520	RCON2530	RCON5590	RCON6648	RCON6810	RCON6835	RCONB549	RCONB550	RCONB551	RCONB552	RCONF233	RCONHK05	RCONHK06	RCONHK07	RCONHK08	RCONHK09	RCONHK10	RCONHK11	RCONHK12	RCONHK13	RCONHK14	RCONHK15	RCONJ473	RCONJ474	RCONK220	RCONK222	RCONK223	RCONP752	RCONP753	RCONP754	RCONP756	RCONP757	RCONP758	RCONP759	
	OTH NONTRANSACTION SAVINGS DEPOSITS	TOT TRANSACTION ACCTS-US GOVERNMENT	TOT TRANSACT ACCTS-STS&POL SUB IN US	TOTAL DEMAND DEPOSITS	TOT TRANS ACCTS-BKS IN FGN COUNTRIES	TOTAL TRANSACTIONS ACCOUNTS	TOT TRANS ACCTS-FGN GOVTS&OFFCL INST	NONTRANS DPS OF BKS IN FGN COUNTRIES	TOTAL BROKERED DEPOSITS	TOT NONTRANS ACCTS-FGN GOVTS&OFFCL I	TOTAL NONTRANSACTION ACCOUNTS	TOT NONTRANSACTION ACCTS-US GOVT	TOT NONTRANSACTION ACCTS-STS&POL SUB	PREFERRED DEPOSITS	TIME DEPOSITS LT 100000	AMT OUTSTDG IN MONEY MARKET DEP ACCT	IRA AND KEOGH PLAN ACCOUNTS	TRANSACTION ACCTS: IPC DEPOSITS	NONTRANSACTION ACCTS: IPC DEPOSITS	TRANSACTION ACCT: CB'S & DI'S IN U.S	NONTRANSACT ACCT: CB'S & DI'S IN U.S	IRA KEOGH IN MEM ITEM 2.C	SELECTED COMPONENTS OF TOTAL DEPOSIT	SELECTED COMPONENTS OF TOTAL DEPOSIT	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	TIME DEPOSITS OF 250000 OR LESS WITH	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	TIME DEPOSITS EQ 100K LE 250K	TIME DEPOSITS GT 250K	BRKRD DEP GT 250000 MAT LE 1 YR	TIME DEP GT 250000 MAT LE 1 YRDEP	EST DEP LISTING SERVICE NOT BROKERED	OFFR CONSUM DEP ACT INDIV HSHLD FMLY	NONINTR TRN ACCTS INDIV HSHLD FMLY	INTR TRN ACCTS INDIV HSHLD FMLY	MMDA DEPS PRIMRLY INDIV HSHLD FAMLY	OTHR MMDA INDIV PRTNRS CORPS	OTHR SVGS DEPS IND HSHLD FAMILY USE	OTHR SVGS DEPS IND PRTNRS AND CORPS	
37	10127	0	8041	16358	0	28914	0	0	0	0	42326	0	466		20961	3261	3315	20873	41860	0	0	276	0	0	3592	11361	13040	590	14952	0	0	356	0	7621	356	0	0	0	true							
242	5738	0	692	7503	0	14281	0	0	0	0	17471	0	3232		4568	3542	1460	13589	14239	0	0	0	0	0	1462	1928	1643	749	3390	0	2155	254	0	1214	2409	0	2155	0	true							
279	35319	0	0	10905	0	40728	0	0	0	0	116238	0	0		32319	1815	13626	40728	116238	0	0	5643	0	0	11451	31489	27407	1302	42940	1750	2991	2715	0	39329	7455	0	4740	0	true							
354	2295	0	117	2309	0	2309	0	0	0	0	5107	0	1114		1608	1104	0	2192	3993	0	0	0	0	0	445	1262	0	0	1608	0	0	0	0	100	0	0	0	0	true							
457	7241	0	347	6057	0	9091	0	0	0	0	27944	0	3124		6069	12031	2139	8744	24820	0	0	446	0	0	1476	5251	1547	399	6727	0	0	0	0	2603	0	0	0	0	true							
505	204244	6	8278	18274	0	33530	0	0	0	0	382164	0	122218		18180	149686	5327	25246	259946	0	0	1525	0	0	7987	10909	6104	487	18896	1668	1079	0	0	7307	2747	0	2747	0	true							
1155	790	6	6921	30058	0	128890	0	0	4014	0	75179	0	5474		34404	9222	9635	121282	69467	681	238	4033	4014	2003	17473	23756	14018	1822	33723	1764	1866	4468	0	22665	8098	0	2982	0	true							
1351	6098	0	9758	18980	0	34609	0	0	0	0	93221	0	7423		36661	17550	8496	24851	85798	0	0	3434	0	0	11691	32612	15234	0	44303	3770	5868	400	0	22875	10038	0	9638	0	false							
1454	587	0	12412	184104	0	328572	0	0	0	0	421427	657	23531		40626	318006	25536	316160	397239	0	0	8522	0	0	19136	21073	12275	8205	35501	24529	13047	3218	1352	20063	42145	0	14278	0	true							
