"IDRSSD"	RCFD0071	RCFD0081	RCFD1754	RCFD1773	RCFD2130	RCFD2143	RCFD2145	RCFD2150	RCFD2160	RCFD2170	RCFD2930	RCFD2948	RCFD3000	RCFD3123	RCFD3190	RCFD3200	RCFD3210	RCFD3230	RCFD3300	RCFD3545	RCFD3548	RCFD3632	RCFD3656	RCFD3838	RCFD3839	RCFD5369	RCFD6724	RCFDA130	RCFDB528	RCFDB529	RCFDB530	RCFDB989	RCFDB995	RCFDG105	RCFDJA22	RCFN2200	RCFN6631	RCFN6636	RCON0071	RCON0081	RCON1754	RCON1773	RCON2130	RCON2143	RCON2145	RCON2150	RCON2160	RCON2170	RCON2200	RCON2930	RCON2948	RCON3000	RCON3123	RCON3190	RCON3200	RCON3210	RCON3230	RCON3300	RCON3545	RCON3548	RCON3632	RCON3656	RCON3838	RCON3839	RCON5369	RCON6631	RCON6636	RCON6724	RCON8678	RCONA130	RCONB528	RCONB529	RCONB530	RCONB987	RCONB989	RCONB993	RCONB995	RCONG105	RCONJA22	
2040																																							2462	2100	0	41860	0	0	1990	263	7991	194606	148691	830	172024	0	2821	22500	0	22582	480	194606	0	0	18249	0	0	4270	0	22393	126298			0	138248	135427	-417	2513	0	0	3	22582		
2161																																							12351	8886	0	17392	0	0	3708	36	5230	157341	138237	2285	140522	0	1090	0	0	16819	1000	157341	0	0	14555	0	0	1356	0	35512	102725			0	110492	109402	-92	336	0	0	0	16819		
2376																																							4314	24205	327591	39662	0	0	13323	1564	197384	4110028	2952999	69337	3613721	58	28565	545862	0	496249	500	4110028	0	0	438999	0	0	61704	0	180090	2772910			-16282	3530550	3501985	11328	0	0	45523	0	496307	0	
2554																																							1794	269	250	1726	0	289	148	0	345	15059	11250	23	13398	0	150	2000	0	1661	50	15059	0	0	319	0	0	1325	0	2798	8452			0	10388	10238	-33	0	0	125	0	1661		
2732																																							74222	8300	0	73227	0	1112	3328	145	4350	585342	488790	3120	491910	0	4851	0	0	93432	0	585342	0	0	88058	0	0	5789	0	127250	361540			0	425509	420658	-415	0	0	0	0	93432		
2750																																							1006	1109	0	7992	0	0	252	0	3169	60200	46251	469	53105	0	866	6385	0	7095	116	60200	0	0	600	0	0	6700	0	4869	41382			0	47283	46417	-321	255	0	0	0	7095		
3252																																							0	4609	0	78876	0	0	593	221	5443	202716	170136	348	177784	0	4307	7300	0	24932	200	202716	0	0	25656	0	0	300	0	28797	141339			0	106681	102374	-1224	10600	0	0	0	24932		
3458																																							1620	734	4779	4340	0	0	325	0	1017	52815	45344	217	48040	0	399	1600	0	4775	100	52815	0	0	3631	0	0	1101	0	5125	40219			0	40282	39883	-57	117	0	379	500	4775		
3720																																							17002	5328	72	74687	0	0	3647	842	9104	259745	217069	2147	223001	0	1710	0	0	36744	2400	259745	0	0	17452	0	0	18600	568	45399	171670			0	150205	148495	-1708	0	0	0	3785	36744		
3971																																							34158	4303	0	61044	952	12142	6039	387	28551	798969	593369	10633	695823	0	10216	91821	0	103146	2	798969	0	0	-51891	0	0	156276	3889	109669	483700			0	657125	646909	-1241	595	0	0	0	103146		
