"IDRSSD"	RCON0352	RCON2202	RCON2203	RCON2210	RCON2213	RCON2215	RCON2216	RCON2236	RCON2365	RCON2377	RCON2385	RCON2520	RCON2530	RCON5590	RCON6648	RCON6810	RCON6835	RCONB549	RCONB550	RCONB551	RCONB552	RCONF233	RCONHK05	RCONHK06	RCONHK07	RCONHK08	RCONHK09	RCONHK10	RCONHK11	RCONHK12	RCONHK13	RCONHK14	RCONHK15	RCONJ473	RCONJ474	RCONJH83	RCONK220	RCONK222	RCONK223	RCONP752	RCONP753	RCONP754	RCONP756	RCONP757	RCONP758	RCONP759	
	OTH NONTRANSACTION SAVINGS DEPOSITS	TOT TRANSACTION ACCTS-US GOVERNMENT	TOT TRANSACT ACCTS-STS&POL SUB IN US	TOTAL DEMAND DEPOSITS	TOT TRANS ACCTS-BKS IN FGN COUNTRIES	TOTAL TRANSACTIONS ACCOUNTS	TOT TRANS ACCTS-FGN GOVTS&OFFCL INST	NONTRANS DPS OF BKS IN FGN COUNTRIES	TOTAL BROKERED DEPOSITS	TOT NONTRANS ACCTS-FGN GOVTS&OFFCL I	TOTAL NONTRANSACTION ACCOUNTS	TOT NONTRANSACTION ACCTS-US GOVT	TOT NONTRANSACTION ACCTS-STS&POL SUB	PREFERRED DEPOSITS	TIME DEPOSITS LT 100000	AMT OUTSTDG IN MONEY MARKET DEP ACCT	IRA AND KEOGH PLAN ACCOUNTS	TRANSACTION ACCTS: IPC DEPOSITS	NONTRANSACTION ACCTS: IPC DEPOSITS	TRANSACTION ACCT: CB'S & DI'S IN U.S	NONTRANSACT ACCT: CB'S & DI'S IN U.S	IRA KEOGH IN MEM ITEM 2.C	SELECTED COMPONENTS OF TOTAL DEPOSIT	SELECTED COMPONENTS OF TOTAL DEPOSIT	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	TIME DEPOSITS OF 250000 OR LESS WITH	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	TIME DEPOSITS EQ 100K LE 250K	TIME DEPOSITS GT 250K	Total reciprocal deposit	BRKRD DEP GT 250000 MAT LE 1 YR	TIME DEP GT 250000 MAT LE 1 YRDEP	EST DEP LISTING SERVICE NOT BROKERED	OFFR CONSUM DEP ACT INDIV HSHLD FMLY	NONINTR TRN ACCTS INDIV HSHLD FMLY	INTR TRN ACCTS INDIV HSHLD FMLY	MMDA DEPS PRIMRLY INDIV HSHLD FAMLY	OTHR MMDA INDIV PRTNRS CORPS	OTHR SVGS DEPS IND HSHLD FAMILY USE	OTHR SVGS DEPS IND PRTNRS AND CORPS	
805755	45478	0	15740	131565	0	151565	0	0	0	0	328020	0	27503	33588	77529	116375	38975	135817	300316	8	201	16654	0	0	12517	36261	58145	18654	48515	2586	19679	13233	5091	48048	40589	0	0	22265	0	false							
805876	46221	0	1650	31694	0	41251	0	0	0	0	96301	0	630	673	33300	5865	12621	39601	95671	0	0	4059	0	0	6650	13611	18121	3734	20051	0	1040	759	300	8816	2099	0	0	1040	0	false							
806220	4583	0	0	12622	0	31376	0	0	10000	0	117038	0	0	0	26282	31710	8991	31376	117038	0	0	3918	0	0	7466	29002	17285	4101	36468	2660	10851	7835	1545	31572	22891	0	10000	13511	0	true							
806846	277960	3	2727	56058	0	78713	0	0	75801	0	819305	0	5741	0	169059	198054	30122	75983	813564	0	0	11679	66378	32161	42978	137542	88287	5412	180520	8825	42694	12971	4581	105160	69071	9586	0	51519	10370	true	10353	7870	158722	39332	50092	78167	
806958	37292	0	17640	82980	0	155867	0	0	14515	0	251583	0	20908	38548	45187	111068	19668	137459	230425	768	250	4510	0	0	6671	39721	22010	11207	46392	2081	4545	9073	7915	34422	23614	36124	0	6626	0	true							
807348	10513	0	4565	13156	0	23967	0	0	4032	0	58060	0	1054	0	16898	11967	4521	19402	53025	0	3981	1528	4032	1500	3271	16363	9521	3132	19634	277	500	2516	0	15389	3292	0	0	777	3981	false							
807432	11743	44	5929	25934	0	54232	0	0	5067	0	63087	0	417	15392	17129	6427	6160	48259	57504	0	5166	2721	5067	5067	7706	15534	7762	646	23240	3434	8094	1740	0	14519	13268	0	0	11528	99	true							
807656	26047	0	14944	60874	0	102873	0	0	0	0	60080	0	76	13568	9214	11586	4775	87929	60004	0	0	1947	0	0	4655	7957	3797	294	12612	263	4883	598	0	7489	5744	0	0	5146	0	true							
807946	2893	0	1302	6555	0	14795	0	0	3	0	68709	0	11295	10024	12689	12649	1114	13493	38349	0	19065	311	3	3	2897	17299	15862	6678	20194	1738	4854	2430	1409	30047	10431	0	0	6592	19065	true							
807955	70353	0	3073	52913	0	94423	0	0	0	0	1155813	0	13899	13406	11245	1021215	5555	91350	1138683	0	3231	108	0	0	8634	13019	1509	186	21653	8156	30584	2157	0	12103	40897	0	0	38739	0	true	1382	8069	462567	0	51173	11281	
808176	9808601	21	180988	1477755	0	2265146	0	0	1265973	0	21687777	0	1618475	1773064	1602014	8237292	252422	2083359	20040690	778	28612	79260	1238295	819976	162852	873530	1285793	200485	1036382	162521	629779	299953	26971	920646	1119224	634531	2713	792300	30944	true	218360	478466	4292141	3945151	3040762	5120753	
808260	296828	4	126836	231856	0	563743	0	0	0	0	2504293	0	109459	233295	127339	1717439	53117	436903	2393067	0	1767	11481	0	0	75746	146440	54736	5083	222186	109852	68830	27951	1389	154666	208022	28680	0	178682	0	true	38972	98940	738996	956684	272715	21066	
808345	23282	0	670	1831	0	4311	0	0	0	0	28794	0	3736	3659	3977	1332	438	3641	25058	0	0	0	0	0	1161	1944	916	160	3105	0	0	0	0	203	0	0	0	0	0	true							
808354	6723	0	1873	14771	0	24633	0	0	0	0	41156	0	2336	244	9349	11513	4873	22760	38820	0	0	2461	0	0	2725	8157	4447	1331	10882	2140	1317	2803	0	7311	6260	0	0	3457	0	false							
808448	8865	0	5541	10985	0	21707	0	0	0	0	39222	0	6166	6476	7239	18233	5144	16166	33056	0	0	2433	0	0	5620	2922	878	1027	7561	0	1421	256	0	3208	1677	0	0	1421	0	false							
808653	18444	0	13135	26091	0	53501	0	0	0	0	65773	0	4240	10444	15102	20044	4487	40366	61284	0	249	1354	0	0	1866	4153	7707	9713	6019	319	0	2612	915	8337	3846	0	0	319	0	false							
809070	3016	0	0	1150	0	6971	0	0	0	0	25291	0	0	0	2930	0	1307	6971	25291	0	0	291	0	0	8400	11509	644	12	19909	0	1710	0	0	17635	1710	0	0	1710	17342	true							
809276	5340	0	339	10251	0	15395	0	0	0	0	231049	0	115	0	79797	28838	11099	15056	230934	0	0	4285	0	0	21589	57096	76541	12271	78685	2968	9217	15510	1679	87701	29374	0	0	12185	0	true							
809379	7791	0	473	12231	0	19152	0	0	687	0	37425	0	5964	0	5950	16898	1997	18679	31461	0	0	0	0	0	3148	4829	1970	344	7503	535	1910	0	0	4341	2445	687	0	1913	0	true							
809539	17293	0	29659	42261	0	102845	0	0	0	0	112689	0	2855	24330	30007	7726	9485	73186	109834	0	0	2423	0	0	15163	36314	12916	0	51477	11200	9130	2945	0	34386	23275	0	0	20330	0	true							
809650	9414	0	1388	35952	0	44062	0	0	34385	0	131856	0	14267	13603	35065	40667	3240	42674	100940	0	16649	2148	34385	26440	16039	15290	23732	1172	31329	10297	8521	6723	0	21169	25541	925	0	18818	3722	false							
809678	5636	0	0	31	0	1528	0	0	0	0	35345	0	0	0	10851	6059	6238	1528	35345	0	0	3072	0	0	1833	6227	7146	4247	8060	0	1387	791	2018	8602	4196	0	0	1387	0	false							
809771	119408	0	202	23478	0	569596	0	0	0	0	856706	0	13680	11878	202434	141967	92363	569394	843026	0	0	44866	0	0	93228	116148	121215	53821	209375	38885	43195	73769	55071	181978	210920	0	0	82080	0	false							
809856	7742	0	1410	12772	0	20669	0	0	0	0	24094	0	1086	1626	4657	3280	3269	19259	23008	0	0	1486	0	0	1514	2352	3689	420	3866	1235	512	3350	0	3318	5097	0	0	1747	0	false							
