"IDRSSD"	RCFD0071	RCFD0081	RCFD1754	RCFD1773	RCFD2130	RCFD2143	RCFD2145	RCFD2150	RCFD2160	RCFD2170	RCFD2930	RCFD2948	RCFD3000	RCFD3123	RCFD3190	RCFD3200	RCFD3210	RCFD3230	RCFD3300	RCFD3545	RCFD3548	RCFD3632	RCFD3656	RCFD3838	RCFD3839	RCFD5369	RCFD6724	RCFDA130	RCFDB528	RCFDB529	RCFDB530	RCFDB989	RCFDB995	RCFDG105	RCFDJA22	RCFN2200	RCFN6631	RCFN6636	RCON0071	RCON0081	RCON1754	RCON1773	RCON2130	RCON2143	RCON2145	RCON2150	RCON2160	RCON2170	RCON2200	RCON2930	RCON2948	RCON3000	RCON3123	RCON3190	RCON3200	RCON3210	RCON3230	RCON3300	RCON3545	RCON3548	RCON3632	RCON3656	RCON3838	RCON3839	RCON5369	RCON6631	RCON6636	RCON6724	RCON8678	RCONA130	RCONB528	RCONB529	RCONB530	RCONB987	RCONB989	RCONB993	RCONB995	RCONG105	RCONJA22	
	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	INTANGIBLE ASSETS	PREMISES&FIXED ASSETS(INCL CAP LSES)	OTHER REAL ESTATE OWNED	OTHER ASSETS	TOTAL ASSETS	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ALLL_AMT	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	DIRECT INDIRECT INV IN RE	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	AUDIT INDICATOR	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	TOT EQT CAP INC NONCTRL MINORITY INT		TOTAL DEPOSITS	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	INTANGIBLE ASSETS	PREMISES&FIXED ASSETS(INCL CAP LSES)	OTHER REAL ESTATE OWNED	OTHER ASSETS	TOTAL ASSETS	TOTAL DEPOSITS	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ALLL_AMT	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	DIRECT INDIRECT INV IN RE	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	AUDIT INDICATOR	FISCAL YEAR END	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	FEDERAL FNDS SOLD	SECURS PURCHSD UDR AGRMNTS TO RESELL	FEDERAL FNDS PURCD IN DOMESTIC OFFCS	SECURS SOLD UNDR AGRMNTS TO REPURCH	TOT EQT CAP INC NONCTRL MINORITY INT		
37																																							2529	1287	0	47012	0	0	297	100	1091	78095	63473	156	63629	0	989	0	0	14466	1200	78095	0	0	10402	0	0	3500	0	15206	48267			0	26768	25779	-636	0	0	0	0	14466		
242																																							2566	1084	0	12514	0	0	266	612	430	43048	33639	26	37765	0	188	4100	0	5283	120	43048	0	0	5194	0	0	120	0	8596	25043			0	24794	24606	-151	970	0	0	0	5283		
279																																							3291	3614	42178	15131	0	25	5468	301	7984	218278	167323	1224	189041	0	972	20494	0	29237	1	218278	0	0	29557	0	0	0	0	14872	152451			0	139876	138904	-321	1382	0	0	0	29237		
354																																							1430	542	997	142	0	0	37	0	159	9492	8139	2	8141	0	125	0	0	1351	100	9492	0	0	321	0	0	936	1094	2910	5229			0	3883	3758	-6	1333	0	0	0	1351		
457																																							997	544	44	249	0	0	257	260	1519	48779	35965	175	43820	0	394	6000	0	4960	60	48780	0	0	960	0	0	3940	0	6120	29845			0	45303	44909	0	0	0	1680	0	4960		
505																																							704	5733	0	67220	0	1650	10309	0	14274	502492	421336	4224	463440	58	5158	37880	0	38994	6480	502492	0	0	25498	0	0	10653	0	79704	341632			0	407760	402602	-3637	0	0	0	0	39052	0	
1155																																							15497	6234	20	24816	0	0	4275	980	7136	230556	206423	2114	209520	0	3431	0	0	21036	1600	230556	0	0	14923	0	0	4900	200	23913	182510			0	174829	171398	-387	0	0	0	983	21036		
1351																																							0	2840	43956	5020	0	0	4720	190	1814	154278	125918	517	129026	0	1303	0	0	25252	240	154278	0	0	24664	0	0	530	0	20388	105530			0	97041	95738	-182	0	0	2591	0	25252		
1454																																							23148	9622	0	396188	0	0	3835	0	13086	702868	623276	2807	626083	0	3329	0	0	76785	1000	702868	0	0	84834	0	0	1214	2570	181892	441384			0	257748	254419	-10263	0	0	0	0	76785		
