"IDRSSD"	RIAD3123	RIAD4230	RIAD4605	RIAD5523	RIADB522	RIADC079	RIADC233	RIADC389	RIADC390	RIADC435	RIADC781	
	ALLL_AMT	PROVISION FOR CREDIT LOSSES	RECOVERIES CREDITED TO RESERVES	WRITE DOWN ARISING FRM TRNSFR TO HFS	BEGIN BALANCE (MOST RECENT) IN ALLL	CHRG-OFFS ON ALLWNCE FOR L&L LOSSES	ADJUSTMENTS	SEPARATE VAL ALLOW CRED/FIN CHGS	AMT ALLOW LN&LSE LOSS CC/FIN CHGS	ALLOCATED TRANSFER RISK RESERVE	AMT OF ALLOWNCE FOR POST-ACQUISTN LO	
37	998	85	15	0	988	90	0			0	0	
242	171	0	10	0	189	28	0			0	0	
279	892	236	34	0	733	111	0			0	0	
354	188	0	7	0	181	0	0			0	0	
457	492	0	9	0	489	6	0			0	0	
505	4188	90	47	0	4193	142	0			0	0	
1155	2282	797	99	0	2022	636	0			0	0	
1351	1300	471	16	0	1300	487	0	0	0	0	0	
1454	3147	360	83	0	2902	198	0			0	0	
1557	675	251	5	0	434	15	0			0	0	
1669	2933	127	66	0	2898	158	0			0	0	
1829	3579	350	210	0	3547	528	0			0	0	
1856	985	0	4	0	1043	62	0			0	0	
2040	3396	60	94	0	3495	253	0			0	0	
2161	743	7	2	0	758	24	0			0	0	
2376	30458	53	1	0	31036	632	0			0	0	
2554	102	22	6	0	165	91	0			0	0	
2732	3451	1000	144	0	3508	1201	0			0	0	
2750	645	31	15	0	720	121	0			0	0	
3177	3190	688	0	0	3760	1258	0			0	0	
3252	3006	1490	357	0	2444	1285	0			0	0	
3458	331	65	1	0	322	57	0			0	0	
3720	1686	4	65	0	1645	28	0			0	0	
3971	11003	-158	1566	0	11331	1736	0			0	0	
4156	2006	120	80	0	1854	48	0			0	0	
4231	877	240	26	0	679	68	0			0	0	
4437	1885	-318	486	0	2016	299	0			0	0	
4839	4705	2100	49	0	5323	2767	0			0	0	
5069	11800	-530	0	0	12330	0	0			0	0	
5135	4076	185	19	0	4039	167	0			0	0	
5210	14747	0	512	0	15172	937	0			0	0	
5461	5361	-50	172	0	5608	369	0			0	0	
5751	1456	32	172	0	1381	129	0			0	0	
6039	813	30	12	0	962	191	0			0	0	
6141	423	60	68	0	377	82	0			0	0	
6329	5628	4475	961	0	6539	6347	0			0	0	
7009	0	0	0	0	0	0	0			0	0	
7045	1050	870	27	0	1155	1002	0			0	0	
7072	1703	630	116	0	1534	577	0			0	0	
7157	249	10	3	0	239	3	0			0	0	
7456	666	90	0	0	576	0	0	0	0	0	0	
7634	1123	120	77	0	1092	166	0			0	0	
8033	1156	73	141	0	1027	85	0			0	0	
8462	680	100	24	0	578	22	0			0	0	
8631	425	0	16	0	443	34	0			0	0	
9357	3222	100	4	0	3193	75	0			0	0	
9553	1001	50	2	0	953	4	0			0	0	
9807	28688	-6000	2230	0	35690	3232	0			0	0	
9955	1522	0	19	0	1511	8	0			0	0	
10250	3930	-1000	705	0	4875	650	0			0	0	
10849	1495	20	163	0	1328	16	0			0	0	
11145	1909	380	43	0	1622	136	0			0	0	
11275	15853	700	2014	0	15926	2787	0			0	0	
11640	2939	457	282	0	2304	104	0			0	0	
11837	433	-75	52	0	527	71	0			0	0	
12030	8149	3250	3732	0	7752	6585	0			0	0	
12142	1651	245	77	0	1543	214	0			0	0	
12179	268	-15	28	0	276	21	0			0	0	
12311	594620	89720	127932	8239	603072	217865	0			0	2729	
12647	967	-20	0	0	996	9	0			0	0	
12656	264	2	15	0	285	38	0			0	0	
