"IDRSSD"	RCON0211	RCON1287	RCON1709	RCON1713	RCON1733	RCON1736	RCON1752	RCON1754	RCON1773	RCON2163	RCON2192	RCON2941	RCON3129	RCON3190	RCON8492	RCON8495	RCON8496	RCON8499	RCONA511	RCONB989	RCONB995	RCONG389	RCONG390	RCONG393	RCONG394	RCONG397	RCONG398	RCONG399	RCONG400	RCONJA22	
	US TREAS SECS-HLD-TO-MAT-AMRTZ COST	US TREAS SECS-AVL-FOR-SLE-FAIR VALUE	OTHR PASS-THRU SECS-HLD-AMORTZD COST	OTHR PASS-THRU SECS-AVL-FAIR VALUE	MBS-CMOS&REMICS-ALL OTHER-HLD-AMRTZ	MBS-CMOS&REMICS-ALL OTHER-AVL-FAIR	HISTCL COST OF ALL OTH AVL-FOR-SALE	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	NET DUE FROM FOREIGN OFFICES	TOTAL ASSETS	NET DUE TO FOREIGN OFFICES	TOTAL LIABILITIES, EXCL NET DUE TO	OTHER BORROWED MONEY	US GOVT AGCY&CORP OBLIGS-AMRTZ COST	US GOVT AGCY&CORP OBLIGS-FAIR VALUE	SECS ISSD BY US ST&POL SUBDYS-AMRTZ	SECS ISSD BY US ST&POL SUBDYS-FAIR	FAIR VAL OF AVL-FOR-SL INVES MUTL FD	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	MBS PT SCTY ISS FFG AMRTZ HTM SCTY	MBS PT SCTY ISS FFGNMA FV AFS SCTY	OTHR MBS ISS FFG AMRTZ HTM SCTY	OTHR MBS ISS FFG FV AFS SCTY	OTHR DMSTC DEBT SCTY AMRTZ HTM SCTY	OTHR DMSTC DEBT SCTY FV AFS SCTY	FOREIGN DEBT SCTY AMRTZ HTM SCTY	FOREIGN DEBT SCTY FV AFS SCTY	Equity securities with readily deter	
2343167	0	0					775	0	56315					10000			0	34863		0	0										
2344753	0	7890					2952	0	57881					41880			0	0	0	0	0										
2349301	0	498					3644	0	114681					0			0	38894	0	0	0										
2349459	0	0					393	0	38052					1550			0	8071	0	0	0										
2353595	0	19942					9904	25115	164137					50000			0	100339	0	0	29115										
2354323	0	0					531	0	6572					9000			0	2015	0	0	0										
2354387	0	0					1150	0	16463					0			0	5756		0	1764									0	
2354985	0	0					134470	0	1178299					2252615			0	0	0	0	0										
2356091	0	0					1345	0	74685					10281			0	25252		0	4397									0	
2358769	0	58369					2941	0	441019					0			0	60889		0	18560										
2360904	0	0					872	0	17377					0			0	4955	0	0	0										
2362458	0	0					23975	0	0					0			0	0		0	0									0	
2371816	0	0					1167	0	34641					22160			0	31498	0	0	0										
2372774	0	0					13018	0	296752					190747			0	149952		0	45000									61	
2382308	0	3930					33	0	23756					28782			0	386		0	0									1849	
2385514	0	0					10399	6000	425529					13034			6000	160780	909	0	0										
2390929	0	0					2700	0	113751					60000			0	47807	0	0	46417										
2391588	0	0					884	0	3022					9952			0	0	0	0	0										
2396592	0	0					2564	0	20333					2500			0	9400	0	0	0										
2396604	0	490					336	23853	47394					0			23853	2598	2885	0	3890										
2398701	0	0					12636	105128	76452					145225			0	0	0	0	0										
2434113	0	0					19776	27605	266662					272368			6847	0	474	0	28767										
2445052	0	2965					382	0	29523					0			0	8404		0	0									0	
2451240	0	0					5302	0	181724					40000			0	0	0	0	0										
2454867	0	0					1100	0	1675					21500			0	586	0	0	0										
2465881	0	0					4670	24473	7447					41000			24473	0	0	0	0										
2467670	0	0					113	0	0					0			0	0		0	0									0	
2471239	0	1990					2864	2371	18481					1000			0	0	0	0	231										
2482824	0	0					2028	0	25271					34700			0	11367	0	0	0										
2483120	0	0					313	0	4929					0			0	0	12	0	0										
2483438	0	0					893	0	14090					10000			0	0		0	0									0	
2485544	0	0					642	0	15193					10180			0	1147	0	0	0										
2489805	2703000	6384000					187000	2782000	8935000					305000			0	0		0	1501000									0	
2490285	0	0					125	0	44469					0			0	26688	0	0	0										
2491291	0	0					907	0	26468					15000			0	503	0	0	0										
2493697	0	0					108	0	0					0			0	0	0	0	0										
2496081	0	0					137	0	5603					0			0	0	0	0	0										
2497181	0	0					3715	10825	200270					71597			10825	101599	0	1	9638										
2502656	0	0					0	399569	29681					0			13171	0	20291	0	0										
2502825	0	0					68	2602	0					0			0	0		0	0										
2505424	0	0					445	0	22772					8274			0	22772	0	0	0										
2505451	0	0					355	0	89064					980			0	9534	0	0	0										
2505460	0	0					604	0	20412					10000			0	2855	0	0	3488										
2506328	0	0					182	5544	43555					0			0	0	6523	0	0										
2506757	0	0					2594	7888	135473					53221			5403	63657	0	0	9802										
2508751	0	0					6502	31695	74336					45000			9751	8685		0	0									1900	
2512347	0	0					2023	0	37387					0			0	23503	0	0	6550										
2515320	0	0					4523	0	165925					96951			0	46504	0	0	0										
2518497	0	0					345	0	33500					7075			0	24868		0	0									0	
2524797	0	0					3913	0	141360					121741			0	33638	0	0	0										
2529176	0	6007					565	12342	35510					3000			12342	0	0	0	4966										
2531562	0	0					176	0	269					7573			0	0	0	0	0										
2531991	0	0					9103	0	0					0			0	0		0	0									0	
2532082	0	996					429	0	24941					3587			0	9821	0	0	0										
2533043	0	0					495	0	0					11000			0	0	0	0	0										
2533119	0	0					1388	2402	1047					0			1402	0	1047	0	0										
2535560	0	0					842	0	31474					6000			0	13290		0	1862									40	
2536633	0	0					285	0	351					5420			0	351	0	0	0										
2539081	0	0					244	15678	15407					0			15678	0	0	0	0										
2539960	0	9872					4334	0	30795					48581			0	8793	0	0	0										
2562137	0	0					228	0	8718					350			0	4664	0	0	0										
2562164	0	32550					3766	1323	36016					20121			0	257	0	0	0										
2567123	0	0					30	0	0					0			0	0		0	0									0	
2568063	0	0					3535	385776	92327					30000			0	0	5783	0	0										
2576134	0	0					41	37695	2342					0			1564	0		0	0									846	
2577739	0	4961					586	0	108040					0			0	98730	0	0	8104										
2580243	0	0					4051	1005	58038					65000			0	521		0	29397										
2586281	0	0					2669	84665	39721					59000			12334	9363	0	0	1782										
2587916	0	0					219	0	28217					0			0	0		0	0										
2590037	0	0					100763	3161487	2321914					3197500			0	0	0	0	200000										
2594240	0	0					2770	0	76544					29372			0	19840	0	0	0										
2594419	0	8100					809	0	21970					0			0	0		0	12177									0	
2596646	0	0					7077	0	183750					133331			0	79232	0	0	24352										
2597223	0	5672					150	0	22026					0			0	11091	3477	0	0										
2598396	0	0					149	0	9398					1000			0	1043	0	0	0										
2600039	0	0					582	0	0					0			0	0		0	0										
2602828	0	0					36	0	1400					0			0	401	0	0	0										
2605566	0	0					0	0	15000					0			0	0	15000	0	0										
2607412	0	0					267	0	54					0			0	0	54	0	0										
2608754	0	0					11036	0	335524					220000			0	121503		0	104894									1465	
2610784	0	984					58	0	984					0			0	0	0	0	0										
2614344	0	0					484	0	31517					0			0	17377	0	0	0										
2615190	0	0					0	54907	0					0			3754	0	0	0	0										
2615220	0	0					318	0	33259					0			0	24630	0	0	0										
2618780	0	0					131134	0	10119					2303074			0	0		25000	7740									14810	
2619714	0	0					3791	0	11737					0			0	5084	0	0	0										
2621285	0	2497					326	0	11354					0			0	0	0	0	0										
2621940	0	0					194	0	28442					0			0	20894	0	0	0										
2624400	0	0					6296	51267	101164					70052			3663	4476		0	0									1231	
2625724	0	0					1548	0	66146					14200			0	23173	0	0	0										
2631172	0	0					925	3996	111299					0			3996	33440	41	0	6097										
2631323	0	0					294	156219	43760					0			0	0	0	0	0										
2631846	0	0					2550	0	90903					10000			0	19236	0	0	0										
2634191	0	0					47255	634413	2155176					163261			634413	643111	331	0	395794										
2634351	0	12727					11558	90513	214269					80667			35325	86585		0	0									1446	
2641827	0	0					74	201	1138					0			0	0	1138	0	0										
2642598	0	22626					366	0	77851					0			0	35893	0	0	0										
2643595	0	0					1184	0	17461					23000			0	17461	0	0	0										
2648376	0	0					799	0	7261					2000			0	0		0	2159									0	
2649122	0	8428					2688	57435	226575					3060			57435	27749		0	52983									940	
2649177	0	92636					0	1847	398702					15282			0	7271	51655	0	0										
2650333	0	0					663	0	4651					0			0	1707	0	0	0										
2651899	0	0					138	0	6204					0			0	5540	0	0	0										
2652092	0	0					34886	0	578099					275000			0	48607	0	0	48365										
2654911	0	4985					3057	0	1762847					0			0	4908	0	0	0										
2655495	0	0					639	0	334031					0			0	114237	0	0	0										
