"IDRSSD"	RIAD3584	RIAD3585	RIAD3588	RIAD3589	RIAD4266	RIAD4267	RIAD4481	RIAD4482	RIAD4605	RIAD4608	RIAD4617	RIAD4618	RIAD4627	RIAD4628	RIAD4635	RIAD4638	RIAD4643	RIAD4644	RIAD4645	RIAD4646	RIAD4652	RIAD4653	RIAD4654	RIAD4655	RIAD4662	RIAD4663	RIAD4664	RIAD4665	RIAD5409	RIAD5410	RIAD5411	RIAD5412	RIADB512	RIADB513	RIADB514	RIADB515	RIADC217	RIADC218	RIADC234	RIADC235	RIADC388	RIADC880	RIADC891	RIADC892	RIADC893	RIADC894	RIADC895	RIADC896	RIADC897	RIADC898	RIADF185	RIADF187	RIADF188	RIADK129	RIADK133	RIADK205	RIADK206	
	CHG-OFFS ON LNS SECURED BY FARMLAND	RECVRS ON LNS SECURED BY FARMLAND	CHG-OFFS ON LNS SECD BY MULTI-FAMILY	RECVRS ON LNS SECD BY MULTI-FMLY RES	CHG-OFF ON LS FINANCING RECEIVABLES	RECOV ON LEASE FINANCING RECEIVABLES	CHG-OFF ON LOANS TO DEPOSITORY INST	RECOV ON LOANS TO DEPOSITORY INST	RECOVERIES CREDITED TO RESERVES	RECOVERIES ON C&I LOANS	RECOV ON C & I LNS-U.S. ADDRESSES	RECOV ON C & I LNS-NON-U.S. ADDRES	RECOV ON LNS TO FGN GOVTS & INST	RECOV ON ALL OTHER LOANS	LOSSES CHARGED TO RESERVE	CHARGE-OFFS ON C&I LOANS	CHG-OFFS ON LNS TO FGN GOVTS & INST	CHG-OFFS ON ALL OTHER LOANS	CHG-OFFS ON C&I LNS-U.S. ADDRESSES	CHG-OFFS ON C&I LNS-NON-U.S. ADDRES	CHRGE-OFFS ON R.E. LNS-NON U.S. ADDR	CHRGE-OFFS ON LNS TO U.S. DEP INST	CHRGE-OFFS ON INS TO FOREIGN BANKS	CHARGE-OFFS ON LOANS TO FARMERS	RECOV ON R.E. LOANS-NON U.S. ADDRESS	RECOV ON LOANS TO U.S. DEPOSITORY IN	RECOVERIES ON LOANS TO FOREIGN BANKS	RECOVERIES ON LOANS TO FARMERS	CHG-OFFS OF LNS TO FINC COMMCL RE,CO	RECOVERS OF LNS TO FINC COMMCL RE,CO	CHG-OFFS OF RVLVG,OPEN-END LNS SECD	RECOVERS OF RVLVG,OPEN-END LNS SECD	CHRG-OFF ON LOANS IN FOREIGN OFFICES	RECVRS ON LOANS IN FOREIGN OFFICES	CHARGE-OFFS ON: CREDIT CARDS LOANS	RECOVERIES ON CREDIT CARDS LOANS	RCVRS ON CLSD-ED LNS:SECD FRST LIENS	RCVRS ON CLSD-ED LNS:SECURD JR LIENS	CHRG-OFFS CLSD-END:SECURED 1ST LIENS	CHRG-OFFS CLSD-END:SECURED JR LIENS	UNCOLLBLE CRED CRD FEE&FIN CHGS	CHARGE-OFFS ALL OTHR LEASE FNC RECVB	1-4 FAM RES CNSTRTN LN CHARGE-OFFS	1-4 FAM RES CNSTRTN LN RECOVERIES	OTHR CNSTRCTN LN & LAND DEV CHARGE-O	OTHR CNSTRCTN LN & LAND DEV RECOVERI	LN SCD BY OWNER-OCCPD NONFARM CHARGE	LN SCD BY OWNER-OCCPD NONFARM RECOVE	LN SCD BY OTHR NONFARM NONRES CHARGE	LN SCD BY OTHR NONFARM NONRES RECOVE	CHG-OFF LEASE TO IND FOR HOME & FAM 	LEASE TO IND FOR HOUSE & OTHR EXP RE	RECOVERIES ALL OTHR LEASE FNC RCVBL	CHRG OFF AUTO LN	RCVRY AUTO LN	CHARGE-OFFS ALL OTHER	RECOVERIES ALL OTHER	
37	0	0	0	0	0	0	0	0	6	0			0	0	60	0	0	0											0	0	0	0			0	0	1	0	47	0			0	0	0	0	0	0	0	0				4	3	9	2	
242	0	0	0	0	0	0	0	0	1	0			0	0	0	0	0	0						0				0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	1	0	0	
279	0	0	0	0	0	0	0	0	10	8			0	0	15	0	0	0											0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	15	2	
354	0	0	0	0	0	0	0	0	5	0			0	1	1	0	0	0						0				1	0	0	0	0			0	0	1	0	0	0			0	0	0	0	0	0	0	0				1	3	0	0	
457	0	0	0	0	0	0	0	0	50	17			0	24	26	0	0	0						0				24	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	4	0				2	0	20	9	
505	0	0	0	0	0	0	0	0	9	2		0	0	1	200	3	0	2		0	0		0	0	0		0	0	0	0	0	0			0	0	0	0	0	185			0	0	0	0	0	0	0	0	0	0		7	5	3	1	
1155	0	0	0	0	0	0	0	0	12	0			0	3	44	0	0	6											0	0	0	0			2	1	0	0	0	0			0	0	0	0	0	6	0	0				0	1	36	1	
1351	0	0	0	0	0	0	0	0	24	3			0	0	159	89	0	2						0				0	0	0	0	0			0	0	0	0	0	0	0		0	0	0	0	0	0	0	0				0	9	68	12	
1454	0	0	0	0	0	0	0	0	53	10		0	0	3	80	0	0	10		0	0		0	0	0		0	0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0	0	0		27	30	43	10	
1557	0	0	0	0	0	0	0	0	0	0			0	0	8	5	0	0						0				0	0	0	0	0			0	0	0	0	0	0	0		0	0	0	0	0	0	0	0				3	0	0	0	
1669	0	0	0	0	0	0	0	0	21	1			0	0	100	25	0	0											0	0	0	0			0	0	1	0	43	0			0	0	0	0	0	0	0	0				15	13	17	6	
1829	0	0	0	0	0	0	0	0	1	0		0	0	0	123	50	0	0		0	0		0	0	0		0	0	0	0	7	0			0	0	0	0	32	34			0	0	0	0	0	0	0	0	0	0		0	0	0	1	
1856	0	0	0	0	0	0	0	0	1	0			0	0	24	16	0	0											0	0	0	0			0	0	0	0	1	0			0	0	0	0	0	1	0	0				0	0	7	0	
2040	0	0	0	0	0	0	0	0	9	6			0	0	20	0	0	0											0	0	0	0			0	0	0	0	18	0			0	0	0	0	0	0	0	0				0	0	2	3	
2161	0	0	0	0	0	0	0	0	8	0			0	7	12	0	0	4						0				0	0	0	0	0			1	1	0	0	2	0			0	0	0	0	0	0	0	0				4	0	1	0	
2376	0	0	0	0	0	0	0	0	1015	0		0	0	0	455	0	0	0		0	0		0	0	0		0	0	0	0	0	0			0	0	0	0	0	0			0	1000	0	0	0	0	455	15	0	0		0	0	0	0	
2554	0	0	0	0	0	0	0	0	4	0			0	0	0	0	0	0						0				0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	4	
2732	0	0	294	2	0	0	0	0	338	16		0	0	0	2142	1053	0	0		0	0		0	0	0		0	0	0	0	0	0			0	0	0	0	188	0			0	60	0	6	197	4	410	250	0	0		0	0	0	0	
2750	0	0	0	0	0	0	0	0	2	0			0	0	8	0	0	0						0				0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				8	2	0	0	
3177	0	0	0	0	0	0	0	0	76	0		0	0	0	647	4	0	0		0	0		0	0	0		0	0	0	0	70	75			0	0	0	0	511	20			0	1	41	0	0	0	0	0	0	0		0	0	1	0	
3252	58	0	0	0	0	0	0	0	202	25			0	14	262	18	0	55						55				14	0	0	0	0			0	0	3	0	0	0			0	0	0	0	0	0	0	0				9	28	122	132	
3458	0	0	0	0	0	0	0	0	7	0			0	0	0	0	0	0						0				0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	6				0	0	0	1	
3720	0	0	0	0	0	0	0	0	15	0			0	0	26	23	0	0						0				0	0	0	0	0			0	0	1	0	0	0			0	0	0	0	0	0	0	0				0	0	3	14	
3971	0	0	0	0	18	221	0	0	733	32		0	0	16	1690	0	0	104		0	0		0	104	0		0	16	0	0	29	43			0	0	155	40	268	37			0	38	174	3	97	8	0	0	0	0		0	0	963	177	
4156	0	0	0	0	0	0	0	0	167	2			0	43	9	0	0	0						0				43	0	0	0	0			0	0	2	0	0	0			0	0	0	0	0	107	0	0				0	1	9	12	
4231	0	0	0	0	0	0	0	0	10	5			0	0	131	0	0	0											0	0	0	0			0	0	0	0	0	0			0	0	0	0	28	0	58	0				33	4	12	1	
4437	0	0	0	0	0	0	0	0	420	0			0	9	417	0	0	46											0	0	10	0			0	0	175	0	0	0			0	0	343	20	18	216	0	0				0	0	0	0	
4839	0	0	43	141	0	0	0	0	337	0		0	0	0	341	54	0	0		0	0		0	0	0		0	0	0	0	27	0			0	0	0	0	13	3			0	0	56	73	0	122	138	0	0	0		0	0	7	1	
5069	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0		0	0		0	0	0		0	0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0	0	0		0	0	0	0	
5135	102	125	0	0	0	0	0	0	160	1		0	0	6	206	0	0	14		0	0		0	0	0		0	0	0	0	0	0			3	0	0	23	59	23			0	3	0	0	0	0	0	0	0	0		5	2	0	0	
