"IDRSSD"	RCON8777	RCON8778	RCON8779	RCONA000	RCONA001	RCONA002	RCONA167	RCONA221	RCONA222	RCONA223	RCONA250	RCONB503	RCONB504	RCONB505	RCONB520	RCONB528	RCONB541	RCONB542	RCONB543	RCONB546	RCONB547	RCONB548	RCONB581	RCONB582	RCONB583	RCONB588	RCONB589	RCONB590	RCONB591	RCONB592	RCONB593	RCONB594	RCONB595	RCONB600	RCONB601	RCONB602	RCONB603	RCONB604	RCONB605	RCONB606	RCONB607	RCONB608	RCONB609	RCONB610	RCONB611	RCONB612	RCONB617	RCONB618	RCONB619	RCONB620	RCONB621	RCONB622	RCONB623	RCONB624	RCONB625	RCONB626	RCONB627	RCONB628	RCONB629	RCONB630	RCONB631	RCONB639	RCONB640	RCONB641	RCONB642	RCONB643	RCONB644	RCONB650	RCONB651	RCONB652	RCONB653	RCONB654	RCONB655	RCONB656	RCONB657	RCONB658	RCONB659	RCONB660	RCONB661	RCONB662	RCONB663	RCONB664	RCONB665	RCONB666	RCONB667	RCONB668	RCONB669	RCONB670	RCONB671	RCONB672	RCONB673	RCONB675	RCONB676	RCONB677	RCONB678	RCONB679	RCONB680	RCONB681	RCONB682	RCONB683	RCONB684	RCONB685	RCONB686	RCONB687	RCONB688	RCONB689	RCONB690	RCONB691	RCONB693	RCONB694	RCONB695	RCONB696	RCONB697	RCONB698	RCONB699	RCONB700	RCONB701	RCONB702	RCONB703	RCONB704	RCONC063	RCONC064	RCONC225	RCONC227	RCONC228	RCONC869	RCONF264	RCONG591	RCONG592	RCONG593	RCONG594	RCONG595	RCONG596	RCONG597	RCONG598	RCONG599	RCONG600	RCONG601	RCONG602	RCONL136	RCONL137	RCONL138	
	OTHR COMMODITY-MAT ONE YEAR OR LESS	OTHR COMMODITY-MAT OVER 1 THRU 5 YRS	OTHR COMMODITY-MAT OVER 5 YEARS	EQUITY CONTRCT-MAT ONE YEAR OR LESS	EQUITY CONTRCT-MAT OVER 1 THRU 5 YRS	EQUITY CONTRCT-MAT OVER 5 YEARS	EQUIV AMT OF OFF-B/S DERIVATIVES	NET UNREAL LOSS ON AFS EQTY SEC	EXCESS ALLOWANCE FOR LN&LEASE LOSSES	RISK-WEIGHTED ASSETS	AMT OF RETAINED RECOURSE ON SBO'S	ADJSTMNT TO TOTL RSK-BASED CPTL	ADJUSTMENT TO RWA	ADJUSTMENT TO AVERAGE TOTAL ASSETS	FED FNDS SLD&SECS PRCHD UDR AGMT-100	LOANS & LEASES, NET UNEARNED INCOME	RECOURSE & DIRECT CRD SUBS-FACE VALU	RECOURSE&DIRCT CRDT SUBS-CRDT EQ AMT	RECOURSE&DIRECT CRDT SUBSTITS-100%	FINCL STANDBY LTTRS OF CRD-FACE VALU	FINCL STANDBY LETTRS OF CRD-EQVL AMT	FINANCIAL STANDBY LETTRS OF CRDIT-0%	FINANCIAL STANDBY LETTRS OF CRDT-20%	FIANCIAL STANDBY LETTRS OF CRDIT-50%	FINANCIAL STANDBY LETTRS OF CRD-100%	NONQUALIFYING PERPETUAL PREFER STOCK	QUALIFYING MINORITY INT CONSOL SUBS	DISALLOWD GOODWILL&OTH INTANG ASSETS	DISALLOWD SERVICING ASSETS & PCCR'S	OTHER ADDITIONS(DEDUCT) FROM TIER1	CUMULATIVE PERPETUAL PREFERRED STOCK	OTHER TIER 2 CAPITAL COMPONENTS	DEDUCTIONS FOR TOTL RISK-BASED CAPTL	CASH & BAL DUE FROM DI'S: 0% RSK-WGT	CASH & BAL DUE FROM DI'S: 20% RSK-WT	CASH & BAL DUE FROM DI'S:100% RSK-WT	H-T-M SECURITIES-NOT SUBJECT RSK-WT	HELD-TO-MATUR SECURITIES: 0% RSK-WGT	HELD-TO-MATUR SECURITIES: 20%RSK-WGT	HELD-TO-MATUR SECURITIES: 50%RSK-WGT	HELD-TO-MATUR SECURITIES:100%RSK-WGT	A-F-S SECURITES - NOT SUBJECT RSK-WT	AVAIL-FOR-SALE SECUR: 0% RISK-WGT	AVAIL-FOR-SALE SECUR: 20% RISK-WGT	AVAIL-FOR-SALE SECUR: 50% RISK-WGT	AVAIL-FOR-SALE SECUR: 100% RISK-WGT	LOANS&LEASES H-F-S: NOT SUBJ RSK-WGT	LOANS & LEASES H-F-S: 0% RISK-WEIGHT	LOANS & LEASES H-F-S: 20% RISK-WGT	LOANS & LEASES H-F-S:-50% RISK-WGT	LOANS & LEASES H-F-S: 100% RISK-WGT	LOANS & LEASES,NET: NOT SUBJ RSK-WGT	LOANS & LEASES, NET: 0% RISK-WEIGHT	LOANS & LEASES, NET: 20% RISK-WEIGHT	LOANS & LEASES, NET: 50% RISK-WEIGHT	LOANS & LEASES,NET: 100% RISK-WEIGHT	TRADING ASSETS: NOT SUBJ RISK-WGT	TRADING ASSETS: 0% RISK-WEIGHT	TRADING ASSETS: 20% RISK-WEIGHT	TRADING ASSETS: 50% RISK-WEIGHT	TRADING ASSETS: 100% RISK-WEIGHT	OTHER ASSETS - TOTALS	OTHER ASSETS - NOT SUBJ RISK-WGT	OTHER ASSETS: 0% RISK-WEIGHT	OTHER ASSETS: 20% RISK-WEIGHT	OTHER ASSETS: 50% RISK-WEIGHT	TOTAL ASSETS: NOT SUBJ RISK-WGT	PERFORM STANDBY LETRS OF CRDT-EQUIV	PERFORM STANDBY LETRS OF CRDT-0% R/W	PERFORM STANDBY LETRS OF CRDT-20%R/W	PERFORM STANDBY LETRS OF CRDT-50%R/W	PERFORM STANDBY LETRS OF CRDT-100%	CMMRCL&SIMILAR LETTRS OF CRDT-EQUIVL	COMMERCIAL &SIM LETRS OF CRDT-0%	COMMERCIAL &SIM LETRS OF CRDT-20%	COMMERCIAL &SIM LETRS OF CRDT-50%	COMMERCIAL &SIM LETRS OF CRDT-100%	RSK PARTICPTNS IN BKRS ACCPTNCS-EQVL	RISK PARTIC IN BKRS ACCEPT - 0%	RISK PARTIC IN BKRS ACCEPT - 20%	RISK PARTIC IN BKRS ACCEPT - 100%	SECURITIES LENT-CREDIT EQUIVALNT AMT	SECURITIES LENT - 0%	SECURITIES LENT - 20%	SECURITIES LENT - 50%	SECURITIES LENT - 100%	RECOURSE ON SMALL BUS OBLIG - EQUIV	RECOURSE ON SMALL BUS OBLIG - 0%	RECOURSE ON SMALL BUS OBLIG - 20%	RECOURSE ON SMALL BUS OBLIG - 50%	RECOURSE ON SMALL BUS OBLIG - 100%	OTHR FNCL ASSETS SOLD W/RECRS ($AMT)	OTHR FNCL ASSETS SOLD W/RECRS (EQUIV	OTHR FNCL ASSETS SOLD W/RECRS-0%	OTHR FNCL ASSETS SOLD W/RECRS-20%	OTHR FNCL ASSETS SOLD W/RECRS-50%	OTHR FNCL ASSETS SOLD W/RECRS-100%	ALL OTH OFF-BALNCE SHEET LIABILITIES	ALL OTH OFF-BAL SHEET LIABS-CDT EQVL	ALL OTH OFF-BAL SHEET LIABILITIES-0%	ALL OTH OFF-BAL SHEET LIABILTIES-20%	ALL OTH OFF-BAL SHEET LIABILTIES-50%	ALL OTH OFF-BAL SHEET LIABLTIES-100%	CMMTMNTS W/AN ORGNL MAT,ETC-CRD EQVL	CMMTMTS W/AN ORGNL MAT EXCDNG 1YR-0%	CMMTMNTS W/AN ORGNL MAT EXCD 1YR-20%	CMMTMTS W/AN ORGNL MAT EXCDG 1YR-50%	CMMTMTS W/AN ORGNL MAT EXCD 1YR-100%	DERIVATIVE CONTRACTS - 0%	DERIVATIVE CONTRACTS - 20%	DERIVATIVE CONTRACTS - 50%	TOT ASSTS,DERVTVS,&OFF-BAL SHT-0%	TOT ASSTS,DERVTVS,&OFF-BAL SHT - 20%	TOT ASTS,DERVTVS,&OFF-BAL SHT - 50%	TOT ASTS,DERVTVS,&OFF-BAL SHT - 100%	RSK-WGHTD ASTS BY RSK WGHT CTGRY-0%	RSK-WGHTD ASTS BY RSK WGHT CTRY-20%	RSK-WGHTD ASTS BY RSK WGHT CTGRY-50%	RSK-WGHTD ASTS BY RSK WGH CTGRY-100%	RSK-WGHTD ASTS BEFORE DEDCTNS - 100%	FED FNDS SLD&SECS PRCHD UDR AGRMT-0%	FED FNDS SLD&SECS PRCHD UDR AGRMT-20	FED FDS SLD&SECS PURC UDR AGRMTS,ETC	SUBTOTAL	ADJMNT TO TIER 1 CPTL	CSH&BALS DU FRM DEP INSTITS-ITMS NT 	CUMULATIVE CHANGE IN FAIR VALUE	UNSD MAT LT 1 YR CMRL FCV NA	UNSD MAT LT 1 YR CMRL CR EA	UNSD MAT LT 1 YR CMRL 0% RW CTGRY	UNSD MAT LT 1 YR CMRL 20% RW CTGRY	UNSD MAT LT 1 YR CMRL 50% RW CTGRY	UNSD MAT LT 1 YR CMRL 100% RW CTGRY	PRCH CR PRTC INV GRD MAT LE 1 YR	PRCH CR PRTC INV GRD MAT 1T5 YR	PRCH CR PRTC INV GRD MAT GT 5 YR	PRCH CR PRTC SUBINV GRD MAT LE 1 YR	PRCH CR PRTC SUBINV GRD MAT 1T5 YR	PRCH CR PRTC SUBINV GRD MAT GT 5 YR	TOTAL ASSETS FOR LEVERAGE RATIO	OTHR ADD DED FOR LEVERAGE CAP PURP	TOTAL ASSETS LEVERAGE CAPITAL PURPOS	
37	0	0	0	0	0	0	0	0	388	43783	0	0	0	0	0	34433	0	0	0	15	15	0	0	0	15	0	0	0	0	0	0	0	0	0	6796	0	0	0	0	0	0	-1090	1702	20290	21966	0	0	0	0	0	0	0	0	0	16797	17636	0	0	0	0	0	1721	0	0	0	0	-2030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1702	27086	38763	19372	0	5417	19382	19372	44171	0	0	0	17992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86264	0	86264	
242	0	0	0	0	0	0	0	0	0	39393	0	0	0	0	0	25535	0	0	0	15	15	0	0	0	15	0	0	0	0	0	0	0	0	0	0	1537	0	0	0	0	0	-195	0	0	0	11504	0	0	0	0	0	0	0	0	0	25535	0	0	0	0	0	802	0	0	0	0	-384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39393	0	0	0	39393	39393	0	0	0	4758	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39969	0	39969	
279	0	0	0	0	0	0	0	0	0	89341	0	0	0	0	0	92892	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	6309	0	0	851	20151	14900	0	326	6	5261	2794	1	0	0	0	0	0	0	0	0	62994	29898	0	0	0	0	0	12758	5	0	719	0	-369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	857	35316	80688	41934	0	7063	40344	41934	89341	0	2876	2876	25769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148047	0	148042	
354	0	0	0	0	0	0	0	0	130	4192	0	0	0	0	0	3402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	154	0	0	0	0	0	0	-378	0	6043	0	0	0	0	0	0	0	0	0	110	852	2440	0	0	0	0	0	238	126	0	0	0	-436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	6719	852	2552	0	1344	426	2552	4322	0	412	412	1041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10129	0	10003	
457	0	0	0	0	0	0	0	0	0	35719	0	0	0	0	0	36468	0	0	0	136	136	0	0	0	136	0	0	0	0	0	0	0	0	163	3574	0	0	1	0	160	0	-2	0	0	400	0	0	0	0	0	0	0	0	258	7466	28744	0	0	0	0	0	1291	0	0	97	5	-437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	815	0	0	0	815	0	0	0	164	4095	8031	30884	0	819	4016	30884	35719	0	166	166	4012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43109	0	43109	
505	0	0	0	0	0	0	0	0	923	274665	0	0	0	0	0	261877	1948	24350	24350	5	5	0	0	0	5	0	0	978	18	0	0	0	0	44272	196	0	0	0	0	0	0	434	5760	57774	1042	10874	0	0	0	0	0	0	0	11060	126148	124669	0	0	0	0	0	28855	996	514	3720	0	-2845	301	0	0	0	301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14207	0	0	1176	13031	0	0	0	50546	72750	128366	196855	0	14550	64183	196855	275588	0	0	0	33683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	420697	0	419701	
1155	0	0	0	0	0	0	0	0	510	156223	0	0	0	0	0	146175	0	0	0	312	312	0	0	0	312	0	0	0	0	0	0	0	0	5002	22435	0	0	38	41	0	0	-501	999	23450	3502	0	0	0	0	0	99	0	0	1808	22934	121433	0	0	0	0	0	13051	0	0	1158	0	-2970	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6039	48892	26436	133737	0	9778	13218	133737	156733	0	0	0	18542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	216415	0	216415	
1351	0	0	0	0	0	0	0	0	62	105558	0	0	0	0	344	73838	0	0	0	767	767	0	0	0	767	0	0	0	0	0	0	0	0	1260	0	2692	0	0	55774	11218	11916	-142	0	0	0	2913	0	0	0	0	0	0	0	0	17239	56599	0	0	0	0	0	3069	0	0	0	0	-1524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1936	0	0	0	1936	0	0	0	1260	55774	28457	80236	0	11155	14229	80236	105620	0	0	344	21866	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162554	0	162554	
1454	0	0	0	0	0	0	0	0	0	293420	0	0	0	0	0	236299	0	0	0	90069	90069	0	89964	0	105	0	0	0	0	0	0	0	0	77162	6284	0	0	0	0	0	0	-12569	10981	300544	18215	20	0	0	0	934	0	0	0	44	92730	143525	0	0	0	0	0	15176	0	66	809	0	-15503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88209	397645	111879	157951	0	79529	55940	157951	293420	0	0	0	64808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	672501	0	672501	
