"IDRSSD"	RCON0211	RCON1287	RCON1709	RCON1713	RCON1733	RCON1736	RCON1752	RCON1754	RCON1773	RCON2163	RCON2192	RCON2941	RCON3129	RCON3190	RCON3545	RCON3548	RCON8492	RCON8495	RCON8496	RCON8499	RCONA511	RCONB989	RCONB995	RCONG389	RCONG390	RCONG393	RCONG394	RCONG397	RCONG398	RCONG399	RCONG400	RCONHT71	RCONJA22	RCONJF75	
	US TREAS SECS-HLD-TO-MAT-AMRTZ COST	US TREAS SECS-AVL-FOR-SLE-FAIR VALUE	OTHR PASS-THRU SECS-HLD-AMORTZD COST	OTHR PASS-THRU SECS-AVL-FAIR VALUE	MBS-CMOS&REMICS-ALL OTHER-HLD-AMRTZ	MBS-CMOS&REMICS-ALL OTHER-AVL-FAIR	HISTCL COST OF ALL OTH AVL-FOR-SALE	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	NET DUE FROM FOREIGN OFFICES	TOTAL ASSETS	NET DUE TO FOREIGN OFFICES	TOTAL LIABILITIES, EXCL NET DUE TO	OTHER BORROWED MONEY	TOTAL TRADING ASSETS	TRADING LIABILITES	US GOVT AGCY&CORP OBLIGS-AMRTZ COST	US GOVT AGCY&CORP OBLIGS-FAIR VALUE	SECS ISSD BY US ST&POL SUBDYS-AMRTZ	SECS ISSD BY US ST&POL SUBDYS-FAIR	FAIR VAL OF AVL-FOR-SL INVES MUTL FD	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	MBS PT SCTY ISS FFG AMRTZ HTM SCTY	MBS PT SCTY ISS FFGNMA FV AFS SCTY	OTHR MBS ISS FFG AMRTZ HTM SCTY	OTHR MBS ISS FFG FV AFS SCTY	OTHR DMSTC DEBT SCTY AMRTZ HTM SCTY	OTHR DMSTC DEBT SCTY FV AFS SCTY	FOREIGN DEBT SCTY AMRTZ HTM SCTY	FOREIGN DEBT SCTY FV AFS SCTY	Total loans held for trading	Equity securities with readily deter	Total amount of fair value option lo	
37	0	0					68	0	46505					0	0	0			0	35146	0	0	0												
242	0	1315					195	0	12291					4420	0	0			0	6896		0	0										3		
279	0	0					2015	34208	9832					30892	0	0			6565	910		0	0										0		
354	0	497					0	0	650					0	0	0			0	0	0	0	0												
457	0	0					482	31	0					9500	0	0			31	0		0	0										6		
505	0	0					4555	0	69063					15880	0	0			0	18578		0	0										0		
1155	0	1070					358	0	23862					0	0	0			0	16658		0	0										0		
1351	0	0					207	40250	5797					0	0	0			16353	0		0	0										0		
1454	0	49143					1211	0	324133					0	0	0			0	88411		0	0										56		
1669	0	14663					188	28342	53454					0	0	0			26340	0		0	0										0		
1856	0	0					1637	0	36224					35300	0	0			0	0		0	0										0		
2161	0	0					583	0	21426					41378	0	0			0	17621		0	0										0		
2732	0	0					174	0	44404					0	0	0			0	18679		0	0										0		
2750	0	0					202	0	5530					572	0	0			0	4819		0	0										6929		
3252	0	0					679	0	98068					5700	0	0			0	21766		0	0										0		
3458	0	0					430	4286	6061					5414	0	0			4286	1787		0	500										0		
3720	0	768					276	1800	74999					0	0	0			1800	20829		0	2267										0		
3971	0	0					6309	0	33578					114908	0	0			0	0		0	0										1025		
4156	0	0					578	0	36900					12750	0	0			0	22891		0	7914										105		
4231	0	0					0	0	47017					0	0	0			0	23780	0	0	0												
5069	0	0					0	0	15092					0	0	0			0	2716		0	0										1025		
5135	0	25994					1798	0	81518					31384	0	0			0	3561		0	0										0		
5210	0	0					3582	14929	257603					56169	0	0			0	25824		0	33963										1070		
5461	0	1017					3006	0	142176					30000	0	0			0	77521		0	0										0		
5751	0	0					259	0	50091					0	0	0			0	29055		0	0										143		
6039	0	999					309	0	25553					0	0	0			0	3377		0	0										0		
6329	0	0					1001	0	51638					5000	0	0			0	7331		0	0										0		
7009	0	241684					0	0	320595					0	0	0			0	78911		0	0										21920		
7045	0	0					759	0	120252					0	0	0			0	54350	0	0	0												
7072	0	0					3469	10739	17981					16832	0	0			0	2363		0	0										0		
7456	0	0					468	0	20535					0	0	0			0	17826		0	0										0		
7634	0	0					103	0	11016					0	0	0			0	4615		0	0										0		
8033	0	0					1519	0	5382					12136	0	0			0	3380	0	0	0												
8462	0	0					21	0	99321					0	0	0			0	15941		0	0										0		
8631	0	0					336	0	5050					0	0	0			0	861		0	0										0		
9357	0	0					3508	0	39014					4	0	0			0	0		0	0										1009		
9553	0	0					2555	31701	31753					52199	0	0			31701	6311	0	0	0												
9807	0	121203					5575	0	399575					0	0	0			0	264245		0	31602										1293		
9955	0	0					2712	0	50077					25766	0	0			0	41977		0	0										0		
10250	0	0					1250	0	141822					0	0	0			0	63732	0	0	0												
10849	0	0					732	0	79227					0	0	0			0	10582		0	0										0		
11145	0	0					1350	0	17756					26401	0	0			0	7583	0	0	0												
