"IDRSSD"	RCFD0071	RCFD0081	RCFD0426	RCFD1754	RCFD1773	RCFD2130	RCFD2145	RCFD2150	RCFD2160	RCFD2170	RCFD2930	RCFD2948	RCFD3000	RCFD3123	RCFD3163	RCFD3190	RCFD3200	RCFD3210	RCFD3230	RCFD3300	RCFD3545	RCFD3548	RCFD3632	RCFD3656	RCFD3838	RCFD3839	RCFD5369	RCFD6724	RCFDA130	RCFDB528	RCFDB529	RCFDB530	RCFDB989	RCFDB995	RCFDG105	RCFN2200	RCFN6631	RCFN6636	RCON0071	RCON0081	RCON0426	RCON1754	RCON1773	RCON2130	RCON2145	RCON2150	RCON2160	RCON2170	RCON2200	RCON2930	RCON2948	RCON3000	RCON3123	RCON3163	RCON3190	RCON3200	RCON3210	RCON3230	RCON3300	RCON3545	RCON3548	RCON3632	RCON3656	RCON3838	RCON3839	RCON5369	RCON6631	RCON6636	RCON6724	RCON8678	RCONA130	RCONB528	RCONB529	RCONB530	RCONB987	RCONB989	RCONB993	RCONB995	RCONG105	
	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	OTHER IDENTIFIABLE INTANGIBLE ASSETS	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	PREMISES&FIXED ASSETS(INCL CAP LSES)	OTHER REAL ESTATE OWNED	OTHER ASSETS	TOTAL ASSETS	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ALLL_AMT	GOODWILL	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	DIRECT INDIRECT INV IN RE	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	AUDIT INDICATOR	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	TOT EQT CAP INC NONCTRL MINORITY INT	TOTAL DEPOSITS	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	OTHER IDENTIFIABLE INTANGIBLE ASSETS	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	PREMISES&FIXED ASSETS(INCL CAP LSES)	OTHER REAL ESTATE OWNED	OTHER ASSETS	TOTAL ASSETS	TOTAL DEPOSITS	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ALLL_AMT	GOODWILL	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	DIRECT INDIRECT INV IN RE	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	AUDIT INDICATOR	FISCAL YEAR END	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	FEDERAL FNDS SOLD IN DOMESTIC OFFICS	SECURS PURCHSD UDR AGRMNTS TO RESELL	FEDERAL FNDS PURCD IN DOMESTIC OFFCS	SECURS SOLD UNDR AGRMNTS TO REPURCH	TOT EQT CAP INC NONCTRL MINORITY INT	
37																																							6431	2764	0	0	41767	0	402	88	1211	85445	67144	237	67381	0	924	0	0	0	18064	1200	85445	0	0	13501	0	0	3500	0	11945	55198	1	1231	0	33706	32782	-137	0	0	0	0	18064	
242																																							824	1239	0	0	12462	0	270	0	503	41084	31929	15	36341	0	190	0	4397	0	4743	120	41084	0	0	4532	0	0	120	0	7114	24815	6	1231	0	23545	23355	-29	2431	0	0	0	4743	
279																																							3901	2375	42	34807	7731	266	5778	0	6749	165559	115980	556	139316	0	719	0	22780	0	26243	1	165559	0	0	25998	0	0	0	0	8293	107687	1	1231	0	102602	101883	244	2027	0	0	0	26243	
354																																							150	71	0	0	5925	0	30	0	176	10299	9523	3	9526	0	186	0	0	0	773	25	10299	0	0	497	0	0	500	0	2810	6713	5	1231	0	3284	3098	-249	849	0	0	0	773	
457																																							5280	474	0	161	341	0	145	67	1069	43420	38043	44	39287	0	455	0	1200	0	4133	60	43420	0	0	635	0	0	3440	0	4616	33427	4	1231	0	36169	35714	-2	169	0	0	0	4133	
505																																							51509	1424	166	0	79573	0	10524	1555	16391	421754	350654	4932	387086	56	4295	1595	31500	0	34612	6480	421754	0	0	17980	0	0	10653	0	48142	302512	2	1231	0	263312	259017	-501	0	0	0	0	34668	
1155																																							33392	7467	0	72	28315	0	4289	2073	6727	223812	186539	1978	205152	0	2469	0	0	0	18660	1600	223812	0	0	12256	0	0	4900	353	28250	158289	5	1231	0	143593	141124	-96	0	0	0	16635	18660	
1351																																							0	4808	0	75179	2284	0	1041	428	1279	161744	139010	490	139500	0	1383	0	0	0	22244	240	161744	0	0	21555	0	0	530	0	17044	121966	4	12-31	0	75098	73715	-81	3010	0	0	0	22244	
1454																																							69349	20123	0	0	325725	0	5261	0	10519	664388	605230	1334	606564	0	2959	0	0	0	57824	1000	664388	0	0	63375	0	0	1214	358	175992	429238	2	1231	0	236012	233053	-7765	0	0	0	0	57824	
1557																																							2987	831	363	0	29754	0	844	0	1290	78150	67086	49	68390	0	264	70	1255	0	9760	200	78150	0	0	563	0	0	9623	0	26244	40842	4	1231	0	40857	40593	-626	1418	0	0	0	9760	
1669																																							26522	7976	293	49196	73115	0	2213	87	12072	258872	213770	547	214317	0	2825	0	0	0	44555	800	258872	0	0	42710	0	0	800	0	44457	169313	4	1231	0	90223	87398	245	0	0	0	0	44555	
1829																																							7425	5248	191	0	93012	0	3290	29	12479	401607	332932	1049	357592	0	3348	8144	14477	0	44014	390	401606	0	0	40255	0	0	3100	336	96301	236631	2	1231	0	274801	271453	269	0	0	0	9134	44014	
1856																																							39709	917	0	0	22600	0	374	0	2086	125765	80559	78	110637	0	1067	98	30000	0	15128	500	125765	0	0	1380	0	0	14282	0	3531	77029	4	1231	0	61048	59981	-1034	0	0	0	0	15128	
2040																																							7511	3870	0	0	60012	0	2729	67	8382	208364	179190	312	187499	0	4302	0	0	0	20864	480	208363	0	0	16479	0	0	4270	0	19269	159921	2	1231	0	116932	112630	-365	13163	0	0	7997	20864	
2161																																							7316	9396	0	1	27114	0	2237	147	4519	123764	106881	2134	109015	0	765	0	0	0	14749	1000	123764	0	0	12540	0	0	1356	0	22161	84720	8	1231	0	69679	68914	-147	4120	0	0	0	14749	
2376																																							1514	12980	0	31730	379652	0	14692	3965	167628	2975156	1552076	43511	2539007	64	31219	0	913096	0	436085	500	2975156	0	0	419718	2590	0	37800	0	110594	1441482	2	0630	-24656	2391624	2360405	2723	0	0	30324	0	436149	
2554																																							4945	531	0	0	3190	0	112	0	137	13990	12683	19	12702	0	150	289	0	0	1288	50	13990	0	0	217	0	0	975	0	3944	8739	4	1231	0	4936	4786	46	0	0	0	0	1288	
2732																																							94580	18932	1112	0	91961	0	4302	3282	4801	526173	444429	1537	445966	0	4106	0	0	0	80207	0	526173	0	0	74032	0	0	5789	0	86480	357949	2	1231	0	311309	307203	386	0	0	0	0	80207	
2750																																							1851	1061	0	0	13550	0	258	148	2514	57561	47730	221	51951	0	862	0	4000	0	5610	121	57561	0	0	1059	0	0	4800	0	6319	41411	4	1231	0	38176	37314	-370	865	0	0	0	5610	
