"IDRSSD"	RIAD3210	RIAD3217	RIAD4340	RIAD4356	RIAD4415	RIAD4460	RIAD4470	RIADB507	RIADB508	RIADB509	RIADB510	RIADB511	
	TOTAL EQUITY CAPITAL	TOTAL EQUITY CAPITAL, ADJ PREV YR	NET INCOME	CHANGES IN TOTAL EQUITY CAP.-MERGERS	OTH TRANS WITH STCK HLDRS INCL PRNT 	LESS CASH DIV DECLRD-COMMON STOCK	LESS CASH DIV DECLRD-PREFERRED STOCK	RESTATEMENTS DUE TO CORRECTIONS, ETC	EQUITY CAP: END BAL PREV YR (RESTAT)	SALE,CONVRSN,ACQUSTN,RETIRE: CAP STK	TREASURY STOCK TRANSACTIONS, NET	OTHER COMPREHENSIVE INCOME	
37	17026	16508	124	0	0	0	0	0	16508	0	0	394	
242	5108	5241	171	0	0	211	0	0	5241	0	0	-93	
279	31365	31098	265	0	0	0	0	0	31098	1	0	1	
354	1498	1526	-29	0	0	0	0	0	1526	0	0	1	
457	4384	4674	230	0	0	522	0	0	4674	0	0	2	
505	52647	52109	1174	0	0	421	0	0	52109	0	0	-215	
1155	23387	24076	1026	0	0	829	0	0	24076	0	0	-886	
1351	26785	26469	569	0	0	303	0	0	26469	0	0	50	
1454	98258	96293	1970	0	0	0	0	0	96293	0	0	-5	
1669	49748	47903	1027	0	0	0	0	0	47903	0	0	818	
1856	11687	10930	100	0	0	0	0	0	10930	0	0	657	
2161	21100	21835	471	0	99	184	0	0	21835	0	-740	-381	
2732	101218	100209	1077	0	0	300	0	0	100209	0	0	232	
2750	7332	7455	69	0	0	0	0	0	7455	0	0	-192	
3252	29064	27901	1132	0	0	450	0	0	27901	0	0	481	
3458	5225	5201	20	0	0	10	0	0	5201	0	0	14	
3720	40419	38195	928	0	0	148	0	0	38195	0	0	1444	
3971	105940	106256	573	0	0	1000	0	0	106256	0	0	111	
4156	24570	24272	210	0	0	240	0	0	24272	0	0	328	
4231	17544	18182	252	0	0	0	0	0	18182	0	0	-890	
5069	190443	188529	4173	0	0	0	0	0	188529	0	0	-2259	
5135	79834	78201	1559	0	0	0	0	0	78201	0	0	74	
5210	242434	176689	-401	64980	0	2167	0	0	176689	0	0	3333	
5461	73174	69737	2083	0	0	332	0	0	69737	0	0	1686	
5751	37001	36717	1261	0	0	450	0	0	36717	0	0	-527	
6039	31933	31617	482	0	0	0	0	0	31617	0	0	-166	
6329	86528	83595	3335	0	0	1000	0	0	83595	0	0	598	
7009	86088	81942	4168	0	0	1000	0	0	81942	0	0	978	
7045	21383	23674	394	0	0	0	0	0	23674	0	0	-2685	
7072	38541	38408	316	0	0	0	0	0	38408	0	0	-183	
7456	9108	9276	334	0	0	42	0	0	9276	0	0	-460	
7634	10495	10845	337	0	0	884	0	0	10845	0	0	197	
8033	43878	43234	1166	0	0	500	0	0	43234	0	0	-22	
8462	25845	25716	376	0	0	200	0	0	25716	0	0	-47	
8631	7141	7035	75	0	0	40	0	0	7035	0	0	71	
9357	92698	90567	2151	0	0	786	0	-28	90539	0	0	794	
9553	17048	17917	615	0	0	1100	0	0	17917	0	0	-384	
9807	348674	367295	-492	0	0	14918	0	0	367295	0	0	-3211	
9955	21913	22236	634	0	0	300	0	0	22236	0	0	-657	
10250	46221	44275	1256	0	0	1103	0	0	44275	0	0	1793	
10849	28009	26948	299	0	0	277	0	0	26948	0	0	1039	
11145	26474	26243	728	0	0	0	0	0	26243	0	0	-497	
11640	47699	45707	958	0	0	0	0	0	45707	0	0	1034	
11837	14770	15019	197	0	0	0	0	0	15019	0	0	-446	
12030	66415	63533	2780	0	0	0	0	0	63533	0	0	102	
12142	25597	24228	516	0	0	0	0	0	24228	0	0	853	
12311	12672490	12449178	103417	0	-4	60000	11174	-306575	12142603	13934	0	483714	
12647	18673	18473	285	0	0	85	0	0	18473	0	0	0	
12656	1925	1913	12	0	0	0	0	0	1913	0	0	0	
12946	166965	169456	5134	0	0	0	0	0	169456	0	0	-7625	
13103	268699	302978	-34738	0	0	409	0	0	302978	0	0	868	
13251	5730	5683	242	0	0	200	0	0	5683	0	0	5	
13457	6295	6248	57	0	0	0	0	0	6248	0	0	-10	
14155	25771	24531	1204	0	0	0	0	0	24531	0	0	36	
14650	5399	5209	190	0	0	0	0	0	5209	0	0	0	
14753	5468	5351	123	0	0	0	0	0	5351	0	0	-6	
14865	49765	47613	1219	0	1163	100	0	0	47613	0	0	-130	
14977	9926	9911	15	0	0	0	0	0	9911	0	0	0	
16551	42758	43195	1386	0	0	2000	0	0	43195	0	0	177	
16748	9896	9815	110	0	0	0	0	0	9815	0	0	-29	
17110	28840	25322	3518	0	0	0	0	0	25322	0	0	0	
17147	1850513	1787006	36343	0	0	0	0	0	1787006	852	0	26312	
17259	5827	5787	62	0	0	53	0	0	5787	0	0	31	
17950	62506	62659	1515	0	0	325	0	0	62659	0	0	-1343	
17978	121401	120577	824	0	0	0	0	0	120577	0	0	0	
18050	66299	67960	2900	0	0	552	0	0	67960	0	0	-4009	
18827	146684	142874	3066	0	48	0	0	0	142874	0	0	696	
18836	17899	17736	314	0	0	182	0	0	17736	0	0	31	
18854	96562	99079	5048	0	0	926	0	0	99079	-6639	0	0	
19356	9037	9261	166	0	0	47	0	0	9261	0	0	-343	
19936	32966	31999	1009	0	0	509	0	0	31999	0	0	467	
19972	20966	20776	190	0	0	0	0	0	20776	0	0	0	
20053	14901	14472	389	0	0	0	0	0	14472	0	0	40	
20633	35020	33879	534	0	850	162	0	0	33879	0	0	-81	
20857	16521	16523	556	0	0	591	0	0	16523	0	0	33	
21256	1252	1232	19	0	0	0	0	0	1232	0	0	1	
21359	6257	6224	193	0	0	275	0	0	6224	0	0	115	
21658	19020	18486	452	0	0	428	0	0	18486	0	0	510	
22048	22545	22994	832	0	0	500	0	0	22994	0	0	-781	
22543	24018	24114	-161	0	0	0	0	0	24114	0	0	65	
22552	9360	9078	282	0	0	0	0	0	9078	0	0	0	
22730	16752	18472	643	0	0	0	0	0	18472	0	0	-2363	
23456	27929	26701	880	0	0	0	0	0	26701	0	0	348	
23504	565627	573410	10254	0	0	15000	0	-1473	571937	1022	0	-2586	
23643	22021	21224	559	0	0	0	0	0	21224	0	0	238	
23755	19627	20400	431	0	0	175	0	0	20400	0	0	-1029	
24006	219194	217491	1217	0	242	0	0	0	217491	0	0	244	
24378	7357	7461	-35	0	0	0	0	0	7461	0	0	-69	
24453	39984	39512	310	0	13	0	0	0	39512	0	0	149	
24659	9718	6652	166	0	0	600	0	0	6652	3500	0	0	
24668	241556	253304	4705	0	0	8528	0	0	253304	0	0	-7925	
24949	45919	44619	829	0	0	0	0	0	44619	0	0	471	
25357	44999	44673	1730	0	0	1063	0	0	44673	0	0	-341	
25647	18883	19693	217	0	0	0	0	0	19693	0	0	-1027	
26176	50594	50594	152	0	0	400	0	0	50594	125	0	123	
26457	3469	3486	46	0	0	100	0	0	3486	0	0	37	
26765	281916	281114	6284	0	0	5000	0	0	281114	0	0	-482	
27070	139117	138920	-220	0	0	0	0	0	138920	0	0	417	
27548	111399	110988	2116	0	0	1500	0	0	110988	0	0	-205	
27614	45422	42582	790	0	-650	0	0	0	42582	0	0	2700	
27847	65719	67394	1711	0	0	1000	0	0	67394	0	0	-2386	
28013	653854	642341	4623	0	896	0	0	0	642341	0	0	5994	
28152	14339	14319	705	0	0	800	0	0	14319	0	0	115	
28675	14043	18610	428	0	0	0	0	0	18610	0	0	-4995	
28732	12847	12850	258	0	0	0	0	0	12850	0	0	-261	
29476	11247	11174	111	0	0	0	0	0	11174	0	0	-38	
29636	116742	110891	1223	0	0	1368	0	0	110891	0	0	5996	
29878	652865	644840	6272	0	0	0	0	0	644840	0	0	1753	
30052	4724	4594	130	0	0	0	0	0	4594	0	0	0	
30502	108287	108037	-682	0	0	600	0	0	108037	0	0	1532	
30650	15026	16298	443	0	0	1432	0	0	16298	0	0	-283	
30810	9155256	11301778	-91365	0	0	405000	0	-1901509	9400269	0	0	251352	
31134	25148	25128	577	0	0	0	0	0	25128	0	0	-557	
31255	78321	78061	2377	0	0	2293	0	0	78061	0	0	176	
31657	21756	20928	828	0	0	0	0	0	20928	0	0	0	
31826	41991	41259	545	0	0	0	0	0	41259	0	0	187	
31835	13840	13463	180	0	0	0	0	0	13463	0	0	197	
32234	14663	15661	259	0	0	0	0	0	15661	0	0	-1257	
32766	26657	26343	14	0	300	0	0	0	26343	0	0	0	
32971	32907	33448	407	0	0	0	0	0	33448	0	0	-948	
