"IDRSSD"	RCFDF236	RCFDF237	RCFDG465	RCFDG466	RCFDG467	RCFDG468	RCFDG469	RCFDG470	RCFDG471	RCFDG472	RCFDK652	RCFDK653	RCFDK654	RCFDK655	RCFDK656	RCFDK657	RCFDK658	RCFDK659	RCFDK660	RCFDK661	RCFDK663	RCFDK664	RCFDK665	RCFDK666	RCFDK667	RCFDK668	RCFDK669	RCFDK670	RCFDK671	RCFDK672	RCFDK673	RCFDK674	RCFNF234	RCON5597	RCONA545	RCONF045	RCONF046	RCONF047	RCONF048	RCONF049	RCONF050	RCONF051	RCONF052	RCONF236	RCONF237	RCONG465	RCONG466	RCONG467	RCONG468	RCONG469	RCONG470	RCONG471	RCONG472	RCONG803	RCONJ944	RCONJ945	RCONK652	RCONK653	RCONK654	RCONK655	RCONK656	RCONK657	RCONK658	RCONK659	RCONK660	RCONK661	RCONK663	RCONK664	RCONK665	RCONK666	RCONK667	RCONK668	RCONK669	RCONK670	RCONK671	RCONK672	RCONK673	RCONK674	RCONK675	RCONK676	RCONK677	RCONK678	RCONK679	RCONK680	RCONK681	RCONK682	TEXTA545	
	TOTAL DEP LIABILITIES BEFORE EXCLUSI	TOTAL ALLOWABLE EXCLUSIONS INCLD FOR	UNSECURED OTHR BRW MAT LE 1 YR	UNSECURED OTHR BRW MAT 1 TO 3 YR	UNSECURED OTHR BRW MAT 3 TO 5 YR	UNSECURED OTHR BRW MAT GT 5 YR	SUB NOTES & DBNTR MAT LE 1 YR	SUB NOTES AND DBNTR MAT 1 TO 3 YR	SUB NOTES AND DBNTR MAT 3 TO 5 YR	SUB NOTES & DBNTR MAT GT 5 YR	AVG CNSL TOTAL ASSET CALENDAR QTR	AVG METHOD USED	AVG TANGIBLE EQT CALENDAR QTR	HOLDING LT UNSCD DEBE ISS OTHR INS I	BANKER'S BANK CERTIFICATION	BNKRS BNK DEDUCTIONS	BNKR BNK DEDUCTION LIMIT	CUSTODIAL BANK CERTIFICATION	CUST BANK DED	CUST BANK DED LIMIT	CRITICIZED CLASSIFIED SPECIAL	CRITICIZED CLASSIFIED SUBSTANDARD	CRITICIZED CLASSIFIED DOUBTFUL	CRITICIZED CLASSIFIED LOSS	SUBPRIME CNSMR LN	LEVERAGED LN AND SCTY	OREO RCV US GOVT GRNT INS PRV	CMRL IND LN GRNT INS US GOVT	CREDIT CARD LN GRNT INS US GOVT	OTHR LN GRNT INS US GOVT	AMT INST LARGE CNTRPTY EXP	TOT AMT INST 20 LARGE CNTRPTY EXP	TOTAL FOR DEP INCLUDED IN B	ESTIMATE OF UNINSURED DEPOSITS	PB/PSA FDIC CERTIFICATE NUMBER	AMT RETIRE DEP ACCNT $250K OR LESS	NBR RETIRE DEP ACCNT $250K OR LESS	AMT RETIREMT DEP ACCTS MOR THAN $250	NBR RETIRE DEP ACCNT MOR THAN $250K	AMT OF DEP ACCNT $250K OR LESS	NBR OF DEP ACCNTS OF $250K OR LESS	AMT OF DEP ACCNT MORE THAN $250K	NBR OF DEP ACCNT GT $250K	TOTAL DEP LIABILITIES BEFORE EXCLUSI	TOTAL ALLOWABLE EXCLUSIONS INCLD FOR	UNSECURED OTHR BRW MAT LE 1 YR	UNSECURED OTHR BRW MAT 1 TO 3 YR	UNSECURED OTHR BRW MAT 3 TO 5 YR	UNSECURED OTHR BRW MAT GT 5 YR	SUB NOTES & DBNTR MAT LE 1 YR	SUB NOTES AND DBNTR MAT 1 TO 3 YR	SUB NOTES AND DBNTR MAT 3 TO 5 YR	SUB NOTES & DBNTR MAT GT 5 YR	RECIPROCAL BROKERED DEPOSITS	AMT NONINT ACTS GT 250K DODD FRANK A	NBR NONINT ACT GT 250K DODD FRANK AC	AVG CNSL TOTAL ASSET CALENDAR QTR	AVG METHOD USED	AVG TANGIBLE EQT CALENDAR QTR	HOLDING LT UNSCD DEBE ISS OTHR INS I	BANKER'S BANK CERTIFICATION	BNKRS BNK DEDUCTIONS	BNKR BNK DEDUCTION LIMIT	CUSTODIAL BANK CERTIFICATION	CUST BANK DED	CUST BANK DED LIMIT	CRITICIZED CLASSIFIED SPECIAL	CRITICIZED CLASSIFIED SUBSTANDARD	CRITICIZED CLASSIFIED DOUBTFUL	CRITICIZED CLASSIFIED LOSS	SUBPRIME CNSMR LN	LEVERAGED LN AND SCTY	OREO RCV US GOVT GRNT INS PRV	CMRL IND LN GRNT INS US GOVT	CREDIT CARD LN GRNT INS US GOVT	OTHR LN GRNT INS US GOVT	AMT INST LARGE CNTRPTY EXP	TOT AMT INST 20 LARGE CNTRPTY EXP	NTRAD 1-4 FAM RES ML	UNFND CMT CNST LND DEV OTHR	CNST LND DEV OTHR GRNT US GOVT	NBRKD DEP GT 250K	CNST LND DEV OTHR FUND GRNT US GOVT	MFMLY RES NFRM NRES FUND GRNT US GOV	CE LN SCD 1ST LIEN FML FUND GRNT US 	CE LN JR LIEN OEND FUND GRNT US GOVT	PB/PSA FDIC CERTIFICATE NUMBER	
37																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	4847	355	0	0	57970	5071	4123	9	66940	0	0	0	0	0	0	0	0	0	0	890	2	84792	1	17276	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
242																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	1937	166	0	0	22407	2763	1698	5	26042	0	0	0	0	0	0	0	0	0	0	1132	3	35426	1	4545	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
279																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	11774	367	404	1	88533	7511	5952	17	106663	0	0	0	0	0	0	0	0	0	0	1628	4	143004	1	23262	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
354																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	0	0	0	0	8489	783	976	2	9465	0	0	0	0	0	0	0	0	0	0	419	1	10441	1	997	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
457																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	2112	120	251	1	24966	2538	2742	8	30071	0	0	0	0	0	0	0	0	0	0	0	0	36440	1	3397	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
505																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	8075	463	274	1	201030	19435	110080	118	319459	0	0	0	0	0	0	0	0	0	1219	15280	28	401971	1	30113	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
1155																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	13968	634	886	3	137615	12681	18244	33	170713	0	0	0	0	0	0	0	0	0	0	2104	2	208827	1	17932	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
1351																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	8658	281	905	2	72427	4870	54603	115	136593	0	0	0	0	0	0	0	0	0	0	956	3	157096	1	21190	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
1454																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	21825	1580	2285	7	299609	32105	158821	218	482540	0	0	0	0	0	0	0	0	0	0	65278	77	544162	1	48832	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
1557																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	1964	343	0	0	34735	2569	11666	26	48365	0	0	0	0	0	0	0	0	0	0	3165	6	58288	1	5520	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
1669																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	11866	508	0	0	136095	12345	50332	43	198293	0	0	0	0	0	0	0	0	0	0	16296	11	246213	1	42139	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
1829																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	19561	1665	3826	6	240420	24394	75708	114	339515	0	0	0	0	0	0	0	0	0	2253	19922	31	411296	1	32308	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
1856																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	0	0	0	0	76850	671	2848	3	79698	0	0	0	0	0	0	0	0	0	0	0	0	161276	1	20969	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
2040																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	8219	452	0	0	115698	8380	32096	46	156013	0	0	0	0	0	0	0	0	0	8861	1603	3	205116	2	20133	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
2161																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	7310	314	360	1	73766	7430	31123	38	112560	0	0	0	0	0	0	0	0	0	0	11014	9	129973	1	13124	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
2376																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF		131000	0	80277	3972	1860	6	1068970	60115	249694	475	1400801	0	0	0	0	0	0	0	0	0	0	11767	28	2531271	1	407063	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
2554																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	122	2	0	0	8832	550	1289	2	10243	0	0	0	0	0	0	0	0	0	0	539	1	10984	2	850	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
2732																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	15245	590	285	1	238934	10165	182628	190	437092	0	0	0	0	0	0	0	0	0	0	27837	45	517450	1	72692	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
2750																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	2041	120	0	0	32528	2173	13548	25	48117	0	0	0	0	0	0	0	0	0	0	0	0	57816	1	5331	0	false	0	0	false	0	0	CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
3252																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	6219	257	257	1	81491	6481	41112	43	129079	0	0	0	0	0	0	0	0	0	7611	33024	33	149420	1	18573	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
3458																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	643	24	0	0	19449	1799	4601	6	24693	0	0	0	0	0	0	0	0	0	0	0	0	33229	1	3147	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
3720																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	7443	301	634	2	106414	12252	37672	52	152163	0	0	0	0	0	0	0	0	0	0	11453	17	192302	1	27069	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
3953																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	322	18	0	0	89729	6651	15366	35	105417	0	0	0	0	0	0	0	0	0	0	12194	27	116909	1	8560	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
4156																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	6177	290	822	3	129456	9279	20298	38	156753	0	0	0	0	0	0	0	0	0	14365	2930	7	191854	1	17678	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
4231																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	12718	320	7371	20	78855	6798	10935	17	109879	0	0	0	0	0	0	0	0	0	0	2337	6	124882	1	14383	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
4437																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	11565	577	337	1	171082	14622	47754	76	230738	0	0	0	0	0	0	0	0	0	5073	7645	17	261266	1	25493	615	false	0	0	false	0	0	CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
4839																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	9643	450	1653	2	198473	39617	49125	82	259004	109	0	0	0	0	0	0	0	0	0	6818	11	316194	1	30557	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
5005																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	22099	1220	531	2	222895	17734	30084	70	275609	0	0	0	0	0	0	0	0	0	0	4488	12	360075	1	13663	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
5069																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	980	27	545	2	248183	2235	102796	172	352504	0	0	0	0	0	0	0	0	0	0	13942	16	480932	1	131006	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
5135																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	14909	959	812	3	178660	12813	74627	92	269007	0	0	0	0	0	0	0	0	0	0	8987	10	321632	1	36753	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
5210																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	59474	7622	1394	5	617760	13501	93931	175	772558	0	0	0	0	0	0	0	0	0	2005	22758	45	976224	2	81387	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
5331																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	8189	747	290	1	171130	11023	45993	84	233031	7429	0	0	0	0	0	0	0	0	7453	12811	16	405807	1	35970	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
5461																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	4360	198	1184	1	201116	12401	200526	233	407186	0	0	0	0	0	0	0	0	0	16512	41903	73	473363	1	45866	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
5751																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	5333	207	0	0	47044	3305	36516	40	88893	0	0	0	0	0	0	0	0	0	0	1168	3	118657	1	25362	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
6039																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	7475	549	893	3	53272	4744	14590	22	76230	0	0	0	0	0	0	0	0	0	0	6608	8	85185	1	8868	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
6141																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	1281	49	0	0	26212	2259	24483	29	51976	0	0	0	0	0	0	0	0	0	0	11708	10	55373	1	4849	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
6329																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	13161	633	1657	4	336235	28343	69986	150	421039	0	0	0	0	0	0	0	0	0	0	13902	24	463034	1	34226	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
6972																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	28109	1460	534	2	440178	38622	226259	333	695080	0	0	0	0	0	0	0	0	0	17692	89694	91	812726	1	94555	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
7009																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	1041	23	3732	4	125235	4476	451027	422	581034	0	0	0	0	0	0	0	0	0	0	95201	2	633978	1	48551	0	false			true	259360	73697	CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
7045																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	5495	408	932	2	72247	9146	44883	41	123557	0	0	0	0	0	0	0	0	0	0	6863	7	145324	1	14785	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
7157																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	3548	111	281	1	29879	3050	10167	14	43875	0	0	0	0	0	0	0	0	0	0	1433	2	50426	1	4038	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
7456																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	2774	383	0	0	37718	3925	10799	20	51291	0	0	0	0	0	0	0	0	0	0	1690	4	58431	1	4577	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
7634																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	4392	178	263	1	48628	2719	6996	11	60279	0	0	0	0	0	0	0	0	0	0	3637	3	67344	2	5318	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
8033																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	5465	183	0	0	101781	4973	23913	36	131159	0	0	0	0	0	0	0	0	0	0	5676	10	164265	2	15245	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
8462																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	4055	164	0	0	54315	5095	60658	72	119028	0	0	0	0	0	0	0	0	0	0	16744	23	129512	1	14143	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
8631																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	2806	113	424	1	42169	3754	5458	11	50857	0	0	0	0	0	0	0	0	0	0	1109	3	57215	1	6533	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
9357																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	709	94	0	0	75152	3606	164785	202	240646	0	0	0	0	0	0	0	0	0	0	35981	71	322632	1	39993	0	false	0	0	false	0	0	CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
9553																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	6895	316	0	0	53620	4595	16780	34	77295	0	0	0	0	0	0	0	0	0	0	7037	9	106590	2	8803	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
9807																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF		282293	0	67370	3020	3793	11	1119563	50670	546728	517	1737454	0	45999	0	0	0	0	0	0	0	0	102982	111	2365890	1	300605	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
9955																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	2020	199	0	0	60367	6569	31415	43	93802	0	0	0	0	0	0	0	0	0	0	6590	10	106344	1	11771	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
10250																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	51229	2434	2646	9	239592	29275	65728	129	359195	0	0	0	0	0	0	0	0	0	4823	11016	16	392091	1	18303	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
10849																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	9418	366	264	1	195378	5284	23780	59	228840	0	0	0	0	0	0	0	0	0	0	11706	12	271841	1	22394	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
10858																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	6959	722	282	1	181714	20368	114861	129	303816	0	0	0	0	0	0	0	0	0	12866	16397	52	405467	1	35452	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
11145																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	6902	375	1667	3	98753	14002	33673	48	140993	0	0	0	0	0	0	0	0	0	0	2566	6	166820	1	16920	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
11640																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	14157	570	2876	8	142536	10103	102626	112	262195	0	0	0	0	0	0	0	0	0	0	18788	28	314424	1	30697	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
11837																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	3887	240	0	0	52949	3640	32690	21	89526	0	0	0	0	0	0	0	0	0	0	0	0	110102	1	10831	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
12030																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	22675	1178	2037	7	203978	17961	51915	83	280605	0	0	0	0	0	0	0	0	0	0	28141	30	323491	2	35937	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
12142																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	7782	310	0	0	107943	10200	34177	74	149902	0	0	0	0	0	0	0	0	0	0	8804	20	176254	1	20021	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
12245																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	7039	328	0	0	76808	9256	10059	22	93906	0	0	0	0	0	0	0	0	0	2445	1119	3	115225	1	12987	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
12311	46741853	1928095	14881	0	0	35000	0	64934	145886	1266026	52541919	1	3894921	0	false			true	4803209	104664	CONF	CONF	CONF	CONF	CONF	CONF	0	114261	0	0	CONF	CONF	1928095	11455339	0	1413527	96170	25206	79	29147251	2723513	14227774	12341											554506	4052044	3641											CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF	351529	225475	283625	23449	961	79173	4004		
12647																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	4947	202	262	1	40657	3757	34955	19	80821	0	0	0	0	0	0	0	0	0	0	1800	4	92890	1	9775	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
12656																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	721	41	0	0	13900	1381	1262	4	15883	0	0	0	0	0	0	0	0	0	0	0	0	17139	1	1388	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
12937																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	4598	206	2430	4	78371	4541	85880	80	171279	0	0	0	0	0	0	0	0	0	0	11148	23	208891	1	32431	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
12946																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	28799	964	2831	7	354050	25667	209905	246	595585	0	0	0	0	0	0	0	0	0	2147	41430	56	700894	2	60202	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
12955																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	5162	272	0	0	64114	7918	28933	43	98209	0	0	0	0	0	0	0	0	0	0	3517	7	112876	1	12244	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
13103																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF		186246	0	56373	3220	6985	18	558222	47285	346905	405	968485	0	0	0	0	0	0	0	0	0	0	44923	72	1265467	1	163021	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
13251																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	2129	372	573	1	31866	2605	1891	4	37085	626	0	0	0	0	0	0	0	0	0	0	0	41614	1	3942	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
13457																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	1017	61	0	0	11076	1548	2491	5	14584	0	0	0	0	0	0	0	0	0	0	0	0	21242	1	5920	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
14052																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	2490	112	532	2	43335	5738	7417	16	53774	0	0	0	0	0	0	0	0	0	793	3321	5	62574	1	6392	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
14155																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	4711	303	269	1	72732	9554	21519	28	99245	14	0	0	0	0	0	0	0	0	4741	4382	4	117243	1	14173	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
14650																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	1353	62	0	0	17843	2468	4610	7	23806	0	0	0	0	0	0	0	0	0	0	290	1	27415	1	2718	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
14753																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	3892	145	0	0	28009	3280	4969	10	36870	0	0	0	0	0	0	0	0	0	0	1399	4	41051	1	2426	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
14865																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	10165	544	0	0	163258	17309	50104	83	223528	0	0	0	0	0	0	0	0	0	13058	9234	15	249829	1	26714	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
14977																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	2911	115	0	0	27508	1605	5826	14	36245	0	0	0	0	0	0	0	0	0	0	595	2	44106	2	7503	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
16458																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	9969	645	1593	4	153348	14860	86402	100	251312	0	318	0	0	0	0	0	0	0	0	10003	20	286809	1	32035	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
16551																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	16918	649	3015	10	84012	11050	32660	38	136605	0	0	0	0	0	0	0	0	0	0	1789	2	161051	2	17573	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
16748																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	4708	283	413	1	40439	4338	7870	14	53430	0	0	0	0	0	0	0	0	0	0	2824	7	59098	1	6286	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
16944																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	1365	65	0	0	27630	2884	3992	10	32987	0	0	0	0	0	0	0	0	0	0	2187	3	37361	1	3833	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
16953																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	636	26	0	0	24395	2962	3939	11	28970	0	0	0	0	0	0	0	0	0	0	2875	8	34623	1	5110	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
17110																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	3048	40	1346	2	42309	529	41421	51	88125	0	0	0	0	0	0	0	0	0	0	0	0	109888	2	18729	0	false			true	6238	0	CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
17147																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF		430747	0	145020	8851	6788	22	1399923	224631	1617893	4238	3170693	1069	0	0	0	0	0	0	0	0	39490	218344	248	4118664	1	415775	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
17259																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	23438	291	0	0	28817	3106	0	0	52255	0	0	0	0	0	0	0	0	0	0	0	0	65118	1	6771	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
