"IDRSSD"	RCFDF236	RCFDF237	RCFDG465	RCFDG466	RCFDG467	RCFDG468	RCFDG469	RCFDG470	RCFDG471	RCFDG472	RCFDK652	RCFDK653	RCFDK654	RCFDK655	RCFDK656	RCFDK657	RCFDK658	RCFDK659	RCFDK660	RCFDK661	RCFDK663	RCFDK664	RCFDK665	RCFDK666	RCFDK667	RCFDK668	RCFDK669	RCFDK670	RCFDK671	RCFDK672	RCFDK673	RCFDK674	RCFNF234	RCON5597	RCONA545	RCONF045	RCONF046	RCONF047	RCONF048	RCONF049	RCONF050	RCONF051	RCONF052	RCONF236	RCONF237	RCONG465	RCONG466	RCONG467	RCONG468	RCONG469	RCONG470	RCONG471	RCONG472	RCONG803	RCONJ944	RCONJ945	RCONK652	RCONK653	RCONK654	RCONK655	RCONK656	RCONK657	RCONK658	RCONK659	RCONK660	RCONK661	RCONK663	RCONK664	RCONK665	RCONK666	RCONK667	RCONK668	RCONK669	RCONK670	RCONK671	RCONK672	RCONK673	RCONK674	RCONK675	RCONK676	RCONK677	RCONK678	RCONK679	RCONK680	RCONK681	RCONK682	TEXTA545	
216922																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF		467672	0	163494	6083	10016	28	1972097	141944	609747	817	2755354	0	0	0	0	0	0	0	0	0	5915	66690	105	3325243	1	328448	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
217059																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	7190	506	0	0	85368	14957	19050	35	111608	0	0	0	0	0	0	0	0	0	0	3679	8	125880	1	12587	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
217620																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	11345	1027	0	0	245477	23513	80821	107	337643	0	0	0	0	0	0	0	0	0	0	29454	32	386660	1	29170	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
218131																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	16362	504	1441	4	212656	14346	39959	89	270418	0	0	0	0	0	0	0	0	0	0	3732	10	325975	1	54703	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
218261																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	872	34	307	1	52198	3546	33307	45	86684	0	0	0	0	0	0	0	0	0	0	2475	6	101130	1	10169	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
218757																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	95	4	283	1	10438	948	2758	7	13574	0	0	0	0	0	0	0	0	0	0	459	1	14944	1	1323	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
218775																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	2603	179	0	0	49359	2284	1693	3	53655	0	0	0	0	0	0	0	0	0	0	0	0	62997	2	6070	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
218850																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	530	61	381	1	18917	2207	2986	6	22814	0	0	0	0	0	0	0	0	0	0	615	2	25908	2	2210	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
218878																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	10165	922	0	0	120397	7366	15945	29	146507	0	0	0	0	0	0	0	0	0	0	4291	5	167293	1	14398	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
219044																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	2422	94	251	1	32627	3282	7057	19	42358	0	0	0	0	0	0	0	0	0	0	552	2	42798	1	4411	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
