"IDRSSD"	RCON0211	RCON1287	RCON1709	RCON1713	RCON1733	RCON1736	RCON1752	RCON1754	RCON1773	RCON2163	RCON2192	RCON2941	RCON3129	RCON3190	RCON8492	RCON8495	RCON8496	RCON8499	RCONA511	RCONB989	RCONB995	RCONG389	RCONG390	RCONG393	RCONG394	RCONG397	RCONG398	RCONG399	RCONG400	
	US TREAS SECS-HLD-TO-MAT-AMRTZ COST	US TREAS SECS-AVL-FOR-SLE-FAIR VALUE	OTHR PASS-THRU SECS-HLD-AMORTZD COST	OTHR PASS-THRU SECS-AVL-FAIR VALUE	MBS-CMOS&REMICS-ALL OTHER-HLD-AMRTZ	MBS-CMOS&REMICS-ALL OTHER-AVL-FAIR	HISTCL COST OF ALL OTH AVL-FOR-SALE	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	NET DUE FROM FOREIGN OFFICES	TOTAL ASSETS	NET DUE TO FOREIGN OFFICES	TOTAL LIABILITIES, EXCL NET DUE TO	OTHER BORROWED MONEY	US GOVT AGCY&CORP OBLIGS-AMRTZ COST	US GOVT AGCY&CORP OBLIGS-FAIR VALUE	SECS ISSD BY US ST&POL SUBDYS-AMRTZ	SECS ISSD BY US ST&POL SUBDYS-FAIR	FAIR VAL OF AVL-FOR-SL INVES MUTL FD	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	MBS PT SCTY ISS FFG AMRTZ HTM SCTY	MBS PT SCTY ISS FFGNMA FV AFS SCTY	OTHR MBS ISS FFG AMRTZ HTM SCTY	OTHR MBS ISS FFG FV AFS SCTY	OTHR DMSTC DEBT SCTY AMRTZ HTM SCTY	OTHR DMSTC DEBT SCTY FV AFS SCTY	FOREIGN DEBT SCTY AMRTZ HTM SCTY	FOREIGN DEBT SCTY FV AFS SCTY	
37	0	0					81	0	49153					0			0	36781	0	0	0									
242	0	0					275	0	10259					5000			0	6362	16	0	0									
279	0	0					1955	33899	8874					17686			12137	1223	1	0	0									
354	0	0					5	0	3980					0			0	503	0	0	0									
457	0	0					332	144	213					6000			143	210	3	0	0									
505	0	8204					2080	0	78773					0			0	27847	0	0	0									
1155	0	1000					229	32	26657					0			0	10635	0	0	7558									
1351	0	0					185	51374	5587					0			31054	0	0	0	0									
1454	0	10015					1323	0	397657					0			0	107567	55	0	0									
1557	0	0					368	0	12871					5467			0	2348	0	0	0									
1669	0	9950					176	46215	78266					0			32975	0	0	0	0									
1829	0	0					4755	0	98964					60523			0	35519	2776	0	0									
1856	0	0					1896	5000	19571					40000			0	0	0	0	0									
2040	0	0					1546	0	51742					25000			0	31772	16	0	11244									
2161	0	0					363	0	17145					0			0	11418	0	0	0									
2376	0	0					38878	201813	178582					809585			0	0	0	0	0									
2554	0	0					17	250	3344					0			250	2465	0	0	0									
2732	0	0					174	0	120185					0			0	54628	0	0	0									
2750	0	0					320	0	9737					6824			0	3719	3868	0	0									
3252	0	0					744	0	86361					5500			0	15901	0	0	0									
3458	0	0					196	2616	9186					0			2616	0	0	0	3500									
3720	0	2235					246	106	62643					0			106	4913	0	0	3724									
3971	0	0					1799	0	65560					36861			0	0	993	0	0									
4156	0	1001					269	0	47920					1500			0	23311	0	0	145									
4231	0	0					0	0	47757					0			0	14206	0	0	0									
4839	0	0					915	0	78862					19365			0	34568	0	0	9701									
5069	0	0					0	0	27632					0			0	15106	738	0	0									
5135	0	3800					1079	0	33850					13567			0	4655	0	0	0									
5210	0	0					3913	55568	142309					74250			0	24660	1035	0	34590									
5461	0	1001					2381	0	178162					0			0	69173	0	0	0									
5751	0	0					345	0	40144					0			0	31220	0	0	0									
6039	0	0					304	0	20668					0			0	737	6	0	0									
6141	0	0					0	23175	0					0			14035	0	0	0	0									
6329	0	0					463	0	28717					0			0	4748	0	0	0									
7009	0	85320					0	0	308488					0			0	67370	12310	0	0									
7045	0	0					751	0	104688					0			0	38865	0	0	0									
7072	0	0					1871	0	11115					10000			0	3211	0	0	0									
7157	0	1247					23	200	16715					0			200	6445	0	0	0									
7456	0	0					684	0	15076					8746			0	14639	0	0	0									
7634	0	0					97	2	11813					900			0	4013	0	0	0									
8033	0	0					1445	0	5049					15100			0	2753	0	0	0									
8462	0	0					21	0	91299					0			0	14623	0	0	0									
8631	0	0					68	0	15681					0			0	313	0	0	0									
9357	0	0					657	0	59547					1583			0	0	978	0	0									
9553	0	0					1793	24651	27118					40243			24651	2898	5643	0	0									
9807	65065	4979					17922	311295	50981					240000			160122	43158	1250	0	55363									
9955	0	998					818	0	41319					14313			0	35277	0	0	0									
10250	0	840					886	0	109798					0			0	24400	0	0	0									
10849	6466	0					550	41232	59657					0			0	4538	0	0	0									
11145	0	0					703	0	19197					16735			0	11487	0	0	0									
11640	0	0					4505	0	98313					20000			0	42304	0	0	0									
11837	0	0					397	0	51488					7000			0	4017	0	0	0									
12030	0	3996					6175	2916	14386					0			2358	0	0	0	0									
12142	0	0					921	631	72993					0			596	27918	0	0	0									
12179	0	717					725	39	921					2421			0	0	29	0	0									
12311	0	4988	0	0	0	34247	547704	7806939	14996540	0	99554985	0	88503106	7269891	602424	63928	6171	3249647	11826	0	568089	160977	200436	7037367	10472906	0	954631	0	3931	
12647	0	0					310	26899	0					0			24589	0	0	0	0									
12656	155	0					29	1354	0					0			646	0	0	0	0									
12937	0	0					607	0	0					0			0	0	0	0	0									
12946	0	0					5499	0	178773					1439			0	114300	2525	0	0									
12955	0	0					229	0	2					326			0	0	0	0	0									
13103	0	0					7133	0	307590					86428			0	8562	135825	0	0									
13251	0	551					389	0	2087					0			0	1534	0	0	0									
13457	0	0					0	0	6102					0			0	3989	931	0	0									
14052	0	0					152	0	7310					0			0	3318	0	0	0									
14155	0	0					910	0	12289					3250			0	10002	23	0	0									
14650	0	0					48	3610	15					0			2111	0	0	0	0									
14753	0	0					9	10042	4199					0			7897	3697	0	0	0									
14865	0	0					619	3336	18935					0			3336	2066	0	0	0									
14977	0	0					296	0	244					2302			0	244	0	0	0									
