"IDRSSD"	RCFD0071	RCFD0081	RCFD0426	RCFD1754	RCFD1773	RCFD2130	RCFD2145	RCFD2150	RCFD2160	RCFD2170	RCFD2930	RCFD2948	RCFD3000	RCFD3123	RCFD3163	RCFD3190	RCFD3200	RCFD3210	RCFD3230	RCFD3300	RCFD3545	RCFD3548	RCFD3632	RCFD3656	RCFD3838	RCFD3839	RCFD5369	RCFD6724	RCFDA130	RCFDB528	RCFDB529	RCFDB530	RCFDB989	RCFDB995	RCFDG105	RCFDJA22	RCFN2200	RCFN6631	RCFN6636	RCON0071	RCON0081	RCON0426	RCON1754	RCON1773	RCON2130	RCON2145	RCON2150	RCON2160	RCON2170	RCON2200	RCON2930	RCON2948	RCON3000	RCON3123	RCON3163	RCON3190	RCON3200	RCON3210	RCON3230	RCON3300	RCON3545	RCON3548	RCON3632	RCON3656	RCON3838	RCON3839	RCON5369	RCON6631	RCON6636	RCON6724	RCON8678	RCONA130	RCONB528	RCONB529	RCONB530	RCONB987	RCONB989	RCONB993	RCONB995	RCONG105	RCONJA22	
697147																																								4320	5011	190	0	75366	0	8696	51	12577	322746	244847	1424	293521	0	3187	0	47250	0	29225	0	322746	0	0	17997	0	0	12000	0	42862	201985	1a	1231	0	219722	216535	-772	0	0	0	0	29225		
697156																																								10034	6333	1013	0	25785	0	12618	1656	5564	368660	295023	3869	333070	0	2758	0	33428	0	35590	1225	368660	0	0	27272	0	0	7446	0	51191	243832	4	1231	0	301163	298405	-353	7252	0	0	750	35590		
697231																																								255753	2500	0	25	6330	0	21358	536	5007	413368	337446	1307	367245	0	4332	0	28492	0	46123	1400	413368	0	0	43498	0	0	1400	2845	20634	316812	1a	1231	0	123346	119014	-175	0	0	0	0	46123		
697633																																								2483932	833147	56537	1975729	11184730	0	870155	16147	2542468	86612374	70225700	641801	74365140	29292	832071	4983296	2345682	977258	12217942	1011	86612374	192687	174699	-1812944	0	0	14300832	76401	21986006	48239694	2a	1231	0	62207861	61375790	-270957	2745	0	0	0	12247234	18610	
697763																																								474398	82134	3280	1114287	2351970	0	25422	1376	115336	5506662	4870779	26857	5011676	0	23081	121673	0	0	494986	408560	5506662	0	0	69481	9519	6000	54397	0	2181016	2689763	2a	1231	0	1228584	1205503	-43452	0	0	0	114040	494986	1764	
697950																																								8077	1556	0	0	2632	0	620	0	1076	48231	41708	518	42908	0	509	0	682	0	5323	1212	48231	0	0	2932	0	0	1212	0	13509	28199	1b	1231	0	34779	34270	-33	0	0	0	0	5323		
697978																																								17448	16277	3427	98198	70895	0	24836	9352	52074	1573888	1287743	12191	1396917	0	10471	10277	96983	0	176971	1500	1573888	0	0	72295	0	0	105074	0	232675	1055068	2a	1231	0	1280845	1270374	-1898	730	0	0	0	176971		
698144																																								1411	15594	1010	2645	105899	0	35190	1363	27044	1075861	971329	4384	979734	0	8773	0	1350	0	96127	1950	1075861	0	0	61118	0	0	35000	267	23415	947914	2b	1231	0	894211	885438	-1941	0	0	710	1961	96127	0	
698546																																								7193	2752	0	0	19744	0	1999	362	3044	110906	98355	1123	99478	0	708	0	0	0	11428	150	110906	0	0	7638	0	0	3878	30	16557	81797	1a	1231	0	74924	74216	-238	1566	0	0	0	11428		
698649																																								12983	6228	435	1900	54752	0	6399	0	7222	249510	218365	562	226927	0	2356	0	8000	0	22582	526	249509	0	0	6969	0	0	15474	0	51897	166468	1a	1231	0	161947	159591	-387	0	0	0	0	22582		
699105																																								902	6481	20	0	122731	0	11325	0	10679	577114	470958	4374	523122	0	3827	1000	47790	0	53992	1	577114	0	0	14667	0	0	40316	2732	60234	410724	2b	930	0	425071	421244	-992	0	0	0	0	53992		
699253																																								1336	4044	0	0	5143	0	65	0	2422	71410	62936	427	63363	0	719	0	0	0	8047	375	71410	0	0	7311	0	0	400	0	15959	46977	1b	1231	0	56119	55400	-39	3000	0	0	0	8047		
699534																																								41195	9777	16	43898	56128	0	13186	0	13208	508913	420640	3329	470997	0	3170	0	47028	0	37916	1531	508913	0	0	28359	0	0	10425	0	132934	287706	2a	1231	0	334675	331505	-2399	0	0	0	0	37916	0	
700140																																								2943	2475	75	0	11536	0	140	210	859	36278	31309	339	31648	0	240	306	0	0	4630	120	36278	0	0	1118	0	0	3530	0	6026	25283	4	1231	0	17974	17734	-138	0	0	0	0	4630		
700252																																								20644	16130	0	2005	17923	0	732	110	3894	92904	81012	2403	83415	0	657	0	0	0	9489	655	92904	0	0	7460	0	0	1305	0	29169	51843	1a	1231	0	32123	31466	69	0	0	0	0	9489		
