"IDRSSD"	RCON0352	RCON2202	RCON2203	RCON2210	RCON2213	RCON2215	RCON2216	RCON2236	RCON2343	RCON2365	RCON2377	RCON2385	RCON2520	RCON2530	RCON5590	RCON6648	RCON6810	RCON6835	RCONA241	RCONA243	RCONA579	RCONA580	RCONA581	RCONA582	RCONA584	RCONA585	RCONA586	RCONA587	RCONB549	RCONB550	RCONB551	RCONB552	RCONF233	RCONJ472	RCONJ473	RCONJ474	RCONK219	RCONK220	RCONK221	RCONK222	RCONK223	
	OTH NONTRANSACTION SAVINGS DEPOSITS	TOT TRANSACTION ACCTS-US GOVERNMENT	TOT TRANSACT ACCTS-STS&POL SUB IN US	TOTAL DEMAND DEPOSITS	TOT TRANS ACCTS-BKS IN FGN COUNTRIES	TOTAL TRANSACTIONS ACCOUNTS	TOT TRANS ACCTS-FGN GOVTS&OFFCL INST	NONTRANS DPS OF BKS IN FGN COUNTRIES	BROKERED DEPS LT 100000	TOTAL BROKERED DEPOSITS	TOT NONTRANS ACCTS-FGN GOVTS&OFFCL I	TOTAL NONTRANSACTION ACCOUNTS	TOT NONTRANSACTION ACCTS-US GOVT	TOT NONTRANSACTION ACCTS-STS&POL SUB	PREFERRED DEPOSITS	TIME DEPOSITS LT 100000	AMT OUTSTDG IN MONEY MARKET DEP ACCT	IRA AND KEOGH PLAN ACCOUNTS	TM DEPS LT 100000 MAT LESS 1 YR	BROKERED DEPS LT 100000 MAT LE 1 YR	TM DEPS LT 100000 MAT/REPRCE LE 3 MO	TM DEPS LT 100000 MAT/REPRCE 3-12 MO	TM DEPS LT 100000 MAT/REPRCE 1-3 YR	TM DEPS LT 100000 MAT/REPRCE GT 3 YR	TM DEPS GE 100000 MAT/REPRCE LE 3 MO	TM DEPS GE 100000 MAT/REPRCE 3-12 MO	TM DEPS GE 100000 MAT/REPRCE 1-3 YR	TM DEPS GE 100000 MAT/REPRCE GT 3 YR	TRANSACTION ACCTS: IPC DEPOSITS	NONTRANSACTION ACCTS: IPC DEPOSITS	TRANSACTION ACCT: CB'S & DI'S IN U.S	NONTRANSACT ACCT: CB'S & DI'S IN U.S	IRA KEOGH IN MEM ITEM 2.C	BROKERED DEPS LT 100K GE 250K	TIME DEPOSITS EQ 100K LE 250K	TIME DEPOSITS GT 250K	BRKRD DEP 100000 - 250000 MAT LE 1 Y	BRKRD DEP GT 250000 MAT LE 1 YR	TIME DEP 100000 - 250000 MAT LE 1 YR	TIME DEP GT 250000 MAT LE 1 YRDEP	EST DEP LISTING SERVICE NOT BROKERED	
746942	10335	0	5445	3293	0	17086	0	0	0	0	0	36932	0	6427		15430	0	4983	7421	0	2251	6322	3416	3441	1330	2080	4313	3445	11641	30505	0	0	1276	0	10064	1104	0	0	1302	2107	0	
746979	7041	1	100	7391	0	20711	0	0	0	0	0	57536	0	1235		27195	8885	7634	21692	0	6396	15296	5294	209	2576	7337	4352	150	20610	56301	0	0	2277	0	12954	1461	0	0	9613	300	0	
747051	6831	0	5748	12612	0	24280	0	0	0	0	0	55304	0	3775		22054	6797	6369	17942	0	5591	12414	2450	1599	6119	8518	3042	1942	18532	51529	0	0	1905	0	13382	6239	0	0	10115	4522	0	
747172	8850	6	264	17258	0	20102	0	0	0	0	0	75689	0	1716		19358	31094	5147	13200	0	4709	8491	4595	1563	3263	7586	3516	2022	19832	73973	0	0	1449	0	11261	5126	0	0	7821	3028	0	
747257	7312	0	6737	19064	0	34079	0	0	0	0	0	41024	0	2506		12245	10272	5660	6471	0	2115	4356	4060	1714	2458	4820	2522	1395	27342	38518	0	0	1672	0	7468	3727	0	0	4232	3046	0	
747743	4616	0	311	10848	0	19130	0	0	0	0	0	36030	0	7149		9822	14168	2634	9198	0	3939	5447	305	131	304	6413	707	0	18819	28881	0	0	551	0	2854	4570	0	0	2750	3967	0	
747846	16585	0	6120	5967	0	24829	0	0	548	548	0	51675	0	1356		22688	4606	3106	15562	548	5320	10278	6270	820	1697	2488	3272	339	18709	50319	0	0	777	0	7796	0	0	0	4185	0	0	
748254	15889	0	0	42704	0	83537	0	0	0	0	0	128178	0	14		33573	58581	7370	22738	0	6037	16701	8467	2368	1442	9257	7733	1703	83537	128164	0	0	1189	0	13591	6544	0	0	8130	2569	0	
748357	3013	0	78	5568	0	9543	0	0	0	0	0	11885	0	3		1850	3998	952	1522	0	302	1220	278	50	1709	1193	122	0	9465	11882	0	0	0	0	3024	0	0	0	923	1979	0	
748441	11099	82	4431	18448	0	36863	0	0	0	0	0	73969	0	2849		24408	12399	8822	22201	0	5618	16685	1973	132	5772	15707	4584	0	32350	70553	0	567	3425	0	22374	3689	0	0	18284	3095	0	
748964	18896	0	6096	72587	0	119874	0	0	0	0	0	82339	0	3852		19043	26693	5495	17998	0	6481	11517	787	258	5437	11488	782	0	112807	78082	971	405	448	0	13241	4466	0	0	12459	4466	0	
749242	256507	0	169847	562442	0	637086	0	0	3691	57559	0	2872562	0	187170		572614	1394987	173176	342820	2242	92271	250549	158626	71168	103719	238982	209653	96100	467239	2683650	0	1742	61109	53868	488508	159946	39922	0	253324	89376	0	
