"IDRSSD"	RCON5562	RCON5563	RCON5564	RCON5565	RCON5566	RCON5567	RCON5568	RCON5569	RCON5570	RCON5571	RCON5572	RCON5573	RCON5574	RCON5575	RCON5576	RCON5577	RCON5578	RCON5579	RCON5580	RCON5581	RCON5582	RCON5583	RCON5584	RCON5585	RCON5586	RCON5587	RCON5588	RCON5589	RCON6860	RCON6999	
	# OF LNS SECD BY NONFM NONRES PROPS	# OF C&I LNS TO U.S. ADDRESSEES	# PERMNT MTG LNS AMTS $100,000 OR LS	OTSTG BAL PRMT MTG LS $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LNS > $250,000 THRU $1 MILLION	OTSTD BAL > $250,000 THRU $1 MILLION	# NONMTG CML LNS AMTS $100,000 OR LS	OTSTG BAL NONMTGE LNS $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LNS > $250,000 THRU $1 MILLION	OTSTG BAL > $250,000 THRU $1 MILLION	NO OF LNS RPTD ON LINES: ITEM NO 260	# OF LS RPTD LINES: ITMS 300,303&306	# LS SCD PRIM BY FRMS $100,000 OR LS	OTST BL SCD PR BY FMS $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LOANS > $250,000 THRU $500,000	OTSTDG BAL > $250,000 THRU $500,000	# LNS TO FIN AGR PRDT $100,000 OR LS	OTST BAL FIN AGR PRDT $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LOANS > $250,000 THRU $500,000	OTSTDG BAL > $250,000 THRU $500,000	AGRICLTRL LNS TO SMALL FARMS INDCTR	LOANS TO SMALL BUSINESSES INDICATOR	
37	48	63													15	0													true	true	
242	95	97													66	75	0	0	0	0	0	0	0	0	0	0	0	0	true	true	
279			41	1456	24	2996	22	8436	61	1255	9	1233	4	656			9	390	1	84	1	357	33	453	1	246	0	0	false	false	
354			2	68	0	0	0	0	36	783	2	259	1	321			2	11	2	213	1	273	43	789	2	290	0	0	false	false	
457			8	297	10	1268	5	2462	53	1340	6	627	13	5597			12	514	13	1624	4	1040	41	1034	8	1071	5	1252	false	false	
505			10	614	44	5798	50	21095	271	6161	57	4864	49	9417															false	false	
1155			44	1845	43	5179	40	12681	198	4247	47	4192	46	14546			7	202	11	1418	8	2978	44	1074	11	1146	10	3244	false	false	
1351			156	4086	35	4631	35	13215	257	4618	32	3981	22	7330			47	1324	16	1797	8	2290	132	2532	16	1514	4	1469	false	false	
1454			28	1138	55	5614	49	18667	372	6733	42	3768	24	8350			1	12	6	895	8	2110	49	1201	17	1786	6	1591	false	false	
1669			110	3704	33	4158	37	12185	220	4162	27	2468	18	6090			0	0	0	0	0	0	177	3196	4	451	0	0	false	false	
