"IDRSSD"	RCON0352	RCON2202	RCON2203	RCON2210	RCON2213	RCON2215	RCON2216	RCON2236	RCON2365	RCON2377	RCON2385	RCON2520	RCON2530	RCON5590	RCON6648	RCON6810	RCON6835	RCONB549	RCONB550	RCONB551	RCONB552	RCONF233	RCONHK05	RCONHK06	RCONHK07	RCONHK08	RCONHK09	RCONHK10	RCONHK11	RCONHK12	RCONHK13	RCONHK14	RCONHK15	RCONJ473	RCONJ474	RCONJH83	RCONK220	RCONK222	RCONK223	RCONP752	RCONP753	RCONP754	RCONP756	RCONP757	RCONP758	RCONP759	
	OTH NONTRANSACTION SAVINGS DEPOSITS	TOT TRANSACTION ACCTS-US GOVERNMENT	TOT TRANSACT ACCTS-STS&POL SUB IN US	TOTAL DEMAND DEPOSITS	TOT TRANS ACCTS-BKS IN FGN COUNTRIES	TOTAL TRANSACTIONS ACCOUNTS	TOT TRANS ACCTS-FGN GOVTS&OFFCL INST	NONTRANS DPS OF BKS IN FGN COUNTRIES	TOTAL BROKERED DEPOSITS	TOT NONTRANS ACCTS-FGN GOVTS&OFFCL I	TOTAL NONTRANSACTION ACCOUNTS	TOT NONTRANSACTION ACCTS-US GOVT	TOT NONTRANSACTION ACCTS-STS&POL SUB	PREFERRED DEPOSITS	TIME DEPOSITS LT 100000	AMT OUTSTDG IN MONEY MARKET DEP ACCT	IRA AND KEOGH PLAN ACCOUNTS	TRANSACTION ACCTS: IPC DEPOSITS	NONTRANSACTION ACCTS: IPC DEPOSITS	TRANSACTION ACCT: CB'S & DI'S IN U.S	NONTRANSACT ACCT: CB'S & DI'S IN U.S	IRA KEOGH IN MEM ITEM 2.C	SELECTED COMPONENTS OF TOTAL DEPOSIT	SELECTED COMPONENTS OF TOTAL DEPOSIT	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	TIME DEPOSITS OF 250000 OR LESS WITH	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	TIME DEPOSITS EQ 100K LE 250K	TIME DEPOSITS GT 250K	Total reciprocal deposit	BRKRD DEP GT 250000 MAT LE 1 YR	TIME DEP GT 250000 MAT LE 1 YRDEP	EST DEP LISTING SERVICE NOT BROKERED	OFFR CONSUM DEP ACT INDIV HSHLD FMLY	NONINTR TRN ACCTS INDIV HSHLD FMLY	INTR TRN ACCTS INDIV HSHLD FMLY	MMDA DEPS PRIMRLY INDIV HSHLD FAMLY	OTHR MMDA INDIV PRTNRS CORPS	OTHR SVGS DEPS IND HSHLD FAMILY USE	OTHR SVGS DEPS IND PRTNRS AND CORPS	
37	8623	0	4160	14978	0	23311	0	0	0	0	33165	0	487		16644	1646		19151	32678	0	0	223	0	0	2328	10607	5035	3796	12935	0	508	0	622	5123	1130	0	0	508	0								
242	5894	0	125	8045	0	13489	0	0	0	0	17539	0	1499		4658	4260		13364	16040	0	0	136	0	0	596	2524	1976	1271	3120	0	0	504	514	1709	1018	0	0	0	0								
279	46165	377	0	26375	0	68242	0	0	0	0	134037	816	0		31613	11229		67865	133221	0	0	5174	0	0	12620	30035	24335	2667	42655	1424	4656	906	0	38043	6986	0	0	6080	0								
354	2304	0	105	6089	0	6089	0	0	0	0	6571	0	1018		1547	1661		5984	5553	0	0	0	0	0	604	1721	28	0	2325	0	254	0	0	806	254	0	0	254	0								
457	6300	0	526	7541	0	10311	0	0	1535	0	33162	0	4764		6802	12160		9785	26616	0	1782	950	1535	1535	3718	5045	2192	1145	6969	302	2300	0	0	5298	2602	0	0	2602	247								
505	214469	3	11418	41061	0	54951	0	0	0	0	450008	0	140788		20110	187330		43530	309220	0	0	1263	0	0	7291	14178	10366	947	21335	6559	6965	1903	0	12672	15427	0	0	13524	0								
1155	820	0	11432	42320	0	146195	0	0	0	0	81954	0	3219		29108	25890		133003	78735	1760	0	2637	0	0	12825	10643	19338	1425	19599	1532	4919	4562	0	15123	11013	15714	0	6451	0								
1351	7075	0	7549	19679	0	35255	0	0	0	0	106496	0	5984		37119	23372		27706	100512	0	0	4609	0	0	10560	28245	23014	0	38805	923	10907	2401	0	24700	14230	0	0	11830	0								
1454	659	0	40177	222731	0	370092	0	0	0	0	288086	585	60950		35419	199849		329915	226551	0	0	9277	0	0	20311	19180	9952	3352	30556	28290	4005	779	1708	17376	34782	0	0	10035	0								
1669	31368	1	23580	68853	0	138536	0	0	0	0	106537	0	356		27664	18589		114937	106141	18	40	2522	0	0	8892	29751	5243	2981	38060	364	7322	1298	730	19203	9714	0	0	7686	0								
1856	1169	0	617	3213	0	6460	0	0	0	0	55673	0	1838		5997	23032		5843	35581	0	18254	0	0	0	6806	10053	7107	889	16859	255	6363	0	0	18858	6618	0	0	6618	12807								
2161	29348	0	1514	41632	0	80687	0	0	0	0	70381	0	687		9807	12826	7143	79173	69694	0	0	0	0	0	4668	12114	2133	473	16782	4164	3699	956	0	9581	8819	0	0	7863	0	true							
2376	907542	0	68853	32886	0	189615	0	0	451633	0	2776918	0	451923		441519	651976	123260	117573	2231633	3189	93362	123260	451633	451633	157658	578147	242765	14500	732383	36558	134660	50257	2855	551551	224330	0	0	170909	84203	true	11286	14129	245558	261022	488911	114401	
2732	55661	0	9890	114920	0	164254	0	0	7000	0	343824	0	11254		40764	105757		154364	332570	0	0	4326	7000	7000	15715	39726	23599	3009	55055	46473	46368	5321	2195	41285	100357	0	0	92841	0								
2750	13265	0	3345	4902	0	13497	0	0	4000	0	41321	0	6228		8763	670		10152	29196	0	5897	506	0	0	2028	9109	10048	114	10212	271	5039	778	0	12535	6088	0	4000	5039	5897								
3252	14222	0	62338	26493	0	91169	0	0	10166	0	79800	0	27048		11801	13484		28831	50067	0	2685	0	9660	8817	14774	8435	8511	2843	23209	9383	7159	606	384	22761	17532	1931	506	16542	1931								
3458	2417	0	3036	4790	0	11885	0	0	3000	0	36406	0	5799		10873	2862		8849	30607	0	0	273	3000	3000	2845	14516	7867	1426	17361	0	2257	1927	288	15781	4472	0	0	2257	0								
3720	47623	0	23717	49649	0	130007	0	0	0	0	101413	0	2746		26814	6044	5540	106290	98667	0	0	1480	0	0	7015	22370	3986	249	29385	5025	8797	304	0	6806	14126	0	0	13822	0	true							
3971	95032	0	70	25117	0	41035	0	0	38350	0	527731	0	6959		114988	234657		40965	479722	0	41050	5314	38350	29993	28707	83140	45157	17659	111847	2829	11994	4074	4482	59675	23379	0	0	14823	2700								
4156	21597	0	11499	41148	0	86238	0	0	0	0	100124	0	16121		17099	28569		74739	79040	0	4963	1818	0	0	11883	19388	8738	4041	31271	1991	2488	588	840	26951	5907	12921	0	4479	4962								
4231	17415	0	10371	26649	0	41971	0	0	0	0	54112	0	473		13545	5867		31600	53639	0	0	6849	0	0	2669	10671	10685	3512	13340	0	890	1858	544	13992	3293	0	0	890	0								
5069	26546	0	0	56709	0	57901	0	0	60441	0	182191	0	494		35369	16471		57901	164592	0	17105	476	60441	28916	21202	37832	39545	4790	59034	11741	16553	2813	4698	68000	35805	0	0	28294	9311								
5135	22777	0	26494	69182	0	128506	0	0	56920	0	280813	0	11754		101647	47393		102012	208920	0	60139	8367	55926	55926	47620	116219	9677	432	163839	5699	30076	920	0	72301	36695	0	348	35774	2969								
5210	726899	12	36421	80350	0	127475	0	0	0	0	1298651	0	117295		220272	160252		91042	1181356	0	0	14758	0	0	78920	157081	95149	8608	193057	16431	42381	9592	3338	119486	71742	2450	0	53555	12415								
5461	339785	0	10497	54605	0	54605	0	0	0	0	515099	0	14608		5529	148266		44108	500491	0	0	944	0	0	3812	8007	1262	454	11819	1809	11293	411	0	8005	13513	58319	0	13102	0								
5751	10126	0	4442	26882	0	51246	0	0	3706	0	112614	0	18143		18151	56134		46804	91974	0	2497	4308	3706	1721	12339	16154	9323	2039	28493	1058	3835	901	704	21705	6498	0	0	4893	0								
6039	35171	0	12390	102801	0	121316	0	0	0	0	132257	0	2718		40131	22725	11017	108926	129539	0	0	2194	0	0	19348	38484	8919	312	57832	1700	4898	700	0	26931	7298	0	0	6598	99	true							
6329	60892	0	10975	260552	0	317033	0	0	5614	0	439921	0	22269		87696	91988	12187	306058	416250	0	1402	3096	5614	5614	83481	98400	42916	2530	181881	25589	23975	9258	892	139631	59714	36746	0	49564	16199	false							
7009	0	0	0	72264	0	72264	0	0	0	0	701261	0	0		0	701261		72264	701261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0								
7045	26214	0	12214	27581	0	103476	0	0	0	0	79261	0	6619		20780	17323	6420	91262	72642	0	0	280	0	0	2523	9724	16434	3308	12247	263	0	3472	0	11209	3735	0	0	263	0	true							
7072	68393	0	1404	44404	0	69042	0	0	10953	0	198496	0	15951		39017	44333		67638	182304	0	241	4391	10953	10953	16501	34074	16754	3373	50575	1789	11581	1148	551	31685	15069	0	0	13370	0								
7456	22871	0	13861	17224	0	39928	0	0	0	0	44569	0	4545		12190	0		26067	38290	0	1734	0	0	0	3108	9813	6464	79	12921	0	1375	514	344	7274	2233	0	0	1375	1734								
7634	8311	0	1860	11246	0	16409	0	0	0	0	43759	0	154		12075	1445		14549	43605	0	0	3973	0	0	4318	17865	4171	694	22183	2567	4134	254	0	14973	6955	0	0	6701	0								
