"IDRSSD"	RCONC978	RCONF164	RCONF165	RCONG401	RCONG402	RCONG403	RCONG404	RCONG405	RCONG406	RCONG407	RCONG408	RCONG409	RCONG410	RCONG411	RCONG412	RCONG413	RCONG414	RCONG415	RCONG416	RCONG417	RCONG418	RCONG422	RCONG423	RCONG427	RCONG428	RCONG432	RCONG433	RCONG437	RCONG453	RCONG457	RCONG458	RCONG462	RCONHT72	RCONJ455	RCONJ456	RCONJ457	RCONJ458	RCONJ459	TEXT3555	TEXT3556	TEXT3557	TEXT5592	TEXT5593	TEXT5594	TEXT5595	
	STNDBY LTRS OF CRD ISSD BY FHLB BK B	1-4  FAM RES CNSTRCTN LN COMMITMNTS	CMRL RE OTHR CNSTRCTN LN & LND DEV L	NTL AMT REG CAP CVRD MRR SL PRTC	NTL AMT REG CAP CVRD MRR PURC PRTC	NTL AMT REG CAP OTHR SL PRTC	NTL AMT REG CAP OTHR PRTC REG CAP	NTL REG CAP OTHR PRTC NOT REG CAP	NTL SL CR PRTC INV MAT LE 1 YR.	NTL SL CR PRTC INV MAT 1T5 YR	NTL SL CR PRTC INV MAT GT 5 YR	NTL SL CR PRTC SUBINV MAT LE 1 YR.	NTL SL CR PRTC SUBINV MAT 1T5 YR	NTL SL CR PRTC SUBINV MAT GT 5 YR	NTL PURC CR PRTC INV MAT LE 1 YR.	NTL PURC CR PRTC INV MAT 1T5 YR	NTL PURC CR PRTC INV MAT GT 5 YR	NTL PURC CR PRTC SUBINV MAT LE 1 YR.	NTL PURC CR PRTC SUBINV MAT 1T5 YR	NTL PURC CR PRTC SUBINV MAT GT 5 YR	OTC DRVT CR EXP BK & SCTY FIRM	OTC DRVT CR EXP CORP OTHR CNTRPRTY	OTC FV CSH USD BK & SCTY FIRM	OTC FV CSH USD CORP OTHR CNTRPRTY	OTC FV CSH OTHR CUR BK & SCTY FIRM	OTC FV CSH OTHR CUR CORP OTHR CNTRPR	OTC FV US TREAS SCTY BK & SCTY FIRM	OTC FV US TREAS SCTY CORP OTHR CNTRP	OTC FV OTHR CLTRL BK & SCTY FIRM	OTC FV OTHR CLTRL CORP OTHR CNTRPRTY	OTC FV TOTAL FV CLTRL BK & SCTY FIRM	OTC FV TOTAL FV CLTRL CORP OTHR CNTR	Unused commitments, Revolving, open	UNUSED CNSMR CR CARD LINE	OTHR UNUSED CNSMR CR CARD LINE	OTHR UNUSED CMTMT CMRL IND LN	OTHR UNUSED CMTMT LN FNCL INST	OTHR UNUSED CMTMT ALL OTHR	1ST CP OF OT OFF BALANCE SHEET LIABI	2ND CP OF OT OFF BALANCE SHEET LIABI	3RD CP OF OT OFF BALANCE SHEET LIABI	1ST ITMZD&DESCRPTN LINE CPNT OF 5591	2ND ITMZD&DESCRPTN LINE CPNT OF 5591	3RD ITMZD&DESCRPTN LINE CPNT OF 5591	4TH ITMZD&DESCRPTN LINE CPNT OF 5591	
37	0	0	63																																	3	0	615								
242	0	442	163																																	0	0	2747								
279	0	7115	1869																																	1501	0	14376								
354	0	0	0																																	77	0	628								
457	0	997	244																																	1945	0	1920								
505	26600	7345	29933																																	17850	905	24466								
1155	0	2761	8322																																	25744	0	12224								
1351	0	186	708																																	3672	0	1206								
1454	0	0	12505																																	14299	0	17684								
1669	0	1443	3233																																	4331	0	644								
1856	0	133	3310																																	1071	0	2486								
2161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																7566	0	1812								
2732	0	231	29855																																	31369	0	1816								
2750	0	55	1423																																	1410	0	10880								
3252	0	113	9																																	2320	0	9439	Promnet Repo							
3458	1500	107	122																																	649	0	376								
3720	5000	1873	1587																																	2750	0	5184								
3971	0	3587	37488																																	48861	0	9921								
4156	0	938	917																																	10403	0	5159								
4231	0	213	1446																																	140	0	3297								
5069	0	27329	16331																																	520	0	0								
5135	0	1356	10885																																	6068	0	38878								
5210	0	17827	53008																																	112987	10000	43524								
5461	26000	2473	2164																																	15919	0	19389								
5751	0	197	1277																																	8309	0	11917								
6039	0	5746	5664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																1196	0	5533								
6329	0	23481	21953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0														0	0	13346	0	14220								
7009	0	0	0																																	0	0	0								
7045	0	1521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																1197	0	3649								
7072	10000	969	494																																	3639	0	10654								
7456	0	1065	717																																	7506	0	21239								
7634	0	875	851																																	345	0	774								
8033	0	13154	4017																																	5905	0	20366								
8462	0	0	0																																	2687	0	2828								
8631	0	514	1027																																	808	0	80								
9357	0	2027	3473																																	144183	92728	3234								
