"IDRSSD"	RIAD3210	RIAD3217	RIAD4340	RIAD4356	RIAD4415	RIAD4460	RIAD4470	RIADB507	RIADB508	RIADB509	RIADB510	RIADB511	
	TOTAL EQUITY CAPITAL	TOTAL EQUITY CAPITAL, ADJ PREV YR	NET INCOME	CHANGES IN TOTAL EQUITY CAP.-MERGERS	OTH TRANS WITH PARENT HOLDING CO	LESS CASH DIV DECLRD-COMMON STOCK	LESS CASH DIV DECLRD-PREFERRED STOCK	RESTATEMENTS DUE TO CORRECTIONS, ETC	EQUITY CAP: END BAL PREV YR (RESTAT)	SALE,CONVRSN,ACQUSTN,RETIRE: CAP STK	TREASURY STOCK TRANSACTIONS, NET	OTHER COMPREHENSIVE INCOME	
37	18446	18478	87	0	0	0	0	0	18478	0	0	-119	
242	4922	4941	149	0	0	90	0	0	4941	0	0	-78	
279	25355	25265	132	0	0	0	0	0	25265	1	0	-43	
354	1039	1063	-10	0	0	0	0	0	1063	0	0	-14	
457	3784	3805	229	0	0	252	0	0	3805	0	0	2	
505	32135	31512	1029	0	0	274	0	0	31512	0	0	-132	
1155	18600	19654	681	0	0	1550	0	0	19654	0	0	-185	
1351	20284	19773	804	0	0	264	0	0	19773	0	0	-29	
1454	65795	65680	2137	0	0	700	0	0	65680	0	0	-1322	
1557	6342	6054	301	0	-10	0	0	0	6054	0	0	-3	
1669	45039	44541	609	0	0	0	0	0	44541	0	0	-111	
1829	44402	44610	426	0	0	425	0	0	44610	0	0	-209	
1856	14961	14926	146	0	0	0	0	0	14926	0	0	-111	
2040	21420	21267	322	0	0	0	0	0	21267	0	0	-169	
2161	14897	14718	619	0	0	103	0	0	14718	0	0	-337	
2376	425252	414086	9437	0	0	0	0	0	414086	0	2160	-431	
2554	1274	1273	36	0	0	44	0	0	1273	0	0	9	
2732	79593	79417	492	0	0	265	0	0	79417	0	0	-51	
2750	5664	5611	76	0	0	0	0	0	5611	0	0	-23	
3177	105475	104975	1360	0	0	1000	0	0	104975	202	0	-62	
3252	20753	20445	377	0	0	0	0	0	20445	0	0	-69	
3458	3459	3423	73	0	0	0	0	0	3423	0	0	-37	
3720	29911	29560	590	0	0	120	0	0	29560	0	0	-119	
3971	105857	104838	1005	0	0	0	0	0	104838	0	0	14	
4156	21720	21505	261	0	0	100	0	0	21505	0	0	54	
4231	14536	14834	58	0	0	0	0	0	14834	0	0	-356	
4437	27411	27513	240	0	0	163	0	0	27513	0	0	-179	
4839	34466	34403	487	0	0	306	0	0	34403	0	0	-118	
5005	33634	33752	56	0	0	0	0	0	33752	0	0	-174	
5069	141394	137059	4112	0	0	0	0	0	137059	0	0	223	
5135	43403	42473	973	0	0	0	0	0	42473	0	0	-43	
5210	86667	85975	2269	0	0	1193	0	0	85975	0	0	-384	
