"IDRSSD"	RCFD0071	RCFD0081	RCFD0426	RCFD1754	RCFD1773	RCFD2130	RCFD2145	RCFD2150	RCFD2160	RCFD2170	RCFD2930	RCFD2948	RCFD3000	RCFD3123	RCFD3163	RCFD3190	RCFD3200	RCFD3210	RCFD3230	RCFD3300	RCFD3545	RCFD3548	RCFD3632	RCFD3656	RCFD3838	RCFD3839	RCFD5369	RCFD6724	RCFDA130	RCFDB528	RCFDB529	RCFDB530	RCFDB989	RCFDB995	RCFDG105	RCFN2200	RCFN6631	RCFN6636	RCON0071	RCON0081	RCON0426	RCON1754	RCON1773	RCON2130	RCON2145	RCON2150	RCON2160	RCON2170	RCON2200	RCON2930	RCON2948	RCON3000	RCON3123	RCON3163	RCON3190	RCON3200	RCON3210	RCON3230	RCON3300	RCON3545	RCON3548	RCON3632	RCON3656	RCON3838	RCON3839	RCON5369	RCON6631	RCON6636	RCON6724	RCON8678	RCONA130	RCONB528	RCONB529	RCONB530	RCONB987	RCONB989	RCONB993	RCONB995	RCONG105	
	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	OTHER IDENTIFIABLE INTANGIBLE ASSETS	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	PREMISES&FIXED ASSETS(INCL CAP LSES)	OTHER REAL ESTATE OWNED	OTHER ASSETS	TOTAL ASSETS	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ALLL_AMT	GOODWILL	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	DIRECT INDIRECT INV IN RE	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	AUDIT INDICATOR	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	TOT EQT CAP INC NONCTRL MINORITY INT	TOTAL DEPOSITS	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	OTHER IDENTIFIABLE INTANGIBLE ASSETS	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	PREMISES&FIXED ASSETS(INCL CAP LSES)	OTHER REAL ESTATE OWNED	OTHER ASSETS	TOTAL ASSETS	TOTAL DEPOSITS	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ALLL_AMT	GOODWILL	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	DIRECT INDIRECT INV IN RE	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	AUDIT INDICATOR	FISCAL YEAR END	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	FEDERAL FNDS SOLD IN DOMESTIC OFFICS	SECURS PURCHSD UDR AGRMNTS TO RESELL	FEDERAL FNDS PURCD IN DOMESTIC OFFCS	SECURS SOLD UNDR AGRMNTS TO REPURCH	TOT EQT CAP INC NONCTRL MINORITY INT	
37																																							2936	1130	0	0	51016	0	380	0	811	84947	63270	500	63770	0	1034	0	0	0	21177	1200	84947	0	0	15370	0	0	3500	0	13545	49725			0	29708	28674	1107	0	0	0	0	21177	
242																																							1401	871	0	0	9431	0	302	0	536	39512	29100	16	34116	0	185	0	5000	0	5396	120	39512	0	0	4926	0	0	120	0	6610	22490			0	26414	26229	230	742	0	0	0	5396	
279																																							3618	2496	31	32810	7629	0	5255	0	7530	200814	153180	1069	172536	0	942	0	18287	0	28278	1	200814	0	0	28154	0	0	0	0	11372	141808			0	140380	139438	123	2007	0	0	0	28278	
354																																							200	478	0	0	4054	0	55	11	158	8330	7222	2	7292	0	159	0	0	0	1038	25	8330	0	0	473	0	0	500	0	2247	4975			0	3533	3374	40	0	0	68	0	1038	
457																																							3611	777	0	147	214	0	281	31	1419	46335	35750	101	41851	0	526	0	6000	0	4484	60	46335	0	0	483	0	0	3940	0	5800	29950			0	40306	39780	1	75	0	0	0	4484	
505																																							19840	1505	69	0	82462	0	10044	840	11431	439831	398915	4521	403436	54	3981	1595	0	0	36341	6480	439831	0	0	21121	0	0	10653	0	87998	310917			0	316026	312045	-1913	0	0	0	0	36395	
1155																																							16354	3840	0	35	28688	0	4528	1080	5701	216265	185882	2075	196728	0	2728	0	0	0	19537	1600	216265	0	0	12647	0	0	4900	0	23922	161960			0	158767	156039	390	0	0	0	8771	19537	
1351																																							0	7248	0	50137	6334	0	2120	319	1431	153453	129252	535	129787	0	1245	0	0	0	23666	240	153453	0	0	22876	0	0	530	0	17166	112086			0	84797	83552	20	2312	0	0	0	23666	
1454																																							191926	13755	0	0	372147	0	3800	928	11719	838820	753730	1793	755523	0	3457	0	0	0	83297	1000	838820	0	0	77262	0	0	1214	1207	220684	533046			0	246795	243338	3821	0	0	0	0	83297	
