"IDRSSD"	RIAD3123	RIAD4230	RIAD4605	RIAD5523	RIADB522	RIADC079	RIADC233	RIADC389	RIADC390	RIADC435	RIADC781	
	ALLL_AMT	PROVISION FOR CREDIT LOSSES	RECOVERIES CREDITED TO RESERVES	WRITE DOWN ARISING FRM TRNSFR TO HFS	BEGIN BALANCE (MOST RECENT) IN ALLL	CHRG-OFFS ON ALLWNCE FOR L&L LOSSES	ADJUSTMENTS	SEPARATE VAL ALLOW CRED/FIN CHGS	AMT ALLOW LN&LSE LOSS CC/FIN CHGS	ALLOCATED TRANSFER RISK RESERVE	AMT OF ALLOWNCE FOR POST-ACQUISTN LO	
37	881	120	42	0	1248	529	0			0	0	
242	168	0	1	0	169	2	0			0	0	
279	617	183	78	0	497	141	0			0	0	
354	173	0	15	0	197	39	0			0	0	
457	450	121	45	0	378	94	0			0	0	
505	4294	400	245	0	3902	253	0			0	0	
1155	2616	1	692	0	2711	788	0			0	0	
1351	1892	629	91	0	1382	210	0	0	0	0	0	
1454	2773	280	22	0	2913	442	0			0	0	
1557	408	210	0	0	581	383	0	0	0	0	0	
1669	2881	258	55	0	3258	690	0			0	0	
1829	3386	486	3	0	4060	1163	0			0	0	
1856	860	171	0	0	809	120	0			0	0	
2040	4065	1135	60	0	3800	930	0			0	0	
2161	603	5	19	0	596	17	0			0	0	
2376	31909	6000	177	0	28819	3087	0			0	0	
2554	130	24	6	0	100	0	0			0	0	
2732	6730	1615	706	0	6173	1764	0			0	0	
2750	819	697	25	0	595	498	0			0	0	
3177	3531	893	33	0	3376	771	0			0	0	
3252	1974	550	438	0	1558	572	0			0	0	
3458	364	60	2	0	309	7	0			0	0	
3720	1545	190	27	0	1475	147	0			0	0	
3971	13832	5488	1962	0	12904	6522	0			0	0	
4156	1722	90	84	0	1908	360	0			0	0	
4231	801	1859	22	0	943	2023	0			0	0	
4437	2971	601	492	0	3091	1213	0			0	0	
4839	4877	2050	48	0	4687	1908	0			0	0	
5005	294	284	10	0	1593	0	-1593			0	0	
5069	15000	-1750	0	0	16750	0	0			0	0	
5135	3774	850	57	0	3678	811	0			0	0	
5210	16825	4675	425	0	15482	3757	0			0	0	
5461	6209	5117	187	0	4502	3577	-20			0	0	
5751	676	440	8	0	1067	839	0			0	0	
6039	1297	566	14	0	1146	429	0			0	0	
6141	449	210	30	0	402	193	0			0	0	
6329	8412	10650	503	0	7346	10087	0			0	0	
7009	0	0	0	0	0	0	0			0	0	
7045	999	230	46	0	908	185	0			0	0	
7072	1556	780	1	0	1590	815	0			0	0	
7157	333	52	39	0	370	128	0			0	0	
7456	412	20	10	0	382	0	0	0	0	0	0	
7634	1134	320	44	0	1184	414	0			0	0	
8033	1022	950	31	0	914	873	0			0	0	
8462	521	51	15	0	494	39	0			0	0	
8631	455	20	23	0	462	50	0			0	0	
9357	3698	-900	322	0	5585	1309	0			0	0	
9553	840	100	24	0	791	75	0			0	0	
9807	60617	7103	1204	0	60617	8307	0			0	0	
9955	1435	85	28	0	1349	27	0			0	0	
10250	8755	1375	1690	0	10823	5133	0			0	0	
10849	2256	150	207	0	2955	1056	0			0	0	
10858	2558	200	93	0	2598	333	0	0	0	0	0	
11145	1913	938	102	0	1598	725	0			0	0	
11275	17957	13515	2940	0	25790	24288	0			0	0	
11640	3044	140	185	0	2849	130	0			0	0	
11837	1276	300	11	0	1076	111	0			0	0	
12030	9494	5100	2573	0	10189	8368	0			0	0	
12142	1646	40	86	0	1755	235	0			0	0	
12179	311	118	55	0	315	177	0			0	0	
12245	1435	258	7	0	1371	201	0			0	0	
12311	766098	152525	112738	8484	944660	435341	0			0	0	
12647	1024	165	2	0	872	15	0			0	0	
12656	245	30	11	0	249	45	0			0	0	
12937	1782	540	2	0	1784	544	0			0	0	
12946	12610	4200	549	0	10811	2950	0			0	0	
12955	1188	100	22	0	1138	72	0			0	0	
13103	10474	1836	150	0	9659	1171	0			0	0	
13251	509	180	12	0	548	231	0			0	0	
13457	168	0	29	0	139	0	0			0	0	
14052	648	313	36	0	876	577	0	0	0	0	0	
14155	1687	387	114	0	1550	364	0			0	0	
14650	345	30	35	0	383	103	0			0	0	
14753	410	0	2	0	408	0	0			0	0	
14865	2467	1090	247	0	2591	1461	0			0	0	
14977	324	0	1	0	329	6	0			0	0	
16458	2496	90	18	0	2494	106	0			0	0	
16551	2506	350	61	0	2474	379	0			0	0	
16748	513	65	11	0	449	12	0			0	0	
16944	219	15	7	0	239	42	0			0	0	
16953	102	0	14	0	108	20	0			0	0	
17110	279	0	0	0	279	0	0			0	0	
17147	69366	18534	7206	0	70898	27272	0			0	0	
17259	241	70	45	0	205	79	0			0	0	
17464	27261	1100	4457	0	43905	22201	0			0	0	
17950	2928	780	60	0	2881	793	0			0	0	
17978	2930	138	299	0	3007	514	0			0	0	
18050	3619	985	253	0	2889	508	0			0	0	
18135	1388	460	55	0	1448	575	0			0	0	
18377	296	80	0	0	249	33	0			0	0	
18827	4497	211	30	0	4664	408	0			0	0	
18836	2409	814	171	0	2316	892	0			0	0	
18854	2799	880	2	0	1937	20	0			0	0	
19356	874	57	66	0	874	123	0			0	0	
19730	59206	33384	3674	0	36960	14812	0			0	0	
19936	3050	700	255	0	3179	1084	0			0	0	
19972	420	143	0	0	300	23	0	0	0	0	0	
20053	842	469	46	0	770	443	0			0	0	
20512	560	13	23	0	572	48	0			0	0	
20633	2735	522	61	0	2776	624	0			0	0	
20857	426	20	0	0	449	43	0			0	0	
21256	143	0	1	0	143	1	0			0	0	
21359	201	0	0	0	201	0	0			0	0	
21630	418	143	0	0	299	24	0			0	0	
21658	1601	420	222	0	1377	418	0			0	0	
22048	2907	21	61	0	3095	270	0			0	0	
22543	785	403	15	0	957	590	0			0	0	
22552	990	75	4	0	979	68	0			0	0	
22730	648	15	13	0	711	91	0			0	0	
22936	4825	970	452	0	5976	2573	0			0	0	
23045	186	0	0	0	191	5	0			0	0	
23456	809	130	21	0	737	79	0			0	0	
23504	14439	5000	112	0	10837	1510	0			0	0	
23540	3211	1835	29	0	2382	1035	0			0	0	
23643	2018	700	190	0	1698	570	0			0	0	
23755	1411	546	19	0	1334	488	0			0	0	
24006	5239	1555	25	0	4985	1326	0			0	0	
