"IDRSSD"	RCON5562	RCON5563	RCON5564	RCON5565	RCON5566	RCON5567	RCON5568	RCON5569	RCON5570	RCON5571	RCON5572	RCON5573	RCON5574	RCON5575	RCON5576	RCON5577	RCON5578	RCON5579	RCON5580	RCON5581	RCON5582	RCON5583	RCON5584	RCON5585	RCON5586	RCON5587	RCON5588	RCON5589	RCON6860	RCON6999	
	# OF LNS SECD BY NONFM NONRES PROPS	# OF C&I LNS TO U.S. ADDRESSEES	# PERMNT MTG LNS AMTS $100,000 OR LS	OTSTG BAL PRMT MTG LS $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LNS > $250,000 THRU $1 MILLION	OTSTD BAL > $250,000 THRU $1 MILLION	# NONMTG CML LNS AMTS $100,000 OR LS	OTSTG BAL NONMTGE LNS $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LNS > $250,000 THRU $1 MILLION	OTSTG BAL > $250,000 THRU $1 MILLION	NO OF LNS RPTD ON LINES: ITEM NO 260	# OF LS RPTD LINES: ITMS 300,303&306	# LS SCD PRIM BY FRMS $100,000 OR LS	OTST BL SCD PR BY FMS $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LOANS > $250,000 THRU $500,000	OTSTDG BAL > $250,000 THRU $500,000	# LNS TO FIN AGR PRDT $100,000 OR LS	OTST BAL FIN AGR PRDT $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LOANS > $250,000 THRU $500,000	OTSTDG BAL > $250,000 THRU $500,000	AGRICLTRL LNS TO SMALL FARMS INDCTR	LOANS TO SMALL BUSINESSES INDICATOR	
37			30	670	9	705	3	649	51	1215	10	1114	2	1145			13	442	3	385	1	304	2	52	0	0	0	0	false	false	
242	107	90													60	95	0	0	0	0	0	0	0	0	0	0	0	0	true	true	
279			37	1522	23	2501	19	7623	50	1190	9	1259	4	921			10	427	2	199	1	371	40	482	1	134	0	0	false	false	
354			3	85	1	102	1	89	31	398	1	144	0	0			6	221	4	452	0	0	42	793	0	0	0	0	false	false	
457			12	433	12	1695	1	146	52	1072	6	519	13	5482			15	586	13	1833	5	1421	44	1146	10	1284	9	2127	false	false	
505			11	652	36	4625	43	16614	217	5076	47	3687	33	7431															false	false	
1155			44	1891	40	4653	45	14545	223	4489	41	3853	43	10548			13	518	12	1777	7	2599	51	1398	11	1335	8	2483	false	false	
1351			142	3505	31	3783	29	10585	206	3801	33	3624	19	6710			62	1994	18	2116	12	3439	146	2792	13	1457	4	1236	false	false	
1454			34	1242	56	5840	51	17903	413	6399	47	4024	31	7944			4	130	5	627	11	3534	61	1495	13	1471	6	1648	false	false	
1557	11	119															11	475	17	1833	10	1622	205	4112	48	4244	34	5393	false	true	
1669			85	2796	29	3557	17	5575	180	3314	16	1425	10	3133			1	6	0	0	0	0	153	3018	2	205	0	0	false	false	
1829			76	3202	60	7039	86	35328	78	2534	28	3194	28	8079															false	false	
1856			6	136	3	194	1	192	13	195	32	2262	4	746			4	157	2	400	3	917	17	272	1	245	0	0	false	false	
2040			21	1057	30	3306	34	10199	78	1813	22	1911	39	14530			3	140	2	409	2	348	8	309	4	557	1	272	false	false	
2161			41	1503	6	689	0	0	232	5087	41	4797	21	6648			1	13	0	0	0	0	103	2625	22	2904	15	4453	false	false	
2376			6	194	38	5336	158	67516	18	595	1	17	4	2533															false	false	
2554	3	28															7	187	10	1562	1	288	34	684	4	265	5	138	false	true	
2732			7	249	29	3568	102	48452	19	592	19	2344	29	12906															false	false	
2750			17	603	5	749	1	581	21	561	8	1084	0	0			3	122	4	356	6	1830	30	724	14	1695	22	3889	false	false	
3177			72	2645	91	10694	120	44650	69	1526	28	2159	22	3480															false	false	
