"IDRSSD"	RCONC978	RCONF164	RCONF165	RCONG401	RCONG402	RCONG403	RCONG404	RCONG405	RCONG406	RCONG407	RCONG408	RCONG409	RCONG410	RCONG411	RCONG412	RCONG413	RCONG414	RCONG415	RCONG416	RCONG417	RCONG418	RCONG422	RCONG423	RCONG427	RCONG428	RCONG432	RCONG433	RCONG437	RCONG453	RCONG457	RCONG458	RCONG462	RCONHT72	RCONJ455	RCONJ456	RCONJ457	RCONJ458	RCONJ459	TEXT3555	TEXT3556	TEXT3557	TEXT5592	TEXT5593	TEXT5594	TEXT5595	
	STNDBY LTRS OF CRD ISSD BY FHLB BK B	1-4  FAM RES CNSTRCTN LN COMMITMNTS	CMRL RE OTHR CNSTRCTN LN & LND DEV L	NTL AMT REG CAP CVRD MRR SL PRTC	NTL AMT REG CAP CVRD MRR PURC PRTC	NTL AMT REG CAP OTHR SL PRTC	NTL AMT REG CAP OTHR PRTC REG CAP	NTL REG CAP OTHR PRTC NOT REG CAP	NTL SL CR PRTC INV MAT LE 1 YR.	NTL SL CR PRTC INV MAT 1T5 YR	NTL SL CR PRTC INV MAT GT 5 YR	NTL SL CR PRTC SUBINV MAT LE 1 YR.	NTL SL CR PRTC SUBINV MAT 1T5 YR	NTL SL CR PRTC SUBINV MAT GT 5 YR	NTL PURC CR PRTC INV MAT LE 1 YR.	NTL PURC CR PRTC INV MAT 1T5 YR	NTL PURC CR PRTC INV MAT GT 5 YR	NTL PURC CR PRTC SUBINV MAT LE 1 YR.	NTL PURC CR PRTC SUBINV MAT 1T5 YR	NTL PURC CR PRTC SUBINV MAT GT 5 YR	OTC DRVT CR EXP BK & SCTY FIRM	OTC DRVT CR EXP CORP OTHR CNTRPRTY	OTC FV CSH USD BK & SCTY FIRM	OTC FV CSH USD CORP OTHR CNTRPRTY	OTC FV CSH OTHR CUR BK & SCTY FIRM	OTC FV CSH OTHR CUR CORP OTHR CNTRPR	OTC FV US TREAS SCTY BK & SCTY FIRM	OTC FV US TREAS SCTY CORP OTHR CNTRP	OTC FV OTHR CLTRL BK & SCTY FIRM	OTC FV OTHR CLTRL CORP OTHR CNTRPRTY	OTC FV TOTAL FV CLTRL BK & SCTY FIRM	OTC FV TOTAL FV CLTRL CORP OTHR CNTR	Unused commitments, Revolving, open	UNUSED CNSMR CR CARD LINE	OTHR UNUSED CNSMR CR CARD LINE	OTHR UNUSED CMTMT CMRL IND LN	OTHR UNUSED CMTMT LN FNCL INST	OTHR UNUSED CMTMT ALL OTHR	1ST CP OF OT OFF BALANCE SHEET LIABI	2ND CP OF OT OFF BALANCE SHEET LIABI	3RD CP OF OT OFF BALANCE SHEET LIABI	1ST ITMZD&DESCRPTN LINE CPNT OF 5591	2ND ITMZD&DESCRPTN LINE CPNT OF 5591	3RD ITMZD&DESCRPTN LINE CPNT OF 5591	4TH ITMZD&DESCRPTN LINE CPNT OF 5591	
37	0	0	154																																	5	0	0								
242	0	0	73																																	0	0	2511								
279	0	9699	191																																	1712	0	4442								
354	0	675	0																																	245	0	261								
457	0	826	1074																																	3221	0	2331								
505	49000	9331	21208																																	17410	0	13420								
1155	0	1669	4732																																	18900	0	12972								
1351	0	260	244																																	3242	0	786								
1454	0	564	4674																																	8857	0	23646								
1669	0	1123	4116																																	4277	0	377								
1856	0	0	3960																																	4555	0	2201								
2040	0	331	2669																																	11184	0	8651								
2161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																5584	0	3403								
2376	0	0	107240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0														0	0	1269	0	1470								
2732	0	5327	35542																																	38073	0	850								
2750	2300	55	526																																	1285	0	10869								
3252	0	0	20																																	1690	0	6596								
3458	1500	302	119																																	490	0	262								
3720	5000	1409	629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																3881	0	7351								
3971	0	3541	62594																																	28897	0	18325								
4156	0	1690	4326																																	6526	0	5383								
4231	0	176	0																																	636	0	3323								
5069	0	28310	13771																																	151	0	0								
5135	0	1418	5639																																	6825	0	35858								
5210	0	12117	55038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0														0	0	56180	0	28438								
5461	26000	1294	2597																																	13126	0	20525								
5751	4000	476	2359																																	7376	0	7691								
6039	0	4201	6751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																2341	0	10489								
6329	0	19046	12113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0														0	0	10237	0	14140								
7009	0	0	0																																	0	0	0								
7045	0	1082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																2033	0	2832								
7072	10000	671	1198																																	3969	0	7134								
7456	0	1139	545																																	5978	0	19361								
7634	0	532	131																																	65	0	561								
8033	0	16091	2799																																	1669	0	16542								
8462	0	0	0																																	3009	0	4779								
8631	0	617	408																																	1064	0	80								
9357	0	5417	3764																																	132431	103681	3421								
9553	0	178	0																																	1429	0	20157								
9807	0	152739	176952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0														0	0	6829	0	2943	MUNICIPAL LETTER OF CREDIT FHLBNY							
9955	0	0	3593																																	3259	0	10334								
10250	0	4351	19780																																	29396	0	8915								
10849	0	2766	8982																																	1701	0	3158								
11145	0	2344	6518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																4887	0	2486								
11640	0	2531	2550																																	3704	0	34687								
11837	0	231	104																																	49	0	169								
12030	0	1274	13780																																	9503	0	12701								
12142	0	1340	5413																																	10263	0	3093								
12179	0	1	280																																	876	0	427								
12311																																	0													
12647	0	95	1099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																2868	0	8618								
12656	0	0	0																																	415	0	343								
12946	372343	9429	90930	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0														2333	2209	60938	0	11008								
13103	0	22015	41374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0														0	0	66257	0	56690								
13251	0	642	0																																	487	0	481								
13457	0	0	0																																	359	0	3612								
14155	0	6207	874																																	1533	0	4797								
14650	0	198	170																																	104	0	831								
14753	0	0	47																																	78	0	2401								
14865	4000	4157	8442																																	22762	0	45122								
14977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																52	0	7515								
16551	0	4014	4405																																	2890	0	724								
16748	0	234	0																																	2027	0	1046								
17110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																10706	0	82829								
17147	0	37625	466925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0														2425	1056	1804842	80	242845								
17259	0	46	1348																																	0	0	838								
17950	0	2339	3208																																	6586	0	12795								
17978	17500	7120	1334																																	0	0	246				Commit's to Originate Single-Family Mortgages	Commit's to Originate Multi-Family Mortgages	Commit's to Originate Other Mortgages	Commit's to Originate Consumer Loans	
18050	0	7713	20812																																	4249	0	5865								
