"IDRSSD"	RCFD0071	RCFD0081	RCFD0426	RCFD1754	RCFD1773	RCFD2130	RCFD2145	RCFD2150	RCFD2160	RCFD2170	RCFD2930	RCFD2948	RCFD3000	RCFD3123	RCFD3163	RCFD3190	RCFD3200	RCFD3210	RCFD3230	RCFD3300	RCFD3545	RCFD3548	RCFD3632	RCFD3656	RCFD3838	RCFD3839	RCFD5369	RCFD6724	RCFDA130	RCFDB528	RCFDB529	RCFDB530	RCFDB989	RCFDB995	RCFDG105	RCFN2200	RCFN6631	RCFN6636	RCON0071	RCON0081	RCON0426	RCON1754	RCON1773	RCON2130	RCON2145	RCON2150	RCON2160	RCON2170	RCON2200	RCON2930	RCON2948	RCON3000	RCON3123	RCON3163	RCON3190	RCON3200	RCON3210	RCON3230	RCON3300	RCON3545	RCON3548	RCON3632	RCON3656	RCON3838	RCON3839	RCON5369	RCON6631	RCON6636	RCON6724	RCON8678	RCONA130	RCONB528	RCONB529	RCONB530	RCONB987	RCONB989	RCONB993	RCONB995	RCONG105	
2243977																																							600	6647	0	0	45225	0	9161	17245	2544	298147	277986	1068	285999	0	5112	0	5500	0	12148	3193	298147	0	0	-13965	0	0	22597	0	30509	247477	1	1212	0	221837	216725	323	0	0	1445	0	12148	
2253725																																							49299	3810	0	0	50490	0	15685	10133	11513	336969	309807	2999	325806	0	5695	0	13000	0	11163	2821	336969	0	0	-5697	0	0	13480	679	36485	273322	1	1231	0	201055	195360	559	0	0	0	0	11163	
2253891	1184252	682144	53757	0	9853733	698074	787830	0	2895010	69402108	3658321	61687605	3316	2541267	101054	16114930	2252344	7711187	100000	69402108	0	0	2812459	0	0	4756757	0	2	0	55687521	53146254	41971	0	0	7714503	109491	109491	0				0	9618743						34601846						13681922												179603	34422243		1231					0	0	4950673	0		
2262718																																							34098	0	1169	0	357	0	715	0	6949	47744	0	4054	4054	0	0	4456	0	0	43690	1	47744	0	0	25853	0	0	17836	0	0	0	2	1231	0	0	0	0	0	0	0	0	43690	
2263313																																							25238	1418	0	0	44330	0	3495	122	2266	175569	150732	561	158999	0	2112	0	3748	0	16570	2500	175569	0	0	5944	0	0	7500	0	25348	125384	2	1231	0	100812	98700	626	0	0	0	3958	16570	
2265335																																							28432	1947	0	0	10348	0	3019	1111	1747	82364	68762	1007	73144	0	1274	0	3300	0	9220	1000	82364	0	0	1688	0	0	6500	0	14025	54737	6	1231	0	37034	35760	32	0	0	0	75	9220	
2265456																																							57628	539289	10708	0	22187	0	14422	0	68689	1330746	571973	201512	940685	0	5787	0	0	0	390061	1000	1330746	0	0	18775	0	0	381049	0	365774	206199	2	1231	0	623610	617823	-10763	0	0	167200	0	390061	
2267012																																							15924	741	0	0	13709	0	656	254	1264	81966	67466	263	73077	0	917	0	5348	0	8889	1000	81966	0	0	3208	0	0	4609	0	8695	58771	2	1231	0	50335	49418	72	0	0	0	0	8889	
2267683																																							294	3287	0	0	60362	0	3044	251	8150	218959	186113	1390	191641	0	5052	0	3000	0	27318	500	218959	0	0	21473	0	0	4500	2353	22241	163872	8	1231	0	140728	135676	845	5542	0	0	1138	27318	
2281371																																							13806	1251	0	0	61340	0	204	821	1349	127768	112504	265	112769	0	722	0	0	0	14999	2687	127768	0	0	8292	0	0	837	0	46808	65696	1	1231	0	49719	48997	3183	0	0	0	0	14999	
2286554																																							53277	6669	0	0	17950	0	7193	11230	8587	295004	265124	726	284380	0	7552	0	13000	0	10624	5963	295004	0	0	-24514	0	0	28764	0	46352	218772	2	1231	0	192645	185093	411	5005	0	0	5530	10624	
2290122																																							21	269	0	0	0	0	2330	18256	1853	113074	107850	74	107924	0	2796	0	0	0	5150	166	113074	0	0	1641	0	0	3343	0	8064	99786	2	1231	0	85773	82977	0	7368	0	0	0	5150	
2290887																																							49562	8111	274	0	72043	0	675	279	10680	361663	329540	1971	334226	0	2422	0	0	0	27437	16776	361663	0	0	9917	0	0	0	0	76707	252833	2	1231	0	221108	218686	744	1353	0	0	2715	27437	
2297998																																							7723	2791	1126	0	96065	0	713	6389	24127	493238	352803	3795	378598	0	8458	37632	22000	0	114640	108402	493238	0	0	5912	0	0	0	0	24990	327813	1	1231	0	298630	290172	326	26500	0	0	0	114640	
2298995																																							15993	7343	1591	0	141568	0	19071	1370	11424	904681	721522	8034	790846	0	5012	33075	17000	0	113835	1000	904681	1673	1641	2615	0	0	109919	0	78336	643186	2	1231	0	667585	662573	301	9000	0	0	42649	113835	
2303086																																							15362	6459	0	28130	168176	0	7518	20672	29067	780553	643516	4712	706958	0	9287	0	43000	0	73595	40639	780553	0	0	32019	0	0	0	1205	20875	622641	1	1231	0	513251	503964	937	0	0	0	15730	73595	
2304234																																							214	2004	0	0	32025	0	651	60	903	97306	81185	245	88668	0	777	0	0	0	8638	2000	97306	0	0	3172	0	0	2986	0	11784	69401	2	1231	0	59711	58934	480	2515	0	0	7238	8638	
2304382																																							9290	539	0	0	9156	0	10095	5977	6837	128117	118333	425	118758	0	2998	0	0	0	9359	13320	128117	0	0	-4129	0	0	0	0	16310	102023	4	1231	0	89221	86223	168	0	0	0	0	9359	
2304636																																							8038	2934	0	0	6784	0	3175	476	2387	83849	69946	515	76304	0	757	0	4000	0	7545	1245	83849	0	0	3103	0	0	3095	694	16327	53619	4	1231	0	57885	57128	102	2233	0	0	1843	7545	
2305969																																							7744	1424	0	0	38997	0	5957	2482	4257	177276	140080	573	158755	0	1349	0	17536	0	18521	534	177276	0	0	1640	0	0	15526	101	17496	122584	1	1231	0	114164	112815	821	3499	0	0	566	18521	
2316714																																							20871	1337	0	0	76504	0	1477	3915	9072	264541	229223	664	235135	0	3139	0	0	0	29406	2313	264541	0	0	22613	0	0	4205	0	30006	199217	2	1231	0	154504	151365	275	0	0	0	5248	29406	
2317672																																							23834	4296	0	0	70258	0	238	15309	5370	252187	207393	572	235714	0	2802	0	22000	0	16473	1160	252187	0	0	6676	0	0	8407	0	39601	167792	2	1231	0	135684	132882	230	0	0	0	5749	16473	
2325882																																							16522	0	0	0	100484	0	27	0	20326	137359	0	28257	28257	0	0	0	0	0	109102	2000	137359	0	0	10331	0	0	96773	0	0	0	2	1231	0	0	0	-2	0	0	0	0	109102	
2328137																																							14459	9327	314	0	197005	1223	17363	5383	25706	601871	480823	5477	538359	0	4745	571	38857	0	63512	34206	601871	0	0	-9679	0	0	36793	3863	94970	385853	2	1231	0	331090	326345	2192	0	312	0	13202	63512	
2328285																																							0	82	471	9152	3975	0	28	0	837	16529	0	580	580	0	0	1984	0	0	15949	1500	16529	0	0	2217	0	0	12232	0	0	0	2	1231	0	0	0	0	0	0	0	0	15949	
2329200																																							1451	2382	272	2746	19919	0	181	2474	5250	101175	80427	744	90671	0	4211	0	9500	0	10504	2050	101175	0	0	5723	0	0	2050	0	8834	71593	1	1231	0	68158	63947	681	2553	0	0	0	10504	
2330895																																							7663	1841	0	12958	0	0	1468	0	1443	63117	55576	631	59009	0	286	0	2802	0	4108	150	63117	0	0	2108	0	0	1850	0	8900	46676	4	1231	0	35579	35293	0	2451	0	0	0	4108	
