"IDRSSD"	RCFD0071	RCFD0081	RCFD1754	RCFD1773	RCFD2130	RCFD2143	RCFD2145	RCFD2150	RCFD2160	RCFD2170	RCFD2930	RCFD2948	RCFD3000	RCFD3123	RCFD3190	RCFD3200	RCFD3210	RCFD3230	RCFD3300	RCFD3545	RCFD3548	RCFD3632	RCFD3656	RCFD3838	RCFD3839	RCFD5369	RCFD6724	RCFDA130	RCFDB528	RCFDB529	RCFDB530	RCFDB989	RCFDB995	RCFDG105	RCFDJA22	RCFN2200	RCFN6631	RCFN6636	RCON0071	RCON0081	RCON1754	RCON1773	RCON2130	RCON2143	RCON2145	RCON2150	RCON2160	RCON2170	RCON2200	RCON2930	RCON2948	RCON3000	RCON3123	RCON3190	RCON3200	RCON3210	RCON3230	RCON3300	RCON3545	RCON3548	RCON3632	RCON3656	RCON3838	RCON3839	RCON5369	RCON6631	RCON6636	RCON6724	RCON8678	RCONA130	RCONB528	RCONB529	RCONB530	RCONB987	RCONB989	RCONB993	RCONB995	RCONG105	RCONJA22	
	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	INTANGIBLE ASSETS	PREMISES&FIXED ASSETS(INCL CAP LSES)	OTHER REAL ESTATE OWNED	OTHER ASSETS	TOTAL ASSETS	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ALLL_AMT	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	DIRECT INDIRECT INV IN RE	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	AUDIT INDICATOR	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	TOT EQT CAP INC NONCTRL MINORITY INT	Equity securities with readily deter	TOTAL DEPOSITS	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	INTANGIBLE ASSETS	PREMISES&FIXED ASSETS(INCL CAP LSES)	OTHER REAL ESTATE OWNED	OTHER ASSETS	TOTAL ASSETS	TOTAL DEPOSITS	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ALLL_AMT	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	DIRECT INDIRECT INV IN RE	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	AUDIT INDICATOR	FISCAL YEAR END	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	FEDERAL FNDS SOLD	SECURS PURCHSD UDR AGRMNTS TO RESELL	FEDERAL FNDS PURCD IN DOMESTIC OFFCS	SECURS SOLD UNDR AGRMNTS TO REPURCH	TOT EQT CAP INC NONCTRL MINORITY INT	Equity securities with readily deter	
37																																							6091	2064	0	42861	0	0	278	74	1085	74967	59910	244	60154	0	997	0	0	14813	1200	74967	0	0	10711	0	0	3500	0	13791	46119			0	23511	22514	-598	0	0	0	0	14813		
242																																							2665	1276	0	13511	0	0	259	8	421	43056	33835	41	38177	0	188	4100	0	4879	120	43056	0	0	4763	0	0	120	0	9133	24702			0	25104	24916	-124	0	0	201	0	4879		
279																																							13839	4189	39313	13975	0	948	6303	24	8008	251705	197749	744	222032	0	973	23539	0	29673	1	251705	0	0	29913	0	0	0	0	24481	173268			0	159603	158630	-241	6476	0	0	0	29673		
354																																							1185	373	499	1140	0	0	56	0	154	9703	8357	8	8365	0	136	0	0	1338	100	9703	0	0	309	0	0	936	0	2933	5424			0	5324	5188	-7	1108	0	0	0	1338		
457																																							516	1208	42	248	0	0	308	31	1413	50913	39842	165	45507	0	453	5500	0	5406	60	50913	0	0	1406	0	0	3940	0	7272	32570			0	44815	44362	0	2785	0	0	0	5406		
505																																							2538	6294	0	71992	0	1655	10180	0	14347	531968	419911	4264	484905	55	5652	60730	0	47008	6480	531968	0	0	26661	0	0	18403	0	77794	342118			0	430614	424962	-4536	0	0	0	0	47063	0	
1155																																							15444	11955	18	23807	0	0	4171	980	7288	253168	228471	2274	230745	0	3413	0	0	22423	1600	253168	0	0	16213	0	0	4900	442	26962	201509			0	187905	184492	-290	4571	0	0	0	22423	0	
1351																																							0	4971	42510	4944	0	0	4639	275	1874	159344	133093	483	133576	0	1200	0	0	25768	240	159344	0	0	25143	0	0	530	0	19869	113224			0	96911	95711	-145	4420	0	0	0	25768		
1454																																							127098	15244	0	387442	0	0	3763	0	13753	809986	724573	4214	728787	0	3384	0	0	81199	1000	809986	0	0	87288	0	0	1214	652	208545	516028			0	265418	262034	-8303	0	0	0	0	81199		
