"IDRSSD"	RCON0352	RCON2202	RCON2203	RCON2210	RCON2213	RCON2215	RCON2216	RCON2236	RCON2343	RCON2365	RCON2377	RCON2385	RCON2520	RCON2530	RCON5590	RCON6648	RCON6810	RCON6835	RCONA241	RCONA243	RCONA579	RCONA580	RCONA581	RCONA582	RCONA584	RCONA585	RCONA586	RCONA587	RCONB549	RCONB550	RCONB551	RCONB552	RCONF233	RCONJ472	RCONJ473	RCONJ474	RCONK219	RCONK220	RCONK221	RCONK222	RCONK223	
	OTH NONTRANSACTION SAVINGS DEPOSITS	TOT TRANSACTION ACCTS-US GOVERNMENT	TOT TRANSACT ACCTS-STS&POL SUB IN US	TOTAL DEMAND DEPOSITS	TOT TRANS ACCTS-BKS IN FGN COUNTRIES	TOTAL TRANSACTIONS ACCOUNTS	TOT TRANS ACCTS-FGN GOVTS&OFFCL INST	NONTRANS DPS OF BKS IN FGN COUNTRIES	BROKERED DEPS LT 100000	TOTAL BROKERED DEPOSITS	TOT NONTRANS ACCTS-FGN GOVTS&OFFCL I	TOTAL NONTRANSACTION ACCOUNTS	TOT NONTRANSACTION ACCTS-US GOVT	TOT NONTRANSACTION ACCTS-STS&POL SUB	PREFERRED DEPOSITS	TIME DEPOSITS LT 100000	AMT OUTSTDG IN MONEY MARKET DEP ACCT	IRA AND KEOGH PLAN ACCOUNTS	TM DEPS LT 100000 MAT LESS 1 YR	BROKERED DEPS LT 100000 MAT LE 1 YR	TM DEPS LT 100000 MAT/REPRCE LE 3 MO	TM DEPS LT 100000 MAT/REPRCE 3-12 MO	TM DEPS LT 100000 MAT/REPRCE 1-3 YR	TM DEPS LT 100000 MAT/REPRCE GT 3 YR	TM DEPS GE 100000 MAT/REPRCE LE 3 MO	TM DEPS GE 100000 MAT/REPRCE 3-12 MO	TM DEPS GE 100000 MAT/REPRCE 1-3 YR	TM DEPS GE 100000 MAT/REPRCE GT 3 YR	TRANSACTION ACCTS: IPC DEPOSITS	NONTRANSACTION ACCTS: IPC DEPOSITS	TRANSACTION ACCT: CB'S & DI'S IN U.S	NONTRANSACT ACCT: CB'S & DI'S IN U.S	IRA KEOGH IN MEM ITEM 2.C	BROKERED DEPS LT 100K GE 250K	TIME DEPOSITS EQ 100K LE 250K	TIME DEPOSITS GT 250K	BRKRD DEP 100000 - 250000 MAT LE 1 Y	BRKRD DEP GT 250000 MAT LE 1 YR	TIME DEP 100000 - 250000 MAT LE 1 YR	TIME DEP GT 250000 MAT LE 1 YRDEP	EST DEP LISTING SERVICE NOT BROKERED	
37	7083	0	4315	10844	0	20623	0	0	0	0	0	46873	0	265	4379	25992	2936	4569	15087	0	5724	9363	7466	3439	2718	4208	3083	853	16308	46608	0	0	448	0	10524	338	0	0	6588	338	0	
242	4176	0	496	7042	0	12192	0	0	0	0	0	16915	0	3234	199	5390	3333	1756	3680	0	1375	2305	1357	353	1798	1553	415	250	11696	13681	0	0	247	0	1766	2250	0	0	1101	2250	0	
279	22887	0	0	8188	0	25140	0	0	0	0	0	90729	0	0	0	30995	3879	12308	20431	0	7907	12524	8854	1710	5863	13185	12305	1615	25140	90729	0	0	4272	0	28832	4136	0	0	17134	1914	0	
354	1256	0	133	2869	0	2869	0	0	0	0	0	6100	0	885	489	2632	1705	0	2632	0	890	1742	0	0	207	300	0	0	2736	5215	0	0	0	0	507	0	0	0	507	0	0	
457	5474	0	531	5341	0	8354	0	0	0	0	0	28179	0	1585	1021	8894	10824	2492	6671	0	2502	4169	1755	468	667	1638	682	0	7823	26594	0	0	450	0	2987	0	0	0	2305	0	0	
505	139545	1	5326	13167	0	23231	0	0	130	842	0	312942	0	95366	92237	27337	131366	6120	22006	130	6228	15778	4748	583	4309	8678	1607	100	17904	217576	0	0	1480	712	11445	3249	712	0	9738	3249	0	
1155	937	11	3179	26671	0	108426	0	0	0	0	0	75168	0	1872	3227	39438	12499	12940	23134	0	21607	10834	5446	1551	11997	6717	2577	1003	105228	73296	8	0	4941	0	17158	5136	0	0	9770	3911	0	
1351	4388	0	10629	15598	0	30939	0	0	0	0	0	108469	0	6245	15572	46135	19433	9798	35442	0	11214	24228	10693	0	7372	21085	10056	0	20310	102224	0	0	3797	0	28703	9810	0	0	21808	6649	0	
1454	1055	0	15704	156928	0	287182	0	0	0	0	0	309247	940	25502	31576	49088	201097	25838	28724	0	15382	15990	13794	3922	34825	13087	7882	2213	271478	282805	0	0	8003	0	19441	38566	0	0	13271	9808	0	
1557	10375	0	3301	24597	0	34789	0	0	0	0	0	28176	0	2184	3065	10722	2958	1733	6414	0	2436	3978	3296	1012	646	1860	1615	0	31488	25992	0	0	121	0	2764	1357	0	0	1686	300	0	
1669	21161	15	14272	44210	0	95811	0	0	0	0	0	106107	0	350	14622	37581	26295	10840	28021	0	13344	15624	5799	2814	7304	7728	4421	1617	81448	105717	76	40	2194	0	16929	4141	0	0	11759	0	0	
1829	47423	0	9	97129	0	119630	0	0	45	257	0	212364	0	2652	2539	58458	77475	20137	26870	0	7976	18894	18404	13183	4952	5341	8791	9926	119621	209712	0	0	7292	212	20746	8264	0	0	6011	3922	0	
1856	1163	0	832	3323	0	5227	0	0	23558	23558	0	75672	0	214	0	47191	2217	0	15731	19200	3726	12006	19200	12260	0	6326	18276	499	4395	32980	0	42478	0	0	25101	0	0	0	6326	0	41535	
2040	13925	9	1811	20173	0	44531	0	0	22328	55752	0	132676	0	7240	854	35454	76783	5872	10985	4597	2117	8868	21233	3236	658	2526	2390	940	42711	125259	0	177	1143	33424	5916	598	33424	0	3036	0	0	
2161	21028	0	2625	23631	0	53359	0	0	0	0	0	53539	0	498	1013	12391	6463	7662	10409	0	2834	7575	1480	501	3727	8482	1448	0	50734	53041	0	0	0	0	8862	4795	0	0	8083	4126	0	
2376	529024	0	28124	21076	0	72683	0	0	22888	22888	0	1410473	0	137269	158688	279407	424280	66197	192754	0	69870	125376	67721	16440	45043	86474	40263	5982	44559	1273204	0	0	20348	0	139931	37831	0	0	99663	28633	0	
2554	2051	0	166	50	0	6968	0	0	0	0	0	5864	38	418	0	3297	0	1	2515	0	719	1796	696	87	203	312	0	0	6802	5408	0	0	0	0	515	0	0	0	515	0	0	
2732	54598	0	5559	87625	0	142321	0	0	0	0	0	303979	0	11298	16106	45613	69007	14415	35323	0	8904	27431	8017	1261	58927	69776	4935	1123	136762	292681	0	0	4324	0	38945	95816	0	0	32869	95833	0	
