"IDRSSD"	RIAD3584	RIAD3585	RIAD3588	RIAD3589	RIAD4266	RIAD4267	RIAD4605	RIAD4608	RIAD4617	RIAD4618	RIAD4627	RIAD4628	RIAD4635	RIAD4638	RIAD4643	RIAD4644	RIAD4645	RIAD4646	RIAD4652	RIAD4655	RIAD4662	RIAD4665	RIAD5409	RIAD5410	RIAD5411	RIAD5412	RIADB512	RIADB513	RIADB514	RIADB515	RIADC217	RIADC218	RIADC234	RIADC235	RIADC388	RIADC880	RIADC891	RIADC892	RIADC893	RIADC894	RIADC895	RIADC896	RIADC897	RIADC898	RIADF185	RIADF187	RIADF188	RIADK129	RIADK133	RIADK205	RIADK206	
	CHG-OFFS ON LNS SECURED BY FARMLAND	RECVRS ON LNS SECURED BY FARMLAND	CHG-OFFS ON LNS SECD BY MULTI-FAMILY	RECVRS ON LNS SECD BY MULTI-FMLY RES	CHG-OFF ON LS FINANCING RECEIVABLES	RECOV ON LEASE FINANCING RECEIVABLES	RECOVERIES CREDITED TO RESERVES	RECOVERIES ON C&I LOANS	RECOV ON C & I LNS-U.S. ADDRESSES	RECOV ON C & I LNS-NON-U.S. ADDRES	RECOV ON LNS TO FGN GOVTS & INST	RECOV ON ALL OTHER LOANS	LOSSES CHARGED TO RESERVE	CHARGE-OFFS ON C&I LOANS	CHG-OFFS ON LNS TO FGN GOVTS & INST	CHG-OFFS ON ALL OTHER LOANS	CHG-OFFS ON C&I LNS-U.S. ADDRESSES	CHG-OFFS ON C&I LNS-NON-U.S. ADDRES	CHRGE-OFFS ON R.E. LNS-NON U.S. ADDR	CHARGE-OFFS ON LOANS TO FARMERS	RECOV ON R.E. LOANS-NON U.S. ADDRESS	RECOVERIES ON LOANS TO FARMERS	CHG-OFFS OF LNS TO FINC COMMCL RE,CO	RECOVERS OF LNS TO FINC COMMCL RE,CO	CHG-OFFS OF RVLVG,OPEN-END LNS SECD	RECOVERS OF RVLVG,OPEN-END LNS SECD	CHRG-OFF ON LOANS IN FOREIGN OFFICES	RECVRS ON LOANS IN FOREIGN OFFICES	CHARGE-OFFS ON: CREDIT CARDS LOANS	RECOVERIES ON CREDIT CARDS LOANS	RCVRS ON CLSD-ED LNS:SECD FRST LIENS	RCVRS ON CLSD-ED LNS:SECURD JR LIENS	CHRG-OFFS CLSD-END:SECURED 1ST LIENS	CHRG-OFFS CLSD-END:SECURED JR LIENS	UNCOLLBLE CRED CRD FEE&FIN CHGS	CHARGE-OFFS ALL OTHR LEASE FNC RECVB	1-4 FAM RES CNSTRTN LN CHARGE-OFFS	1-4 FAM RES CNSTRTN LN RECOVERIES	OTHR CNSTRCTN LN & LAND DEV CHARGE-O	OTHR CNSTRCTN LN & LAND DEV RECOVERI	LN SCD BY OWNER-OCCPD NONFARM CHARGE	LN SCD BY OWNER-OCCPD NONFARM RECOVE	LN SCD BY OTHR NONFARM NONRES CHARGE	LN SCD BY OTHR NONFARM NONRES RECOVE	CHG-OFF LEASE TO IND FOR HOME & FAM 	LEASE TO IND FOR HOUSE & OTHR EXP RE	RECOVERIES ALL OTHR LEASE FNC RCVBL	CHRG OFF AUTO LN	RCVRY AUTO LN	CHARGE-OFFS ALL OTHER	RECOVERIES ALL OTHER	
37	0	0	0	0	0	0	6	0				2	22	0		6							0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				10	3	6	1	
242	0	0	0	0	0	0	4	0				0	5	0		0				0		0	0	0	0	0			0	0	0	0	4	0			0	0	0	0	0	0	0	0				1	3	0	1	
279	0	0	0	0	0	0	5	0				4	35	0		25							0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	10	1	
354	0	0	0	0	0	0	18	0				2	50	43		7				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	14	0	2	
457	0	0	0	0	0	0	8	0				0	59	0		26				0		0	0	0	0	0			0	0	0	0	0	0			31	0	0	0	0	0	0	0				0	0	2	8	
505	0	0	0	0	0	0	43	33				0	215	100		10				0		0	0	0	0	0			0	0	5	0	73	0			0	0	1	0	0	0	0	0				6	2	25	3	
1155	0	0	0	0	0	0	49	14				6	74	0		23							0	0	0	0			13	0	5	0	0	0			0	0	0	4	0	12	0	0				0	0	38	8	
1351	0	0	0	0	0	0	73	33				1	606	314		19				19		1	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				59	20	214	19	
1454	0	0	0	0	0	0	65	22				20	110	15		65				0		6	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				25	10	5	13	
1669	0	0	0	0	0	0	36	0				2	279	22		23							0	0	0	0			0	0	1	0	41	0			0	0	0	0	0	0	0	0				40	9	153	24	
1856	0	0	1163	0	0	0	2	2				0	1163	0		0							0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
2161	0	0	0	0	0	0	282	16				255	387	88		263				257		252	0	0	0	0			9	1	0	0	0	0			0	0	0	0	0	0	0	0				2	1	25	9	
2732	0	0	0	0	0	0	35	33				0	0	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	2	0	0	
2750	207	4	0	0	0	0	7	0				0	251	0		43				43		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	1	3	
3252	2	3	0	0	0	0	545	185				190	2418	165		1817				1817		190	0	0	0	0			0	0	1	0	1	0			0	0	0	0	0	0	0	35				55	21	378	110	
3458	0	0	0	0	0	0	10	0				0	49	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				7	0	42	10	
3720	0	0	0	0	0	0	7	0				3	24	0		0				0		0	0	0	0	0			0	0	0	1	0	0			0	0	0	0	0	0	0	0				24	3	0	0	
3971	0	0	0	0	42	102	518	80				9	962	0		0				0		9	0	0	0	7			0	0	27	2	11	0			0	22	0	3	82	2	0	0				0	0	827	264	
4156	51	51	0	0	0	0	124	53				7	520	266		203				203		7	0	0	0	0			0	0	8	3	0	0			0	0	0	0	0	0	0	0				0	1	0	1	
4231	0	0	0	0	0	0	15	0				0	103	1		0							0	0	0	0			0	0	0	0	83	0			0	0	0	0	0	0	0	0				11	3	8	12	
5069	0	0	0	0	0	0	0	0				0	9840	0		0				0		0	0	0	0	0			0	0	0	0	0	0			9840	0	0	0	0	0	0	0				0	0	0	0	
5135	530	0	0	0	0	0	80	48				0	1317	84		495				495		0	0	0	0	0			2	1	20	0	43	0			0	0	0	0	79	0	0	0				14	3	70	8	
5210	0	0	0	0	0	0	188	49				17	917	59		104				0		0	0	0	301	12			0	0	36	1	127	46			0	0	0	0	78	5	0	5				0	0	202	63	
5461	0	0	0	0	0	0	40	2				0	192	106		0				0		0	0	0	0	0			0	0	16	0	25	0			0	0	0	0	11	0	29	10				0	0	21	12	
