"IDRSSD"	RCONC223	RCONC224	RCONC968	RCONC969	RCONC970	RCONC971	RCONC972	RCONC973	RCONC974	RCONC975	RCONC978	RCONF164	RCONF165	RCONG401	RCONG402	RCONG403	RCONG404	RCONG405	RCONG406	RCONG407	RCONG408	RCONG409	RCONG410	RCONG411	RCONG412	RCONG413	RCONG414	RCONG415	RCONG416	RCONG417	RCONG418	RCONG419	RCONG420	RCONG421	RCONG422	RCONG423	RCONG424	RCONG425	RCONG426	RCONG427	RCONG428	RCONG429	RCONG430	RCONG431	RCONG432	RCONG433	RCONG434	RCONG435	RCONG436	RCONG437	RCONG438	RCONG439	RCONG440	RCONG441	RCONG442	RCONG443	RCONG444	RCONG445	RCONG446	RCONG447	RCONG448	RCONG449	RCONG450	RCONG451	RCONG452	RCONG453	RCONG454	RCONG455	RCONG456	RCONG457	RCONG458	RCONG459	RCONG460	RCONG461	RCONG462	RCONJ455	RCONJ456	RCONJ457	RCONJ458	RCONJ459	RCONJ477	RCONJ478	TEXT3555	TEXT3556	TEXT3557	TEXT5592	TEXT5593	TEXT5594	TEXT5595	
	Y-T-D MERCH CR CRD SALES VOL:ACQG BK	Y-T-D MERCH CR CRD SALES VL:BK W/RSK	CR DRIVTS:NTNL AMTS-CRD DEFLT SWAPS-	CR DRIVTS:NTNL AMTS-CRD DEFLT SWAPS-	CR DRIVTS:NTNL AMTS-TOT RETRN SWAPS-	CR DRIVTS:NTNL AMTS-TOT RETRN SWAPS-	CRD DERIVTS:NOTL AMTS-CRD OPTIONS-GU	CRD DERIVTS:NOTL AMTS-CRDIT OPTIONS-	CRD DERIVTS:NOTL AMTS-OT CR DERIVTS-	CRD DERIVTS:NOTL AMTS-OT CR DERIVTS-	STNDBY LTRS OF CRD ISSD BY FHLB BK B	1-4  FAM RES CNSTRCTN LN COMMITMNTS	CMRL RE OTHR CNSTRCTN LN & LND DEV L	NTL AMT REG CAP CVRD MRR SL PRTC	NTL AMT REG CAP CVRD MRR PURC PRTC	NTL AMT REG CAP OTHR SL PRTC	NTL AMT REG CAP OTHR PRTC REG CAP	NTL REG CAP OTHR PRTC NOT REG CAP	NTL SL CR PRTC INV MAT LE 1 YR.	NTL SL CR PRTC INV MAT 1T5 YR	NTL SL CR PRTC INV MAT GT 5 YR	NTL SL CR PRTC SUBINV MAT LE 1 YR.	NTL SL CR PRTC SUBINV MAT 1T5 YR	NTL SL CR PRTC SUBINV MAT GT 5 YR	NTL PURC CR PRTC INV MAT LE 1 YR.	NTL PURC CR PRTC INV MAT 1T5 YR	NTL PURC CR PRTC INV MAT GT 5 YR	NTL PURC CR PRTC SUBINV MAT LE 1 YR.	NTL PURC CR PRTC SUBINV MAT 1T5 YR	NTL PURC CR PRTC SUBINV MAT GT 5 YR	OTC DRVT CR EXP BK & SCTY FIRM	OTC DRVT CR EXP MONO FNC GUAR	OTC DRVT CR EXP HEDGE FUNDS	OTC DRVT CR EXP SOVEREIGN GOVT	OTC DRVT CR EXP CORP OTHR CNTRPRTY	OTC FV CSH USD BK & SCTY FIRM	OTC FV CSH USD MONO FNC GUAR	OTC FV CSH USD HEDGE FUNDS	OTC FV CSH USD SOVEREIGN GOVT	OTC FV CSH USD CORP OTHR CNTRPRTY	OTC FV CSH OTHR CUR BK & SCTY FIRM	OTC FV CSH OTHR CUR MONO FNC GUAR	OTC FV CSH OTHR CUR HEDGE FUNDS	OTC FV CSH OTHR CUR SOVEREIGN GOVT	OTC FV CSH OTHR CUR CORP OTHR CNTRPR	OTC FV US TREAS SCTY BK & SCTY FIRM	OTC FV US TREAS SCTY MONO FNC GUAR	OTC FV US TREAS SCTY HEDGE FUNDS	OTC FV US TREAS SCTY SOVEREIGN GOVT	OTC FV US TREAS SCTY CORP OTHR CNTRP	OTC FV USGOV AGCY BK & SCTY FIRM	OTC FV USGOV AGCY MONO FNC GUAR	OTC FV USGOV AGCY HEDGE FUNDS	OTC FV USGOV AGCY SOVEREIGN GOVT	OTC FV USGOV AGCY CORP OTHR CNTRPRTY	OTC FV CORP BONDS BK & SCTY FIRM	OTC FV CORP BONDS MONO FNC GUAR	OTC FV CORP BONDS HEDGE FUNDS	OTC FV CORP BONDS SOVEREIGN GOVT	OTC FV CORP BONDS CORP OTHR CNTRPRTY	OTC FV EQUITY SCTY BK & SCTY FIRM	OTC FV EQUITY SCTY MONO FNC GUAR	OTC FV EQUITY SCTY HEDGE FUNDS	OTC FV EQUITY SCTY SOVEREIGN GOVT	OTC FV EQUITY SCTY CORP OTHR CNTRPRT	OTC FV OTHR CLTRL BK & SCTY FIRM	OTC FV OTHR CLTRL MONO FNC GUAR	OTC FV OTHR CLTRL HEDGE FUNDS	OTC FV OTHR CLTRL SOVEREIGN GOVT	OTC FV OTHR CLTRL CORP OTHR CNTRPRTY	OTC FV TOTAL FV CLTRL BK & SCTY FIRM	OTC FV TOTAL FV CLTRL MONO FNC GUAR	OTC FV TOTAL FV CLTRL HEDGE FUNDS	OTC FV TOTAL FV CLTRL SOVEREIGN GOVT	OTC FV TOTAL FV CLTRL CORP OTHR CNTR	UNUSED CNSMR CR CARD LINE	OTHR UNUSED CNSMR CR CARD LINE	OTHR UNUSED CMTMT CMRL IND LN	OTHR UNUSED CMTMT LN FNCL INST	OTHR UNUSED CMTMT ALL OTHR	UNUSED CMTMT HECM REVERSE MTG	UNUSED CMTMT PROPRIETARY REVERSE MTG	1ST CP OF OT OFF BALANCE SHEET LIABI	2ND CP OF OT OFF BALANCE SHEET LIABI	3RD CP OF OT OFF BALANCE SHEET LIABI	1ST ITMZD&DESCRPTN LINE CPNT OF 5591	2ND ITMZD&DESCRPTN LINE CPNT OF 5591	3RD ITMZD&DESCRPTN LINE CPNT OF 5591	4TH ITMZD&DESCRPTN LINE CPNT OF 5591	
37	0	0	0	0	0	0	0	0	0	0	0	387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																0	0	372	0	0								
242	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																0	0	2309	0	0								
279	0	0	0	0	0	0	0	0	0	0	0	506	442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																1383	0	686	0	0								
354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																0	0	50	0	0								
457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																949	0	2527	0	0								
505	0	0	0	0	0	0	0	0	0	0	16000	1236	4313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																														0	0	5884	68	4622	0	0								
1155	0	0	0	0	0	0	0	0	0	0	0	495	1877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																8616	0	3009	0	0								
1351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																2962	0	1790	0	0								
1454	0	0	0	0	0	0	0	0	0	0	0	430	3797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																														0	0	19278	0	6763	0	0								
1557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																0	0	8192	0	0								
1669	0	4059	0	0	0	0	0	0	0	0	0	1005	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																1827	0	338	0	0								
1829	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																														3518	0	12316	0	16225	0	0								
1856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																229	0	46	0	0								
2040	0	0	0	0	0	0	0	0	0	0	0	0	2625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																4506	0	3755	0	0								
2161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																2572	0	1926	0	0								
2376	0	0	0	0	0	0	0	0	0	0	0	1640	118698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																														0	0	0	0	1948	0	0								
2554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																0	0	1111	0	0								
2732	0	0	0	0	0	0	0	0	0	0	0	2075	15685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																														0	0	29383	0	1197	0	0								
2750	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																256	0	8856	0	0								
3177	0	0	0	0	0	0	0	0	0	0	0	5852	11014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																														0	0	9641	0	29	0	0								
3252	0	0	0	0	0	0	0	0	0	0	4000	0	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																3982	0	9474	0	0								
3458	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																104	0	359	0	0								
3720	0	0	0	0	0	0	0	0	0	0	5000	592	1230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																1225	0	9279	0	0								
3971	0	0	0	0	0	0	0	0	0	0	0	0	14513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																														0	0	6986	0	26462	0	0								
4156	0	0	0	0	0	0	0	0	0	0	0	25	1341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																3543	0	6478	0	0								
4231	0	0	0	0	0	0	0	0	0	0	0	0	876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																2145	0	1961	0	0								
4437	0	0	0	0	0	0	0	0	0	0	0	0	3242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																2849	0	3064	0	0								
4839	0	0	0	0	0	0	0	0	0	0	0	3618	10503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																														0	0	1848	1901	2239	0	0								
5005	0	0	0	0	0	0	0	0	0	0	0	0	1715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																														0	0	5472	0	358	0	0								
5069	0	0	0	0	0	0	0	0	0	0	0	2850	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																														0	0	505	0	365	0	0								
5135	0	0	0	0	0	0	0	0	0	0	0	263	2540	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																														1001	420	4444	0	36275	0	0								
5210	0	0	0	0	0	0	0	0	0	0	0	796	26463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																														0	0	26782	0	20976	0	0								
5461	0	0	0	0	0	0	0	0	0	0	0	176	4637	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																														0	0	11793	0	15129	0	0								
5751	0	0	0	0	0	0	0	0	0	0	0	245	931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																4321	0	15679	0	0								
6039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																271	0	1981	0	0								
6141	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																0	0	613	0	0								
6329	0	0	0	0	0	0	0	0	0	0	0	1990	1890	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																														2875	516	4971	0	11787	0	0								
7009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																														0	0	0	0	0	0	0								
7045	0	0	0	0	0	0	0	0	0	0	0	243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																510	0	1569	0	0								
7072	0	0	0	0	0	0	0	0	0	0	0	508	841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																314	0	4210	0	0								
7157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																0	0	0	0	0								
7456	0	0	0	0	0	0	0	0	0	0	0	211	670	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																4751	0	6907	0	0								
7634	0	0	0	0	0	0	0	0	0	0	0	0	268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																57	0	180	0	0								
8033	0	0	0	0	0	0	0	0	0	0	0	5615	4065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																2820	0	5600	0	0								
8462	0	2307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																1012	0	3335	0	0								
8631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																1410	0	0	0	0								
9357	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																														0	0	141463	15592	1882	0	0								
9553	0	0	0	0	0	0	0	0	0	0	0	379	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																2267	0	24366	0	0								
9807	0	0	0	0	0	0	0	0	0	0	0	102674	55323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																														0	0	7913	0	7646	0	23306								
9955	0	0	0	0	0	0	0	0	0	0	0	0	544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																3282	0	10315	0	0								
10250	0	0	0	0	0	0	0	0	0	0	0	0	5552	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																														348	292	22908	0	1305	0	0								
10849	0	0	0	0	0	0	0	0	0	0	0	2271	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																														0	0	0	0	6474	0	0								
10858	0	0	0	0	0	0	0	0	0	0	0	786	5845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																														0	0	20489	0	29877	0	0								
11145	0	0	0	0	0	0	0	0	0	0	0	486	7259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																1344	0	3640	0	0								
11275	0	0	0	0	0	0	0	0	0	0	76864	14096	63888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																														0	0	122434	0	135665	0	0								
11640	0	0	0	0	0	0	0	0	0	0	0	1079	2118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																														0	0	5697	0	29156	0	0								
11837	0	0	0	0	0	0	0	0	0	0	0	0	404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																12	0	637	0	0								
12030	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																														0	0	936	0	6084	0	0								
12142	0	0	0	0	0	0	0	0	0	0	0	678	3965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																6847	0	1024	0	0								
12179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																44	0	205	0	0								
12245	0	0	0	0	0	0	0	0	0	0	0	450	1578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																543	0	510	0	0								
12311																																																																																	0	0								
12647	0	0	0	0	0	0	0	0	0	0	0	613	6752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																0	0	2999	0	0								
12656	0	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																20	0	466	0	0								
12937	0	0	0	0	0	0	0	0	0	0	0	75	4853	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																3247	0	57	0	0								
12946	0	0	0	0	0	0	0	0	0	0	41700	2012	42114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																														129	84	30186	0	6562	0	0								
12955	0	0	0	0	0	0	0	0	0	0	0	2124	551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																6593	0	68	0	0								
13103	0	0	0	0	0	0	0	0	0	0	0	20009	9419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																														0	0	44606	0	16052	0	0								
13251	1244	0	0	0	0	0	0	0	0	0	0	32	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																100	0	353	0	0								
13457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																245	0	3714	0	0								
14052	0	0	0	0	0	0	0	0	0	0	0	0	442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																626	0	212	0	0								
14155	0	0	0	0	0	0	0	0	0	0	0	362	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																234	0	5225	0	0								
14650	0	427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																4	0	179	0	0								
14753	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																326	0	4188	0	0								
14865	0	0	0	0	0	0	0	0	0	0	0	786	3340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																7330	0	29345	0	0								
14977	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																0	0	10456	0	0								
16458	0	0	0	0	0	0	0	0	0	0	0	954	4977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																7394	0	13739	0	0								
16551	0	0	0	0	0	0	0	0	0	0	0	640	1766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																4290	0	1195	0	0								
16748	0	0	0	0	0	0	0	0	0	0	0	396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																1074	0	2816	0	0								
16944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																130	0	0	0	0								
16953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																0	0	0	0	0								
17110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																5093	0	43137	0	0								
17147	0	0	0	0	0	0	0	0	0	0	0	2637	99969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																														0	0	432190	0	139798	0	0								
17259	0	0	0	0	0	0	0	0	0	0	0	104	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																0	0	884	0	0								
17464	0	0	0	0	0	0	0	0	0	0	0	0	22319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																														14474	8373	53070	0	121726	0	0								
17950	0	0	0	0	0	0	0	0	0	0	0	2588	3009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																4995	0	5252	0	0								
17978	0	0	0	0	0	0	0	0	0	0	17500	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																														0	0	0	0	0	0	0				COMMITMENTS TO ORIGINATE S/FAMILY 1ST Mtg. Loans	COMMT'S TO ORIGINATE M/FAMILY 1ST MTG> LOANS			
18050	0	5199	0	0	0	0	0	0	0	0	0	1603	7125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																														0	0	1459	0	1519	0	0								
18135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																2501	0	135	0	0								
18377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																0	0	100	0	0								
18827	0	0	0	0	0	0	0	0	0	0	0	2332	1533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																														0	0	3704	0	0	0	0								
18836	0	0	0	0	0	0	0	0	0	0	0	0	1206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																348	0	920	0	0								
18854	0	0	0	0	0	0	0	0	0	0	17395	5715	655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																29979	0	4013	0	0								
19356	0	0	0	0	0	0	0	0	0	0	0	615	765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																585	0	26	0	0								
19730	0	0	0	0	0	0	0	0	0	0	0	9524	34039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																														0	0	120456	18610	12830	0	0								
19936	0	0	0	0	0	0	0	0	0	0	0	319	2157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																8625	0	902	0	0								
19972	0	0	0	0	0	0	0	0	0	0	0	453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																0	0	0	0	0								
20053	0	370	0	0	0	0	0	0	0	0	0	797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																823	0	2529	0	0								
20512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																245	0	0	0	0								
20633	0	0	0	0	0	0	0	0	0	0	0	657	2603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																														0	0	2439	0	2081	0	0								
20857	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																6166	0	14082	0	0								
21256	0	0	0	0	0	0	0	0	0	0	600	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																53	0	47	0	0								
21359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																512	0	984	0	0								
21630	0	0	0	0	0	0	0	0	0	0	0	853	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																2278	0	0	0	0								
21658	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																1528	0	3911	0	0								
22048	0	0	0	0	0	0	0	0	0	0	0	372	3849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																3578	0	1133	0	0								
22543	0	0	0	0	0	0	0	0	0	0	0	1060	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																2078	0	1154	0	0								
22552	0	0	0	0	0	0	0	0	0	0	0	15	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																4892	0	6831	0	0								
22730	0	0	0	0	0	0	0	0	0	0	0	72	1393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																3045	0	888	0	0								
22936	0	0	0	0	0	0	0	0	0	0	0	416	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																														0	0	3040	0	5839	0	0								
