"IDRSSD"	RCFD2221	RCFD3210	RCFD3792	RCFD4336	RCFD5306	RCFD5310	RCFD5311	RCFD5610	RCFD7204	RCFD7205	RCFD7206	RCFD7273	RCFD7274	RCFD7275	RCFD8274	RCFD8275	RCFD8434	RCFDA221	RCFDB503	RCFDB504	RCFDB505	RCFDB588	RCFDB589	RCFDB590	RCFDB591	RCFDB592	RCFDB593	RCFDB594	RCFDB595	RCFDC227	RCFDC228	RCFDF264	RCFDL136	RCFDL137	RCFDL138	RCON2221	RCON3210	RCON3792	RCON4336	RCON5306	RCON5310	RCON5311	RCON5610	RCON7204	RCON7205	RCON7206	RCON7273	RCON7274	RCON7275	RCON8274	RCON8275	RCON8434	RCONA221	RCONB503	RCONB504	RCONB505	RCONB588	RCONB589	RCONB590	RCONB591	RCONB592	RCONB593	RCONB594	RCONB595	RCONC227	RCONC228	RCONF264	RCONL136	RCONL137	RCONL138	
	UNREALIZED GAINS ON A-F-S EQUITY SEC	TOTAL EQUITY CAPITAL	TOTAL RISK-BASED CAPITAL	ACCMLTD NT GN(LOSS) ON CSH FLW HDGS	QUALIFYING SUBORDINATED DEBT	ALLL INCLUDIBLE IN TIER2 CAPITAL	TIER 2 (SUPPLEMENTARY) CAPITAL	DEFRD TAX ASSETS DISALWD FOR REGLTRY	TIER 1 LEVERAGE CAPITAL RATIO	TOTAL RISK-BASED CAPITAL RATIO	TIER 1 RISK-BASED CAPITAL RATIO	TIER 1 LEVERAGE RATIO	TIER 1 RISK-BASED CAPITAL RATIO	TOTAL RISK-BASED CAPITAL RATIO	TIER 1 CPTL ALLWBL UNDR RISK-BASED	TIER 2 CPTL ALLWBL UNDR RISK-BASED	NET UNRELZD HLDG GAINS(LOSS) ON AVL	NET UNREAL LOSS ON AFS EQTY SEC	ADJSTMNT TO TOTL RSK-BASED CPTL	ADJUSTMENT TO RWA	ADJUSTMENT TO AVERAGE TOTAL ASSETS	NONQUALIFYING PERPETUAL PREFER STOCK	QUALIFYING MINORITY INT CONSOL SUBS	DISALLOWD GOODWILL&OTH INTANG ASSETS	DISALLOWD SERVICING ASSETS & PCCR'S	OTHER ADDITIONS(DEDUCT) FROM TIER1	CUMULATIVE PERPETUAL PREFERRED STOCK	OTHER TIER 2 CAPITAL COMPONENTS	DEDUCTIONS FOR TOTL RISK-BASED CAPTL	SUBTOTAL	ADJMNT TO TIER 1 CPTL	CUMULATIVE CHANGE IN FAIR VALUE	TOTAL ASSETS FOR LEVERAGE RATIO	OTHR ADD DED FOR LEVERAGE CAP PURP	TOTAL ASSETS LEVERAGE CAPITAL PURPOS	UNREALIZED GAINS ON A-F-S EQUITY SEC	TOTAL EQUITY CAPITAL	TOTAL RISK-BASED CAPITAL	ACCMLTD NT GN(LOSS) ON CSH FLW HDGS	QUALIFYING SUBORDINATED DEBT	ALLL INCLUDIBLE IN TIER2 CAPITAL	TIER 2 (SUPPLEMENTARY) CAPITAL	DEFRD TAX ASSETS DISALWD FOR REGLTRY	TIER 1 LEVERAGE CAPITAL RATIO	TOTAL RISK-BASED CAPITAL RATIO	TIER 1 RISK-BASED CAPITAL RATIO	TIER 1 LEVERAGE RATIO	TIER 1 RISK-BASED CAPITAL RATIO	TOTAL RISK-BASED CAPITAL RATIO	TIER 1 CPTL ALLWBL UNDR RISK-BASED	TIER 2 CPTL ALLWBL UNDR RISK-BASED	NET UNRELZD HLDG GAINS(LOSS) ON AVL	NET UNREAL LOSS ON AFS EQTY SEC	ADJSTMNT TO TOTL RSK-BASED CPTL	ADJUSTMENT TO RWA	ADJUSTMENT TO AVERAGE TOTAL ASSETS	NONQUALIFYING PERPETUAL PREFER STOCK	QUALIFYING MINORITY INT CONSOL SUBS	DISALLOWD GOODWILL&OTH INTANG ASSETS	DISALLOWD SERVICING ASSETS & PCCR'S	OTHER ADDITIONS(DEDUCT) FROM TIER1	CUMULATIVE PERPETUAL PREFERRED STOCK	OTHER TIER 2 CAPITAL COMPONENTS	DEDUCTIONS FOR TOTL RISK-BASED CAPTL	SUBTOTAL	ADJMNT TO TIER 1 CPTL	CUMULATIVE CHANGE IN FAIR VALUE	TOTAL ASSETS FOR LEVERAGE RATIO	OTHR ADD DED FOR LEVERAGE CAP PURP	TOTAL ASSETS LEVERAGE CAPITAL PURPOS	
37																																				0	18383	18882	0	0	553	553	0	0.2160	0.4308	0.4182	0.0000	0.0000	0.0000	18329	553	54	0	0	0	0	0	0	0	0	0	0	0	0	18329	0	0	84865	0	84865	
242																																				0	4855	4968	0	0	190	190	0	0.1125	0.1198	0.1152	0.0000	0.0000	0.0000	4778	190	77	0	0	0	0	0	0	0	0	0	0	0	0	4778	0	0	42463	0	42463	
279																																				0	26503	26997	0	0	716	716	0	0.1598	0.2742	0.2669	0.0000	0.0000	0.0000	26281	716	218	0	0	0	0	0	0	0	4	0	0	0	0	26285	0	0	164510	0	164506	
354																																				0	846	979	0	0	49	49	95	0.0928	0.2564	0.2436	0.0000	0.0000	0.0000	930	49	-179	0	0	0	0	0	0	0	0	0	0	0	0	1025	0	0	10117	0	10022	
457																																				0	4260	4733	0	0	474	474	0	0.098830	0.123962	0.111548	0	0	0	4259	474	1	0	0	0	0	0	0	0	0	0	0	0	0	4259	0	0	43094	0	43094	
505																																				0	35382	37900	-1395	0	3381	3381	0	0.085333	0.146582	0.133506	0.000000	0.000000	0.000000	34519	3381	1265	0	0	0	0	0	0	978	15	0	0	0	0	34534	0	0	405516	0	404523	
1155																																				0	19147	21001	0	0	1940	1940	0	0.086026	0.135736	0.123197	0.000000	0.000000	0.000000	19061	1940	86	0	0	0	0	0	0	0	0	0	0	0	0	19061	0	0	221573	0	221573	
1351																																				0	22740	24128	0	0	1337	1337	0	0.1407	0.2256	0.2131	0.0000	0.0000	0.0000	22791	1337	-51	0	0	0	0	0	0	0	0	0	0	0	0	22791	0	0	161984	0	161984	
1454																																				11	64121	70343	0	0	2967	2978	0	0.098948	0.235039	0.225089	0.000000	0.000000	0.000000	67365	2978	-3244	0	0	0	0	0	0	0	0	0	0	0	0	67365	0	0	680815	0	680815	
