"IDRSSD"	RCFDM708	RCFDM709	RCFDM710	RCFDM711	RCFDM712	RCFDM713	RCFDM714	RCFDM715	RCFDM716	RCFDM717	RCFDM719	RCFDM720	RCFDM721	RCFDM722	RCFDM723	RCFDM724	RCFDM725	RCFDM726	RCFDM727	RCFDM728	RCFDM729	RCFDM730	RCFDM731	RCFDM732	RCFDM733	RCFDM734	RCFDM735	RCFDM736	RCFDM737	RCFDM738	RCFDM739	RCFDM740	RCFDM741	RCFDM742	RCFDM743	RCFDM744	RCFDM745	RCFDM746	RCFDM747	RCFDM748	RCFDM749	RCFDM750	RCFDM751	RCONM708	RCONM709	RCONM710	RCONM711	RCONM712	RCONM713	RCONM714	RCONM715	RCONM716	RCONM717	RCONM719	RCONM720	RCONM721	RCONM722	RCONM723	RCONM724	RCONM725	RCONM726	RCONM727	RCONM728	RCONM729	RCONM730	RCONM731	RCONM732	RCONM733	RCONM734	RCONM735	RCONM736	RCONM737	RCONM738	RCONM739	RCONM740	RCONM741	RCONM742	RCONM743	RCONM744	RCONM745	RCONM746	RCONM747	RCONM748	RCONM749	RCONM750	RCONM751	
3458																																																																																							
3720																																																																																							
3971																																																																																							
4156																																																																																							
4231																																																																																							
4839																																																																																							
5069																																																																																							
5135																																																																																							
5210																																												0	0	35560	126	0	0	8360	60	481074	5168	3325	0	478	377	530004	3461	3203	0	1499	792	164304	2427	26	0	0	0	0	0	0	0	0	0	16337	749	0	0	816	10337	1229	1227279	12747	6554	0	
5461																																																																																							
5751																																																																																							
6039																																																																																							
6141																																																																																							
6329																																																																																							
7009																																																																																							
7045																																																																																							
7072																																																																																							
7456																																																																																							
7634																																																																																							
8033																																																																																							
8462																																																																																							
8631																																																																																							
9357																																																																																							
9553																																																																																							
9807																																												38648	1422	344714	5664	0	0	58427	0	945208	18035	0	0	0	0	362252	453	0	0	1476	0	57568	1893	0	0	0	0	0	0	0	0	0	0	955	10	0	0	2534	98551	1422	1710697	28589	0	0	
9955																																																																																							
10250																																																																																							
10849																																																																																							
11145																																																																																							
11640																																																																																							
11837																																																																																							
12030																																																																																							
12142																																																																																							
12179																																																																																							
12311	7219	238	1690057	19580	0	0	178769	5404	8524089	104424	17820	0	574822	7444	18499965	73945	3945	0	409844	24551	23967257	320236	19563	0	4329	1188	762172	49460	0	0	38354	1896	15263077	78572	0	0	0	1213337	40721	68706617	646217	41328	0																																												
12647																																																																																							
12656																																																																																							
12937																																																																																							
12946																																												313	75	90097	1128	0	0	1851	746	427651	4619	1205	0	1430	0	321781	4632	109	0	4918	2594	193484	3523	248	0	0	0	1194	41	0	0	34	0	29450	505	0	0	0	8546	3415	1063657	14448	1562	0	
13103																																												0	0	87221	1152	0	0	8771	75	487617	7325	0	0	0	0	673485	2581	0	0	2597	0	121996	2439	0	0	0	0	0	0	0	0	0	0	280326	1538	0	0	1	11368	75	1650645	15036	0	0	
13251																																																																																							
13457																																																																																							
14052																																																																																							
14155																																																																																							
14650																																																																																							
14753																																																																																							
14865																																																																																							
14977																																																																																							
16551																																																																																							
16748																																																																																							
17110																																																																																							
17147																																												95	0	610823	5163	1301	0	20914	567	2520766	21613	21011	0	3941	404	1471309	13133	1536	0	4776	666	2006371	29754	1421	0	0	0	573	0	0	0	5	0	86357	3732	0	0	0	29731	1637	6696199	73395	25269	0	
17259																																																																																							
17950																																																																																							
17978																																																																																							
18050																																																																																							
18135																																																																																							
18827																																												13	0	97707	606	0	0	5028	0	288217	1232	43	0	1527	88	342922	1365	0	0	2683	317	161519	1454	1414	0	0	0	0	0	0	0	0	0	48353	253	0	0	510	9251	405	938718	5420	1457	0	
18836																																																																																							
18854																																																																																							
19356																																																																																							
19936																																																																																							
19972																																																																																							
20053																																																																																							
20633																																																																																							
20857																																																																																							
21256																																																																																							
21359																																																																																							
21630																																																																																							
21658																																																																																							
22048																																																																																							
22543																																																																																							
22552																																																																																							
22730																																																																																							
22936																																																																																							
23456																																																																																							
23504																																												0	0	107213	740	0	0	11162	0	1875837	15569	2542	0	100	0	464723	2438	589	0	11230	1708	607755	11130	444	0	0	0	0	0	0	0	0	0	21157	122	0	0	0	22492	1708	3076685	29999	3575	0	
23643																																																																																							
23755																																																																																							
24006																																												4425	276	22456	202	0	0	3408	2	507173	2834	1411	0	3347	194	250447	281	1514	65	1175	75	39512	380	20	0	0	0	0	0	0	0	0	0	251	0	0	0	162	12355	547	819839	3859	2945	65	
24378																																																																																							
24453																																																																																							
24659																																																																																							
24668																																												0	0	114597	1088	0	0	0	0	211031	2239	0	0	0	0	311820	1614	0	0	0	0	413398	4503	0	0	0	0	0	0	0	0	0	0	14278	177	0	0	507	0	0	1065124	10128	0	0	
24949																																																																																							
25357																																																																																							
25647																																																																																							
26176																																																																																							
26242																																																																																							
26457																																																																																							
26765																																																																																							
27070																																																																																							
27548																																																																																							
27614																																																																																							
27847																																																																																							
28013																																												0	0	51821	609	0	0	17470	0	2530642	22570	6257	16	3456	79	461381	583	5188	762	159	4	51681	1270	11296	173	0	0	0	0	0	0	0	0	1468	94	0	0	0	21085	83	3096993	25126	22741	951	
28152																																																																																							
28255																																																																																							
28406																																												0	0	91654	1708	0	0	4744	0	812098	9584	0	0	7336	80	1000252	5694	0	0	0	0	269083	3473	0	0	0	0	0	0	0	0	202	1	21876	337	0	0	0	12282	81	2194963	20796	0	0	
28675																																																																																							
28732																																																																																							
29476																																																																																							
29636																																												0	0	25923	139	0	0	4093	396	195921	1049	0	0	303	46	104250	522	0	0	0	0	60053	751	0	0	0	0	1310	30	0	0	0	0	13557	86	0	0	0	4396	442	401014	2577	0	0	
29878																																												895	7	52661	271	0	0	7517	1348	406867	2230	0	0	34492	5273	1183854	4708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	1	0	0	573	42904	6628	1643459	7783	0	0	
30052																																																																																							
30502																																																																																							
30650																																																																																							
30810																																												0	0	0	0	0	0	0	0	0	0	0	0	1342	16	367489	3440	0	0	3	1	178661	2505	0	0	1315863	225914	65835053	1918675	0	0	244127	52775	14206173	381415	2083554	28448	0	1561335	278706	80587376	2306035	2083554	28448	
31134																																																																																							
31255																																																																																							
31657																																																																																							
31826																																																																																							
31835																																																																																							
32234																																																																																							
32766																																																																																							
32971																																																																																							
33147																																																																																							
33259																																																																																							
33268																																																																																							
33370																																																																																							
33839																																																																																							
33857																																																																																							
34425																																																																																							
34434																																																																																							
34452																																																																																							
34537																																												482	23	341530	1619	1121	0	8404	195	1621812	9090	9790	0	19094	1091	1014595	6040	5625	0	2450	1046	602377	6389	881	0	0	0	478	19	0	0	410	43	188327	1567	0	0	0	30840	2398	3769119	24724	17417	0	
34555																																																																																							
34742																																																																																							
35057																																																																																							
35301	0	0	0	0	0	0	0	0	97500	0	0	0	0	0	0	0	0	0	0	0	23162317	54146	0	0	0	0	0	0	0	0	0	0	166003	0	0	0	0	0	0	23425820	54146	0	0																																												
35570																																												0	0	433638	12040	0	0	42049	0	13073372	163420	6754	0	29552	1761	5475290	23110	1867	0	8862	0	729029	27007	0	0	0	0	0	0	0	0	261	14	290178	1360	173	0	2257	80724	1775	20001507	229194	8794	0	
35646																																																																																							
35879																																																																																							
36456																																																																																							
36933																																																																																							
37051																																																																																							
37341																																																																																							
37435																																												345	0	99917	999	0	0	2814	0	207380	2227	0	0	1742	54	229226	2924	386	0	0	0	69191	1378	0	0	0	0	3047	143	0	0	0	0	27608	238	0	0	3815	4901	54	636369	11724	386	0	
37640																																												0	0	118295	303	1384	0	5618	829	1006705	6969	4242	0	0	0	394997	789	2455	8	5915	1399	568474	4582	985	3	0	0	8631	76	0	0	0	0	23937	233	0	0	503	11533	2228	2121039	13455	9066	11	
37659																																																																																							
37949																																																																																							
38740																																																																																							
39327																																																																																							
39756																																																																																							
40033																																																																																							
40499																																												130	0	130210	1933	0	0	287	27	664895	7901	0	0	34310	1242	737118	2659	0	0	3094	712	92146	1425	0	0	0	0	0	0	0	0	0	0	532738	1000	0	0	1590	37821	1981	2157107	16508	0	0	
40855																																																																																							
41245																																																																																							
41553																																																																																							
41629																																																																																							
41825																																																																																							
41937																																																																																							
41955																																																																																							
42037																																																																																							
42354																																																																																							
42372																																																																																							
42420																																												0	0	248868	1349	0	0	6003	157	2013093	17200	0	0	6698	111	1419672	2648	0	0	22450	3478	1140933	19951	0	0	0	0	7000	0	0	0	0	0	542642	3404	0	0	0	35151	3746	5372208	44552	0	0	
42448																																												0	0	97058	980	0	0	0	0	382418	4677	0	0	0	0	351257	4297	0	0	0	0	217246	3383	0	0	0	0	3176	173	0	0	0	0	28498	488	0	0	288	0	0	1079653	14286	0	0	
42457																																																																																							
43052																																																																																							
43351																																																																																							
43856																																																																																							
43959																																																																																							
44040																																																																																							
44433																																																																																							
44741																																																																																							
44750																																																																																							
44929																																																																																							
45038																																																																																							
45047																																																																																							
45056																																																																																							
45430																																																																																							
45458																																																																																							
45551																																																																																							
45560																																												0	0	159390	1203	0	0	1003	63	431053	4153	0	0	2259	60	414384	3314	0	0	406	16	118892	1038	0	0	0	0	0	0	0	0	6	0	22884	147	0	0	498	3674	139	1146603	10353	0	0	
45775																																																																																							
46053																																																																																							
46941																																																																																							
47247																																																																																							
47256																																																																																							
47452																																																																																							
47500																																																																																							
48057																																																																																							
48150																																																																																							
48374																																																																																							
48440																																																																																							
49054																																																																																							
49148																																																																																							
49241																																																																																							
49652																																																																																							
49858																																																																																							
49951																																																																																							
50144																																																																																							
50461																																																																																							
50872																																																																																							
51253																																																																																							
51356																																																																																							
51459																																																																																							
51842																																																																																							
52719																																												0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
52951																																																																																							
53051																																																																																							
53752																																																																																							
54049																																																																																							
54058																																																																																							
54441																																																																																							
54656																																																																																							
54973																																												0	0	122942	4683	0	0	1016	65	729950	15731	0	0	27737	1942	3021170	9378	0	0	4574	694	539236	10157	0	0	0	0	0	0	0	0	66	29	224077	10958	0	0	0	33393	2730	4637375	50907	0	0	
55336																																																																																							
55635																																																																																							
55653																																																																																							
55970																																																																																							
56258																																																																																							
56351																																												177	27	103666	717	0	0	1422	7	276928	2730	0	0	110	0	368963	2213	0	0	5294	371	224649	3149	0	0	0	0	0	0	0	0	31	23	78808	1132	0	0	915	7034	428	1053014	10856	0	0	
56548																																																																																							
56557																																												1071	91	273454	3932	0	0	5498	352	1165155	11300	0	0	2125	110	391823	3754	0	0	46431	5252	1233153	12097	0	0	0	0	0	0	0	0	125	125	20935	162	0	0	481	55250	5930	3084520	31726	0	0	
56717																																																																																							
57040																																																																																							
57451																																																																																							
58207																																																																																							
58225																																																																																							
58243																																												101	0	375079	3487	0	0	5988	0	1254251	11547	0	0	1804	9	1066947	4242	0	0	8814	2029	942769	25574	0	0	0	0	14094	101	0	0	0	0	88175	2025	0	0	12979	16707	2038	3741315	59955	0	0	
58355																																																																																							
58551																																																																																							
58636																																																																																							
58757																																																																																							
58971																																												2407	338	396678	13412	0	0	0	0	1297193	17892	0	0	2533	281	671751	18340	0	0	2118	129	1424245	33190	0	0	0	0	17370	529	0	0	193	24	96519	955	0	0	1694	7251	772	3903756	86012	0	0	
59316																																												17228	90	0	0	0	0	342025	5265	0	0	341	0	234878	1272	0	0	833	0	97466	463	0	0	0	0	0		0	0	0	0	71813	544	0	0	0	0	0	763410	7634	0	0	1174	0	
59352																																																																																							
59370																																																																																							
59754																																																																																							
60143	0	0	2960699	18737	0	0	65509	3123	9092974	88059	0	0	21499	266	1966643	12235	39	0	377632	63637	32132902	487550	0	0	0	0	0	0	0	0	12802	99	2541391	38055	0	0	0	477442	67125	48694609	644636	39	0																																												
60330																																																																																							
60545																																																																																							
60554																																																																																							
60648																																																																																							
61122																																												976	32	109554	1218	0	0	9076	245	274086	3453	0	0	4202	73	393946	3378	0	0	668	0	76268	869	0	0	0	0	0	0	0	0	30	12	23211	191	0	0	500	14952	362	877065	9609	0	0	
61355																																																																																							
61476																																																																																							
61757																																																																																							
61832																																																																																							
61953																																																																																							
62044																																																																																							
62110																																																																																							
62147																																																																																							
62772																																																																																							
63050																																																																																							
63069	0	0	1581604	44457	4220	477	16092	167	5644743	60904	110089	4131	40982	9	9501026	43397	4299	537	106465	25854	13271632	187292	749	712	0	0	58768	1198	0	0	0	0	821766	10393	10	0	0	163539	26030	30879539	347641	119367	5857																																												
63201																																																																																							
63573																																																																																							
63733																																																																																							
63742																																																																																							
63751																																																																																							
64150																																																																																							
64543																																																																																							
64552																																																																																							
64730																																																																																							
65205																																																																																							
65241																																																																																							
65513																																																																																							
65559																																																																																							
65746																																																																																							
65858																																												0	0	97840	937	0	0	1542	210	494358	4954	0	0	954	45	355528	2685	0	0	3329	465	273891	2939	0	0	0	0	5161	258	0	0	51	1	45168	938	0	0	1586	5876	721	1271946	14297	0	0	
66154																																																																																							
66275																																																																																							
66677																																																																																							
67142																																																																																							
67151																																																																																							
67209																																																																																							
67254																																																																																							
67656																																																																																							
67870																																																																																							
68448																																																																																							
68671																																																																																							
68756																																																																																							
68831																																																																																							
68840																																																																																							
68859																																																																																							
69333																																												1064	241	60082	930	0	0	4312	63	406323	4502	0	0	4303	214	281462	3871	0	0	2268	119	154490	1617	0	0	0	0	0	0	0	0	112	9	28878	434	0	0	0	12059	646	931235	11354	0	0	
69678																																																																																							
70058																																																																																							
70218																																																																																							
70414																																																																																							
70638																																																																																							
70955																																																																																							
71073																																																																																							
71318																																												0	0	62382	402	0	0	2195	0	301795	2042	0	0	4533	19	406545	2038	1205	3	2148	311	59324	606	0	0	0	0	0	0	0	0	252	12	5518	52	0	0	358	9128	342	835564	5498	1205	3	
71457																																																																																							
71859																																																																																							
72258																																																																																							
72351																																																																																							
72454																																																																																							
72678																																																																																							
73116																																																																																							
73152																																																																																							
73554																																																																																							
73956																																																																																							
74056																																																																																							
74140																																												60	11	0	0	0	0	11634	487	498689	1082	0	0	10038	1608	321619	955	0	0	4904	24	188503	713	0	0	0	0	0	0	0	0	17	0	56055	900	0	0	1920	26653	2130	1064866	5570	0	0	
74403																																																																																							
74449																																																																																							
75053																																																																																							
75259																																																																																							
75446																																																																																							
75455																																																																																							
75558																																																																																							
75633	7679	3908	2028384	37459	1350	0	155250	15270	8141414	45682	104078	21492	360664	52223	12118749	58288	33056	2192	328325	41578	43059268	298762	65603	18837	0	0	411939	27390	0	0	28080	1962	3780870	24324	673	501	0	879998	114941	69540624	491905	204760	43022																																												
75651																																																																																							
76153																																																																																							
76443																																																																																							
76854																																																																																							
77150																																																																																							
77253																																																																																							
77422																																																																																							
77851																																												0	0	84361	480	0	0	7831	0	581128	5312	2180	0	1144	0	154296	285	70	0	3692	0	472106	7214	0	0	0	0	8401	172	0	0	0	0	23035	92	0	0	0	12667	0	1323327	13555	2250	0	
78157																																																																																							
78241																																																																																							
78559																																																																																							
79042																																																																																							
79127																																																																																							
79145																																																																																							
79257																																																																																							
79855																																																																																							
80150																																																																																							
80374																																																																																							
80431																																																																																							
80552																																																																																							
80936																																																																																							
81175																																																																																							
81429																																																																																							
82033																																																																																							
82257																																																																																							
82350																																																																																							
82659																																																																																							
83151																																																																																							
83236																																																																																							
83375																																																																																							
83638	0	0	391125	3926	0	0	1318	0	2425397	27247	0	0	374	0	428948	485	0	0	20907	2866	2667206	34226	0	0	0	0	34714	3211	0	0	0	0	96236	39	0	0	0	22599	2866	6043626	69134	0	0																																												
83834																																																																																							
83852																																																																																							
83955																																																																																							
84046																																																																																							
84541																																																																																							
84804																																																																																							
85052																																																																																							
85258																																																																																							
85454																																																																																							
85472																																												3813	0	59331	1404	96	0	30769	0	1674081	9723	1306	0	18890	1	2019350	2276	240	0	1099	0	171523	1801	0	0	0	0	0	0	0	0	0	0	927	141	70	0	375	54571	1	3925212	15720	1712	0	
85931																																																																																							
86349																																																																																							
86358																																																																																							
86554																																																																																							
86675																																																																																							
87047																																																																																							
87159																																																																																							
87177																																																																																							
87234																																																																																							
87476																																																																																							
87579																																																																																							
88231																																																																																							
88240																																																																																							
88259																																																																																							
88352																																																																																							
88455																																																																																							
88772																																																																																							
