"IDRSSD"	RCON0352	RCON2202	RCON2203	RCON2210	RCON2213	RCON2215	RCON2216	RCON2236	RCON2343	RCON2365	RCON2377	RCON2385	RCON2520	RCON2530	RCON5590	RCON6648	RCON6810	RCON6835	RCONA241	RCONA243	RCONA579	RCONA580	RCONA581	RCONA582	RCONA584	RCONA585	RCONA586	RCONA587	RCONB549	RCONB550	RCONB551	RCONB552	RCONF233	RCONJ472	RCONJ473	RCONJ474	RCONK219	RCONK220	RCONK221	RCONK222	RCONK223	RCONP752	RCONP753	RCONP754	RCONP755	RCONP756	RCONP757	RCONP758	RCONP759	
	OTH NONTRANSACTION SAVINGS DEPOSITS	TOT TRANSACTION ACCTS-US GOVERNMENT	TOT TRANSACT ACCTS-STS&POL SUB IN US	TOTAL DEMAND DEPOSITS	TOT TRANS ACCTS-BKS IN FGN COUNTRIES	TOTAL TRANSACTIONS ACCOUNTS	TOT TRANS ACCTS-FGN GOVTS&OFFCL INST	NONTRANS DPS OF BKS IN FGN COUNTRIES	BROKERED DEPS LT 100000	TOTAL BROKERED DEPOSITS	TOT NONTRANS ACCTS-FGN GOVTS&OFFCL I	TOTAL NONTRANSACTION ACCOUNTS	TOT NONTRANSACTION ACCTS-US GOVT	TOT NONTRANSACTION ACCTS-STS&POL SUB	PREFERRED DEPOSITS	TIME DEPOSITS LT 100000	AMT OUTSTDG IN MONEY MARKET DEP ACCT	IRA AND KEOGH PLAN ACCOUNTS	TM DEPS LT 100000 MAT LESS 1 YR	BROKERED DEPS LT 100000 MAT LE 1 YR	TM DEPS LT 100000 MAT/REPRCE LE 3 MO	TM DEPS LT 100000 MAT/REPRCE 3-12 MO	TM DEPS LT 100000 MAT/REPRCE 1-3 YR	TM DEPS LT 100000 MAT/REPRCE GT 3 YR	TM DEPS GE 100000 MAT/REPRCE LE 3 MO	TM DEPS GE 100000 MAT/REPRCE 3-12 MO	TM DEPS GE 100000 MAT/REPRCE 1-3 YR	TM DEPS GE 100000 MAT/REPRCE GT 3 YR	TRANSACTION ACCTS: IPC DEPOSITS	NONTRANSACTION ACCTS: IPC DEPOSITS	TRANSACTION ACCT: CB'S & DI'S IN U.S	NONTRANSACT ACCT: CB'S & DI'S IN U.S	IRA KEOGH IN MEM ITEM 2.C	BROKERED DEPS LT 100K GE 250K	TIME DEPOSITS EQ 100K LE 250K	TIME DEPOSITS GT 250K	BRKRD DEP 100000 - 250000 MAT LE 1 Y	BRKRD DEP GT 250000 MAT LE 1 YR	TIME DEP 100000 - 250000 MAT LE 1 YR	TIME DEP GT 250000 MAT LE 1 YRDEP	EST DEP LISTING SERVICE NOT BROKERED	OFFR CONSUM DEP ACT INDIV HSHLD FMLY	NONINTR TRN ACCTS INDIV HSHLD FMLY	INTR TRN ACCTS INDIV HSHLD FMLY	DEP OTHR TRNS ACCTS INDV PRTNRS CRPS	MMDA DEPS PRIMRLY INDIV HSHLD FAMLY	OTHR MMDA INDIV PRTNRS CORPS	OTHR SVGS DEPS IND HSHLD FAMILY USE	OTHR SVGS DEPS IND PRTNRS AND CORPS	
522959	21015	0	1700	66887	0	83123	0	0	0	0	0	125249	0	3193		26433	65344	10860	22375	0	5648	16755	4029	1	2950	6130	3377	0	81423	122056	0	0	3543	0	10711	1746	0	0	8224	856	0	false								
523161	16134	0	3136	74941	0	98902	0	0	0	0	0	103891	0	362		34516	23100	9134	28872	0	14674	16455	3387	0	11662	16850	1629	0	95766	103529	0	0	2753	0	26521	3620	0	0	24061	3586	0	true								
523648	5413	0	2582	5323	0	10192	0	0	0	0	0	16174	0	601		6631	2089	2649	5168	0	2369	2799	1319	144	1037	599	405	0	7610	15573	0	0	837	0	1790	251	0	0	548	251	0	false								
523974	23809	1	0	38	0	3514	0	0	0	0	0	71851	0	0		19837	21987	7949	11872	0	4611	7479	5225	2522	1577	1377	1834	1430	3513	71851	0	0	2680	0	5266	952	0	0	2699	254	0	true								
524579	136342	0	0	16465	0	46407	0	0	2299	23642	0	320757	0	989		78079	38406	33260	38726	984	9621	29105	22764	16589	7860	15569	29505	14997	46407	308413	0	11355	8172	19940	60645	7286	4475	0	19395	3020	1734	true								
524757	2065	0	722	7485	0	9491	0	0	0	0	0	22115	0	2269		6257	7770	2132	6097	0	2818	3289	121	29	1558	3625	340	500	8769	19846	0	0	731	0	4902	1121	0	0	4062	1121	0	true								
524766	2913	13	6918	11902	0	21712	0	0	0	0	0	33620	0	1317		5284	10086	2319	4519	0	1796	2723	545	219	3124	8500	2767	946	14781	32303	0	0	811	0	9333	6004	0	0	7149	4475	2633	true								
524953	8199	0	10809	17758	0	42230	0	0	0	0	0	67517	0	1315		22556	14540	6870	18157	0	10099	8058	4144	255	5408	7990	7389	1435	31421	66202	0	0	1976	0	14813	7409	0	0	11010	2388	0	false								
524971	125944	0	13	14721	0	29482	0	0	0	0	0	424919	0	1221		62504	206804	29210	34100	0	11334	22766	20091	8313	3307	7332	11948	7081	29469	412779	0	10919	5816	0	25421	4247	0	0	7148	3491	10919	true								
525053	40255	0	7733	56227	0	73523	0	0	670	16111	0	190859	0	16894		20144	62216	6434	15967	610	5295	10672	3477	699	21660	30561	7051	8971	65790	173721	0	244	3344	15441	34686	33557	15201	0	29801	22420	0	false								
525156	4452	0	3044	5090	0	15904	0	0	0	0	0	45669	0	6290		14597	12164	5131	7207	0	1446	5761	6702	688	2197	6918	4055	1286	12860	39379	0	0	2087	0	9759	4697	0	0	4674	4441	0	true								
525352	7814	0	0	61840	0	95232	0	0	2	946	0	87952	0	485		10851	52487	3701	8208	2	3698	4510	1678	965	2626	10719	3033	422	95232	87467	0	0	986	944	12170	4630	944	0	9766	3579	1850	true								
525446	12283	0	4814	25004	0	42282	0	0	0	0	0	42541	0	2086		16819	6977	7452	11358	0	2936	8422	3747	1714	1541	2300	1899	722	37468	40455	0	0	2365	0	5906	556	0	0	3541	300	0	true								
525549	278300	0	3845	42139	0	64276	0	0	280	8366	0	583366	0	27838		120745	119484	40023	73847	178	29671	44176	32173	14726	20666	18112	19121	6938	60431	555528	0	0	11578	3086	55694	9143	2886	0	32451	6327	0	true								
