"IDRSSD"	RCON0211	RCON1287	RCON1709	RCON1713	RCON1733	RCON1736	RCON1752	RCON1754	RCON1773	RCON2163	RCON2192	RCON2941	RCON3129	RCON3190	RCON8492	RCON8495	RCON8496	RCON8499	RCONA511	RCONB989	RCONB995	RCONG389	RCONG390	RCONG393	RCONG394	RCONG397	RCONG398	RCONG399	RCONG400	
	US TREAS SECS-HLD-TO-MAT-AMRTZ COST	US TREAS SECS-AVL-FOR-SLE-FAIR VALUE	OTHR PASS-THRU SECS-HLD-AMORTZD COST	OTHR PASS-THRU SECS-AVL-FAIR VALUE	MBS-CMOS&REMICS-ALL OTHER-HLD-AMRTZ	MBS-CMOS&REMICS-ALL OTHER-AVL-FAIR	HISTCL COST OF ALL OTH AVL-FOR-SALE	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	NET DUE FROM FOREIGN OFFICES	TOTAL ASSETS	NET DUE TO FOREIGN OFFICES	TOTAL LIABILITIES, EXCL NET DUE TO	OTHER BORROWED MONEY	US GOVT AGCY&CORP OBLIGS-AMRTZ COST	US GOVT AGCY&CORP OBLIGS-FAIR VALUE	SECS ISSD BY US ST&POL SUBDYS-AMRTZ	SECS ISSD BY US ST&POL SUBDYS-FAIR	FAIR VAL OF AVL-FOR-SL INVES MUTL FD	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	MBS PT SCTY ISS FFG AMRTZ HTM SCTY	MBS PT SCTY ISS FFGNMA FV AFS SCTY	OTHR MBS ISS FFG AMRTZ HTM SCTY	OTHR MBS ISS FFG FV AFS SCTY	OTHR DMSTC DEBT SCTY AMRTZ HTM SCTY	OTHR DMSTC DEBT SCTY FV AFS SCTY	FOREIGN DEBT SCTY AMRTZ HTM SCTY	FOREIGN DEBT SCTY FV AFS SCTY	
37	0	0					131	0	34865					0			0	17988	0	0	0									
242	0	0					242	0	9674					4297			0	6852	3	0	0									
279	0	0					1219	46024	10549					13150			11876	2915	6	0	0									
354	0	0					0	0	6100					0			0	841	0	0	0									
457	0	0					196	170	461					2500			168	461	0	0	0									
505	0	0					4256	0	69546					45500			0	31747	0	0	0									
1155	0	1566					1153	105	25142					0			0	7079	0	0	11224									
1351	0	0					0	76743	4616					0			42798	0	0	0	0									
1454	0	8051					1092	0	248716					0			0	88600	21	0	0									
1557	0	0					147	16752	4064					2103			16752	655	0	0	0									
1669	0	8257					912	58354	63912					0			20752	0	0	0	0									
1829	0	0					2025	0	90996					13954			0	18136	1652	0	2469									
1856	0	0					1525	235	8893					30000			0	0	0	0	0									
2040	0	0					1546	0	48689					0			0	26497	0	0	6827									
2161	0	0					811	1	42300					0			0	14265	0	0	0									
2376	0	0					38222	36129	498542					775641			0	0	0	0	0									
2554	0	0					0	0	2380					0			0	1730	15	0	0									
2732	0	0					174	0	90271					0			0	72402	0	0	0									
2750	0	0					547	0	15400					4700			0	4172	0	0	0									
3177	0	69					6390	4640	82960					113933			3988	833	13	0	0									
3252	0	0					323	615	63287					3500			615	15804	0	0	0									
3458	0	0					187	2618	7830					0			2618	0	0	0	4150									
3720	0	0					558	1597	49289					5000			1597	10600	0	0	1584									
3971	0	0					3767	0	93251					19848			0	0	525	0	0									
4156	0	3012					2564	0	46339					10000			0	23918	0	0	1408									
4231	0	0					0	0	44717					0			0	12058	0	0	0									
4437	0	0					866	380	95981					3241			380	22910	0	0	2060									
4839	0	0					1348	0	75271					19000			0	25211	0	0	6142									
5005	0	0					4425	0	93713					39745			0	7414	2639	0	0									
5069	0	1282					0	0	44731					0			0	14764	6027	0	0									
5135	0	0					1374	0	32479					16762			0	3393	0	0	0									
5210	0	0					6192	28388	187930					78000			0	51897	1095	0	42601									
5331	0	0					3923	0	222717					40000			0	24776	0	0	74500									
5461	0	500					1959	0	86669					15000			0	44361	0	0	0									
5751	0	0					305	0	60573					0			0	19504	0	0	0									
6039	0	0					136	0	2998					0			0	286	7	0	0									
6141	0	0					0	18409	0					0			8048	0	0	0	0									
6329	0	0					662	0	33143					0			0	7675	0	0	0									
7009	0	0					0	0	446370					0			0	71756	8131	0	0									
7045	0	0					585	0	70454					0			0	31226	0	0	0									
7072	0	0					975	5360	2919					6000			4792	0	2919	0	0									
7157	0	1502					18	0	21345					0			0	14505	0	0	0									
7456	0	0					333	5516	16603					0			5516	0	0	0	0									
7634	0	0					128	9	7918					0			0	4099	0	0	0									
8033	0	0					1288	0	9312					12432			0	2800	0	0	0									
8462	0	0					21	0	84983					0			0	13902	0	0	0									
8631	0	0					133	0	10098					0			0	0	0	0	0									
9357	0	0					2243	0	47075					38800			0	0	1039	0	4582									
9553	0	0					1627	0	36337					32829			0	16148	0	0	0									
9807	0	70646					18032	317184	241053					240000			104307	96351	0	0	42728									
9955	0	0					1045	0	35789					2011			0	27028	0	0	0									
10250	0	0					892	0	59572					0			0	20329	0	0	0									
10849	0	0					1669	0	33450					2000			0	1985	0	0	0									
10858	0	10100					1450	0	119822					5192			0	2454	39	0	38438									
11145	0	0					1490	0	17281					12114			0	9041	0	0	0									
11275	0	0					3814	36863	20307					53160			30927	0	0	0	0									
11640	0	0					2672	0	102747					20000			0	51782	0	0	0									
11837	0	0					610	0	61357					10000			0	6621	0	0	0									
12030	0	0					5505	3556	8798					0			2474	0	0	0	0									
12142	0	0					476	1023	64584					0			1019	23636	0	0	0									
12179	0	886					710	183	1434					1500			0	0	45	0	0									
12245	0	0					426	0	34910					4900			0	13503	0	0	0									
12311	0	52180	0	0	0	113587	296034	598385	8324525	0	56423449	1262507	50150997	1213220	0	660575	0	379328	51184	0	1089721	182381	1418563	416004	3775454	0	1313269	0	560385	
12647	0	0					310	7236	0					2650			4959	0	0	0	0									
12656	0	0					29	1001	0					0			750	0	0	0	0									
12937	0	0					864	0	0					2983			0	0	0	0	0									
12946	0	0					2098	0	173363					16784			0	105263	867	0	0									
12955	0	0					454	2225	5					3835			2225	0	0	0	0									
13103	0	0					11380	5064	283427					116981			4898	2103	89413	0	0									
13251	0	0					195	0	4055					0			0	4050	0	0	0									
13457	0	0					0	0	6070					0			0	5309	276	0	0									
14052	0	0					135	0	12263					1000			0	3038	0	0	0									
14155	0	0					632	0	6403					4725			0	4209	0	0	0									
14650	0	0					68	4123	24					0			1617	0	0	0	0									
14753	0	0					9	15643	7983					0			10898	6249	0	0	0									
14865	0	0					560	5491	17093					0			5491	3261	0	0	0									
14977	0	0					124	31	7885					2563			0	0	0	0	0									
16458	0	3011					773	54426	67357					236			46008	17952	0	0	0									
16551	0	0					2055	883	32909					9000			883	17811	0	0	0									
16748	0	0					277	7180	8927					0			7180	0	0	0	0									
16944	0	522					0	0	19271					0			0	10897	0	0	0									
16953	0	0					0	3170	11737					0			3170	0	0	0	0									
17110	100	0					219	100	25550					0			0	0	25550	0	0									
17147	0	0					33033	396770	545725					96972			119222	145597	0	0	160127									
17259	0	0					374	0	23381					3500			0	12598	786	0	0									
17464	0	0					10472	1023	268075					60000			1023	0	513	0	0									
17950	0	0					1037	167	147995					14			150	49458	0	0	0									
17978	69069	0					3955	133154	0					6245			1369	0	0	0	0									
18050	0	0					757	17874	137042					3269			17874	13535	0	0	0									
18135	0	0					1416	16614	39442					20325			2175	25265	0	0	13775									
18377	0	0					102	0	10177					0			0	0	0	0	0									
18827	0	0					1212	0	47779					0			0	15519	10990	0	0									
18836	0	0					686	0	17089					2185			0	820	0	0	0									
18854	0	0					701	0	4442					0			0	1020	0	0	0									
18957	0	0					258	0	0					328			0	0	0	0	0									
19356	0	0					162	0	38884					2017			0	18233	0	0	0									
19730	0	0					8857	2016	140059					25555			25	144	2266	0	0									
19936	0	0					390	8921	14935					0			1897	1099	0	0	0									
19972	0	0					149	20951	0					0			19624	0	0	0	0									
20053	0	0					197	0	12420					1697			0	2291	0	0	0									
20512	0	0					754	110	39308					0			0	15784	0	0	0									
20633	0	0					1357	3749	75901					6000			0	16204	884	0	0									
20857	0	0					1290	0	117688					9179			0	81434	0	0	0									
21256	0	0					87	0	623					0			0	0	0	0	0									
21359	0	0					164	0	5941					279			0	3469	0	0	0									
21630	0	0					423	0	46577					5753			0	5690	0	0	1203									
21658	0	0					442	0	41377					42			0	7742	0	0	0									
22048	0	0					660	0	49715					13930			0	4801	0	0	2863									
22543	0	10241					195	0	12454					0			0	1433	780	0	0									
22552	0	0					223	0	9845					100			0	3293	0	0	0									
22730	0	0					284	0	38275					0			0	15071	0	0	3752									
22936	0	0					474	0	12109					1504			0	0	0	0	0									
22954	0	0					1071	0	17960					5384			0	7718	66	0	0									
23045	0	0					208	455	26801					0			455	0	0	0	0									
